DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(2.5m);Dir#1(2.5m);Speed#2(4.5m);Dir#2(4.5m);Speed#3(6.5m);Dir#3(6.5m);Speed#4(8.5m);Dir#4(8.5m);Speed#5(10.5m);Dir#5(10.5m);Speed#6(12.5m);Dir#6(12.5m);Speed#7(14.5m);Dir#7(14.5m);Speed#8(16.5m);Dir#8(16.5m);Speed#9(18.5m);Dir#9(18.5m);Speed#10(20.5m);Dir#10(20.5m);Speed#11(22.5m);Dir#11(22.5m);Speed#12(24.5m);Dir#12(24.5m);Speed#13(26.5m);Dir#13(26.5m);Speed#14(28.5m);Dir#14(28.5m);Speed#15(30.5m);Dir#15(30.5m);Speed#16(32.5m);Dir#16(32.5m);Speed#17(34.5m);Dir#17(34.5m);Speed#18(36.5m);Dir#18(36.5m);Speed#19(38.5m);Dir#19(38.5m);Speed#20(40.5m);Dir#20(40.5m);
3/16/2016 16:55:22; 11.7; 50.6; 51.5;-52.8;  0.000; 24.39;    0;    0;  0.730; 200.37;  0.813; 209.78;  0.434; 332.84;  0.397; 326.91;  0.470; 139.49;  0.160; 180.36;  0.442; 276.37;  0.660; 165.16;  1.105; 186.60;  0.136;  62.50;  0.500; 337.03;  0.896; 248.67;  1.232; 202.32;  0.138;   5.01;  0.252; 195.63;  0.346; 213.32;  1.005; 214.95;  1.280; 212.82;  0.290; 287.25;  0.580; 237.24;
3/16/2016 17:55:22; 11.7;149.0;-51.6;-51.0;  0.000; 26.56;    0;    0;  0.158; 261.61;  1.079; 342.30;  0.620; 242.03;  0.554; 343.20;  1.640; 347.82;  0.464; 354.68;  1.379; 358.63;  0.509;  17.01;  0.981;   3.51;  0.553; 248.12;  0.078; 251.33;  1.098; 347.48;  0.246; 341.27;  0.894; 321.86;  1.365;   6.98;  0.727; 181.02;  0.140; 144.03;  0.202;  43.19;  0.613; 330.59;  1.261; 338.17;
3/16/2016 18:55:22; 11.7; 97.9;  1.1;  2.0; 40.606; 26.82;    0;    0;  0.190; 128.80;  0.123; 148.64;  0.152; 123.48;  0.144; 119.05;  0.147; 135.55;  0.145; 127.42;  0.163; 114.21;  0.154; 131.85;  0.121; 128.96;  0.152; 128.31;  0.103; 131.45;  0.107; 114.89;  0.112; 141.50;  0.188; 122.42;  0.110; 126.87;  0.139; 143.79;  0.091;  19.23;  0.266; 305.36;  0.880; 307.38;  0.578; 317.59;
3/16/2016 19:55:22; 11.7; 97.8;  1.0;  2.0; 40.591; 26.54;    0;    0;  0.105; 183.27;  0.085; 161.57;  0.201; 166.79;  0.202; 152.93;  0.218; 155.66;  0.209; 146.92;  0.205; 142.35;  0.156; 167.39;  0.154; 154.27;  0.198; 152.27;  0.163; 170.48;  0.215; 164.60;  0.179; 159.74;  0.173; 156.10;  0.108; 161.57;  0.151; 164.68;  0.038;  71.57;  0.401; 298.42;  0.879; 294.76;  0.831; 298.45;
3/16/2016 20:55:22; 11.7; 97.8;  1.0;  2.0; 40.586; 26.54;    0;    0;  0.034; 132.61;  0.102; 153.94;  0.205; 169.89;  0.157; 180.36;  0.168; 169.70;  0.149; 171.49;  0.164; 160.02;  0.220; 163.63;  0.161; 163.03;  0.168; 168.69;  0.203; 169.80;  0.173; 169.01;  0.200; 158.94;  0.203; 171.51;  0.192; 168.28;  0.084; 171.10;  0.093; 163.12;  0.483; 290.61;  0.902; 295.54;  0.830; 291.56;
3/16/2016 21:55:22; 11.7; 98.0;  1.0;  2.0; 40.579; 26.54;    0;    0;  0.096; 143.01;  0.053; 158.81;  0.095; 155.06;  0.090; 171.06;  0.112; 156.87;  0.129; 159.18;  0.138; 150.46;  0.164; 152.03;  0.146; 149.57;  0.150; 157.70;  0.183; 150.22;  0.164; 152.34;  0.176; 169.20;  0.167; 162.54;  0.099; 140.71;  0.126; 162.00;  0.078; 162.03;  0.499; 287.02;  0.891; 294.81;  0.844; 285.26;
3/16/2016 22:55:22; 11.7; 98.0;  1.0;  2.0; 40.570; 26.56;    0;    0;  0.054; 173.66;  0.079; 159.95;  0.070; 151.98;  0.095; 162.90;  0.084; 173.13;  0.085; 174.62;  0.124; 155.71;  0.092; 183.73;  0.126; 160.99;  0.094; 171.44;  0.090; 159.15;  0.121; 157.67;  0.133; 195.71;  0.062; 180.00;  0.049; 180.00;  0.063;  72.43;  0.049; 314.17;  0.537; 286.55;  0.988; 291.30;  1.023; 285.94;
3/16/2016 23:55:22; 11.7; 97.8;  1.0;  2.0; 40.572; 26.57;    0;    0;  0.053; 162.58;  0.030; 115.71;  0.123; 188.85;  0.048; 171.53;  0.108; 148.22;  0.114; 156.80;  0.147; 178.83;  0.132; 163.22;  0.119; 194.62;  0.075; 212.01;  0.046; 214.38;  0.073; 264.52;  0.046; 250.77;  0.069; 258.37;  0.038; 334.80;  0.026; 322.70;  0.096; 344.95;  0.469; 297.00;  0.958; 286.24;  0.948; 283.86;
3/17/2016 00:55:22; 11.7; 97.9;  1.0;  2.0; 40.571; 26.55;    0;    0;  0.092;  71.57;  0.122;  54.35;  0.082;  91.40;  0.066;  77.66;  0.053;  56.61;  0.070; 101.47;  0.102; 126.19;  0.093; 110.77;  0.060;  94.76;  0.056;  74.48;  0.060;  68.55;  0.054;  52.50;  0.080;  36.87;  0.100;  43.78;  0.080;   5.71;  0.078; 105.64;  0.142;  51.59;  0.451; 299.35;  0.877; 289.51;  0.873; 287.33;
3/17/2016 01:55:22; 11.7; 97.9;  1.0;  2.0; 40.581; 26.55;    0;    0;  0.092;  62.04;  0.082;  71.57;  0.126;  72.00;  0.103;  66.66;  0.114;  75.23;  0.123;  82.07;  0.163;  75.45;  0.158;  60.35;  0.147;  68.49;  0.104;  73.30;  0.088;  81.50;  0.109;  73.55;  0.142;  61.81;  0.142;  76.55;  0.163;  45.25;  0.161;  57.39;  0.094;  57.15;  0.481; 300.08;  0.777; 280.91;  0.664; 282.53;
