DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),
2/17/2011 19:00:00, 11.9,119.5, -1.1,  1.8, 28.521, 26.28,  0.0,  0.0,  0.210, 303.16,  0.276, 297.40,  0.139, 306.79,  0.243, 304.08,  0.236, 296.67,  0.243, 298.46,  0.237, 307.64,  0.210, 309.21,  0.242, 305.59,  0.308, 300.48,  0.326, 300.18,  0.323, 312.49,  0.294, 305.58,  0.272, 309.19,  0.269, 303.16,  0.340, 296.19,  0.336, 299.62,  0.386, 293.98,  0.353, 299.68,  0.348, 304.92,  0.326, 304.13,-99.000, -99.00,-99.000, -99.00,  0.377, 277.31,  0.777, 286.92,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/17/2011 20:00:00, 11.9,119.5, -1.2,  1.7, 28.534, 26.31,  0.0,  0.0,  0.256, 281.49,  0.232, 310.28,  0.244, 302.13,  0.231, 309.74,  0.346, 308.89,  0.336, 318.14,  0.356, 312.15,  0.348, 300.77,  0.318, 309.39,  0.338, 302.42,  0.397, 308.05,  0.375, 299.71,  0.411, 303.50,  0.378, 312.43,  0.428, 296.33,  0.391, 301.62,  0.408, 293.36,  0.433, 298.69,  0.467, 299.64,  0.467, 297.83,  0.452, 296.68,-99.000, -99.00,-99.000, -99.00,  0.444, 298.24,  0.808, 285.43,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/17/2011 21:00:00, 11.9,119.4, -1.2,  1.8, 28.565, 26.32,  0.0,  0.0,  0.177, 280.42,  0.187, 293.96,  0.255, 295.56,  0.196, 307.10,  0.153, 295.90,  0.277, 296.38,  0.350, 295.76,  0.335, 300.93,  0.303, 295.38,  0.271, 301.11,  0.330, 295.71,  0.302, 290.78,  0.361, 307.92,  0.344, 308.04,  0.369, 299.55,  0.327, 295.31,  0.409, 295.94,  0.408, 305.02,  0.356, 312.61,  0.376, 311.11,  0.390, 309.69,  0.417, 308.57,  0.331, 308.25,  0.406, 278.21,  0.757, 279.96,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/17/2011 22:00:00, 11.9,119.4, -1.2,  1.8, 28.609, 26.31,  0.0,  0.0,  0.151, 279.52,  0.098, 254.54,  0.140, 276.57,  0.130, 279.75,  0.124, 274.15,  0.211, 282.06,  0.128, 295.96,  0.131, 273.93,  0.158, 276.54,  0.198, 296.44,  0.195, 306.05,  0.192, 301.78,  0.255, 301.39,  0.244, 306.68,  0.216, 308.99,  0.173, 298.35,  0.297, 311.86,  0.297, 317.60,  0.306, 307.84,  0.268, 308.79,  0.235, 298.75,  0.225, 305.95,  0.300, 307.41,  0.316, 289.58,  0.654, 280.21,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/17/2011 23:00:00, 11.9,119.4, -1.3,  1.8, 28.649, 26.33,  0.0,  0.0,  0.051, 193.50,  0.079, 211.46,  0.069, 218.53,  0.082, 221.05,  0.113, 212.01,  0.069, 211.39,  0.078, 167.39,  0.064, 199.29,  0.050, 192.65,  0.070, 268.36,  0.060, 298.69,  0.094, 313.71,  0.031, 268.15,  0.029, 270.00,  0.084, 292.31,  0.110, 291.90,  0.091, 294.60,  0.139, 307.69,  0.120, 307.54,  0.140, 293.63,  0.111, 318.67,  0.174, 316.40,  0.149, 308.18,  0.210, 279.33,  0.475, 271.93,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/18/2011 00:00:00, 11.9,119.5, -1.3,  1.8, 28.651, 26.34,  0.0,  0.0,  0.192, 145.81,  0.199, 121.46,  0.131, 146.79,  0.171, 141.65,  0.102, 122.60,  0.101, 140.63,  0.106, 138.81,  0.089, 187.13,  0.093, 167.01,  0.131, 137.79,  0.094, 163.89,  0.063, 108.43,  0.068, 153.81,  0.091, 120.21,  0.065, 174.73,  0.088, 121.52,  0.064, 118.18,  0.028, 136.47,  0.053, 128.83,  0.032,  98.88,  0.043,  77.91,  0.085, 126.87,  0.104, 112.11,  0.114, 240.51,  0.378, 257.18,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/18/2011 01:00:00, 11.9,119.4, -1.3,  1.8, 28.635, 26.36,  0.0,  0.0,  0.131, 107.74,  0.255, 113.55,  0.266, 129.50,  0.237, 131.75,  0.160, 142.13,  0.234, 123.69,  0.247, 124.59,  0.231, 131.49,  0.193, 145.15,  0.222, 130.43,  0.256, 131.84,  0.190, 135.64,  0.193, 141.29,  0.214, 139.75,  0.157, 107.74,  0.189, 143.19,  0.229, 146.24,  0.224, 118.51,  0.241, 130.63,  0.231, 128.66,  0.226, 127.07,  0.252, 122.17,  0.239, 137.03,  0.153, 197.84,  0.264, 236.91,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/18/2011 02:00:00, 11.9,119.5, -1.3,  1.8, 28.579, 26.35,  0.0,  0.0,  0.164, 125.05,  0.197, 112.66,  0.268, 120.96,  0.250, 133.06,  0.255, 127.68,  0.273, 140.06,  0.262, 127.40,  0.241, 136.85,  0.244, 129.50,  0.295, 129.36,  0.237, 134.49,  0.285, 144.86,  0.311, 140.74,  0.251, 127.87,  0.300, 124.96,  0.281, 133.70,  0.285, 130.30,  0.306, 132.75,  0.290, 124.18,  0.252, 134.52,  0.293, 129.18,  0.301, 119.46,  0.249, 132.07,  0.203, 180.56,  0.338, 253.33,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/18/2011 03:00:00, 11.9,119.5, -1.3,  1.8, 28.536, 26.35,  0.0,  0.0,  0.126, 148.96,  0.172, 108.65,  0.209, 125.28,  0.117, 113.71,  0.156, 128.49,  0.173, 115.68,  0.158, 136.02,  0.163, 127.01,  0.203, 140.99,  0.252, 135.32,  0.226, 129.81,  0.235, 141.91,  0.237, 123.62,  0.245, 120.12,  0.267, 126.78,  0.247, 119.89,  0.279, 128.88,  0.288, 132.05,  0.282, 132.12,  0.339, 134.40,  0.327, 136.11,  0.337, 136.32,  0.298, 121.13,  0.159, 176.40,  0.373, 254.43,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/18/2011 04:00:00, 11.9,119.6, -1.3,  1.8, 28.470, 26.37,  0.0,  0.0,  0.183, 137.43,  0.169, 139.07,  0.184, 144.93,  0.086, 169.99,  0.157, 121.46,  0.110, 128.33,  0.093, 157.29,  0.155, 157.58,  0.147, 166.25,  0.070, 170.94,  0.130, 154.42,  0.129, 149.65,  0.146, 158.34,  0.155, 160.74,  0.125, 178.63,  0.140, 164.67,  0.152, 148.19,  0.104, 169.99,  0.124, 133.36,  0.125, 151.39,  0.144, 156.28,  0.142, 154.52,  0.113, 172.37,  0.192, 229.43,  0.522, 262.07,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
