DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),
8/3/2010 14:00:00, 11.9, 64.6, 32.5,-35.0,  0.240, 30.67,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/3/2010 15:00:00, 11.9,179.7,  1.6, -1.7, 31.738, 27.89,  0.0,  0.0,  0.181, 261.74,  0.099, 254.13,  0.007, 225.00,  0.090,  15.42,  0.242,  12.66,  0.333,   4.65,  0.307,  15.30,  0.339,  17.15,  0.383,  22.22,  0.367,  14.68,  0.374,  16.64,  0.461,   9.75,  0.584,  13.87,  0.633,  15.02,  0.668,  16.70,  0.657,  18.74,  0.653,   9.25,  0.637,  12.33,  0.699,  11.39,  0.682,   7.75,  0.679,   8.81,  0.699,   9.14,  0.722,  10.21,  0.729,  10.03,  0.727,   5.84,  0.631, 354.27,  0.467, 351.99,  0.527, 349.84,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/3/2010 16:00:00, 11.9,179.8,  1.6, -1.7, 31.811, 27.78,  0.0,  0.0,  0.082, 279.81,  0.047, 314.14,  0.106,  15.87,  0.158,  10.24,  0.272,  19.10,  0.264,  19.95,  0.326,  21.05,  0.343,  20.50,  0.333,   9.86,  0.399,  23.61,  0.437,  28.15,  0.456,  20.14,  0.521,  26.96,  0.589,  23.30,  0.671,  17.44,  0.677,  17.53,  0.675,  17.15,  0.659,  15.85,  0.649,  15.19,  0.661,  13.55,  0.711,  12.10,  0.675,  11.88,  0.613,   9.39,  0.685,  10.34,  0.702,   7.29,  0.641, 356.25,  0.530,   2.38,  0.636, 351.87,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/3/2010 17:00:00, 11.9,180.0,  1.6, -1.7, 31.859, 27.79,  0.0,  0.0,  0.076, 242.76,  0.107, 274.81,  0.085, 215.38,  0.164,  15.90,  0.180, 352.99,  0.156,   4.40,  0.244,  19.18,  0.287,  17.62,  0.311,  17.79,  0.436,  19.14,  0.360,  28.34,  0.413,  30.73,  0.517,  30.43,  0.470,  30.00,  0.454,  27.58,  0.469,  26.46,  0.533,  21.46,  0.553,  19.45,  0.564,  22.61,  0.599,  20.01,  0.568,  16.36,  0.606,  14.24,  0.622,  14.53,  0.613,  14.74,  0.577,  13.34,  0.478, 356.04,  0.334, 356.73,  0.397, 352.77,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/3/2010 18:00:00, 11.9,180.0,  1.6, -1.7, 31.911, 27.80,  0.0,  0.0,  0.082,  63.12,  0.171, 245.83,  0.063, 245.48,  0.191, 304.52,  0.194, 310.60,  0.083, 322.31,  0.110,  13.15,  0.135,  14.55,  0.228,  44.82,  0.242,  39.81,  0.230,  44.82,  0.305,  36.46,  0.307,  36.12,  0.311,  33.84,  0.350,  33.46,  0.403,  31.28,  0.408,  30.96,  0.423,  34.70,  0.405,  36.47,  0.407,  31.04,  0.425,  26.26,  0.432,  18.23,  0.458,  16.89,  0.462,  13.65,  0.430,  15.95,  0.340,   7.44,  0.274, 348.85,  0.378, 350.26,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/3/2010 19:00:00, 11.9,180.0,  1.7, -1.8, 31.917, 27.83,  0.0,  0.0,  0.036,  51.84,  0.210, 261.79,  0.134, 179.57,  0.165, 269.65,  0.153, 279.03,  0.039, 280.44,  0.021, 284.04,  0.013, 184.40,  0.005,  90.00,  0.109,  89.47,  0.141,  87.97,  0.145,  75.58,  0.153,  63.60,  0.153,  41.82,  0.158,  43.98,  0.167,  49.62,  0.201,  53.30,  0.258,  36.03,  0.281,  31.77,  0.287,  30.14,  0.343,  29.48,  0.339,  28.76,  0.348,  27.01,  0.385,  26.70,  0.332,  24.71,  0.256,  23.46,  0.198,  15.87,  0.217, 335.45,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/3/2010 20:00:00, 11.9,179.8,  1.7, -1.8, 31.913, 27.89,  0.0,  0.0,  0.064, 185.36,  0.277, 229.82,  0.218, 217.92,  0.306, 241.76,  0.377, 203.10,  0.443, 190.14,  0.297, 197.64,  0.314, 205.83,  0.284, 206.11,  0.198, 221.32,  0.205, 220.45,  0.156, 232.84,  0.117, 250.02,  0.097, 214.02,  0.008, 225.00,  0.076,   5.26,  0.090,  45.45,  0.086,  45.47,  0.086,  35.54,  0.109,  19.94,  0.123,   7.01,  0.182,  16.25,  0.193,  16.56,  0.216,  24.66,  0.217,   3.17,  0.173, 353.37,  0.129,  12.96,  0.240, 337.71,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/3/2010 21:00:00, 11.9,180.0,  1.7, -1.8, 31.900, 27.83,  0.0,  0.0,  0.140, 185.34,  0.172, 221.47,  0.185, 208.36,  0.307, 233.20,  0.302, 208.01,  0.285, 196.72,  0.314, 183.66,  0.387, 189.83,  0.390, 192.29,  0.400, 185.74,  0.367, 192.26,  0.317, 197.63,  0.214, 217.41,  0.153, 225.00,  0.104, 236.00,  0.098, 270.00,  0.050, 280.41,  0.063, 319.50,  0.017,  66.37,  0.053, 335.38,  0.128, 354.16,  0.180,   0.32,  0.187, 356.63,  0.200, 351.38,  0.197, 344.41,  0.180, 319.74,  0.094, 343.30,  0.219, 307.03,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/3/2010 22:00:00, 11.9,180.1,  1.7, -1.8, 31.882, 27.74,  0.0,  0.0,  0.115, 188.97,  0.110, 226.85,  0.158, 235.60,  0.180, 231.99,  0.172, 217.20,  0.113, 213.13,  0.147, 202.89,  0.210, 212.18,  0.271, 206.09,  0.300, 193.30,  0.290, 196.24,  0.333, 184.82,  0.274, 183.34,  0.192, 202.69,  0.172, 225.24,  0.087, 249.90,  0.070, 299.85,  0.120, 328.30,  0.101, 350.91,  0.171, 357.99,  0.211, 353.75,  0.248, 347.87,  0.217,   3.43,  0.253,   0.00,  0.237, 350.30,  0.281, 338.73,  0.176, 344.14,  0.180, 296.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/3/2010 23:00:00, 11.9,180.1,  1.7, -1.8, 31.856, 27.72,  0.0,  0.0,  0.094, 205.20,  0.060, 241.31,  0.100, 230.27,  0.095, 211.17,  0.098, 195.31,  0.176, 168.50,  0.167, 179.31,  0.134, 183.84,  0.141, 215.49,  0.138, 181.66,  0.180, 182.23,  0.203, 183.66,  0.162, 218.00,  0.160, 202.07,  0.107, 294.40,  0.158, 325.81,  0.210, 330.39,  0.229, 352.22,  0.264,   0.00,  0.314, 359.27,  0.377,   3.80,  0.423, 356.61,  0.389, 358.09,  0.399, 353.09,  0.385, 354.04,  0.368, 344.23,  0.252, 340.77,  0.358, 321.12,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
