DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m),
2/7/2008 18:00:00, 14.0,299.7,  1.8,  0.6, 39.341, 25.80,  0.0,  0.0,  0.075, 329.69,  0.090, 341.16,  0.115, 333.66,  0.174, 350.43,  0.170, 358.65,  0.189, 357.58,  0.197,   0.58,  0.227,   3.03,  0.245,   7.73,  0.204,   8.45,  0.274,   2.51,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.236, 323.95,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/7/2008 19:00:00, 14.0,300.0,  1.8,  0.6, 39.414, 25.80,  0.0,  0.0,  0.061, 309.69,  0.103, 347.05,  0.124, 344.05,  0.122, 359.06,  0.087,   3.95,  0.139, 356.30,  0.108,   2.65,  0.166, 339.16,  0.200, 343.11,  0.236, 343.79,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.166, 325.83,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/7/2008 20:00:00, 14.0,299.8,  1.8,  0.6, 39.477, 25.85,  0.0,  0.0,  0.010, 174.29,  0.010, 196.70,  0.040, 304.88,  0.033, 358.26,  0.077, 347.96,  0.098,   1.75,  0.141, 357.16,  0.097, 320.04,  0.175, 333.87,  0.138, 336.96,  0.127,   2.25,  0.093, 355.70,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.178, 341.36,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/7/2008 21:00:00, 13.9,299.9,  1.8,  0.6, 39.511, 25.90,  0.0,  0.0,  0.058,  70.94,  0.024, 157.75,  0.074,   0.77,  0.098,  17.15,  0.087, 349.46,  0.112, 356.42,  0.061,   1.88,  0.089,   9.67,  0.114,  37.87,  0.127,   4.50,  0.090, 352.32,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/7/2008 22:00:00, 13.9,299.9,  1.8,  0.6, 39.493, 25.85,  0.0,  0.0,  0.140, 196.23,  0.144, 184.37,  0.099, 180.00,  0.104, 162.09,  0.096, 197.50,  0.028, 186.12,  0.029, 240.75,  0.053, 218.16,  0.048, 235.98,  0.026, 305.54,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/7/2008 23:00:00, 13.9,299.8,  1.8,  0.6, 39.441, 25.86,  0.0,  0.0,  0.122, 187.53,  0.117, 206.35,  0.148, 186.98,  0.134, 175.31,  0.119, 184.33,  0.096, 187.20,  0.087, 184.60,  0.153, 194.40,  0.135, 171.93,  0.102, 188.45,  0.118, 199.82,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.090, 333.72,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/8/2008 00:00:00, 13.9,299.9,  1.8,  0.6, 39.374, 25.84,  0.0,  0.0,  0.065, 252.96,  0.162, 205.93,  0.092, 202.95,  0.133, 192.15,  0.094, 179.39,  0.154, 210.39,  0.178, 202.52,  0.148, 204.32,  0.160, 199.00,  0.158, 223.72,  0.159, 198.32,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.090, 308.26,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/8/2008 01:00:00, 13.9,299.9,  1.8,  0.6, 39.292, 25.94,  0.0,  0.0,  0.231, 194.04,  0.182, 206.14,  0.180, 188.63,  0.147, 199.92,  0.059, 195.68,  0.040, 226.01,  0.047, 248.88,  0.067, 224.40,  0.062, 270.00,  0.041, 279.93,  0.055, 268.96,  0.060, 279.62,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.080, 294.33,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/8/2008 02:00:00, 13.9,299.8,  1.7,  0.6, 39.234, 25.90,  0.0,  0.0,  0.123, 226.32,  0.144, 222.46,  0.066, 233.65,  0.115, 222.17,  0.070, 212.09,  0.058, 230.57,  0.043, 221.19,  0.081, 293.39,  0.072, 290.46,  0.045, 255.96,  0.077, 275.19,  0.026, 321.34,  0.017,  30.96,  0.013, 202.62,-99.000, -99.00,-99.000, -99.00,  0.061, 307.63,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/8/2008 03:00:00, 13.8,299.9,  1.7,  0.6, 39.200, 25.85,  0.0,  0.0,  0.098, 273.50,  0.090, 252.57,  0.100, 241.89,  0.084, 261.10,  0.069, 268.34,  0.085, 289.93,  0.092, 319.40,  0.065, 331.46,  0.095, 303.86,  0.098, 314.17,  0.080, 346.31,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.160, 281.17,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
