DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),
4/2/2008 18:00:00, 13.7,214.1, -0.5, -2.1, 26.274, 25.54,  0.0,  0.0,  0.136, 286.18,  0.152, 298.25,  0.177, 283.72,  0.161, 276.06,  0.156, 284.13,  0.162, 281.73,  0.177, 285.06,  0.142, 294.94,  0.173, 285.08,  0.171, 298.66,  0.165, 292.51,  0.160, 277.52,  0.194, 296.30,  0.212, 290.14,  0.223, 285.10,  0.369, 276.37,  0.253, 270.23,  0.344, 285.17,  0.346, 286.81,  0.326, 299.55,  0.289, 283.41,  0.234, 266.82,  0.217, 281.98,-99.000, -99.00,-99.000, -99.00,
4/2/2008 19:00:00, 13.8,214.2, -0.4, -2.1, 26.266, 25.56,  0.0,  0.0,  0.095, 310.73,  0.192, 275.09,  0.163, 270.70,  0.181, 278.89,  0.185, 268.45,  0.176, 273.25,  0.200, 267.42,  0.166, 266.90,  0.200, 266.57,  0.207, 270.00,  0.221, 267.67,  0.222, 260.92,  0.206, 266.11,  0.232, 256.56,  0.246, 277.70,  0.227, 268.23,  0.202, 262.87,  0.231, 277.46,  0.214, 285.14,  0.133, 331.70,  0.246, 279.35,  0.206, 284.91,  0.326, 270.35,-99.000, -99.00,-99.000, -99.00,
4/2/2008 19:30:00, 13.8,214.2, -0.4, -2.1, 26.262, 25.54,  0.0,  0.0,  0.097, 312.91,  0.119, 253.86,  0.122, 270.00,  0.158, 261.25,  0.170, 276.75,  0.211, 266.74,  0.169, 260.82,  0.182, 272.20,  0.183, 270.94,  0.200, 266.00,  0.194, 263.50,  0.205, 267.77,  0.246, 260.88,  0.260, 262.93,  0.233, 265.32,  0.244, 263.66,  0.314, 265.07,  0.243, 262.90,  0.323, 258.59,  0.333, 259.43,  0.274, 267.28,  0.154, 264.77,  0.259, 265.13,-99.000, -99.00,-99.000, -99.00,
4/2/2008 20:00:00, 13.8,214.1, -0.4, -2.1, 26.257, 25.53,  0.0,  0.0,  0.077, 249.44,  0.125, 257.97,  0.127, 253.56,  0.126, 260.39,  0.168, 255.55,  0.180, 266.82,  0.141, 272.44,  0.178, 265.82,  0.180, 270.00,  0.174, 261.40,  0.140, 260.13,  0.154, 264.03,  0.174, 260.43,  0.178, 277.40,  0.248, 273.00,  0.223, 271.80,  0.230, 279.99,  0.347, 280.63,  0.211, 321.72,  0.319, 267.31,  0.146, 239.57,  0.168, 272.73,  0.266, 256.96,-99.000, -99.00,-99.000, -99.00,
4/2/2008 20:30:00, 13.8,214.2, -0.4, -2.1, 26.252, 25.52,  0.0,  0.0,  0.084, 281.71,  0.148, 282.53,  0.154, 282.77,  0.186, 271.85,  0.215, 249.54,  0.197, 260.06,  0.208, 248.86,  0.170, 243.43,  0.187, 247.00,  0.152, 250.85,  0.159, 246.33,  0.185, 242.33,  0.210, 239.65,  0.229, 259.92,  0.219, 247.76,  0.127, 270.45,  0.222, 280.65,  0.244, 261.27,  0.232, 250.63,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.403, 276.12,-99.000, -99.00,-99.000, -99.00,
4/2/2008 21:00:00, 13.8,214.3, -0.4, -2.1, 26.237, 25.52,  0.0,  0.0,  0.096, 221.63,  0.101, 233.47,  0.183, 255.13,  0.128, 248.03,  0.134, 260.12,  0.161, 266.09,  0.134, 279.46,  0.208, 263.08,  0.202, 255.96,  0.143, 265.60,  0.185, 276.20,  0.189, 270.00,  0.252, 253.43,  0.144, 279.59,  0.160, 284.12,  0.246, 262.76,  0.245, 282.73,  0.268, 306.06,  0.207, 315.98,-99.000, -99.00,-99.000, -99.00,  0.149, 247.56,  0.288, 253.89,-99.000, -99.00,-99.000, -99.00,
4/2/2008 21:30:00, 13.8,214.3, -0.4, -2.1, 26.248, 25.51,  0.0,  0.0,  0.091, 259.19,  0.100, 279.74,  0.105, 273.81,  0.113, 276.62,  0.126, 280.95,  0.139, 276.20,  0.154, 272.23,  0.177, 286.70,  0.208, 293.85,  0.188, 283.52,  0.184, 287.06,  0.214, 282.67,  0.215, 271.86,  0.217, 266.31,  0.197, 267.38,  0.288, 281.19,  0.281, 282.31,  0.306, 274.50,  0.145, 297.98,  0.220, 244.72,  0.235, 246.38,  0.265, 242.86,  0.335, 256.71,-99.000, -99.00,-99.000, -99.00,
4/2/2008 22:00:00, 13.8,214.1, -0.4, -2.1, 26.223, 25.50,  0.0,  0.0,  0.062, 293.68,  0.120, 262.82,  0.109, 274.20,  0.160, 271.43,  0.206, 272.50,  0.210, 274.11,  0.195, 272.35,  0.207, 279.19,  0.157, 270.36,  0.175, 276.88,  0.171, 292.67,  0.195, 296.17,  0.203, 297.96,  0.182, 286.25,  0.210, 290.33,  0.241, 279.54,  0.198, 279.32,  0.176, 265.10,  0.169, 257.03,  0.246, 265.10,  0.277, 292.95,  0.247, 275.11,  0.353, 265.94,-99.000, -99.00,-99.000, -99.00,
4/2/2008 23:00:00, 13.7,214.2, -0.4, -2.0, 26.229, 25.54,  0.0,  0.0,  0.113, 303.41,  0.158, 300.78,  0.168, 290.16,  0.205, 309.27,  0.195, 301.57,  0.191, 293.75,  0.207, 297.93,  0.215, 309.53,  0.216, 314.81,  0.180, 307.57,  0.188, 311.33,  0.202, 309.59,  0.225, 311.04,  0.190, 306.87,  0.223, 298.98,  0.210, 303.16,  0.222, 300.03,  0.178, 318.18,  0.192, 306.51,  0.171, 284.61,  0.249, 285.38,  0.299, 276.34,  0.294, 274.49,-99.000, -99.00,-99.000, -99.00,
4/2/2008 23:30:00, 13.7,214.1, -0.4, -2.1, 26.228, 25.52,  0.0,  0.0,  0.126, 294.93,  0.118, 311.23,  0.152, 303.17,  0.221, 295.52,  0.195, 297.09,  0.177, 292.64,  0.204, 291.54,  0.205, 285.26,  0.183, 290.12,  0.176, 301.80,  0.190, 291.58,  0.223, 298.63,  0.209, 297.06,  0.223, 297.83,  0.178, 308.61,  0.225, 295.54,  0.213, 293.55,  0.243, 287.76,  0.231, 308.66,  0.311, 294.34,  0.257, 293.67,  0.240, 329.49,  0.284, 298.37,-99.000, -99.00,-99.000, -99.00,
4/3/2008 00:00:00, 13.7,214.2, -0.4, -2.1, 26.228, 25.52,  0.0,  0.0,  0.140, 280.67,  0.134, 300.01,  0.176, 299.62,  0.170, 297.77,  0.160, 304.58,  0.202, 299.99,  0.211, 297.66,  0.219, 315.56,  0.189, 313.07,  0.198, 314.18,  0.231, 301.35,  0.245, 301.29,  0.279, 309.17,  0.215, 311.41,  0.199, 294.63,  0.277, 304.55,  0.268, 292.16,  0.182, 279.15,  0.174, 302.77,  0.129, 221.86,  0.227, 308.03,  0.193, 327.05,  0.304, 280.61,-99.000, -99.00,-99.000, -99.00,
4/3/2008 00:30:00, 13.7,214.1, -0.4, -2.0, 26.218, 25.53,  0.0,  0.0,  0.200, 337.67,  0.170, 330.42,  0.221, 326.45,  0.205, 316.19,  0.277, 322.18,  0.282, 320.61,  0.257, 317.68,  0.227, 309.29,  0.225, 313.92,  0.210, 324.11,  0.221, 312.80,  0.230, 319.40,  0.250, 312.24,  0.269, 313.19,  0.250, 314.84,  0.249, 309.78,  0.257, 312.95,  0.271, 308.26,  0.286, 295.04,  0.370, 287.60,-99.000, -99.00,  0.301, 295.55,  0.318, 277.04,-99.000, -99.00,-99.000, -99.00,
4/3/2008 01:00:00, 13.7,214.1, -0.4, -2.1, 26.241, 25.54,  0.0,  0.0,  0.186, 291.46,  0.147, 301.63,  0.232, 289.60,  0.189, 297.38,  0.224, 300.00,  0.214, 306.07,  0.248, 309.27,  0.265, 312.24,  0.263, 305.56,  0.249, 301.52,  0.266, 304.89,  0.250, 310.95,  0.260, 319.69,  0.276, 310.74,  0.280, 297.02,  0.327, 296.72,  0.276, 294.62,  0.263, 295.98,  0.327, 300.96,-99.000, -99.00,-99.000, -99.00,  0.226, 279.17,  0.405, 291.57,-99.000, -99.00,-99.000, -99.00,
4/3/2008 01:30:00, 13.7,214.1, -0.4, -2.0, 26.228, 25.54,  0.0,  0.0,  0.159, 290.60,  0.183, 295.87,  0.269, 305.46,  0.260, 303.87,  0.257, 302.95,  0.265, 304.71,  0.270, 307.17,  0.245, 303.37,  0.280, 304.82,  0.243, 307.30,  0.272, 317.68,  0.249, 309.45,  0.258, 314.22,  0.287, 309.06,  0.257, 301.46,  0.241, 302.43,  0.240, 304.29,  0.305, 309.01,  0.309, 301.63,  0.344, 337.61,-99.000, -99.00,  0.264, 313.62,  0.347, 308.32,-99.000, -99.00,-99.000, -99.00,
4/3/2008 02:00:00, 13.7,214.1, -0.4, -2.1, 26.240, 25.55,  0.0,  0.0,  0.138, 327.69,  0.208, 321.43,  0.233, 322.49,  0.186, 316.09,  0.234, 306.48,  0.304, 309.40,  0.310, 313.83,  0.310, 311.60,  0.307, 305.60,  0.321, 303.69,  0.316, 303.39,  0.308, 313.29,  0.291, 310.82,  0.263, 304.47,  0.304, 309.93,  0.275, 318.09,  0.252, 305.33,  0.333, 297.72,  0.303, 279.12,  0.242, 275.69,  0.319, 266.22,  0.268, 283.36,  0.344, 283.43,-99.000, -99.00,-99.000, -99.00,
