DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.0m),Dir#1(2.0m),Speed#2(3.5m),Dir#2(3.5m),Speed#3(5.0m),Dir#3(5.0m),Speed#4(6.5m),Dir#4(6.5m),Speed#5(8.0m),Dir#5(8.0m),Speed#6(9.5m),Dir#6(9.5m),Speed#7(11.0m),Dir#7(11.0m),Speed#8(12.5m),Dir#8(12.5m),Speed#9(14.0m),Dir#9(14.0m),Speed#10(15.5m),Dir#10(15.5m),Speed#11(17.0m),Dir#11(17.0m),Speed#12(18.5m),Dir#12(18.5m),Speed#13(20.0m),Dir#13(20.0m),Speed#14(21.5m),Dir#14(21.5m),Speed#15(23.0m),Dir#15(23.0m),Speed#16(24.5m),Dir#16(24.5m),Speed#17(26.0m),Dir#17(26.0m),Speed#18(27.5m),Dir#18(27.5m),Speed#19(29.0m),Dir#19(29.0m),Speed#20(30.5m),Dir#20(30.5m),Speed#21(32.0m),Dir#21(32.0m),Speed#22(33.5m),Dir#22(33.5m),Speed#23(35.0m),Dir#23(35.0m),Speed#24(36.5m),Dir#24(36.5m),Speed#25(38.0m),Dir#25(38.0m),Speed#26(39.5m),Dir#26(39.5m),
3/11/2006 18:00:00, 13.7,218.5, -2.0, -1.4, 40.966, 26.33,  0.0,  0.0,  0.038, 352.50,  0.179,  96.41,  0.166, 102.53,  0.068,  77.20,  0.069,  86.68,  0.080,  92.15,  0.091,  90.63,  0.103,  81.63,  0.088,  61.39,  0.109,  37.92,  0.102,  51.78,  0.069,  56.77,  0.125,  56.44,  0.151,  55.26,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.013,   8.75,-99.000, -99.00,-99.000, -99.00,
3/11/2006 18:30:00, 13.7,218.5, -2.0, -1.4, 40.970, 26.34,  0.0,  0.0,  0.057, 193.30,  0.163, 111.54,  0.109, 109.27,  0.078, 104.04,  0.052, 100.01,  0.102, 116.82,  0.075, 131.76,  0.026, 133.45,  0.016, 345.07,  0.024,  41.63,  0.026,  29.48,  0.051,  94.48,  0.035, 100.01,  0.052,  93.30,  0.037,  57.17,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/11/2006 19:00:00, 13.7,218.5, -2.0, -1.4, 40.967, 26.35,  0.0,  0.0,  0.043, 110.56,  0.229, 114.78,  0.176, 125.31,  0.080, 139.55,  0.115, 130.76,  0.131, 117.74,  0.130, 121.12,  0.090, 113.45,  0.073, 118.67,  0.065, 123.69,  0.038,  74.88,  0.031,  90.00,  0.049,  98.13,  0.011, 338.20,  0.043,  95.31,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/11/2006 19:30:00, 13.7,218.5, -2.0, -1.4, 40.962, 26.35,  0.0,  0.0,  0.044, 144.16,  0.169, 114.13,  0.088, 136.85,  0.087, 143.39,  0.108, 145.57,  0.130, 145.33,  0.108, 139.51,  0.101, 162.10,  0.097, 173.46,  0.053, 164.65,  0.127, 133.09,  0.101, 129.37,  0.099, 130.91,  0.064, 137.54,  0.117, 112.17,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.089, 180.00,-99.000, -99.00,-99.000, -99.00,
3/11/2006 20:00:00, 13.7,218.5, -2.0, -1.4, 40.960, 26.35,  0.0,  0.0,  0.072, 145.20,  0.139, 120.26,  0.116, 143.03,  0.126, 161.57,  0.131, 158.93,  0.108, 157.22,  0.109, 169.93,  0.101, 163.35,  0.114, 150.51,  0.119, 165.38,  0.117, 175.60,  0.146, 152.73,  0.149, 151.02,  0.151, 149.88,  0.138, 142.63,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/11/2006 20:30:00, 13.7,218.6, -2.0, -1.4, 40.954, 26.35,  0.0,  0.0,  0.100, 160.66,  0.160, 136.01,  0.145, 139.18,  0.141, 147.44,  0.122, 158.29,  0.106, 151.99,  0.083, 159.61,  0.108, 166.61,  0.125, 165.19,  0.102, 186.22,  0.126, 186.84,  0.122, 176.72,  0.097, 162.68,  0.093, 171.96,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/11/2006 21:00:00, 13.7,218.4, -2.0, -1.4, 40.954, 26.35,  0.0,  0.0,  0.127, 158.70,  0.156, 138.64,  0.138, 134.71,  0.139, 151.59,  0.147, 153.78,  0.107, 154.63,  0.096, 155.31,  0.111, 163.84,  0.132, 167.75,  0.106, 147.36,  0.158, 144.50,  0.131, 147.76,  0.114, 170.95,  0.112, 145.18,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/11/2006 21:30:00, 13.7,218.5, -2.0, -1.4, 40.945, 26.35,  0.0,  0.0,  0.096, 184.17,  0.130, 134.38,  0.144, 164.71,  0.114, 163.16,  0.136, 174.92,  0.131, 172.55,  0.095, 170.93,  0.090, 158.55,  0.128, 156.45,  0.135, 161.83,  0.131, 158.52,  0.089, 187.13,  0.080, 197.53,  0.089, 171.60,  0.097, 175.87,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/11/2006 22:00:00, 13.7,218.5, -2.0, -1.4, 40.936, 26.35,  0.0,  0.0,  0.077, 139.72,  0.120, 153.22,  0.104, 140.48,  0.088, 152.27,  0.102, 155.70,  0.049, 126.63,  0.076, 133.39,  0.084, 148.21,  0.094, 168.93,  0.106, 158.50,  0.129, 171.56,  0.126, 156.08,  0.129, 156.80,  0.139, 177.12,  0.106, 175.15,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
3/11/2006 22:30:00, 13.7,218.6, -2.0, -1.4, 40.924, 26.35,  0.0,  0.0,  0.060, 131.63,  0.088, 131.31,  0.066, 162.39,  0.077, 170.29,  0.025, 148.24,  0.080, 147.31,  0.080, 174.29,  0.099, 183.47,  0.124, 179.08,  0.080, 153.43,  0.131, 151.28,  0.096, 176.42,  0.142, 149.11,  0.154, 175.54,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
