DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m),
6/15/2015 17:00:00, 11.9,191.8, 51.6,-51.6,  0.000, 25.41,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/15/2015 18:00:00, 11.9,235.6,-50.3,-51.4,  0.000, 28.94,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/15/2015 19:00:00, 11.9, 48.3,-50.1,-51.4,  0.000, 32.53,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/15/2015 20:00:00, 11.9,269.5, -7.9,-51.4,  0.000, 31.30,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/15/2015 21:00:00, 11.9,  2.0,  2.3,  7.0, 16.964, 28.93,  0.0,  0.0,  0.024, 143.62,  0.011, 221.19,  0.030, 225.00,  0.022, 149.93,  0.033, 164.29,  0.009, 220.60,  0.261, 342.40,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/15/2015 22:00:00, 11.9,  1.9,  2.2,  7.0, 17.041, 28.59,  0.0,  0.0,  0.043, 119.58,  0.065,  90.00,  0.031,  97.35,  0.026, 110.56,  0.045, 164.41,  0.007,   8.13,  0.210, 312.49,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/15/2015 23:00:00, 11.9,  1.9,  2.2,  6.9, 17.112, 28.61,  0.0,  0.0,  0.021, 221.19,  0.028, 267.95,  0.032, 216.16,  0.024, 214.99,  0.010, 253.30,  0.004, 135.00,  0.238, 250.35,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/16/2015 00:00:00, 11.9,  1.9,  2.2,  6.9, 17.153, 28.59,  0.0,  0.0,  0.060, 169.44,  0.060, 184.76,  0.056, 178.98,  0.048, 177.61,  0.017, 276.71,  0.041, 214.08,  0.130, 268.68,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/16/2015 01:00:00, 11.9,  1.9,  2.2,  6.9, 17.164, 28.57,  0.0,  0.0,  0.021, 196.70,  0.018, 183.18,  0.016, 259.38,  0.049, 253.41,  0.020, 275.71,  0.058, 274.93,  0.124, 301.52,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/16/2015 02:00:00, 11.9,  1.9,  2.2,  6.9, 17.150, 28.55,  0.0,  0.0,  0.008,  60.26,  0.004, 326.31,  0.040, 177.14,  0.034, 161.03,  0.022,  10.30,  0.014,  39.29,  0.088, 303.87,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/16/2015 03:00:00, 11.9,  1.9,  2.2,  6.8, 17.122, 28.54,  0.0,  0.0,  0.047, 263.93,  0.024, 318.37,  0.026, 313.45,  0.032, 304.70,  0.045, 280.30,  0.076, 257.06,  0.230, 262.50,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/16/2015 04:00:00, 11.9,  1.9,  2.2,  6.8, 17.090, 28.54,  0.0,  0.0,  0.073, 286.70,  0.047, 271.22,  0.049, 267.66,  0.055, 323.13,  0.084, 318.37,  0.074, 326.52,  0.139, 308.85,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/16/2015 05:00:00, 11.9,  1.8,  2.3,  6.8, 17.041, 28.54,  0.0,  0.0,  0.093, 321.53,  0.066, 298.89,  0.036, 274.76,  0.055, 311.28,  0.045, 304.05,  0.060, 290.56,  0.240, 282.76,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/16/2015 06:00:00, 11.9,  1.8,  2.3,  6.8, 17.001, 28.54,  0.0,  0.0,  0.043,  37.41,  0.025, 345.96,  0.019, 291.25,  0.025, 221.82,  0.048, 220.73,  0.020, 354.29,  0.117, 288.43,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/16/2015 07:00:00, 11.9,  1.8,  2.4,  6.8, 16.972, 28.53,  0.0,  0.0,  0.054,  67.22,  0.018, 106.39,  0.064, 140.08,  0.064, 175.53,  0.073, 154.13,  0.072, 113.72,  0.178, 247.48,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/16/2015 08:00:00, 11.9,  1.9,  2.4,  6.8, 16.964, 28.52,  0.0,  0.0,  0.051, 126.19,  0.022,  76.61,  0.032,  93.58,  0.036, 107.93,  0.065, 112.62,  0.086, 140.19,  0.085, 265.96,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/16/2015 09:00:00, 11.9,  1.8,  2.4,  6.8, 16.979, 28.47,  0.0,  0.0,  0.079,  80.54,  0.081,  66.61,  0.120,  91.43,  0.109,  90.53,  0.054, 122.80,  0.049, 178.83,  0.023, 246.80,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/16/2015 10:00:00, 11.9,  1.8,  2.4,  6.8, 16.976, 28.44,  0.0,  0.0,  0.028, 259.88,  0.075, 205.20,  0.024, 175.24,  0.069, 201.34,  0.035, 236.77,  0.030, 230.44,  0.074, 260.67,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/16/2015 11:00:00, 11.9,  1.8,  2.4,  6.8, 16.989, 28.45,  0.0,  0.0,  0.052, 132.65,  0.058, 141.34,  0.049, 188.13,  0.064, 268.21,  0.071, 243.07,  0.059, 243.87,  0.099, 239.04,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/16/2015 12:00:00, 11.9,  1.7,  2.4,  6.8, 16.954, 28.42,  0.0,  0.0,  0.024, 117.65,  0.021, 109.29,  0.031, 178.15,  0.043, 207.76,  0.025, 310.10,  0.027, 259.51,  0.228, 301.18,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
6/16/2015 13:00:00, 11.9,  1.8,  2.4,  6.8, 16.945, 28.45,  0.0,  0.0,  0.087, 230.11,  0.034, 204.30,  0.028, 171.87,  0.027,  66.25,  0.036, 164.05,  0.024, 189.46,  0.202, 313.80,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
