DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),
1/14/2016 12:00:00, 11.9,341.2,-12.6, 35.1,  0.586, 25.00,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/14/2016 13:00:00, 11.9, 59.7,-19.9, 32.2,  0.602, 24.93,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/14/2016 14:00:00, 11.9, 85.7, 22.1, 35.9,  0.547, 26.62,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/14/2016 15:00:00, 11.9, 41.5, 21.9,-17.4,  0.428, 30.78,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/14/2016 16:00:00, 11.9,114.2,-11.7,  0.5, 20.229, 27.14,  0.0,  0.0,  0.089, 339.52,  0.081, 339.11,  0.099, 349.49,  0.031, 322.77,  0.052, 280.01,  0.054, 272.12,  0.036,  65.56,  0.089,  91.29,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/14/2016 17:00:00, 11.9,114.1,-11.7,  0.4, 20.221, 27.12,  0.0,  0.0,  0.053, 301.89,  0.076, 329.04,  0.093, 333.16,  0.066, 331.11,  0.018, 260.54,  0.045,  35.10,  0.049, 100.62,  0.159, 103.08,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/14/2016 18:00:00, 11.9,114.1,-11.7,  0.4, 20.190, 27.15,  0.0,  0.0,  0.076, 189.83,  0.053, 308.83,  0.081, 294.03,  0.029, 268.03,  0.040, 357.14,  0.051,  23.05,  0.074,  97.80,  0.101,  99.65,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/14/2016 19:00:00, 11.9,114.1,-11.7,  0.5, 20.155, 27.16,  0.0,  0.0,  0.025, 201.37,  0.018, 319.40,  0.025,   0.00,  0.016,  10.62,  0.043,  51.55,  0.031,  37.23,  0.029,  59.04,  0.156,  70.52,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/14/2016 20:00:00, 11.9,114.2,-11.7,  0.5, 20.103, 27.13,  0.0,  0.0,  0.036,  99.73,  0.039,  52.25,  0.029,  90.00,  0.017, 115.02,  0.051, 150.40,  0.073, 109.92,  0.050, 102.65,  0.053,  82.48,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/14/2016 21:00:00, 11.9,114.1,-11.7,  0.5, 20.067, 27.14,  0.0,  0.0,  0.057, 117.01,  0.075,  89.24,  0.140,  89.59,  0.127,  90.00,  0.098,  92.92,  0.094, 110.56,  0.114, 108.43,  0.132, 115.20,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
