DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),
11/29/2006 18:00:00, 11.9,176.8, -4.2, -2.2, 18.105, 28.70,  0.0,  0.0,  0.072, 253.84,  0.035,   3.27,  0.019, 348.11,  0.065,  20.66,  0.054,  56.31,  0.060, 117.85,  0.098, 213.37,  0.061, 105.17,  0.043, 134.06,  0.061, 168.69,  0.051, 209.60,  0.016, 219.81,  0.032, 165.53,  0.086, 109.07,  0.107,  56.01,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/29/2006 18:30:00, 11.9,177.0, -4.2, -2.3, 18.089, 28.67,  0.0,  0.0,  0.054, 128.99,  0.082, 154.69,  0.065, 116.57,  0.084, 123.31,  0.030, 226.33,  0.050, 130.10,  0.123,  79.70,  0.119, 143.23,  0.087, 120.96,  0.013, 247.38,  0.040, 333.43,  0.030, 241.70,  0.046,  74.74,  0.097, 259.96,  0.070,  51.34,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/29/2006 19:00:00, 11.9,177.0, -4.2, -2.3, 18.070, 28.62,  0.0,  0.0,  0.090, 326.84,  0.055, 337.62,  0.075, 250.60,  0.028, 295.64,  0.028, 302.01,  0.055, 352.75,  0.074, 329.30,  0.079, 231.68,  0.045, 270.00,  0.100, 263.09,  0.073, 269.22,  0.018, 333.43,  0.074, 225.55,  0.042, 223.09,  0.084,  94.09,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/29/2006 19:30:00, 11.9,177.0, -4.2, -2.3, 18.048, 28.60,  0.0,  0.0,  0.132, 290.91,  0.155, 267.78,  0.091, 322.13,  0.138, 279.19,  0.103, 321.69,  0.081, 296.25,  0.103, 349.35,  0.178, 270.00,  0.081, 341.34,  0.133, 291.16,  0.165, 271.74,  0.097, 279.46,  0.069, 313.83,  0.103, 291.60,  0.047, 306.38,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/29/2006 20:00:00, 11.9,176.8, -4.1, -2.3, 18.026, 28.58,  0.0,  0.0,  0.016, 235.30,  0.146, 269.22,  0.114, 299.49,  0.162, 291.67,  0.064, 297.76,  0.104, 286.17,  0.101, 287.35,  0.121, 271.42,  0.131, 277.45,  0.170, 315.24,  0.156, 313.96,  0.149, 298.79,  0.106, 324.96,  0.111, 287.78,  0.118, 339.73,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/29/2006 20:30:00, 11.9,176.8, -4.2, -2.3, 18.010, 28.58,  0.0,  0.0,  0.129, 299.14,  0.135, 281.56,  0.064, 302.20,  0.067, 299.64,  0.091, 307.38,  0.096, 347.41,  0.174, 318.50,  0.170, 312.61,  0.129, 306.78,  0.056, 345.47,  0.123, 295.10,  0.125, 316.95,  0.099, 334.21,  0.110, 270.00,  0.099, 323.25,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/29/2006 21:00:00, 11.9,176.8, -4.2, -2.3, 18.019, 28.62,  0.0,  0.0,  0.132, 325.47,  0.038,  16.99,  0.073, 351.31,  0.130,  11.57,  0.026,  13.50,  0.124, 349.32,  0.111, 332.74,  0.140, 290.51,  0.160, 293.20,  0.069, 267.51,  0.107, 329.59,  0.162, 322.78,  0.169, 300.96,  0.126, 273.63,  0.123, 329.68,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/29/2006 21:30:00, 11.9,177.0, -4.2, -2.3, 18.002, 28.63,  0.0,  0.0,  0.080, 296.89,  0.019, 332.10,  0.103, 333.43,  0.093, 311.07,  0.102, 304.16,  0.099,  11.65,  0.058, 322.73,  0.070,  51.34,  0.020, 300.47,  0.040,  79.82,  0.069, 343.94,  0.108, 344.42,  0.102, 341.03,  0.109,  20.43,  0.083, 320.37,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/29/2006 22:00:00, 11.9,177.0, -4.2, -2.3, 18.009, 28.58,  0.0,  0.0,  0.011, 280.30,  0.075, 227.16,  0.035,   1.64,  0.035, 244.89,  0.044, 337.48,  0.090, 337.72,  0.054, 323.97,  0.092,   7.51,  0.025, 338.63,  0.078,  57.53,  0.017,  83.29,  0.106,  49.22,  0.020, 336.04,  0.067,   0.86,  0.026, 327.53,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/29/2006 22:30:00, 11.9,176.8, -4.2, -2.3, 18.003, 28.56,  0.0,  0.0,  0.036, 333.43,  0.078,   2.94,  0.023,  15.26,  0.103, 252.45,  0.138, 239.53,  0.047, 257.74,  0.074,  14.78,  0.043, 322.59,  0.074,  53.29,  0.067,  67.25,  0.037, 336.19,  0.037, 344.48,  0.037,  74.48,  0.059,  53.90,  0.060, 317.02,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/29/2006 23:00:00, 11.9,177.0, -4.2, -2.3, 18.016, 28.44,  0.0,  0.0,  0.040,  42.95,  0.066, 293.09,  0.090, 347.20,  0.072, 311.63,  0.037,   0.00,  0.057, 112.54,  0.017,  86.63,  0.080, 122.69,  0.031, 129.81,  0.047, 338.88,  0.019, 338.75,  0.043, 251.15,  0.072, 266.82,  0.090, 292.86,  0.056, 280.30,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/29/2006 23:30:00, 11.9,177.0, -4.2, -2.3, 18.037, 28.40,  0.0,  0.0,  0.080, 284.56,  0.053,  11.94,  0.069,  13.43,  0.039, 169.56,  0.136, 165.56,  0.050,  30.17,  0.046,  37.87,  0.016, 304.70,  0.034, 281.98,  0.089, 172.23,  0.095, 183.01,  0.043, 194.68,  0.011, 291.80,  0.058, 199.06,  0.081,  87.17,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 00:00:00, 11.9,177.0, -4.2, -2.3, 18.022, 28.37,  0.0,  0.0,  0.068, 296.94,  0.024, 345.38,  0.039, 168.11,  0.068,  53.97,  0.042,   8.13,  0.038, 356.99,  0.043, 308.45,  0.045,  77.20,  0.048,  39.96,  0.043, 293.55,  0.062,  64.26,  0.067,  44.40,  0.119,  46.36,  0.079,  76.14,  0.166,  58.32,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 00:30:00, 11.9,177.0, -4.2, -2.3, 18.051, 28.34,  0.0,  0.0,  0.050, 239.83,  0.084, 243.74,  0.040,  85.71,  0.092, 149.25,  0.100, 186.34,  0.098, 147.44,  0.096, 154.77,  0.025, 170.91,  0.061, 166.65,  0.056, 109.72,  0.059,  91.94,  0.047, 192.26,  0.051, 166.50,  0.066,  48.08,  0.070, 270.82,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 01:00:00, 11.9,177.0, -4.2, -2.3, 18.060, 28.39,  0.0,  0.0,  0.128, 218.03,  0.091, 231.24,  0.204, 187.06,  0.095, 246.41,  0.088, 183.90,  0.082, 203.75,  0.078, 231.80,  0.084, 195.20,  0.025,  18.43,  0.051, 181.12,  0.052, 159.83,  0.103, 209.05,  0.045, 146.66,  0.040,   2.86,  0.068,  15.26,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 01:30:00, 11.9,176.8, -4.2, -2.3, 18.078, 28.39,  0.0,  0.0,  0.138, 201.72,  0.062, 207.80,  0.122, 173.87,  0.104, 185.49,  0.134, 210.60,  0.079, 225.00,  0.023, 287.65,  0.017, 252.65,  0.111, 204.95,  0.180, 194.81,  0.149, 213.48,  0.089, 223.18,  0.032, 200.14,  0.146, 196.70,  0.126, 192.38,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 02:00:00, 11.9,177.0, -4.2, -2.3, 18.099, 28.37,  0.0,  0.0,  0.046, 192.53,  0.091, 153.15,  0.127, 211.81,  0.047, 122.01,  0.007,  15.95,  0.111, 163.20,  0.101, 137.00,  0.098, 151.86,  0.075, 137.16,  0.070, 155.62,  0.063, 173.66,  0.061, 113.20,  0.031, 172.65,  0.041, 152.18,  0.050, 153.95,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 02:30:00, 11.9,177.0, -4.2, -2.3, 18.131, 28.36,  0.0,  0.0,  0.067, 254.52,  0.118, 242.13,  0.111, 182.06,  0.063, 187.35,  0.084, 166.29,  0.161, 183.55,  0.112, 187.19,  0.101, 155.46,  0.097, 185.30,  0.026, 157.38,  0.093, 184.30,  0.094, 168.33,  0.073, 153.08,  0.130, 211.12,  0.128, 232.95,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 03:00:00, 11.9,176.8, -4.2, -2.3, 18.129, 28.37,  0.0,  0.0,  0.105, 261.79,  0.108, 207.51,  0.006, 170.54,  0.064, 279.90,  0.045,  78.44,  0.053, 201.19,  0.052,  76.76,  0.030, 138.99,  0.039, 211.22,  0.078, 234.89,  0.006, 128.66,  0.006, 231.34,  0.053, 175.68,  0.111, 198.92,  0.002,  90.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 03:30:00, 11.9,176.8, -4.2, -2.3, 18.144, 28.37,  0.0,  0.0,  0.059, 213.15,  0.177, 223.17,  0.172, 206.57,  0.049, 203.96,  0.091, 209.67,  0.111, 220.27,  0.093, 191.19,  0.063, 172.65,  0.054, 211.33,  0.027, 231.01,  0.042, 148.57,  0.083, 154.36,  0.081, 138.01,  0.051, 143.81,  0.100, 116.82,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 04:00:00, 11.9,177.0, -4.2, -2.3, 18.134, 28.36,  0.0,  0.0,  0.007, 180.00,  0.028, 259.88,  0.052, 165.43,  0.059, 170.22,  0.033, 205.02,  0.142, 236.20,  0.096, 227.97,  0.043, 217.41,  0.077, 206.23,  0.079, 205.59,  0.052, 138.09,  0.042, 157.69,  0.101, 165.69,  0.077, 185.93,  0.069, 222.05,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 04:30:00, 11.9,176.8, -4.2, -2.3, 18.135, 28.36,  0.0,  0.0,  0.087, 291.56,  0.085, 241.93,  0.074, 155.17,  0.020, 197.53,  0.118, 190.26,  0.120, 197.98,  0.140, 201.80,  0.083, 209.66,  0.031, 243.43,  0.089, 218.16,  0.017, 120.96,  0.087, 206.57,  0.097, 181.18,  0.097, 194.32,  0.081, 237.09,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 05:00:00, 11.9,177.0, -4.2, -2.3, 18.146, 28.33,  0.0,  0.0,  0.142, 212.01,  0.122, 198.58,  0.130, 220.94,  0.069, 166.57,  0.094, 155.61,  0.126, 223.07,  0.094, 163.30,  0.118, 201.98,  0.053, 195.35,  0.076, 191.46,  0.067, 212.74,  0.121, 233.41,  0.031, 309.81,  0.094, 273.04,  0.098, 281.77,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 05:30:00, 11.9,177.0, -4.2, -2.3, 18.154, 28.32,  0.0,  0.0,  0.110, 264.24,  0.058, 222.21,  0.074, 335.17,  0.068, 177.47,  0.025, 198.43,  0.040, 181.43,  0.089, 149.70,  0.129,  83.76,  0.023, 180.00,  0.030,  95.71,  0.032, 321.34,  0.041, 304.08,  0.057, 304.25,  0.086, 246.71,  0.034, 227.39,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 06:00:00, 11.9,177.0, -4.2, -2.3, 18.143, 28.31,  0.0,  0.0,  0.114, 209.49,  0.131, 242.26,  0.022, 313.15,  0.079, 198.43,  0.111, 234.16,  0.122, 223.00,  0.100, 229.46,  0.119, 194.62,  0.119, 216.10,  0.054, 232.50,  0.117, 219.43,  0.136, 220.83,  0.031, 279.16,  0.078, 246.71,  0.049, 192.91,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 06:30:00, 11.9,177.0, -4.2, -2.3, 18.130, 28.32,  0.0,  0.0,  0.084, 189.57,  0.085, 180.00,  0.049, 163.41,  0.033,  83.09,  0.080, 244.72,  0.095, 224.14,  0.019, 124.51,  0.016, 172.87,  0.061, 252.76,  0.044, 180.00,  0.083, 217.15,  0.106, 212.64,  0.047,  33.69,  0.048, 253.07,  0.055,  26.10,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 07:00:00, 11.9,177.0, -4.2, -2.3, 18.126, 28.32,  0.0,  0.0,  0.171, 256.78,  0.154, 252.98,  0.088, 268.05,  0.125, 219.16,  0.073, 195.19,  0.036, 210.14,  0.054, 205.14,  0.057, 144.34,  0.026, 180.00,  0.058, 142.73,  0.105, 194.30,  0.047, 244.54,  0.014,  98.13,  0.158, 201.87,  0.074, 182.32,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 07:30:00, 11.9,177.0, -4.2, -2.3, 18.127, 28.32,  0.0,  0.0,  0.098, 200.83,  0.083, 248.07,  0.087, 257.40,  0.073, 304.99,  0.028, 196.50,  0.150, 203.15,  0.055, 163.20,  0.062, 219.81,  0.071, 198.18,  0.080, 255.44,  0.077, 224.47,  0.117, 190.83,  0.042, 145.56,  0.122, 207.41,  0.042, 174.56,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 08:00:00, 11.9,177.0, -4.2, -2.3, 18.104, 28.32,  0.0,  0.0,  0.020, 310.91,  0.041, 291.54,  0.068, 284.44,  0.127, 313.09,  0.036, 262.09,  0.122, 201.10,  0.162, 228.25,  0.088, 217.65,  0.110, 221.68,  0.161, 210.54,  0.199, 211.21,  0.034, 171.63,  0.102, 184.48,  0.137, 209.18,  0.081, 234.54,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 08:30:00, 11.9,177.0, -4.2, -2.3, 18.106, 28.31,  0.0,  0.0,  0.037, 172.30,  0.095, 236.98,  0.099, 235.67,  0.035, 135.00,  0.021,  52.59,  0.066, 319.30,  0.073, 262.87,  0.103, 273.89,  0.043, 302.57,  0.044, 194.35,  0.045, 182.54,  0.073, 232.19,  0.027, 342.90,  0.094, 273.65,  0.030,  66.80,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 09:00:00, 11.9,177.0, -4.2, -2.3, 18.103, 28.28,  0.0,  0.0,  0.085, 271.35,  0.156, 258.19,  0.125, 240.14,  0.136, 298.44,  0.076, 269.25,  0.042,  73.30,  0.066, 329.18,  0.030, 306.87,  0.086, 293.90,  0.044,  46.85,  0.021,  92.73,  0.077, 228.67,  0.032, 111.80,  0.076, 267.74,  0.032, 358.21,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 09:30:00, 11.9,177.1, -4.2, -2.3, 18.095, 28.25,  0.0,  0.0,  0.052, 138.92,  0.121, 248.11,  0.061,   6.55,  0.095, 296.29,  0.044, 344.05,  0.026,  83.42,  0.008,  97.13,  0.032, 115.77,  0.055, 331.56,  0.117, 321.26,  0.095, 315.00,  0.103, 307.09,  0.124, 348.87,  0.137, 333.62,  0.219, 359.74,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 10:00:00, 11.9,177.0, -4.2, -2.3, 18.085, 28.25,  0.0,  0.0,  0.102, 257.59,  0.097, 261.12,  0.031, 321.63,  0.094, 260.24,  0.089, 287.01,  0.054, 278.58,  0.049, 307.57,  0.071, 290.75,  0.020, 270.00,  0.051, 313.41,  0.048, 282.01,  0.091, 325.78,  0.129, 337.21,  0.123, 285.05,  0.066, 280.46,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
11/30/2006 10:30:00, 11.9,177.1, -4.2, -2.3, 18.074, 28.27,  0.0,  0.0,  0.203, 290.75,  0.101, 265.47,  0.103, 289.32,  0.085, 303.50,  0.082, 343.77,  0.136, 349.43,  0.149, 306.25,  0.045, 293.70,  0.086, 314.53,  0.064, 332.24,  0.102,   2.81,  0.059, 321.19,  0.064, 247.86,  0.120, 322.46,  0.202, 349.47,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
