DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),
4/19/2007 18:00:00, 11.9,171.7, -0.4, -1.9, 18.857, 27.72,  0.0,  0.0,  0.059, 263.23,  0.040, 177.14,  0.041, 237.85,  0.091,  67.96,  0.355,  58.01,  0.202,  74.17,  0.229, 225.71,  0.219,  64.84,  0.215, 215.54,  0.055, 115.64,  0.077, 171.03,  0.025, 146.31,  0.040, 268.57,  0.007, 270.00,  0.032, 327.80,  0.182,  13.04,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/19/2007 19:00:00, 11.9,171.7, -0.4, -1.9, 18.917, 27.72,  0.0,  0.0,  0.029, 139.18,  0.030, 135.00,  0.046, 127.87,  0.093,  30.43,  0.168,  41.86,  0.363,  50.92,  0.232, 232.34,  0.072,  55.20,  0.276, 230.89,  0.122, 128.66,  0.089,  83.52,  0.120, 114.64,  0.132, 149.93,  0.015,  15.95,  0.086, 150.75,  0.113,  22.46,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/19/2007 20:00:00, 11.9,171.7, -0.4, -1.9, 19.012, 27.71,  0.0,  0.0,  0.082, 325.92,  0.043, 146.31,  0.052, 129.52,  0.069, 105.04,  0.160,  50.33,  0.213,  44.81,  0.197, 228.29,  0.065, 115.39,  0.112, 155.73,  0.121, 166.65,  0.071, 204.04,  0.137, 137.08,  0.111, 142.31,  0.135, 152.10,  0.029, 162.18,  0.054, 147.20,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/19/2007 21:00:00, 11.9,171.7, -0.3, -1.9, 19.063, 27.69,  0.0,  0.0,  0.087, 126.08,  0.087, 277.94,  0.029, 157.83,  0.046, 119.90,  0.185,  75.59,  0.258,  59.95,  0.122, 175.78,  0.135, 125.34,  0.179, 190.62,  0.097, 148.43,  0.096, 122.20,  0.133, 136.22,  0.111, 172.23,  0.111, 166.46,  0.093, 160.59,  0.063,  55.30,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/19/2007 22:00:00, 11.9,171.7, -0.3, -1.9, 19.122, 27.70,  0.0,  0.0,  0.065, 107.04,  0.094, 120.65,  0.081, 136.49,  0.150, 108.31,  0.308,  66.68,  0.285,  73.47,  0.155, 170.36,  0.117, 161.57,  0.219, 168.95,  0.122, 162.90,  0.136, 149.47,  0.096, 149.14,  0.173, 136.41,  0.080, 142.13,  0.094, 133.71,  0.120,  41.28,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/19/2007 23:00:00, 11.9,171.7, -0.3, -1.9, 19.109, 27.96,  0.0,  0.0,  0.092, 105.09,  0.081, 181.41,  0.117, 149.29,  0.164, 100.21,  0.313,  80.24,  0.422,  68.73,  0.169, 133.32,  0.114, 147.57,  0.160, 175.33,  0.137, 179.16,  0.108, 107.26,  0.144, 153.97,  0.097, 166.25,  0.090, 209.12,  0.053, 244.40,  0.132,  45.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/20/2007 00:00:00, 11.9,171.7, -0.3, -1.9, 19.100, 27.97,  0.0,  0.0,  0.048, 141.71,  0.176,  95.22,  0.081, 145.53,  0.131,  54.97,  0.301,  65.65,  0.191,  70.43,  0.050, 180.00,  0.022, 114.23,  0.079, 241.16,  0.091, 247.38,  0.061, 157.67,  0.035, 151.26,  0.048, 166.83,  0.088, 180.65,  0.048, 257.99,  0.112,  58.86,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/20/2007 01:00:00, 11.9,171.7, -0.3, -1.9, 19.056, 27.90,  0.0,  0.0,  0.070, 336.37,  0.096,  19.57,  0.085, 344.33,  0.137,  16.98,  0.287,  39.91,  0.216,  32.51,  0.043,  42.18,  0.089,  66.89,  0.005, 111.80,  0.053, 301.89,  0.076,  11.46,  0.015,  53.13,  0.006,  38.66,  0.073, 296.92,  0.088, 309.47,  0.145,  16.43,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/20/2007 02:00:00, 11.9,171.7, -0.3, -1.9, 19.031, 27.84,  0.0,  0.0,  0.030, 150.02,  0.037,  29.36,  0.067,  90.00,  0.033,  19.54,  0.267,  48.96,  0.219,  60.51,  0.021, 334.65,  0.002, 153.43,  0.119, 253.39,  0.040, 270.00,  0.028, 274.09,  0.074, 336.19,  0.115, 289.22,  0.099, 290.08,  0.130, 291.64,  0.155, 346.59,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/20/2007 03:00:00, 11.9,171.7, -0.3, -1.9, 18.980, 27.82,  0.0,  0.0,  0.039, 100.44,  0.082, 166.64,  0.041, 212.15,  0.032, 205.77,  0.069,  45.00,  0.022,  18.43,  0.087, 246.37,  0.047,  67.29,  0.047,   7.28,  0.039, 313.96,  0.074, 290.65,  0.082, 302.52,  0.112, 321.50,  0.139, 321.15,  0.179, 321.34,  0.117,  19.98,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/20/2007 04:00:00, 11.9,171.6, -0.3, -1.9, 18.957, 27.81,  0.0,  0.0,  0.055, 353.77,  0.033, 307.57,  0.093, 185.53,  0.067, 319.21,  0.057, 353.00,  0.058, 354.09,  0.092, 325.62,  0.065, 336.57,  0.166, 273.10,  0.147, 332.39,  0.047, 331.78,  0.125, 317.91,  0.112, 308.50,  0.057, 283.30,  0.094, 358.17,  0.113,  20.20,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/20/2007 05:00:00, 11.9,171.7, -0.3, -1.9, 18.909, 27.82,  0.0,  0.0,  0.041, 115.94,  0.043, 107.59,  0.029, 254.05,  0.026,  20.56,  0.180,  51.09,  0.140,  49.35,  0.043, 180.00,  0.003, 135.00,  0.071, 165.38,  0.013, 102.99,  0.032, 131.19,  0.046, 173.80,  0.026,  24.62,  0.052, 135.78,  0.061, 349.61,  0.150,  31.36,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/20/2007 06:00:00, 11.9,171.7, -0.3, -1.9, 18.893, 27.83,  0.0,  0.0,  0.124,  34.46,  0.091, 103.28,  0.077, 120.58,  0.086, 104.20,  0.423,  52.89,  0.218,  62.38,  0.042, 155.90,  0.096, 139.21,  0.145, 213.14,  0.069, 146.31,  0.063, 158.70,  0.059, 153.00,  0.042, 109.29,  0.040, 292.07,  0.022, 198.43,  0.196,  17.51,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/20/2007 07:00:00, 11.9,171.7, -0.3, -1.9, 18.884, 27.88,  0.0,  0.0,  0.062, 109.90,  0.123, 141.92,  0.098, 178.25,  0.132, 141.48,  0.327,  78.00,  0.138,  92.90,  0.081, 194.38,  0.097, 169.27,  0.202, 186.53,  0.171, 154.03,  0.170, 154.64,  0.164, 143.69,  0.122, 176.25,  0.072, 151.65,  0.056, 170.71,  0.098,  33.37,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/20/2007 08:00:00, 11.9,171.6, -0.3, -1.9, 18.874, 27.82,  0.0,  0.0,  0.091,  90.63,  0.171, 167.51,  0.056, 178.98,  0.058,  75.96,  0.343,  63.29,  0.197,  56.79,  0.045,  54.90,  0.032, 161.57,  0.096, 192.59,  0.140, 208.22,  0.062, 212.40,  0.029, 119.25,  0.124, 176.77,  0.095, 181.81,  0.058, 180.00,  0.185,  14.71,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/20/2007 09:00:00, 11.9,171.7, -0.4, -1.9, 18.864, 27.81,  0.0,  0.0,  0.155, 145.49,  0.123, 118.02,  0.114, 165.84,  0.041, 124.08,  0.231,  63.55,  0.179,  52.94,  0.068, 135.00,  0.074, 153.43,  0.043, 192.09,  0.061, 171.47,  0.017, 225.00,  0.020, 333.43,  0.038, 310.76,  0.023, 232.13,  0.028, 309.29,  0.233,   9.87,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/20/2007 10:00:00, 11.9,171.6, -0.3, -1.9, 18.847, 27.80,  0.0,  0.0,  0.162, 130.99,  0.127, 144.30,  0.177, 126.29,  0.173, 123.41,  0.190,  90.00,  0.185,  94.97,  0.050, 153.95,  0.070, 103.24,  0.056, 201.04,  0.065, 231.20,  0.027, 175.76,  0.015, 270.00,  0.040, 247.93,  0.025, 281.77,  0.042, 351.87,  0.158,  18.09,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/20/2007 11:00:00, 11.9,171.7, -0.3, -1.9, 18.808, 27.81,  0.0,  0.0,  0.028, 173.88,  0.089, 128.16,  0.177, 129.72,  0.185,  99.00,  0.351,  72.75,  0.213,  98.62,  0.102, 147.88,  0.106, 154.89,  0.135, 196.29,  0.127, 166.84,  0.126, 190.06,  0.113, 155.93,  0.112, 155.73,  0.101, 166.79,  0.086, 134.06,  0.102,  20.75,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/20/2007 12:00:00, 11.9,171.7, -0.3, -1.9, 18.772, 27.86,  0.0,  0.0,  0.124, 145.54,  0.110, 103.15,  0.018, 139.40,  0.103,  66.66,  0.390,  64.03,  0.267,  61.13,  0.023,  72.35,  0.041, 164.25,  0.138, 190.82,  0.038, 154.80,  0.110, 210.07,  0.057, 221.47,  0.065, 206.57,  0.044, 194.35,  0.046, 216.12,  0.153,  29.74,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
4/20/2007 13:00:00, 11.9,171.7, -0.3, -1.9, 18.742, 27.88,  0.0,  0.0,  0.042,  70.71,  0.028,  68.96,  0.043, 163.69,  0.017, 144.46,  0.437,  64.49,  0.346,  65.58,  0.042, 124.44,  0.031, 172.65,  0.159, 226.27,  0.025, 151.39,  0.098, 146.63,  0.096, 176.42,  0.037, 172.30,  0.068, 168.20,  0.030,  88.09,  0.190,  36.45,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
