DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m)
8/19/2015 18:00,11.8,309.1,11,3,19.499,28.8,0,0,0.036,305.91,0.093,328.19,0.098,284.18,0.102,282.41,0.115,305.48,0.047,286.11,0.012,245.56,0.193,91.19,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/19/2015 19:00,11.8,309.1,11,3,19.48,28.66,0,0,0.063,283.82,0.063,280.95,0.062,311.1,0.022,324.16,0.028,295.64,0.019,248.75,0.006,9.46,0.205,119.57,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/19/2015 20:00,11.8,309.1,11,3,19.464,28.64,0,0,0.121,281.96,0.05,349.59,0.054,352.61,0.015,352.41,0.014,129.29,0.073,23.4,0.1,44.59,0.224,51.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/19/2015 21:00,11.8,309.1,11,3,19.446,28.66,0,0,0.06,54.46,0.036,162.07,0.033,228.65,0.023,223.26,0.054,197.1,0.041,140.91,0.049,94.67,0.2,89.43,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/19/2015 22:00,11.8,309.1,11,3,19.433,28.66,0,0,0.014,257.91,0.028,49.4,0.036,141.84,0.03,136.33,0.028,77.47,0.028,43.53,0.041,115.94,0.204,107.37,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/19/2015 23:00,11.8,309.1,11,3,19.441,28.66,0,0,0.059,90.97,0.028,79.88,0.032,165.53,0.032,86.42,0.028,98.13,0.047,152.35,0.054,82.61,0.102,79.24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/20/2015 0:00,11.8,309.1,11,3,19.466,28.57,0,0,0.032,278.88,0.042,241.61,0.028,263.88,0.011,142.13,0.032,174.64,0.041,252.9,0.036,302.35,0.111,102.53,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/20/2015 1:00,11.8,309.1,11,3,19.485,28.55,0,0,0.075,297.94,0.035,298.74,0.05,323.13,0.084,270.68,0.028,325.18,0.031,38.37,0.025,43.36,0.138,81.22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/20/2015 2:00,11.8,309.1,11,3,19.515,28.59,0,0,0.095,293.04,0.092,283.88,0.059,301.8,0.099,299.67,0.077,294.57,0.049,310.86,0.04,323.13,0.123,45,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/20/2015 3:00,11.8,309.1,11,3,19.533,28.61,0,0,0.088,284.51,0.111,285.66,0.058,290.32,0.093,281.79,0.059,303.15,0.078,294.93,0.064,290.14,0.091,22.62,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
