DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),
11/3/2006 18:00:00, 12.0,127.6,  5.3,  2.6, 17.747, 29.14,  0.0,  0.0,  0.096, 300.04,  0.081, 234.54,  0.092, 354.41,  0.042, 348.96,  0.145, 203.56,  0.051, 184.48,  0.084,  61.61,  0.071,  72.07,  0.056,  58.86,  0.105, 125.35,  0.078, 111.94,  0.045,  22.04,  0.023, 250.02,  0.044, 339.90,  0.114, 295.89,
11/3/2006 18:30:00, 12.0,127.6,  5.3,  2.6, 17.754, 29.14,  0.0,  0.0,  0.022, 264.81,  0.035, 270.00,  0.034, 324.46,  0.081,  57.09,  0.028, 212.01,  0.084,  35.78,  0.041, 114.68,  0.049,  59.24,  0.074,  61.70,  0.060, 100.56,  0.039, 107.97,  0.041,  68.46,  0.064,  65.85,  0.054, 148.67,  0.052, 249.83,
11/3/2006 19:00:00, 12.0,127.5,  5.3,  2.6, 17.756, 29.16,  0.0,  0.0,  0.025, 270.00,  0.051, 270.00,  0.040,  20.73,  0.082, 337.81,  0.034,   1.68,  0.080,  55.12,  0.045,  56.66,  0.015, 233.13,  0.020,  81.47,  0.085, 142.18,  0.050, 147.26,  0.047, 154.54,  0.069, 175.03,  0.012, 131.63,  0.024, 284.62,
11/3/2006 19:30:00, 12.0,127.5,  5.3,  2.6, 17.745, 29.17,  0.0,  0.0,  0.013,  32.47,  0.064, 337.04,  0.072, 288.69,  0.023, 331.19,  0.058, 165.96,  0.057, 202.54,  0.043, 120.74,  0.062, 164.18,  0.049, 116.57,  0.075, 137.16,  0.009, 110.56,  0.007, 254.05,  0.036, 263.66,  0.016, 235.30,  0.016, 214.70,
11/3/2006 20:00:00, 12.0,127.4,  5.3,  2.6, 17.720, 29.18,  0.0,  0.0,  0.055, 240.64,  0.022,  20.85,  0.053, 330.52,  0.034, 324.46,  0.024, 109.18,  0.056, 153.43,  0.051, 283.50,  0.049, 286.59,  0.049, 301.76,  0.037, 292.38,  0.032, 347.28,  0.034, 324.46,  0.034, 280.30,  0.061, 210.80,  0.063, 327.32,
11/3/2006 20:30:00, 12.0,127.5,  5.3,  2.6, 17.716, 29.19,  0.0,  0.0,  0.078, 266.33,  0.098, 317.88,  0.054, 271.06,  0.074, 303.48,  0.044, 266.10,  0.083, 209.66,  0.046, 274.97,  0.026, 242.45,  0.057, 197.47,  0.095, 209.52,  0.047, 227.56,  0.017, 339.44,  0.034, 198.97,  0.006, 321.34,  0.049, 281.77,
11/3/2006 21:00:00, 12.0,127.5,  5.3,  2.6, 17.685, 29.19,  0.0,  0.0,  0.061, 208.24,  0.039, 223.96,  0.062, 234.78,  0.065, 296.57,  0.099, 222.55,  0.097, 229.59,  0.081, 322.56,  0.040, 272.86,  0.072, 243.43,  0.042, 242.82,  0.026, 171.25,  0.019, 306.25,  0.075, 350.04,  0.020, 354.29,  0.053, 341.22,
11/3/2006 21:30:00, 12.0,127.6,  5.2,  2.6, 17.669, 29.19,  0.0,  0.0,  0.084, 310.67,  0.142, 261.07,  0.097, 232.54,  0.053, 210.41,  0.087, 145.76,  0.086, 226.88,  0.047, 262.72,  0.068, 176.63,  0.007,  15.95,  0.034, 299.54,  0.060, 273.81,  0.086, 273.99,  0.117, 252.65,  0.101, 237.57,  0.090, 308.66,
11/3/2006 22:00:00, 12.0,127.6,  5.2,  2.6, 17.646, 29.19,  0.0,  0.0,  0.042, 175.91,  0.046, 265.03,  0.055, 254.20,  0.102, 304.16,  0.107, 258.69,  0.060, 230.44,  0.037, 276.17,  0.050, 343.74,  0.056, 276.12,  0.109, 254.56,  0.107, 263.54,  0.072, 251.31,  0.088, 316.85,  0.028, 327.99,  0.034, 325.84,
11/3/2006 22:30:00, 12.0,127.5,  5.2,  2.6, 17.617, 29.18,  0.0,  0.0,  0.095, 313.29,  0.058, 280.92,  0.100, 294.78,  0.070, 279.87,  0.077, 221.33,  0.072, 263.66,  0.102, 258.69,  0.123, 289.90,  0.112, 272.05,  0.098, 261.79,  0.101, 253.35,  0.093, 258.21,  0.069, 266.68,  0.061, 186.55,  0.023, 347.20,
11/3/2006 23:00:00, 12.0,127.5,  5.2,  2.6, 17.605, 29.17,  0.0,  0.0,  0.050, 310.10,  0.125, 251.27,  0.085, 240.42,  0.053, 321.17,  0.109, 265.80,  0.106, 261.87,  0.056, 286.50,  0.076, 286.77,  0.096, 276.60,  0.071, 283.84,  0.095, 331.00,  0.073, 262.87,  0.096, 254.95,  0.066, 263.09,  0.108, 309.74,
11/3/2006 23:30:00, 12.0,127.5,  5.2,  2.6, 17.573, 29.16,  0.0,  0.0,  0.093, 257.01,  0.057, 310.06,  0.113, 275.61,  0.087, 293.63,  0.084, 261.10,  0.139, 253.66,  0.116, 258.59,  0.097, 297.10,  0.104, 285.11,  0.108, 274.76,  0.128, 278.51,  0.132, 280.46,  0.088, 270.00,  0.035, 246.37,  0.092, 307.49,
11/4/2006 00:00:00, 12.0,127.6,  5.2,  2.6, 17.577, 29.15,  0.0,  0.0,  0.027, 340.20,  0.024, 242.35,  0.047, 311.53,  0.116, 317.79,  0.107, 280.26,  0.143, 320.96,  0.106, 295.84,  0.076, 297.58,  0.104, 301.25,  0.060, 285.42,  0.035, 313.83,  0.049, 284.04,  0.088, 294.23,  0.084, 346.29,  0.083, 318.42,
11/4/2006 00:30:00, 11.9,127.6,  5.2,  2.6, 17.564, 29.13,  0.0,  0.0,  0.025, 274.57,  0.052, 302.47,  0.091, 320.36,  0.092, 307.49,  0.012, 260.54,  0.061, 312.34,  0.087, 303.33,  0.064, 277.24,  0.086, 315.47,  0.077, 306.57,  0.087, 328.70,  0.058, 336.54,  0.025,  68.63,  0.047,  87.56,  0.054, 315.74,
11/4/2006 01:00:00, 11.9,127.6,  5.2,  2.6, 17.555, 29.11,  0.0,  0.0,  0.034, 154.18,  0.051, 335.92,  0.075, 284.59,  0.062, 299.86,  0.045, 270.00,  0.065, 309.35,  0.044, 324.16,  0.061, 358.12,  0.031, 333.43,  0.051, 195.95,  0.074, 317.20,  0.102, 298.84,  0.065, 252.96,  0.041, 174.43,  0.061, 332.59,
11/4/2006 01:30:00, 11.9,127.7,  5.2,  2.6, 17.566, 29.10,  0.0,  0.0,  0.046, 203.20,  0.058, 218.66,  0.060, 215.54,  0.033, 102.34,  0.031,  76.87,  0.102,  24.30,  0.065,   2.64,  0.079,   0.00,  0.083, 351.67,  0.017, 252.65,  0.017, 346.76,  0.025, 310.10,  0.017,  30.96,  0.068,  60.05,  0.048,  41.63,
11/4/2006 02:00:00, 11.9,127.6,  5.2,  2.6, 17.577, 29.10,  0.0,  0.0,  0.085, 219.72,  0.008,  45.00,  0.097, 268.82,  0.047, 341.57,  0.066, 195.71,  0.034,  58.17,  0.024, 347.74,  0.045,  45.91,  0.033, 171.38,  0.041, 205.94,  0.051, 284.86,  0.036,   1.59,  0.023, 257.20,  0.033, 228.65,  0.046, 283.74,
11/4/2006 02:30:00, 11.9,127.6,  5.2,  2.6, 17.594, 29.09,  0.0,  0.0,  0.011,  90.00,  0.052, 149.04,  0.032, 118.18,  0.014, 210.26,  0.067, 180.00,  0.068,   5.04,  0.025, 177.71,  0.014,   8.13,  0.027, 151.56,  0.036, 180.00,  0.029, 112.17,  0.038,  19.86,  0.043,   2.66,  0.111, 155.05,  0.009, 215.54,
11/4/2006 03:00:00, 11.9,127.5,  5.2,  2.6, 17.627, 29.08,  0.0,  0.0,  0.052, 149.98,  0.062, 146.82,  0.014, 143.97,  0.035, 100.01,  0.068, 196.29,  0.101,   3.96,  0.058,  18.12,  0.089,  38.16,  0.082,  75.11,  0.048, 159.30,  0.045,  54.90,  0.075, 145.89,  0.035, 131.50,  0.021,  37.41,  0.037, 268.45,
11/4/2006 03:30:00, 11.9,127.5,  5.2,  2.6, 17.659, 29.08,  0.0,  0.0,  0.054, 122.80,  0.064, 155.85,  0.036, 131.63,  0.082, 180.00,  0.056, 183.07,  0.026,  98.75,  0.024, 117.65,  0.048,  50.04,  0.021,  62.24,  0.027,  90.00,  0.057,  59.38,  0.056, 121.14,  0.027, 169.51,  0.011, 243.43,  0.043, 310.31,
11/4/2006 04:00:00, 11.9,127.5,  5.2,  2.6, 17.693, 29.08,  0.0,  0.0,  0.056, 107.78,  0.027,  63.43,  0.020, 180.00,  0.067, 157.25,  0.084, 199.52,  0.058, 304.51,  0.051, 149.42,  0.049,  85.33,  0.049, 315.83,  0.050, 251.20,  0.028, 319.40,  0.038, 129.61,  0.014, 315.00,  0.049, 240.83,  0.109, 275.82,
