DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m),
5/20/2014 21:00:00, 12.0, 84.6, -2.1,-13.8, 30.130, 27.08,  0.0,  0.0,  0.084, 209.32,  0.110, 166.34,  0.247, 170.46,  0.285, 164.55,  0.361, 159.26,  0.368, 155.11,  0.404, 151.59,  0.427, 146.09,  0.434, 143.71,  0.441, 138.40,  0.311, 132.40,  0.110, 113.06,  0.125, 121.91,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/20/2014 22:00:00, 12.0, 84.6, -2.1,-13.8, 30.136, 27.09,  0.0,  0.0,  0.030, 285.42,  0.045, 259.70,  0.155, 178.89,  0.181, 179.05,  0.196, 168.80,  0.185, 147.34,  0.220, 144.43,  0.235, 139.32,  0.281, 132.84,  0.292, 131.81,  0.227, 123.48,  0.127,  76.29,  0.117, 101.79,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/20/2014 23:00:00, 12.0, 84.5, -2.1,-13.8, 30.135, 27.13,  0.0,  0.0,  0.072, 332.02,  0.105, 120.22,  0.192, 107.30,  0.190,  92.41,  0.247,  86.28,  0.220,  75.52,  0.225,  72.93,  0.282,  73.94,  0.307,  72.98,  0.292,  71.63,  0.285,  62.00,  0.292,  56.75,  0.240,  27.85,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/21/2014 00:00:00, 12.0, 84.5, -2.1,-13.8, 30.162, 27.12,  0.0,  0.0,  0.056, 299.74,  0.136, 329.47,  0.167, 354.49,  0.151,  11.83,  0.217,  20.77,  0.249,  26.77,  0.283,  34.20,  0.313,  35.77,  0.355,  31.18,  0.333,  34.12,  0.345,  36.87,  0.350,  52.77,  0.341,  19.71,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/21/2014 01:00:00, 12.0, 84.6, -2.1,-13.8, 30.192, 27.09,  0.0,  0.0,  0.095,  39.04,  0.204,  11.03,  0.297,   8.51,  0.292,  15.70,  0.338,  16.67,  0.362,  15.38,  0.383,  22.22,  0.409,  25.50,  0.426,  31.45,  0.436,  28.80,  0.406,  38.40,  0.357,  42.27,  0.344, 352.98,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/21/2014 02:00:00, 12.0, 84.7, -2.1,-13.8, 30.228, 26.89,  0.0,  0.0,  0.148,   8.95,  0.269,  14.19,  0.271, 357.25,  0.391,   1.61,  0.397,   2.02,  0.405,   6.67,  0.425,  14.17,  0.483,  21.51,  0.506,  26.16,  0.475,  29.80,  0.431,  38.12,  0.374,  49.23,  0.454, 350.99,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/21/2014 03:00:00, 12.0, 84.6, -2.1,-13.8, 30.271, 26.79,  0.0,  0.0,  0.148,  24.32,  0.144,  46.12,  0.260,  20.45,  0.313,  19.01,  0.343,  31.88,  0.335,  38.45,  0.401,  44.29,  0.397,  45.10,  0.375,  43.05,  0.387,  45.00,  0.416,  49.00,  0.415,  50.18,  0.340,  17.26,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/21/2014 04:00:00, 12.0, 84.6, -2.1,-13.8, 30.283, 26.97,  0.0,  0.0,  0.144,  67.53,  0.234,  71.33,  0.284,  60.46,  0.335,  60.91,  0.384,  56.89,  0.407,  54.59,  0.383,  54.24,  0.401,  56.07,  0.463,  60.06,  0.460,  61.43,  0.470,  61.53,  0.426,  57.28,  0.272,  37.08,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/21/2014 05:00:00, 12.0, 84.6, -2.1,-13.8, 30.286, 27.13,  0.0,  0.0,  0.103, 105.26,  0.269, 113.23,  0.332,  93.29,  0.335,  91.20,  0.367,  84.85,  0.399,  83.68,  0.420,  83.16,  0.407,  83.36,  0.392,  77.49,  0.416,  80.45,  0.385,  75.42,  0.339,  62.83,  0.286,  39.32,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/21/2014 06:00:00, 12.0, 84.5, -2.1,-13.8, 30.301, 26.91,  0.0,  0.0,  0.028,  71.57,  0.300, 114.43,  0.345, 108.96,  0.369, 106.22,  0.410, 106.00,  0.445, 105.63,  0.456, 101.51,  0.461, 105.33,  0.440, 108.85,  0.437, 106.36,  0.416,  98.01,  0.338,  78.06,  0.250,  78.02,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
