DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m),
9/25/2014 17:00:00, 11.9,332.8, 50.4,-51.2,  0.000, 28.32,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
9/25/2014 18:00:00, 11.9,234.2,-51.8,-51.3,  0.000, 27.52,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
9/25/2014 19:00:00, 11.9,170.5, 14.4, -4.0, 29.989, 29.10,  0.0,  0.0,  0.172,  97.00,  0.074, 239.30,  0.078, 224.48,  0.059, 239.53,  0.018, 303.69,  0.076, 311.26,  0.098, 309.21,  0.100, 296.05,  0.110, 317.20,  0.123, 310.40,  0.150, 292.30,  0.091, 252.76,  0.404, 275.68,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
9/25/2014 20:00:00, 11.9,170.3, 14.3, -3.9, 29.966, 29.13,  0.0,  0.0,  0.033, 115.02,  0.059, 329.53,  0.163, 356.84,  0.167,  10.37,  0.166,  13.20,  0.191,   7.54,  0.163,   4.59,  0.155,  12.69,  0.156,  14.48,  0.151, 358.86,  0.149, 342.42,  0.093, 325.11,  0.336, 349.73,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
9/25/2014 21:00:00, 11.9,170.3, 14.3, -3.9, 29.959, 29.12,  0.0,  0.0,  0.095,  87.59,  0.100, 324.40,  0.200,   6.02,  0.230,   1.74,  0.231, 358.76,  0.235,   1.71,  0.188,   2.13,  0.223,   6.17,  0.194,   0.00,  0.198, 357.40,  0.185, 356.29,  0.130, 344.78,  0.375, 350.79,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
9/25/2014 22:00:00, 11.9,170.3, 14.2, -3.9, 29.964, 29.12,  0.0,  0.0,  0.092,  58.72,  0.118,  10.74,  0.137,  30.32,  0.182,  11.43,  0.194,  12.18,  0.165,   3.47,  0.171,  12.49,  0.156,  19.48,  0.211,  27.66,  0.236,  30.26,  0.205,  21.80,  0.103,   4.44,  0.382, 357.15,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
9/25/2014 23:00:00, 11.9,170.3, 14.1, -3.8, 29.973, 29.13,  0.0,  0.0,  0.096,  76.69,  0.095,  59.66,  0.120,  57.64,  0.119,  42.27,  0.134,  33.10,  0.105,  22.91,  0.124,  18.87,  0.147,  23.25,  0.185,  39.73,  0.198,  35.77,  0.121,  21.89,  0.019, 295.20,  0.332, 313.17,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
9/26/2014 00:00:00, 11.9,170.1, 14.1, -3.8, 30.000, 29.15,  0.0,  0.0,  0.088, 104.51,  0.048,  99.66,  0.063,  48.22,  0.093,  27.67,  0.095,  44.58,  0.109,  54.71,  0.151,  54.73,  0.131,  54.00,  0.165,  45.00,  0.202,  36.13,  0.115,  34.38,  0.018, 176.82,  0.230, 289.07,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
9/26/2014 01:00:00, 11.9,170.1, 14.1, -3.8, 30.016, 29.16,  0.0,  0.0,  0.133, 128.59,  0.110, 153.43,  0.137, 138.54,  0.100, 141.52,  0.131, 117.15,  0.119, 104.62,  0.140,  86.32,  0.164,  88.60,  0.155,  79.20,  0.113,  86.46,  0.085,  92.02,  0.090, 163.79,  0.166, 266.90,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
9/26/2014 02:00:00, 11.9,170.2, 14.1, -3.8, 30.015, 29.14,  0.0,  0.0,  0.110, 126.14,  0.087, 181.97,  0.126, 174.52,  0.194, 161.94,  0.199, 149.58,  0.187, 149.19,  0.184, 142.51,  0.182, 147.09,  0.195, 126.87,  0.190, 129.46,  0.186, 132.17,  0.166, 148.80,  0.233, 247.83,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
