DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m)
4/2/2015 18:00,11.9,170.4,14.3,-3.4,30.028,26.46,0,0,0.242,348.09,0.211,0.54,0.22,354.52,0.261,344.69,0.24,349.44,0.21,349.6,0.229,337.69,0.223,348.89,0.232,349.32,0.268,344.61,0.273,331.84,0.117,325.09,0.462,314.65,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/2/2015 19:00,11.9,170.3,14.3,-3.4,30.031,26.45,0,0,0.244,341.64,0.305,2.07,0.297,358.46,0.282,345.42,0.266,354.83,0.3,2.67,0.327,2.63,0.346,357.35,0.377,0.76,0.346,3.48,0.263,346.81,0.112,321.9,0.428,319.17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/2/2015 20:00,11.9,170.3,14.3,-3.4,30.05,26.43,0,0,0.266,349.16,0.259,6.44,0.329,359.13,0.302,359.43,0.298,9.65,0.319,8.66,0.357,9.01,0.33,10.49,0.322,11.83,0.358,6.57,0.325,347.93,0.175,311.99,0.399,315.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/2/2015 21:00,11.9,170.4,14.3,-3.4,30.075,26.42,0,0,0.252,356.13,0.287,1.4,0.283,2.63,0.281,3.26,0.287,3.19,0.275,10.7,0.281,10.67,0.289,10.57,0.31,11.71,0.32,8.99,0.258,349.95,0.17,342.2,0.352,321.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/2/2015 22:00,11.9,170.4,14.3,-3.4,30.102,26.42,0,0,0.184,337.62,0.159,1.8,0.175,4.25,0.188,15.07,0.208,17.91,0.197,15.31,0.241,14.67,0.232,13.2,0.228,7.06,0.255,4.95,0.227,348.84,0.079,0,0.26,316.25,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/2/2015 23:00,11.9,170.3,14.3,-3.4,30.119,26.42,0,0,0.092,3.73,0.14,55.18,0.092,46.76,0.081,20.22,0.081,14.21,0.105,35.67,0.12,34.48,0.111,22.86,0.142,26.38,0.148,18.56,0.139,9.94,0.079,279.46,0.221,287.12,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/3/2015 0:00,11.9,170.4,14.3,-3.4,30.129,26.42,0,0,0.03,246.04,0.023,82.57,0.053,117.05,0.026,74.36,0.028,349.88,0.045,49.54,0.021,16.7,0.036,344.05,0.039,2.94,0.031,348.69,0.08,275,0.126,214.7,0.208,241.59,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/3/2015 1:00,11.9,170.3,14.3,-3.4,30.124,26.42,0,0,0.038,173.99,0.07,139.67,0.143,156.49,0.108,166.09,0.127,153.84,0.141,153.43,0.134,161.29,0.147,162.18,0.123,156.99,0.091,165.35,0.078,165.96,0.09,176.19,0.161,272.13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/3/2015 2:00,11.9,170.3,14.3,-3.4,30.112,26.43,0,0,0.075,151.39,0.146,189.85,0.194,183.54,0.196,185.86,0.195,171.45,0.175,165.09,0.151,170.1,0.179,188.99,0.154,170.29,0.144,165.09,0.169,174.56,0.189,175.74,0.239,221.95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/3/2015 3:00,11.9,170.3,14.2,-3.4,30.1,26.44,0,0,0.078,214.09,0.167,181.03,0.177,169.26,0.217,167.24,0.211,182.98,0.224,190.81,0.216,191.47,0.185,186.82,0.156,180,0.161,191.45,0.139,192.04,0.154,201.73,0.279,216.25,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
