DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m),
8/19/2015 14:00:00, 11.9,338.3, 36.1, 38.4,  0.152, 25.38,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/19/2015 15:00:00, 11.9,186.6, 19.2,-12.1,  0.000, 31.44,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/19/2015 16:00:00, 11.9, 18.0,-39.4, 34.6,  0.000, 35.02,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/19/2015 17:00:00, 11.9,340.7, -7.3,  4.1, 20.880, 29.90,  0.0,  0.0,  0.075, 204.51,  0.061, 217.63,  0.078, 184.40,  0.172, 163.46,  0.170, 168.09,  0.128, 156.45,  0.100, 174.86,  0.020, 233.13,  0.349, 300.32,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/19/2015 18:00:00, 11.9,340.9, -7.3,  4.0, 20.874, 28.91,  0.0,  0.0,  0.143, 179.60,  0.143, 150.75,  0.121, 141.04,  0.175, 133.38,  0.164, 122.82,  0.098, 121.26,  0.073, 186.25,  0.077, 226.58,  0.343, 297.01,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/19/2015 19:00:00, 11.9,340.7, -7.3,  4.0, 20.855, 28.91,  0.0,  0.0,  0.100, 251.93,  0.091, 226.33,  0.042, 167.62,  0.027, 146.89,  0.087,  89.34,  0.097, 152.38,  0.136, 177.89,  0.137, 216.70,  0.467, 290.03,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/19/2015 20:00:00, 11.9,340.6, -7.3,  4.0, 20.832, 28.92,  0.0,  0.0,  0.035, 233.13,  0.104, 261.17,  0.062, 226.30,  0.057,  26.11,  0.116,  85.56,  0.102, 115.05,  0.065, 192.53,  0.104, 255.56,  0.508, 274.52,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/19/2015 21:00:00, 11.9,340.7, -7.3,  4.0, 20.819, 28.94,  0.0,  0.0,  0.062, 311.71,  0.037, 293.81,  0.043, 286.31,  0.045, 280.30,  0.035, 214.59,  0.040, 280.18,  0.030,  19.65,  0.050, 331.39,  0.483, 297.26,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/19/2015 22:00:00, 11.9,340.6, -7.3,  4.0, 20.802, 28.93,  0.0,  0.0,  0.091, 250.77,  0.057, 267.99,  0.041, 263.05,  0.047, 262.72,  0.020, 197.53,  0.030, 197.24,  0.007, 153.43,  0.064, 329.81,  0.525, 298.66,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/19/2015 23:00:00, 11.9,340.7, -7.3,  4.0, 20.813, 28.90,  0.0,  0.0,  0.030, 208.30,  0.023, 172.57,  0.061,  91.88,  0.032,  81.12,  0.019, 117.90,  0.055, 117.95,  0.035, 157.89,  0.007, 225.00,  0.400, 274.87,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
