DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m)
3/17/2016 14:08,11.6,264.7,-2.4,9,21.366,26.55,0,0,0.111,90,0.078,71.33,0.087,74.05,0.105,98.21,0.099,88.26,0.074,95.4,0.085,92.02,0.11,207.03,0.491,241.56,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/17/2016 15:08,11.6,264.6,-2.4,8.9,21.37,26.56,0,0,0.065,97.02,0.039,112.62,0.07,190.67,0.067,140.41,0.074,133.36,0.049,164.54,0.036,99.73,0.116,208.33,0.481,240.45,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/17/2016 16:08,11.6,264.7,-2.4,8.9,21.35,26.59,0,0,0.022,237.72,0.045,105.59,0.023,77.2,0.026,157.38,0.086,135,0.096,122.2,0.087,132.67,0.151,187.22,0.491,227.89,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/17/2016 17:08,11.6,264.7,-2.3,8.9,21.34,26.6,0,0,0.106,243.19,0.087,230.62,0.164,245.47,0.134,235.36,0.132,235.47,0.113,248.2,0.124,250.25,0.236,257.26,0.537,259.92,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/17/2016 18:08,11.6,264.7,-2.3,8.9,21.341,26.62,0,0,0.167,244.05,0.137,264.96,0.098,257.66,0.099,241.11,0.089,257.68,0.135,243.05,0.136,240.41,0.221,244.25,0.527,243.39,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/17/2016 19:08,11.6,264.7,-2.3,8.9,21.333,26.64,0,0,0.17,265.96,0.146,259.77,0.133,248.44,0.131,242.26,0.1,226.61,0.154,223.42,0.137,221.74,0.229,225,0.514,231.39,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/17/2016 20:08,11.6,264.6,-2.3,8.9,21.323,26.67,0,0,0.172,272.33,0.126,258.6,0.109,246.25,0.172,255.88,0.159,245.05,0.137,246.42,0.146,245.72,0.236,233.28,0.608,231.89,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/17/2016 21:08,11.6,264.5,-2.3,8.9,21.314,26.63,0,0,0.088,276.56,0.031,270,0.038,254.88,0.006,251.57,0.014,94.09,0.035,124.59,0.019,124.51,0.13,228.11,0.506,241.97,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/17/2016 22:08,11.6,264.7,-2.3,8.9,21.295,26.63,0,0,0.083,114.1,0.104,83.35,0.061,118.24,0.086,60.17,0.106,82.41,0.124,88.61,0.115,90.5,0.124,192.13,0.527,220.77,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/17/2016 23:08,11.6,264.6,-2.3,8.9,21.283,26.62,0,0,0.087,148.13,0.052,105.64,0.074,159.35,0.035,175.1,0.083,142.85,0.104,175.6,0.084,191.04,0.168,200.6,0.51,229.85,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
