DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m),Speed#37(37.5m),Dir#37(37.5m),Speed#38(38.5m),Dir#38(38.5m),Speed#39(39.5m),Dir#39(39.5m),Speed#40(40.5m),Dir#40(40.5m)
4/24/2011 15:00,11.7,228.4,1.7,0.2,35.891,26.75,0,0,0.112,234.05,0.192,348.28,0.201,3.42,0.148,153.95,0.064,164.67,0.063,193.82,0.068,180,0.145,151.14,0.147,132.51,0.078,159.7,0.025,64.44,0.009,40.6,0.012,0,0.037,192.53,0.036,17.93,0.064,22.96,0.016,47.49,0.079,38.32,0.083,67.43,0.075,21.09,0.092,3.11,0.138,14.24,0.076,353.16,0.05,22.44,0.12,358.09,0.157,8.08,0.194,10.09,-99,-99,-99,-99,-99,-99,0.128,283.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/24/2011 16:00,11.7,228.4,1.5,0.2,35.866,26.62,0,0,0.084,83.88,0.125,320.84,0.159,36.58,0.076,121.61,0.053,23.2,0.075,231.46,0.047,184.86,0.055,185.19,0.066,140.53,0.077,178.51,0.012,250.02,0.045,344.41,0.035,242.7,0.041,248.46,0.055,304.56,0.096,341.75,0.069,6.61,0.05,13.76,0.038,265.49,0.011,206.57,0.064,357.32,0.025,343.74,0.09,29.98,0.147,7.03,0.086,21.8,0.138,343.14,-99,-99,0.137,348.61,-99,-99,0.136,338.51,0.053,287.42,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/24/2011 17:00,11.7,228.3,1.5,0.2,35.851,26.61,0,0,0.115,218.66,0.04,347.01,0.143,39.6,0.094,152.89,0.049,135.83,0.04,145.12,0.047,201.12,0.102,254.05,0.09,261.69,0.054,315,0.1,320.27,0.039,216.57,0.046,24.34,0.047,271.22,0.044,279.25,0.047,297.65,0.088,275.84,0.039,234.29,0.07,258.53,0.035,34.59,0.055,4.16,0.029,319.18,0.094,352.04,0.113,338.2,0.145,324,0.113,358.99,0.137,7.13,0.118,343.25,-99,-99,0.151,349.73,0.024,267.61,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/24/2011 18:00,11.7,228.3,1.5,0.2,35.848,26.59,0,0,0.051,92.25,0.055,120.78,0.23,25.23,0.111,93.09,0.026,22.62,0.026,184.4,0.109,229.86,0.105,266.19,0.06,302.11,0.028,251.57,0.084,318.37,0.082,269.3,0.048,278.47,0.093,306.25,0.129,303.32,0.058,297.9,0.131,261.19,0.058,270,0.037,274.64,0.019,270,0.028,300.26,0.009,102.53,0.03,207.41,0.095,276.67,0.087,304.24,0.07,301.66,0.054,328.67,0.091,350.54,0.063,302.68,0.142,306.15,0.075,285.52,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/24/2011 19:00,11.7,228.4,1.5,0.2,35.851,26.61,0,0,0.03,331.7,0.08,163.37,0.06,21.45,0.085,174.62,0.143,267.6,0.123,253.48,0.141,254,0.084,243.13,0.084,263.13,0.06,324.46,0.03,298.3,0.071,284.62,0.133,253.34,0.062,268.15,0.049,303.37,0.068,268.32,0.069,294.72,0.071,264.37,0.053,257.01,0.069,270,0.052,220.36,0.06,238.71,0.014,233.97,0.027,151.56,0.056,150.26,0.032,97.13,0.117,309.12,0.103,342.45,-99,-99,0.183,336.51,0.083,271.38,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/24/2011 20:00,11.7,228.4,1.5,0.2,35.839,26.62,0,0,0.055,82.75,0.083,222.55,0.119,335.16,0.1,342.47,0.126,304.32,0.103,243.43,0.129,257.04,0.07,276.52,0.098,312.94,0.137,285.66,0.119,285.09,0.075,311.76,0.089,304.05,0.113,300.44,0.119,276.29,0.08,285.95,0.141,278.99,0.047,257.74,0.036,199.44,0.041,201.54,0.039,270,0.079,198.43,0.056,218.5,0.028,212.01,0.035,297.3,0.031,279.16,0.055,283.78,0.076,286.77,0.059,293.96,0.057,277,0.093,225,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/24/2011 21:00,11.7,228.4,1.5,0.3,35.836,26.72,0,0,0.043,329.26,0.127,272.25,0.106,323.02,0.085,254.33,0.111,239.04,0.111,242.74,0.073,281,0.143,287.04,0.193,281.66,0.113,307.07,0.087,316.4,0.108,296.33,0.136,309.64,0.069,323.79,0.056,312.83,0.057,299.25,0.034,283.63,0.05,228.27,0.034,266.63,0.019,353.99,0.013,265.6,0.05,329.83,0.009,54.46,0.039,131.88,0.057,351.87,0.053,218.16,0.078,322.25,0.081,341.34,0.049,9.46,0.109,263.66,0.102,259.24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/24/2011 22:00,11.7,228.2,1.5,0.3,35.849,26.75,0,0,0.123,58.64,0.071,17.93,0.112,76.09,0.095,316.27,0.076,335.81,0.075,280.71,0.022,21.8,0.022,262.23,0.071,23.3,0.072,339.81,0.074,322.67,0.057,270,0.05,71.2,0.035,351.87,0.015,121.61,0.044,234.16,0.079,271.45,0.026,54.46,0.062,152.2,0.029,234.69,0.047,213.69,0.026,190.89,0.028,157.07,0.014,261.87,0.032,261.12,0.074,279.33,0.023,282.8,0.021,174.56,0.024,97.13,0.022,2.6,0.092,270,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/24/2011 23:00,11.7,228.4,1.5,0.3,35.845,26.86,0,0,0.069,39.7,0.059,27,0.015,336.8,0.06,15.42,0.081,2.83,0.038,27.9,0.039,34.51,0.043,343.69,0.08,320.56,0.105,335.87,0.097,345.68,0.047,323.62,0.045,350.96,0.004,236.31,0.008,309.81,0.033,133.78,0.077,185.19,0.051,83.29,0.059,19.65,0.035,36.87,0.017,0,0.039,305.71,0.077,317.63,0.062,282.03,0.062,299.86,0.055,338.59,0.034,356.63,0.015,250.35,0.082,322.43,0.042,321.77,0.091,251.37,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/25/2011 0:00,11.7,228.2,1.5,0.3,35.837,26.9,0,0,0.055,112.38,0.03,352.41,0.03,0,0.014,326.31,0.047,45,0.086,54.46,0.067,54.16,0.096,327.3,0.039,322.25,0.128,339.44,0.128,331.03,0.123,353.45,0.038,83.99,0.087,17.39,0.013,153.43,0.083,61.28,0.071,334.89,0.003,18.43,0.033,137.49,0.069,90,0.073,64.13,0.099,6.4,0.127,66.27,0.141,48.16,0.134,33.45,0.093,67.85,0.078,36.14,0.111,5.15,0.142,14.23,0.043,1.33,0.047,24.94,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
