DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m)
4/24/2011 17:00,11.8,231.7,-2.9,7.5,25.014,27.21,0,0,0.054,233.97,0.05,243.95,0.06,182.86,0.083,201.29,0.085,243.43,0.089,236.49,0.088,274.55,0.086,245.22,0.048,251.94,0.049,194.04,0.018,186.34,0.032,181.79,0.05,153.95,0.082,160.02,0.096,145.65,0.051,130.24,0.049,132.51,0.019,263.99,0.076,309.13,0.087,275.91,0.053,221.19,0.064,244.23,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/24/2011 18:00,11.8,231.6,-3,7.5,24.998,27.11,0,0,0.105,209,0.113,183.54,0.11,245.77,0.131,240.69,0.096,229.21,0.099,246.8,0.031,215.75,0.011,116.57,0.044,234.16,0.05,262.03,0.028,320.71,0.031,236.82,0.048,210.34,0.115,187.5,0.076,189.09,0.012,194.04,0.037,23.81,0.043,16.31,0.013,98.75,0.034,112.75,0.03,0,0.147,302.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/24/2011 19:00,11.8,231.8,-2.9,7.6,24.995,27.12,0,0,0.09,240.57,0.073,286.7,0.074,257.47,0.082,270,0.134,240.57,0.08,222.47,0.038,186.01,0.051,204.08,0.098,238.74,0.09,250.56,0.102,249.97,0.062,254.18,0.056,201.99,0.056,217.07,0.032,212.2,0.012,304.99,0.101,339.04,0.063,330.59,0.052,270,0.063,267.27,0.106,285.87,0.15,310.39,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/24/2011 20:00,11.8,231.8,-3,7.5,24.981,27.11,0,0,0.125,252.73,0.025,126.87,0.054,172.61,0.08,216.87,0.092,220.6,0.065,252.96,0.069,266.68,0.057,257.91,0.081,240.6,0.045,228.58,0.055,180,0.051,169.8,0.017,183.37,0.043,246.45,0.08,260.66,0.043,253.69,0.071,329.45,0.052,320.48,0.024,318.37,0.043,290.56,0.059,291.8,0.214,297.88,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/24/2011 21:00,11.8,231.6,-2.9,7.7,24.976,27.11,0,0,0.099,257.78,0.031,236.82,0.009,212.01,0.068,258.2,0.046,285.26,0.029,226.4,0.028,244.36,0.05,247.56,0.016,322.43,0.043,253.69,0.058,201.25,0.017,125.54,0.034,254.74,0.076,271.51,0.067,270,0.047,265.14,0.018,296.57,0.033,302.74,0.038,13.67,0.03,350.54,0.069,331.59,0.22,291.56,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/24/2011 22:00,11.8,231.6,-3.1,7.5,24.988,27.1,0,0,0.068,169.85,0.055,143.13,0.086,169.99,0.056,160.28,0.04,177.14,0.072,176.82,0.054,224.26,0.04,192.99,0.053,358.92,0.054,0,0.02,293.96,0.051,316.59,0.09,343.18,0.04,333.43,0.059,310.18,0.044,249.9,0.03,270,0.029,326.31,0.054,289.44,0.063,335.48,0.054,347.24,0.166,285.04,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/24/2011 23:00,11.8,231.8,-2.9,7.5,24.988,27.09,0,0,0.085,172.54,0.079,111.67,0.119,157.75,0.124,151.17,0.079,146.92,0.079,158.33,0.066,135.62,0.071,111.5,0.044,75.65,0.01,16.7,0.029,60.75,0.043,48.81,0.043,27.76,0.073,28.67,0.103,36.31,0.133,36.44,0.134,16.53,0.114,352.44,0.109,3.15,0.103,14.04,0.052,39.52,0.177,281.44,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/25/2011 0:00,11.8,231.8,-3,7.5,24.978,27.09,0,0,0.051,109.5,0.156,155.4,0.109,166.73,0.084,146.12,0.144,144.88,0.107,147.94,0.121,132.66,0.086,119.25,0.105,71.05,0.106,66.59,0.077,77.96,0.101,87.73,0.106,61.26,0.12,58.3,0.112,54.05,0.065,51.2,0.063,54.04,0.139,42.96,0.164,53.2,0.08,51.56,0.044,32.97,0.118,274.36,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/25/2011 1:00,11.8,231.7,-3,7.6,25.015,27.08,0,0,0.083,116.57,0.064,153.03,0.097,128.29,0.077,130.76,0.115,179.5,0.109,184.72,0.079,164.55,0.086,120.74,0.103,77.05,0.11,58.77,0.111,47.55,0.088,45.92,0.123,63.85,0.146,55.33,0.09,49.95,0.09,43.65,0.118,68.02,0.166,56.79,0.12,59.36,0.119,25.92,0.095,61.82,0.158,271.81,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/25/2011 2:00,11.8,231.6,-2.9,7.6,25.044,27.08,0,0,0.059,323.9,0.023,77.2,0.009,6.34,0.033,215.13,0.086,180,0.028,190.12,0.072,200.46,0.115,153.21,0.091,148.93,0.091,165.96,0.113,149.12,0.115,144.23,0.092,114.34,0.104,90,0.135,83.19,0.107,85.72,0.117,46.74,0.079,73.86,0.083,53.82,0.089,56.49,0.075,48.24,0.093,242.33,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/25/2011 3:00,11.8,231.6,-2.9,7.6,25.083,27.08,0,0,0.062,10.22,0.066,0,0.095,73.47,0.027,328.67,0.069,247.13,0.017,252.65,0.097,232.54,0.016,255.07,0.014,158.96,0.066,127.57,0.125,123.56,0.125,135.97,0.066,111.16,0.072,59.86,0.055,65.3,0.063,78.16,0.047,86.35,0.035,113.63,0.066,99.61,0.03,61.7,0.056,7.13,0.086,264.69,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/25/2011 4:00,11.8,231.6,-3.1,7.6,25.109,27.09,0,0,0.048,270,0.05,349.59,0.026,316.55,0.05,254.85,0.093,262.57,0.091,224.56,0.091,224.1,0.034,190.3,0.032,180,0.032,209.74,0.056,183.07,0.07,151.98,0.072,122.59,0.076,117.24,0.065,100.62,0.079,66.04,0.088,74.23,0.084,83.13,0.084,58.57,0.08,64.72,0.045,78.44,0.136,263.24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
