DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m)
2/14/2017 18:00,11.9,238.8,3.4,-3.1,61.348,29.93,0,0,0.376,229.53,0.452,221.41,0.326,246.27,0.376,236.18,0.402,227.82,0.282,227.01,0.24,211.7,0.277,216.04,0.249,216.5,0.255,223.73,0.346,219.95,0.381,224.04,0.355,229.68,0.343,223.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/14/2017 19:00,11.9,239,3.5,-3,61.323,26.51,0,0,0.065,194.25,0.299,200.74,0.113,224.28,0.17,198.86,0.161,193.69,0.145,197.19,0.138,196.86,0.171,195.58,0.171,192.49,0.128,188.51,0.118,185.86,0.131,178.69,0.094,190.47,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/14/2017 20:00,11.9,239,3.6,-3,61.321,26.4,0,0,0.105,243.92,0.194,219.99,0.08,256.31,0.093,277.43,0.141,278.59,0.115,254.88,0.063,246.68,0.066,262.12,0.091,279.46,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/14/2017 21:00,11.9,239,3.6,-3,61.303,26.41,0,0,0.04,212.91,0.169,205.2,0.115,240.32,0.022,237.72,0.086,272,0.095,299.82,0.076,292.5,0.068,290.56,0.032,294.15,0.043,324.46,0.032,249.86,0.059,315,0.098,295.26,0.11,289.58,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/14/2017 22:00,11.9,239,3.6,-3,61.302,26.36,0,0,0.082,187.04,0.124,222.06,0.021,73.3,0.026,2.2,0.037,32.83,0.023,262.57,0.011,10.3,0.026,307.3,0.025,265.43,0.044,349.46,0.063,294.52,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/14/2017 23:00,11.9,239.1,3.6,-3,61.314,26.22,0,0,0.053,168.06,0.025,272.29,0.1,189.74,0.106,272.16,0.115,323.13,0.099,329.53,0.127,332.22,0.149,355.78,0.091,356.23,0.113,4.55,0.094,13.59,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/15/2017 0:00,11.9,239.1,3.6,-3,61.333,26.05,0,0,0.115,177.51,0.094,176.35,0.049,107.7,0.026,0,0.024,62.35,0.032,32.2,0.022,185.19,0.027,180,0.021,157.17,0.014,111.04,0.008,90,0.027,26.57,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/15/2017 1:00,11.9,239,3.6,-3,61.355,26.41,0,0,0.123,146.57,0.031,86.31,0.025,143.13,0.026,37.3,0.017,280.01,0.021,142.59,0.046,122.66,0.046,71.18,0.052,74.36,0.028,73.5,0.048,355.24,0.01,101.31,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/15/2017 2:00,11.9,238.9,3.6,-2.9,61.37,26.51,0,0,0.109,161.23,0.043,288.85,0.083,236.31,0.061,294.06,0.06,308.96,0.071,279.73,0.077,261.76,0.056,227.17,0.007,98.13,0.022,302.28,0.071,261.07,0.068,228.58,0.029,213.69,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/15/2017 3:00,11.9,239,3.6,-2.9,61.373,26.54,0,0,0.173,180.66,0.046,286.46,0.026,232.7,0.003,198.43,0.033,205.02,0.09,198.03,0.097,201.25,0.034,278.37,0.069,195.04,0.123,183.72,0.079,190.89,0.036,322.82,0.057,285.26,0.068,291.64,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/15/2017 4:00,11.9,238.9,3.6,-2.9,61.373,26.52,0,0,0.119,203.77,0.084,311.12,0.068,240.78,0.034,209.54,0.052,286.7,0.069,299.54,0.103,250.16,0.143,225,0.117,235.09,0.11,239.48,0.085,264.62,0.039,280.44,0.063,266.37,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/15/2017 5:00,11.9,238.9,3.6,-2.9,61.366,26.51,0,0,0.196,199.63,0.063,234.04,0.216,209.42,0.184,218.37,0.102,235.84,0.147,223.9,0.141,206.02,0.154,216.57,0.129,245.22,0.118,220.18,0.114,208.37,0.125,206.15,0.12,215.82,0.087,233.92,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/15/2017 6:00,11.9,238.9,3.6,-2.9,61.366,26.53,0,0,0.14,205.29,0.076,270.75,0.125,218.52,0.139,212.09,0.116,220.82,0.194,216.81,0.203,224.4,0.184,221.04,0.168,208.39,0.149,184.6,0.137,200.95,0.127,236.56,0.145,217.42,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/15/2017 7:00,11.9,238.9,3.6,-2.9,61.362,26.48,0,0,0.073,182.35,0.046,238.39,0.028,248.96,0.122,227.32,0.12,178.09,0.142,177.98,0.145,206.21,0.164,197.77,0.172,194.44,0.104,198.43,0.143,210.14,0.129,216.78,0.105,216.11,0.116,224.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/15/2017 8:00,11.9,238.9,3.6,-2.9,61.362,26.45,0,0,0.084,207.79,0.073,304.35,0.053,228.81,0.078,275.13,0.043,273.99,0.045,124.05,0.018,150.64,0.012,34.99,0.043,245.22,0.049,235.01,0.041,242.18,0.044,241.7,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/15/2017 9:00,11.9,238.9,3.6,-2.9,61.354,26.43,0,0,0.131,229.97,0.138,294.34,0.129,285.76,0.084,274.09,0.109,257.87,0.101,281.98,0.078,279.58,0.047,306.38,0.069,264.21,0.099,256.53,0.06,272.86,0.058,284.04,0.073,266.08,0.069,274.14,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/15/2017 10:00,11.9,238.8,3.6,-2.9,61.346,26.42,0,0,0.11,194.16,0.091,258.57,0.079,270.73,0.071,286.39,0.087,285.95,0.104,274.4,0.107,272.68,0.1,316.61,0.131,319.64,0.117,302.47,0.127,296.57,0.068,317.39,0.056,321.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/15/2017 11:00,11.9,238.8,3.6,-2.9,61.345,26.42,0,0,0.173,178.68,0.095,190.95,0.041,287.1,0.016,288.43,0.051,259.8,0.105,297.78,0.078,260.42,0.097,258.69,0.104,277.19,0.118,270.97,0.148,273.87,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/15/2017 12:00,11.9,238.8,3.6,-2.9,61.35,26.43,0,0,0.158,147.92,0.039,284.74,0.083,171.67,0.048,297.1,0.064,287.3,0.061,274.69,0.028,292.93,0.035,306.87,0.019,266.99,0.01,0,0.059,357.09,0.073,349,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
