DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(3.0m),Dir#1(3.0m),Speed#2(5.0m),Dir#2(5.0m),Speed#3(7.0m),Dir#3(7.0m),Speed#4(8.9m),Dir#4(8.9m),Speed#5(10.9m),Dir#5(10.9m),Speed#6(12.9m),Dir#6(12.9m),Speed#7(14.9m),Dir#7(14.9m),Speed#8(16.9m),Dir#8(16.9m),Speed#9(18.9m),Dir#9(18.9m),Speed#10(20.9m),Dir#10(20.9m),Speed#11(22.9m),Dir#11(22.9m),Speed#12(24.9m),Dir#12(24.9m),Speed#13(26.9m),Dir#13(26.9m),Speed#14(28.9m),Dir#14(28.9m),Speed#15(30.9m),Dir#15(30.9m),Speed#16(33.0m),Dir#16(33.0m),Speed#17(35.0m),Dir#17(35.0m),Speed#18(37.0m),Dir#18(37.0m),Speed#19(39.0m),Dir#19(39.0m),Speed#20(41.0m),Dir#20(41.0m),Speed#21(43.0m),Dir#21(43.0m),Speed#22(45.0m),Dir#22(45.0m),Speed#23(47.0m),Dir#23(47.0m),Speed#24(49.0m),Dir#24(49.0m),Speed#25(51.0m),Dir#25(51.0m),Speed#26(53.0m),Dir#26(53.0m),Speed#27(55.0m),Dir#27(55.0m),Speed#28(57.0m),Dir#28(57.0m),Speed#29(59.0m),Dir#29(59.0m),Speed#30(61.0m),Dir#30(61.0m),Speed#31(63.0m),Dir#31(63.0m),Speed#32(65.0m),Dir#32(65.0m),Speed#33(67.0m),Dir#33(67.0m),Speed#34(69.0m),Dir#34(69.0m),Speed#35(71.0m),Dir#35(71.0m)
1/31/2018 17:00,11.9,192,-2.2,-7.5,61.709,27.39,0,0,0.37,330.73,0.203,131.21,0.222,129.71,0.252,82.71,0.182,52.13,0.069,39.7,0.082,30.61,0.022,327.72,0.05,207.6,0.048,159.3,0.034,64.18,0.013,261.25,0.028,274.09,0.023,289.98,0.046,262.57,0.06,209.15,0.079,174.94,0.07,201.04,0.094,234.11,0.091,213.34,0.032,235.3,0.051,258.69,0.075,244.8,0.12,239.36,-99,-99,-99,-99,0.486,239.58,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/31/2018 18:00,11.9,192.2,-2,-7.6,61.655,26.53,0,0,0.508,340.46,0.239,122.16,0.129,142.24,0.05,135.81,0.208,56.77,0.085,42.14,0.021,295.35,0.023,322.13,0.069,36.21,0.095,46.71,0.047,81.35,0.073,94.7,0.07,61.98,0.08,12.99,0.066,347.85,0.041,313.03,0.079,33.08,0.044,20.1,0.053,14.3,0.072,343.07,0.063,338.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.487,244.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/31/2018 19:00,11.9,192,-2.4,-7.5,61.612,26.47,0,0,0.393,339.77,0.228,119.93,0.099,128.84,0.069,217.37,0.182,71.37,0.081,102.14,0.085,74.98,0.031,91.85,0.066,92.6,0.107,78.69,0.103,57.7,0.102,64.95,0.06,55.78,0.094,18.05,0.112,26.57,0.09,15.42,0.088,3.9,0.095,5.41,0.099,339.92,0.077,324.46,0.053,338.81,0.079,284.74,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/31/2018 20:00,11.9,192.2,-2.2,-7.6,61.583,26.46,0,0,0.455,344.71,0.209,122.7,0.209,141.21,0.083,233.82,0.267,63.82,0.149,84.21,0.103,71.92,0.044,34.78,0.081,61.84,0.086,77.91,0.122,65.32,0.115,54.52,0.069,38.53,0.113,48.58,0.135,31.69,0.127,15.57,0.163,0,0.19,14.04,0.131,0,0.131,352.55,0.099,344.13,0.084,338.96,0.127,338.7,0.16,344.05,0.146,315.83,0.297,261.68,0.569,253.35,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/31/2018 21:00,11.9,192.1,-2.2,-7.5,61.553,26.46,0,0,0.425,321.78,0.257,115.57,0.154,112.91,0.11,205.17,0.26,59.19,0.156,59.16,0.147,76.63,0.104,100.55,0.051,83.29,0.075,61.39,0.077,87.77,0.109,91.05,0.098,83.53,0.059,51.19,0.05,35.27,0.032,36.16,0.064,55.81,0.115,25.68,0.177,15.37,0.149,10.03,0.191,353.99,0.178,336.46,0.181,344.66,-99,-99,-99,-99,-99,-99,0.428,261.95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/31/2018 22:00,11.9,192.2,-2.3,-7.7,61.545,26.42,0,0,0.467,303.55,0.229,144.43,0.043,113.55,0.04,172.87,0.292,68.09,0.093,104.34,0.07,109.21,0.027,83.66,0.023,262.57,0.024,233.62,0.028,147.99,0.056,71.24,0.052,48.92,0.039,349.56,0.065,333.43,0.095,24.15,0.056,25.2,0.113,21.33,0.122,347.22,0.168,338.64,0.213,330.19,0.155,335.59,0.2,307.67,0.232,299.44,0.223,295.19,0.299,283.53,0.413,263.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/31/2018 23:00,11.9,192.2,-2.3,-7.7,61.548,26.47,0,0,0.311,279.25,0.08,137.53,0.023,252.35,0.056,268.98,0.082,109.98,0.031,172.65,0.065,219.35,0.074,295.53,0.086,288.23,0.082,311.05,0.087,312.67,0.082,298.44,0.082,296.88,0.102,294.3,0.125,303.56,0.174,292.59,0.151,295.04,0.107,278.05,0.087,271.97,0.181,296.57,0.171,271.67,0.128,283.6,0.091,300.21,0.095,295.49,0.142,275.67,0.297,267.3,0.43,249.71,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/1/2018 0:00,11.9,192.2,-2,-7.6,61.541,26.46,0,0,0.376,289.4,0.173,171.35,0.061,199.03,0.102,191.31,0.071,168.69,0.047,187.28,0.097,258.69,0.128,247.04,0.121,259.06,0.107,252.58,0.12,264.72,0.157,275.49,0.133,278.19,0.136,266.21,0.131,267.38,0.142,256.55,0.103,270.56,0.108,274.24,0.154,259.49,0.088,257.54,0.149,271.15,0.124,246.13,0.108,251.73,0.129,281.14,0.19,276.04,0.266,266.77,0.437,246.37,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/1/2018 1:00,11.9,192.2,-2.2,-7.7,61.542,26.47,0,0,0.311,317.6,0.147,177.27,0.08,211.7,0.051,128.66,0.034,232.13,0.125,283.92,0.16,280.82,0.144,258.38,0.134,248.59,0.102,249.25,0.072,248.05,0.12,255.5,0.163,256.13,0.145,241.67,0.169,226.2,0.164,222.53,0.207,246.04,0.203,247.99,0.174,245.2,0.222,249.2,0.219,268.69,0.164,266.51,0.18,261.06,0.159,249.74,0.239,242.04,0.309,245.76,0.45,246.97,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2/1/2018 2:00,11.9,192,-2.1,-7.4,61.528,26.46,0,0,0.123,333.02,0.058,231.95,0.034,261.63,0.077,148.78,0.057,60.75,0.076,250.85,0.176,237.03,0.149,242.06,0.17,276.41,0.227,269.24,0.216,254.42,0.156,248.2,0.152,247.64,0.157,258.98,0.158,265.27,0.125,266.34,0.191,264.89,0.212,257.21,0.173,246.84,0.2,258.19,0.218,252.4,0.222,247.48,0.194,243.96,0.186,242.89,0.194,250.72,0.277,254.91,0.451,253.13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
