DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m),Speed#37(37.5m),Dir#37(37.5m),Speed#38(38.5m),Dir#38(38.5m),Speed#39(39.5m),Dir#39(39.5m),Speed#40(40.5m),Dir#40(40.5m),Speed#41(41.5m),Dir#41(41.5m),Speed#42(42.5m),Dir#42(42.5m),Speed#43(43.5m),Dir#43(43.5m),Speed#44(44.5m),Dir#44(44.5m),Speed#45(45.5m),Dir#45(45.5m)
5/25/2005 18:00,14,197.5,2.3,-4.1,37.273,26.96,0,0,0.097,358.23,0.262,287.74,0.267,284.3,0.247,291.89,0.223,298.41,0.152,293.69,0.173,303.41,0.135,304.16,0.193,296.43,0.127,313.4,0.135,322.2,0.137,320.62,0.142,306.71,0.218,323.39,0.207,320.09,0.223,326.17,0.223,321.38,0.222,315.36,0.225,307.58,0.214,303.39,0.211,307.3,0.213,321.09,0.217,330.48,0.217,321.92,0.122,342.31,0.124,341.71,0.19,328.15,0.2,343.11,0.181,344.97,0.111,335.51,0.13,332.06,0.062,345.07,0.315,37.12,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/25/2005 19:00,14,197.5,2.3,-4.1,37.334,27.14,0,0,0.134,1.28,0.16,303.79,0.239,306.68,0.199,302.1,0.206,304.7,0.218,301.5,0.162,327.58,0.115,311.84,0.13,302.1,0.13,312.18,0.169,328.57,0.151,327.67,0.207,319.91,0.223,330.1,0.199,334.08,0.226,328.56,0.225,336.17,0.203,326.23,0.238,330.52,0.227,326.87,0.216,343.33,0.277,333.16,0.236,330.5,0.209,337.23,0.239,330.97,0.189,339.84,0.134,2.14,0.158,7.62,0.166,46.71,0.084,1.36,0.085,299.58,0.048,120.34,0.33,45.86,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/25/2005 20:00,14,197.4,2.3,-4.1,37.396,27.24,0,0,0.079,13.86,0.136,299.95,0.086,300.16,0.038,311.76,0.036,333.43,0.016,145.3,0.03,317.73,0.025,323.13,0.031,352.65,0.065,331.46,0.095,318.42,0.097,337.65,0.1,325.99,0.114,308.97,0.089,308.16,0.144,334.86,0.139,347.56,0.126,330.99,0.159,352.02,0.131,349.89,0.157,338.33,0.173,332.84,0.179,350.33,0.189,339.94,0.14,329.6,0.123,348.23,0.139,352.57,0.137,334.93,0.134,309.26,0.075,319.32,0.119,283.57,0.036,260.54,0.212,26.57,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/25/2005 21:00,13.9,197.4,2.4,-4.1,37.455,27.24,0,0,0.178,113.11,0.15,233.66,0.133,270.43,0.054,263.66,0.02,197.53,0.004,284.04,0.064,282.72,0.143,301.58,0.128,295.37,0.13,294.59,0.106,301.89,0.103,296.57,0.135,314.1,0.132,319.92,0.138,317.64,0.118,328.87,0.12,357.61,0.191,352.76,0.157,1.09,0.184,348.38,0.196,333.96,0.216,329.99,0.146,342.06,0.123,334.48,0.106,318.05,0.153,328.39,0.132,336.74,0.105,331,0.089,317.73,0.067,294.66,0.088,254.23,0.075,176.19,0.238,40.73,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/25/2005 22:00,13.9,197.5,2.4,-4.1,37.499,27.18,0,0,0.064,151.03,0.176,214.32,0.119,249.27,0.113,251.4,0.128,260.1,0.118,253.72,0.176,241.1,0.097,238.12,0.137,223.82,0.121,231.04,0.102,252.28,0.145,271.19,0.125,263.56,0.095,284.62,0.077,285.12,0.072,291.95,0.066,352.12,0.083,334.36,0.082,330.95,0.094,332.07,0.108,327.04,0.095,335.85,0.064,325.81,0.095,340.99,0.108,356.29,0.056,9.29,0.074,97.03,0.076,149.04,0.053,92.16,0.07,260.94,0.078,239.16,0.029,197.82,0.161,45.25,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/25/2005 23:00,13.9,197.5,2.4,-4.1,37.522,27.16,0,0,0.207,101.15,0.161,167.43,0.201,177.15,0.151,206.4,0.145,212.59,0.204,231.56,0.173,237.96,0.153,241.6,0.148,242.22,0.153,223.68,0.174,215.15,0.185,207.4,0.131,213.81,0.131,210.89,0.111,209.1,0.109,225.74,0.111,247.14,0.044,267.4,0.055,264.81,0.073,231.1,0.056,177.95,0.051,195.95,0.049,229.14,0.005,291.8,0.022,236.31,0.016,325.3,0.044,357.4,0.017,315,0.059,56.04,0.051,270,0.112,216.25,0.1,206.05,0.01,246.04,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/26/2005 0:00,13.9,197.4,2.3,-4.1,37.524,27.13,0,0,0.238,133.98,0.158,164.2,0.199,189.56,0.192,202.69,0.251,219.98,0.265,218.86,0.22,231.83,0.261,216.74,0.208,215.6,0.205,222.63,0.15,209.46,0.133,202.12,0.188,198.63,0.115,181,0.166,170.31,0.106,199.29,0.121,182.37,0.101,182.27,0.063,217.23,0.036,247.01,0.034,244.18,0.081,221.52,0.073,183.92,0.061,188.53,0.046,147.34,0.048,99.66,0.064,239.04,0.15,239.17,0.118,229.13,0.056,208.86,0.118,212.21,0.185,198.63,0.069,202.87,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/26/2005 1:00,13.9,197.5,2.3,-4.1,37.516,27.07,0,0,0.146,136.67,0.161,192.57,0.155,216.87,0.154,231.86,0.17,237.71,0.177,241.26,0.157,247.86,0.16,250.32,0.145,242.02,0.132,251.43,0.163,294.68,0.166,280.09,0.168,288,0.169,269.32,0.133,248.44,0.131,239.34,0.165,236.6,0.162,232.28,0.113,228.96,0.098,233.71,0.124,196.39,0.102,214.16,0.058,177.04,0.09,163.18,0.047,186.07,0.038,100.71,0.071,191.31,0.076,155.12,0.093,155.91,0.13,203.03,0.149,217.64,0.116,195.95,0.047,109.98,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/26/2005 2:00,13.9,197.5,2.3,-4.1,37.497,27.1,0,0,0.115,197.65,0.163,245.79,0.241,259.02,0.202,262.03,0.235,274.4,0.263,269.35,0.273,271.89,0.294,262.78,0.219,288.93,0.214,290.21,0.176,264.78,0.123,259.7,0.085,276.04,0.086,255.15,0.138,235.62,0.173,242.4,0.144,246.64,0.123,236.57,0.081,233.56,0.07,183.27,0.078,168.98,0.059,186.77,0.053,137.29,0.07,99.06,0.036,90,0.035,169.99,0.063,197.57,0.028,163.5,0.037,178.45,0.06,187.72,0.095,200.34,0.1,174.23,0.111,18.43,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/26/2005 3:00,13.9,197.4,2.3,-4.1,37.448,27.28,0,0,0.097,339.51,0.156,304.3,0.197,306.75,0.231,299.56,0.214,286.83,0.265,287.34,0.207,296.07,0.282,294.93,0.307,290.21,0.326,292.71,0.278,300.43,0.219,299.61,0.163,273.86,0.183,275.65,0.155,287.27,0.109,280.07,0.127,263.21,0.192,268.21,0.171,270,0.064,255.53,0.065,273.52,0.05,287.35,0.041,250.25,0.053,248.81,0.023,221.42,0.053,227.29,0.033,250.46,0.07,276.52,0.013,351.25,0.044,176.1,0.042,182.73,0.02,191.31,0.155,338.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
