DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.0m),Dir#1(2.0m),Speed#2(3.5m),Dir#2(3.5m),Speed#3(5.0m),Dir#3(5.0m),Speed#4(6.5m),Dir#4(6.5m),Speed#5(8.0m),Dir#5(8.0m),Speed#6(9.5m),Dir#6(9.5m),Speed#7(11.0m),Dir#7(11.0m),Speed#8(12.5m),Dir#8(12.5m),Speed#9(14.0m),Dir#9(14.0m),Speed#10(15.5m),Dir#10(15.5m),Speed#11(17.0m),Dir#11(17.0m),Speed#12(18.5m),Dir#12(18.5m),Speed#13(20.0m),Dir#13(20.0m),Speed#14(21.5m),Dir#14(21.5m),Speed#15(23.0m),Dir#15(23.0m),Speed#16(24.5m),Dir#16(24.5m),Speed#17(26.0m),Dir#17(26.0m),Speed#18(27.5m),Dir#18(27.5m),Speed#19(29.0m),Dir#19(29.0m),Speed#20(30.5m),Dir#20(30.5m),Speed#21(32.0m),Dir#21(32.0m),Speed#22(33.5m),Dir#22(33.5m),Speed#23(35.0m),Dir#23(35.0m),Speed#24(36.5m),Dir#24(36.5m)
6/14/2006 18:00,13.8,100.6,-2.9,4.2,36.671,27.88,0,0,0.023,347.2,0.144,33.69,0.163,31.45,0.176,41.55,0.187,46.95,0.199,47.24,0.218,57.91,0.218,58.86,0.256,61.84,0.27,57.72,0.289,53.17,0.301,49.05,0.316,47.18,0.298,49.63,0.293,46.66,0.314,40.09,0.305,41.01,0.289,46.68,0.302,38.69,0.304,33.74,0.277,356.69,-99,-99,-99,-99,-99,-99
6/14/2006 18:30,13.8,100.7,-2.8,4.2,36.706,27.56,0,0,0.121,7.59,0.135,35.34,0.191,79.16,0.264,78.65,0.257,77.86,0.233,70.94,0.279,66.56,0.271,63.43,0.304,69.42,0.302,69.82,0.299,60.95,0.304,60.91,0.268,61.71,0.268,59.51,0.276,57.58,0.293,52.35,0.291,46.81,0.316,47.05,0.316,47.69,0.265,44.85,0.221,27.14,-99,-99,-99,-99,-99,-99
6/14/2006 19:00,13.8,100.7,-2.8,4.1,36.735,27.56,0,0,0.095,117.65,0.186,101.49,0.237,92.17,0.243,95.43,0.253,98.64,0.281,90.2,0.282,78.97,0.266,74.08,0.274,73.02,0.295,71.81,0.304,64.45,0.311,61.79,0.297,60.33,0.267,57.86,0.292,61.15,0.263,64.02,0.28,54.44,0.288,45.7,0.256,48.01,0.243,51.34,0.122,4.69,-99,-99,-99,-99,-99,-99
6/14/2006 19:30,13.8,100.6,-2.8,4.1,36.769,27.59,0,0,0.164,126.59,0.212,142.48,0.26,122.29,0.256,106.59,0.291,83.49,0.325,72.29,0.263,67.43,0.263,65,0.269,68.87,0.236,68.33,0.249,59.31,0.257,58.54,0.246,52.94,0.252,49.35,0.225,50.23,0.229,57.84,0.24,59.69,0.231,56.31,0.245,50.13,0.259,46.88,0.184,41.48,-99,-99,-99,-99,-99,-99
6/14/2006 20:00,13.8,100.6,-2.8,4,36.811,27.52,0,0,0.246,120.21,0.278,133.98,0.261,130.34,0.234,101.36,0.233,84.58,0.273,71.63,0.245,66.89,0.259,64.13,0.274,52.71,0.249,57.46,0.269,54.24,0.304,54.9,0.272,55.2,0.258,60.26,0.261,61.67,0.262,60.01,0.241,60.14,0.281,53.99,0.258,57.17,0.238,66.23,0.152,34.53,-99,-99,-99,-99,-99,-99
6/14/2006 20:30,13.8,100.6,-2.8,4,36.845,27.57,0,0,0.202,130.79,0.24,128.06,0.324,125.7,0.288,113.28,0.251,88.86,0.283,69.78,0.253,63.23,0.244,67.63,0.297,59.47,0.258,63.83,0.28,62.61,0.262,61.28,0.255,59.92,0.267,64.97,0.276,64.46,0.244,60.49,0.201,64.71,0.212,66.34,0.269,61.05,0.202,62.29,0.108,43.88,-99,-99,-99,-99,-99,-99
6/14/2006 21:00,13.8,100.6,-2.7,4,36.881,27.57,0,0,0.144,134.15,0.148,163.52,0.249,140.55,0.266,125.36,0.227,106.12,0.189,85.14,0.223,71.73,0.174,61.07,0.245,69.72,0.209,66.87,0.187,70.59,0.188,68.09,0.167,73.63,0.149,69.13,0.205,62.06,0.221,57.39,0.21,61.85,0.23,64.55,0.258,62.74,0.238,61.72,0.159,30.28,-99,-99,-99,-99,-99,-99
6/14/2006 21:30,13.8,100.6,-2.7,4,36.911,27.57,0,0,0.162,145.82,0.138,162.74,0.257,140.05,0.194,127.05,0.151,100.27,0.202,81.47,0.224,61.72,0.217,68.64,0.223,77.33,0.229,71.41,0.199,68.2,0.197,70.74,0.227,74.68,0.246,75.4,0.217,77.76,0.189,72.14,0.206,71.57,0.206,71.92,0.195,70.82,0.152,85.08,0.022,236.31,-99,-99,-99,-99,-99,-99
6/14/2006 22:00,13.8,100.6,-2.7,4,36.945,27.56,0,0,0.163,157.22,0.182,155.69,0.213,144.37,0.223,134.09,0.222,99.33,0.232,85.3,0.21,81.52,0.199,72.75,0.227,71.8,0.217,72.82,0.182,68.08,0.145,61.14,0.145,62.55,0.136,59.11,0.178,52.55,0.211,57.36,0.165,58.62,0.168,65.73,0.169,78.02,0.13,79.81,0.058,59.89,-99,-99,-99,-99,-99,-99
6/14/2006 22:30,13.8,100.6,-2.7,4,36.969,27.57,0,0,0.176,151.55,0.173,151.36,0.199,146.87,0.192,120.3,0.141,103.54,0.176,98.5,0.163,77.24,0.144,65.75,0.158,61.33,0.154,62.6,0.132,53.3,0.125,55.42,0.139,53.46,0.173,52.73,0.149,51.52,0.148,59.97,0.143,67.01,0.138,59.89,0.11,64.6,0.111,79.09,0.056,70.28,-99,-99,-99,-99,-99,-99
