DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.0m),Dir#1(2.0m),Speed#2(3.5m),Dir#2(3.5m),Speed#3(5.0m),Dir#3(5.0m),Speed#4(6.5m),Dir#4(6.5m),Speed#5(8.0m),Dir#5(8.0m),Speed#6(9.5m),Dir#6(9.5m),Speed#7(11.0m),Dir#7(11.0m),Speed#8(12.5m),Dir#8(12.5m),Speed#9(14.0m),Dir#9(14.0m),Speed#10(15.5m),Dir#10(15.5m),Speed#11(17.0m),Dir#11(17.0m),Speed#12(18.5m),Dir#12(18.5m),Speed#13(20.0m),Dir#13(20.0m),Speed#14(21.5m),Dir#14(21.5m),Speed#15(23.0m),Dir#15(23.0m),Speed#16(24.5m),Dir#16(24.5m),Speed#17(26.0m),Dir#17(26.0m),Speed#18(27.5m),Dir#18(27.5m),Speed#19(29.0m),Dir#19(29.0m),Speed#20(30.5m),Dir#20(30.5m),Speed#21(32.0m),Dir#21(32.0m),Speed#22(33.5m),Dir#22(33.5m),Speed#23(35.0m),Dir#23(35.0m),Speed#24(36.5m),Dir#24(36.5m),
1/17/2008 13:00:00, 11.7, 90.0,  0.0,  0.0, 37.564, 26.73,  0.0,  0.0,  0.237, 180.97,  0.235, 186.10,  0.211, 182.71,  0.203, 202.64,  0.205, 195.26,  0.233, 191.12,  0.217, 180.79,  0.218, 191.62,  0.181, 187.28,  0.183, 189.10,  0.197, 187.59,  0.184, 185.62,  0.217, 191.67,  0.209, 193.57,  0.191, 196.15,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.211, 123.61,-99.000, -99.00,-99.000, -99.00,
1/17/2008 13:30:00, 11.7, 90.0,  0.0,  0.0, 37.556, 26.74,  0.0,  0.0,  0.221, 179.74,  0.190, 189.71,  0.156, 195.19,  0.185, 182.17,  0.128, 180.45,  0.164, 194.12,  0.165, 192.94,  0.180, 196.43,  0.129, 184.43,  0.177, 185.84,  0.200, 176.85,  0.142, 178.39,  0.163, 178.59,  0.173, 184.98,  0.197, 184.96,  0.180, 194.50,  0.243, 177.41,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.190,  95.74,-99.000, -99.00,-99.000, -99.00,
1/17/2008 14:00:00, 11.7, 90.0,  0.0,  0.0, 37.547, 26.74,  0.0,  0.0,  0.245, 182.57,  0.163, 187.73,  0.186, 196.88,  0.157, 181.82,  0.154, 191.24,  0.158, 191.31,  0.176, 196.48,  0.201, 172.56,  0.185, 177.21,  0.203, 193.08,  0.159, 180.00,  0.172, 195.17,  0.158, 203.96,  0.185, 191.55,  0.151, 204.70,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.125, 129.16,-99.000, -99.00,-99.000, -99.00,
1/17/2008 14:30:00, 11.7, 90.0,  0.0,  0.0, 37.530, 26.74,  0.0,  0.0,  0.181, 166.27,  0.186, 166.34,  0.139, 190.75,  0.177, 180.00,  0.154, 196.56,  0.126, 190.06,  0.115, 186.01,  0.121, 176.69,  0.131, 202.05,  0.142, 190.52,  0.154, 185.60,  0.111, 203.33,  0.139, 194.53,  0.123, 189.85,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.170, 129.98,-99.000, -99.00,-99.000, -99.00,
1/17/2008 15:00:00, 11.7, 90.0,  0.0,  0.0, 37.511, 26.74,  0.0,  0.0,  0.149, 164.48,  0.120, 184.29,  0.099, 180.00,  0.113, 175.95,  0.103, 195.26,  0.114, 188.06,  0.136, 175.38,  0.124, 180.00,  0.132, 187.82,  0.101, 210.87,  0.146, 177.26,  0.154, 183.72,  0.164, 195.90,  0.130, 191.57,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.162, 122.42,-99.000, -99.00,-99.000, -99.00,
1/17/2008 15:30:00, 11.7, 90.0,  0.0,  0.0, 37.505, 26.73,  0.0,  0.0,  0.149, 156.70,  0.105, 164.51,  0.098, 185.25,  0.064, 182.68,  0.055, 167.47,  0.032, 180.00,  0.075, 180.00,  0.096, 169.16,  0.088, 176.75,  0.085, 162.85,  0.099, 191.08,  0.145, 187.13,  0.147, 172.97,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.197, 104.67,-99.000, -99.00,-99.000, -99.00,
1/17/2008 16:00:00, 11.7, 90.0,  0.0,  0.0, 37.494, 26.73,  0.0,  0.0,  0.173, 163.55,  0.125, 136.95,  0.074, 133.90,  0.031, 174.47,  0.055, 170.54,  0.142, 171.47,  0.124, 178.61,  0.056, 219.94,  0.096, 173.40,  0.090, 158.55,  0.099, 158.09,  0.125, 174.97,  0.124, 159.66,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.203, 126.19,-99.000, -99.00,-99.000, -99.00,
1/17/2008 16:30:00, 11.7, 90.0,  0.0,  0.0, 37.488, 26.73,  0.0,  0.0,  0.152, 147.36,  0.056, 165.47,  0.114, 158.39,  0.075, 157.20,  0.090, 176.19,  0.116, 198.59,  0.088, 180.00,  0.107, 168.17,  0.148, 169.90,  0.200, 157.93,  0.183, 165.13,  0.214, 164.02,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.380, 100.45,-99.000, -99.00,-99.000, -99.00,
1/17/2008 17:00:00, 11.7, 90.0,  0.0,  0.0, 37.474, 26.73,  0.0,  0.0,  0.164, 161.12,  0.066, 158.52,  0.028, 237.99,  0.064, 136.27,  0.036, 152.02,  0.078, 169.70,  0.050, 211.16,  0.106, 165.83,  0.090, 165.19,  0.089, 166.28,  0.059, 189.78,  0.070, 170.94,  0.105, 157.09,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.342, 100.78,-99.000, -99.00,-99.000, -99.00,
1/17/2008 17:30:00, 11.7, 90.0,  0.0,  0.0, 37.460, 26.73,  0.0,  0.0,  0.177, 149.37,  0.084, 153.13,  0.053, 127.30,  0.097, 115.77,  0.066, 140.53,  0.058, 147.68,  0.082, 150.00,  0.073, 172.09,  0.122, 150.08,  0.128, 157.45,  0.109, 176.85,  0.131, 161.70,  0.165, 162.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.226,  91.52,-99.000, -99.00,-99.000, -99.00,
