DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.0m),Dir#1(2.0m),Speed#2(3.5m),Dir#2(3.5m),Speed#3(5.0m),Dir#3(5.0m),Speed#4(6.5m),Dir#4(6.5m),Speed#5(8.0m),Dir#5(8.0m),Speed#6(9.5m),Dir#6(9.5m),Speed#7(11.0m),Dir#7(11.0m),Speed#8(12.5m),Dir#8(12.5m),Speed#9(14.0m),Dir#9(14.0m),Speed#10(15.5m),Dir#10(15.5m),Speed#11(17.0m),Dir#11(17.0m),Speed#12(18.5m),Dir#12(18.5m),Speed#13(20.0m),Dir#13(20.0m),Speed#14(21.5m),Dir#14(21.5m),Speed#15(23.0m),Dir#15(23.0m),Speed#16(24.5m),Dir#16(24.5m),Speed#17(26.0m),Dir#17(26.0m),Speed#18(27.5m),Dir#18(27.5m),Speed#19(29.0m),Dir#19(29.0m),Speed#20(30.5m),Dir#20(30.5m),Speed#21(32.0m),Dir#21(32.0m),Speed#22(33.5m),Dir#22(33.5m),Speed#23(35.0m),Dir#23(35.0m),Speed#24(36.5m),Dir#24(36.5m),
1/18/2007 18:00:00, 11.9,311.1,  2.8,  4.1, 37.560, 26.63,  0.0,  0.0,  0.044,  27.15,  0.078,  34.09,  0.032,  25.77,  0.058,  38.66,  0.131,  47.17,  0.106,  40.43,  0.098,  32.07,  0.101,  36.53,  0.111,  32.11,  0.074,  36.25,  0.092,  36.62,  0.151,  29.79,  0.141,  41.84,  0.147,  32.50,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.306, 263.62,-99.000, -99.00,-99.000, -99.00,
1/18/2007 18:30:00, 11.9,311.2,  2.8,  4.1, 37.548, 26.62,  0.0,  0.0,  0.042, 289.29,  0.075,  22.80,  0.087,  68.44,  0.108,  58.67,  0.140,  56.99,  0.112,  69.62,  0.096,  30.86,  0.083,  57.26,  0.094,  31.49,  0.071,  32.35,  0.088,  24.82,  0.076,  25.56,  0.074,  24.83,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.132,  47.46,  0.186, 258.21,-99.000, -99.00,-99.000, -99.00,
1/18/2007 19:00:00, 11.9,311.1,  2.8,  4.1, 37.539, 26.62,  0.0,  0.0,  0.066,  44.38,  0.033,  52.43,  0.070,  49.04,  0.126,  41.14,  0.232,  31.43,  0.200,  23.61,  0.174,  18.12,  0.190,  30.76,  0.160,  27.21,  0.175,  16.57,  0.182,  25.44,  0.168,  34.82,  0.150,  34.65,  0.150,  29.98,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.491, 242.96,-99.000, -99.00,-99.000, -99.00,
1/18/2007 19:30:00, 11.9,311.2,  2.8,  4.1, 37.535, 26.62,  0.0,  0.0,  0.092, 170.64,  0.054, 144.83,  0.081, 131.99,  0.079, 101.74,  0.059,  80.22,  0.077,  63.10,  0.103,  75.96,  0.089,  97.77,  0.061,  83.45,  0.092,  69.59,  0.134,  47.73,  0.094,  90.00,  0.053,  72.58,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.425, 256.13,-99.000, -99.00,-99.000, -99.00,
1/18/2007 20:00:00, 11.9,311.1,  2.8,  4.1, 37.527, 26.62,  0.0,  0.0,  0.039, 145.49,  0.076, 160.85,  0.061, 116.15,  0.081, 119.74,  0.071, 124.14,  0.091,  96.97,  0.100, 108.62,  0.090, 113.70,  0.089, 115.99,  0.082, 121.56,  0.067,  96.81,  0.107,  52.59,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.292, 253.30,-99.000, -99.00,-99.000, -99.00,
1/18/2007 20:30:00, 11.9,311.1,  2.8,  4.1, 37.519, 26.62,  0.0,  0.0,  0.080, 177.85,  0.119, 151.50,  0.083, 111.93,  0.138, 125.87,  0.135, 145.84,  0.094, 132.85,  0.039, 127.75,  0.063, 153.43,  0.046, 135.88,  0.054, 152.49,  0.048, 169.16,  0.049, 135.83,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.364, 248.08,-99.000, -99.00,-99.000, -99.00,
1/18/2007 21:00:00, 11.9,311.1,  2.8,  4.1, 37.507, 26.62,  0.0,  0.0,  0.089, 144.16,  0.074, 169.90,  0.071, 175.17,  0.092, 118.51,  0.078, 111.94,  0.078, 130.84,  0.059, 126.67,  0.101, 115.29,  0.113, 115.66,  0.128, 127.41,  0.153, 127.32,  0.102, 121.83,  0.109, 142.08,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.412, 240.95,-99.000, -99.00,-99.000, -99.00,
1/18/2007 21:30:00, 11.9,311.3,  2.8,  4.1, 37.496, 26.62,  0.0,  0.0,  0.080, 182.86,  0.099, 163.58,  0.119, 167.37,  0.146, 151.86,  0.161, 135.50,  0.133, 152.66,  0.131, 155.19,  0.080, 149.28,  0.115, 127.96,  0.158, 148.23,  0.148, 151.70,  0.139, 137.62,  0.126, 139.84,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.492, 237.44,-99.000, -99.00,-99.000, -99.00,
1/18/2007 22:00:00, 11.9,311.1,  2.8,  4.1, 37.482, 26.62,  0.0,  0.0,  0.101, 174.35,  0.094, 163.30,  0.069, 140.30,  0.091, 128.76,  0.114, 133.93,  0.106, 132.71,  0.078, 161.33,  0.093, 144.61,  0.057, 136.43,  0.062, 140.91,  0.066, 147.99,  0.054, 158.20,  0.043, 151.07,  0.042, 151.61,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.520, 254.25,-99.000, -99.00,-99.000, -99.00,
1/18/2007 22:30:00, 11.9,311.1,  2.8,  4.1, 37.473, 26.61,  0.0,  0.0,  0.035, 161.57,  0.111, 150.90,  0.097, 172.87,  0.083, 162.44,  0.084, 160.48,  0.089, 145.06,  0.087, 147.23,  0.057, 147.99,  0.094, 190.47,  0.090, 181.27,  0.123, 179.53,  0.073, 179.22,  0.071, 161.82,  0.094, 191.07,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.492, 242.50,-99.000, -99.00,-99.000, -99.00,
