DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m),Speed#37(37.5m),Dir#37(37.5m),Speed#38(38.5m),Dir#38(38.5m),Speed#39(39.5m),Dir#39(39.5m),Speed#40(40.5m),Dir#40(40.5m),Speed#41(41.5m),Dir#41(41.5m),Speed#42(42.5m),Dir#42(42.5m),Speed#43(43.5m),Dir#43(43.5m),Speed#44(44.5m),Dir#44(44.5m),Speed#45(45.5m),Dir#45(45.5m)
9/19/2005 18:00,11.3,146.3,-2,-4.2,37.477,28.54,0,0,0.213,310.63,0.117,322.64,0.21,322.75,0.191,354.59,0.174,18.43,0.152,14.13,0.125,20.18,0.163,40.03,0.173,21.06,0.125,29.86,0.15,31.88,0.135,51.94,0.096,49.66,0.079,25.59,0.101,22.01,0.084,17.35,0.092,37.49,0.111,40.99,0.098,22.89,0.1,3.43,0.079,7.31,0.116,21.25,0.093,21.35,0.082,18.43,0.114,30.62,0.063,33.94,0.079,17.74,0.026,353.42,0.086,19.07,0.12,1.91,-99,-99,-99,-99,0.153,332.26,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/19/2005 18:30,11.3,146.4,-2,-4.2,37.495,28.34,0,0,0.194,326.8,0.206,341.3,0.257,337.33,0.179,0,0.179,0.64,0.11,12.02,0.133,37.99,0.103,46.97,0.129,53.22,0.147,30.56,0.164,37.57,0.136,56.08,0.124,64.26,0.117,54.41,0.105,35.67,0.096,41.63,0.109,13.78,0.06,14.5,0.025,313.36,0.033,334.98,0.07,11.47,0.04,28.5,0.061,52.94,0.079,2.9,0.074,357.68,0.039,340.64,0.064,4.47,-99,-99,-99,-99,0.066,320.53,0.018,312.71,0.021,209.05,0.133,271.72,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/19/2005 19:00,11.3,146.3,-2,-4.2,37.487,28.55,0,0,0.19,341.57,0.249,346.75,0.245,352.04,0.214,10.21,0.192,12.3,0.115,35.07,0.12,12.99,0.163,31.93,0.193,36.57,0.226,18.84,0.187,4.92,0.157,5.13,0.136,359.16,0.139,20.65,0.151,8.4,0.137,356.24,0.127,349.13,0.173,356.69,0.222,357.42,0.177,350.91,0.142,339.78,0.209,331.11,0.222,340.5,0.172,341.35,0.17,336.76,0.171,342.31,0.187,333.02,0.194,349.33,0.203,347.47,0.25,340.11,0.276,341.83,0.206,339.8,0.272,315.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/19/2005 19:30,11.3,146.5,-2,-4.3,37.502,28.66,0,0,0.154,326.62,0.165,327.37,0.228,351.69,0.098,359.42,0.074,23.81,0.136,19.77,0.1,51.87,0.079,88.55,0.096,55.15,0.092,78.08,0.08,88.57,0.133,23.88,0.031,59.35,0.023,59.04,0.049,53.37,0.05,41.73,0.046,24.34,0.048,352.87,0.061,347.77,0.048,24.44,0.016,345.96,0.038,278.97,0.022,339.15,0.047,260.13,0.052,223.45,0.077,202.91,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/19/2005 20:00,11.3,146.3,-2,-4.2,37.506,28.82,0,0,0.135,356.19,0.073,32.17,0.11,28.19,0.086,45.94,0.058,120.11,0.006,90,0.077,88.51,0.035,27.3,0.051,290.56,0.033,289.54,0.039,291.25,0.033,211.26,0.035,293.63,0.045,335.14,0.065,319.4,0.084,298.39,0.064,320.08,0.059,340.35,0.085,317.86,0.105,316.92,0.073,308.29,0.063,299.41,0.056,274.09,0.033,345.96,0.077,320.76,0.097,291.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.179,293.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/19/2005 20:30,11.3,146.4,-2,-4.2,37.517,28.87,0,0,0.057,296.11,0.042,36.33,0.012,124.99,0.047,180,0.029,112.17,0.083,205.02,0.118,184.84,0.096,196.36,0.091,201.22,0.077,167.23,0.031,209.05,0.066,241.88,0.072,210.14,0.038,161.57,0.033,194.04,0.064,221.86,0.082,219.54,0.092,247.62,0.083,244.98,0.111,280.4,0.077,278.97,0.042,245.9,0.042,264.56,0.087,246.37,0.162,248.66,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.218,250.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/19/2005 21:00,11.2,146.4,-2,-4.2,37.527,28.9,0,0,0.101,235.52,0.144,274.76,0.048,234.32,0.042,248.96,0.073,218.29,0.166,233.34,0.121,207.63,0.113,199.72,0.128,218.03,0.092,217.49,0.132,233.91,0.12,243.22,0.147,213.37,0.132,206.57,0.067,249.94,0.105,274.36,0.112,263.83,0.134,273.42,0.141,277.73,0.114,271.01,0.117,263.61,0.098,247.11,0.086,281.44,0.096,312.47,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.098,228.7,0.274,241.19,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/19/2005 21:30,11.2,146.3,-2,-4.2,37.536,28.83,0,0,0.115,190.53,0.162,186.73,0.153,189.77,0.121,191.96,0.121,221.99,0.129,203.2,0.103,211.06,0.113,218.9,0.125,221.44,0.124,227.29,0.14,250.02,0.115,247,0.111,247.14,0.113,234.34,0.116,236.58,0.105,255.03,0.11,272.08,0.104,259.45,0.124,261.22,0.125,260.76,0.106,246.09,0.066,229.3,0.075,230.98,0.129,236.06,0.163,245.79,0.16,246.8,0.13,221.89,0.147,241.17,-99,-99,-99,-99,-99,-99,-99,-99,0.221,301.32,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/19/2005 22:00,11.2,146.4,-2,-4.2,37.538,28.9,0,0,0.218,191.93,0.13,196.07,0.15,201.94,0.181,203.45,0.104,221.5,0.16,204,0.174,207.45,0.195,200.11,0.19,204.94,0.145,201.43,0.086,223.58,0.124,259.32,0.15,223.92,0.144,227.81,0.127,231.06,0.159,218.38,0.177,219.97,0.118,234.69,0.118,238.87,0.139,231.15,0.155,216.05,0.193,215.92,0.161,222.23,0.153,242.43,0.136,230.36,0.14,223.26,0.171,215.73,-99,-99,-99,-99,-99,-99,-99,-99,0.112,178.98,0.059,229.82,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/19/2005 22:30,11.2,146.4,-2,-4.2,37.53,28.93,0,0,0.155,184.43,0.211,197.06,0.282,203.84,0.264,207.24,0.295,209.43,0.185,204.21,0.264,202.97,0.26,203.31,0.244,205.51,0.182,192.67,0.139,208.77,0.152,217.25,0.155,204.75,0.096,217.35,0.08,249.53,0.102,236.15,0.099,225.82,0.082,220.53,0.148,243.61,0.174,236.04,0.141,223.85,0.154,211.73,0.192,225.42,0.201,223.39,0.174,235.3,0.118,239.53,0.154,247.09,-99,-99,-99,-99,-99,-99,-99,-99,0.202,244.45,0.206,312.84,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
