DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.0m),Dir#1(2.0m),Speed#2(3.5m),Dir#2(3.5m),Speed#3(5.0m),Dir#3(5.0m),Speed#4(6.5m),Dir#4(6.5m),Speed#5(8.0m),Dir#5(8.0m),Speed#6(9.5m),Dir#6(9.5m),Speed#7(11.0m),Dir#7(11.0m),Speed#8(12.5m),Dir#8(12.5m),Speed#9(14.0m),Dir#9(14.0m),Speed#10(15.5m),Dir#10(15.5m),Speed#11(17.0m),Dir#11(17.0m),Speed#12(18.5m),Dir#12(18.5m),Speed#13(20.0m),Dir#13(20.0m),Speed#14(21.5m),Dir#14(21.5m),Speed#15(23.0m),Dir#15(23.0m),Speed#16(24.5m),Dir#16(24.5m),Speed#17(26.0m),Dir#17(26.0m),Speed#18(27.5m),Dir#18(27.5m),Speed#19(29.0m),Dir#19(29.0m),Speed#20(30.5m),Dir#20(30.5m),Speed#21(32.0m),Dir#21(32.0m),Speed#22(33.5m),Dir#22(33.5m),Speed#23(35.0m),Dir#23(35.0m),Speed#24(36.5m),Dir#24(36.5m)
4/10/2008 18:00,11.8,18,-2.8,4.6,37.424,25.7,0,0,0.181,250.67,0.13,240.47,0.208,252.7,0.151,289.76,0.208,289.04,0.198,278.13,0.182,288.53,0.176,287.2,0.148,310.35,0.14,332.34,0.138,350.81,0.136,351.57,0.162,349.66,0.148,347.55,0.133,359.57,0.137,9.26,0.136,13.63,0.13,22.21,0.118,21.35,-99,-99,0.145,329.37,0.277,291.38,-99,-99,-99,-99
4/10/2008 19:00,11.8,17.9,-2.8,4.6,37.463,25.7,0,0,0.05,224.19,0.036,273.18,0.056,296.57,0.021,247.17,0.075,237.59,0.051,247.99,0.016,312.51,0.014,171.87,0.011,217.87,0.02,90,0.017,32.74,0.026,67.38,0.075,50.39,0.1,22.23,0.116,25.46,0.14,49.62,0.149,58.44,0.14,61.78,0.173,60.62,-99,-99,-99,-99,0.201,287.71,-99,-99,-99,-99
4/10/2008 20:00,11.8,18.2,-2.8,4.6,37.515,25.68,0,0,0.044,185.19,0.075,144.2,0.028,182.05,0.05,141.52,0.033,160.46,0.028,186.12,0.043,187.94,0.005,143.13,0.023,37.87,0.04,38.88,0.04,351.47,0.056,5.1,0.063,13.82,0.069,46.17,0.083,45.97,0.094,70.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.212,265.39,-99,-99,-99,-99
4/10/2008 21:00,11.8,18,-2.8,4.6,37.568,25.68,0,0,0.063,148.57,0.096,115.23,0.1,114.78,0.099,120.96,0.079,110.73,0.055,113.75,0.039,100.44,0.025,135,0.046,92.49,0.045,95.08,0.049,112.89,0.041,111.54,0.064,69.86,0.049,78.23,0.068,100.15,0.099,71.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.291,249.51,-99,-99,-99,-99
4/10/2008 22:00,11.8,18,-2.8,4.6,37.621,25.67,0,0,0.077,208.55,0.11,133.15,0.088,121.52,0.113,126.36,0.128,122.2,0.113,127.07,0.097,137.09,0.084,120.85,0.083,116.57,0.067,133.19,0.109,149.67,0.079,123.08,-99,-99,0.077,139.72,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.229,235.48,-99,-99,-99,-99
4/10/2008 23:00,11.8,18,-2.8,4.6,37.663,25.67,0,0,0.123,190.3,0.108,184.76,0.076,209.93,0.12,187.18,0.122,170.54,0.096,176.42,0.098,168.8,0.114,172.44,0.107,159.7,0.107,150.32,0.105,151,0.109,157.91,0.1,157.56,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 0:00,11.8,18.1,-2.8,4.6,37.695,25.67,0,0,0.163,226.74,0.136,214.85,0.17,199.93,0.18,199.14,0.194,219.99,0.171,226.42,0.147,218.35,0.16,214.29,0.149,220.1,0.141,222.99,0.158,216,0.156,224.22,0.141,219.81,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.414,244.36,-99,-99,-99,-99
4/11/2008 1:00,11.8,18.2,-2.8,4.6,37.716,25.67,0,0,0.189,229.07,0.169,225.72,0.119,238.46,0.17,217.82,0.206,228.95,0.248,215.99,0.218,212.45,0.202,226.6,0.2,235.59,0.183,245.12,0.17,241.63,0.21,243.43,0.205,238.17,0.184,234.75,0.15,232.59,0.136,220.83,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 2:00,11.8,18,-2.8,4.6,37.716,25.67,0,0,0.171,222.16,0.134,226.21,0.151,241.57,0.199,229.9,0.198,227.05,0.193,238.53,0.171,249.13,0.202,249.78,0.239,242.9,0.231,234.17,0.212,242.47,0.206,244.68,0.218,247.32,0.243,239.64,0.215,244.63,0.217,245.8,0.213,242.35,0.2,241,-99,-99,-99,-99,-99,-99,0.479,254.25,-99,-99,-99,-99
4/11/2008 3:00,11.8,18.2,-2.8,4.6,37.715,25.69,0,0,0.146,262.92,0.191,267,0.217,263.4,0.227,263.16,0.237,259.78,0.262,263.42,0.245,264.38,0.27,259.56,0.279,264.25,0.292,266.26,0.271,266.19,0.268,260.12,0.268,257.26,0.242,258.78,0.242,265.26,0.241,268.1,0.232,265.3,0.234,263.36,0.228,268.99,0.249,266.31,0.246,264.41,0.381,253.37,-99,-99,-99,-99
