DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m)
5/8/2009 18:00,11.8,315.2,3.7,5.2,37.599,25.79,0,0,0.121,88.58,0.013,321.34,0.034,31.83,0.127,84.56,0.086,77.25,0.035,78.37,0.052,52.03,0.096,16.93,0.092,340.97,0.044,331.7,0.03,42.27,0.09,25.71,0.08,347.01,0.134,333.43,0.108,341.73,0.088,350.86,0.104,357.25,0.138,340.51,0.113,347.69,0.173,347.97,0.165,339.81,0.195,355.58,0.235,330.92,0.212,316.91,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.488,285.46,0.583,285.63,-99,-99,-99,-99,-99,-99
5/8/2009 19:00,11.8,315.1,3.7,5.2,37.66,25.52,0,0,0.144,140.65,0.112,141.5,0.107,207.76,0.086,240.75,0.075,239.69,0.041,204.68,0.06,263.35,0.096,280.25,0.113,243.21,0.137,266.66,0.127,268.2,0.116,268.03,0.127,277.24,0.151,295.55,0.181,311.63,0.225,293.6,0.22,299.13,0.234,299.74,0.266,306.44,0.234,300.84,0.183,297.96,0.229,303.41,0.231,313.42,0.158,303.08,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.535,275.9,0.62,276.85,-99,-99,-99,-99,-99,-99
5/8/2009 20:00,11.8,315.2,3.6,5.1,37.71,25.4,0,0,0.143,154.33,0.151,173.16,0.195,177.94,0.135,170.61,0.124,194.48,0.088,269.35,0.119,276.29,0.147,260.6,0.174,281.25,0.183,301.34,0.206,286.94,0.215,289.87,0.236,290.36,0.264,300.74,0.256,288.01,0.286,280.88,0.254,283.87,0.284,284.09,0.254,286.72,0.204,297.07,0.196,299.31,0.198,306.18,0.237,300.47,0.279,296.38,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.5,271.15,0.734,270.23,-99,-99,-99,-99,-99,-99
5/8/2009 21:00,11.8,315.2,3.6,5.1,37.734,25.63,0,0,0.147,167.01,0.14,195.33,0.211,196.21,0.144,216.55,0.142,215.82,0.117,240.38,0.124,271.85,0.166,266.55,0.206,280.93,0.22,274.44,0.193,281.95,0.223,283.73,0.265,273.24,0.223,286.65,0.241,282.19,0.232,280.44,0.201,276.28,0.275,283.68,0.276,287.06,0.264,290.43,0.174,291.99,0.184,274.37,0.226,284.34,0.261,286.22,0.188,297.52,0.165,297.34,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.425,276.89,0.6,276.41,-99,-99,-99,-99,-99,-99
5/8/2009 22:00,11.8,315.3,3.6,5.1,37.749,25.56,0,0,0.157,170.48,0.107,198.6,0.133,223.17,0.147,259.38,0.215,262.25,0.223,270,0.185,254.01,0.223,265.11,0.213,274.05,0.228,279.34,0.237,282.69,0.228,285.01,0.231,279.46,0.239,280.6,0.224,287.71,0.257,272.9,0.22,268.7,0.239,277.69,0.256,280.83,0.267,277.52,0.268,271.5,0.233,289.29,0.231,281.21,0.19,293.87,0.201,302.58,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.442,263.89,0.601,261.2,-99,-99,-99,-99,-99,-99
5/8/2009 23:00,11.8,315.3,3.6,5.1,37.741,25.53,0,0,0.145,191.93,0.188,175.41,0.193,183.56,0.185,216.87,0.202,240.26,0.22,229.06,0.217,248.39,0.262,243.43,0.284,255.96,0.261,262.09,0.265,265.02,0.289,273.77,0.293,269.8,0.248,265.37,0.251,265.88,0.278,275.77,0.278,276.41,0.254,284.58,0.244,289.18,0.275,277.1,0.282,269.8,0.245,275.15,0.245,272.8,0.194,277.09,0.182,300.37,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.354,259.1,0.518,267.45,-99,-99,-99,-99,-99,-99
5/9/2009 0:00,11.8,315.2,3.6,5.1,37.723,25.56,0,0,0.157,173.06,0.172,195.49,0.19,218.8,0.194,213.2,0.151,224.73,0.085,205.06,0.173,214.61,0.15,250.96,0.129,248.61,0.159,252.82,0.164,265.82,0.193,255.6,0.182,275.05,0.21,268.91,0.156,279.58,0.223,277.98,0.136,279.74,0.206,275.3,0.243,286.72,0.193,285.33,0.18,273.81,0.217,277.42,0.214,287.08,0.22,292.14,0.213,310.05,0.198,295.79,-99,-99,-99,-99,-99,-99,-99,-99,0.453,288.15,0.244,270.47,0.434,277.55,-99,-99,-99,-99,-99,-99
5/9/2009 1:00,11.8,315.2,3.6,5.1,37.694,25.5,0,0,0.071,305.26,0.052,146,0.075,169.29,0.109,208.44,0.069,224.41,0.119,227.05,0.162,221.25,0.129,213.32,0.149,244.98,0.136,266.63,0.13,263.37,0.154,259.93,0.153,277.87,0.195,281.83,0.249,284.65,0.195,295.78,0.202,289.33,0.17,295.36,0.221,290.4,0.128,304.81,0.167,286.7,0.159,303.49,0.1,297.33,0.035,300.96,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.4,268.28,0.609,274.8,-99,-99,-99,-99,-99,-99
5/9/2009 2:00,11.8,315.1,3.5,5.1,37.642,25.5,0,0,0.124,17.85,0.058,325.49,0.073,194.98,0.073,255.02,0.108,261.5,0.083,250.25,0.107,294.4,0.132,252.8,0.137,293.75,0.141,272.84,0.139,282.84,0.151,289.76,0.084,267.27,0.155,284.22,0.208,296.32,0.152,314.73,0.14,314.42,0.145,301.17,0.178,294.98,0.157,295.59,0.245,290.8,0.247,291.37,0.222,297.37,0.19,302.1,0.196,292.78,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.389,258.89,0.604,269.91,-99,-99,-99,-99,-99,-99
5/9/2009 3:00,11.8,315,3.5,5.1,37.592,25.91,0,0,0.079,293.96,0.069,289.49,0.139,271.65,0.125,282.48,0.141,275.71,0.185,313.03,0.15,287.47,0.144,297.81,0.192,317.32,0.187,304.97,0.216,306.34,0.17,320.5,0.153,314.74,0.165,300.61,0.169,319.07,0.168,309.46,0.129,319.4,0.164,321.18,0.131,322.43,0.173,315,0.158,313.47,0.147,336.75,0.186,318.06,0.19,333.43,0.15,330.02,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.376,278.71,0.499,279.22,-99,-99,-99,-99,-99,-99
