DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m),Speed#37(37.5m),Dir#37(37.5m),Speed#38(38.5m),Dir#38(38.5m),Speed#39(39.5m),Dir#39(39.5m),Speed#40(40.5m),Dir#40(40.5m)
8/11/2009 18:00,11.9,22,-3.1,4.6,37.554,27.04,0,0,0.158,190.6,0.178,207.14,0.163,241.87,0.204,241.68,0.129,270.44,0.164,261.92,0.192,263.43,0.151,273.41,0.121,276.18,0.138,280.42,0.177,292.94,0.167,294.1,0.205,292.94,0.241,290.61,0.243,287.76,0.21,280.99,0.198,275.51,0.177,276.8,0.182,292.33,0.237,283.68,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/11/2009 19:00,11.9,22,-3.1,4.6,37.538,27.36,0,0,0.128,214.81,0.193,215.92,0.059,311.55,0.116,256.08,0.132,270.87,0.126,278.64,0.162,295.14,0.121,282.89,0.127,284.58,0.205,283.56,0.218,283.53,0.204,287.72,0.236,287.74,0.225,283.91,0.191,285.2,0.176,294.52,0.191,295.49,0.196,303.37,0.205,309.05,0.239,317.71,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/11/2009 20:00,11.9,22,-3.1,4.6,37.542,27.25,0,0,0.035,265.1,0.059,229.82,0.036,307.18,0.156,275.53,0.05,274.57,0.033,293.43,0.121,320.01,0.146,304.99,0.152,295.72,0.172,300.74,0.184,294.75,0.219,288.35,0.249,289.45,0.229,294.78,0.189,290.16,0.187,296.7,0.207,295.82,0.208,296.2,0.21,297.17,0.249,304.71,0.237,315.17,0.234,315.52,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/11/2009 21:00,11.9,22,-3.1,4.6,37.552,26.74,0,0,0.162,335.64,0.135,354.04,0.087,355.4,0.082,293.11,0.099,298.38,0.143,304.47,0.181,281.12,0.202,280.53,0.156,281.81,0.196,288.43,0.231,286.87,0.248,290.99,0.193,285.62,0.198,285.51,0.201,291.32,0.182,295.72,0.16,287.87,0.142,296.38,0.14,297.66,0.15,287.1,0.089,308.16,0.118,330.62,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/11/2009 22:00,11.9,22,-3.1,4.6,37.527,27.2,0,0,0.113,326.59,0.102,305.86,0.159,307.09,0.162,318.51,0.186,294.09,0.263,295.69,0.219,292,0.272,301.47,0.189,301.17,0.213,304.29,0.225,312.48,0.233,311.69,0.209,302.09,0.157,310.09,0.107,315.38,0.126,327.32,0.161,322.84,0.163,313.26,0.187,300.81,0.193,301.88,0.203,299.22,0.22,285.3,0.212,291.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.327,280.59,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/11/2009 23:00,11.9,21.9,-3.1,4.6,37.538,27.69,0,0,0.182,340.47,0.207,317.93,0.202,322.05,0.202,314.8,0.231,313.07,0.226,311.23,0.199,314.8,0.147,339.22,0.188,318.01,0.207,308.14,0.163,295.46,0.163,304.27,0.164,305.33,0.163,303.2,0.189,298.73,0.186,300.28,0.16,284.47,0.212,275.41,0.23,280.28,0.227,269.75,0.212,272.7,0.209,272.47,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.424,274.19,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/12/2009 0:00,11.9,21.7,-3.1,4.6,37.523,27.62,0,0,0.184,340.68,0.184,321.63,0.26,319.21,0.217,306.55,0.224,318.07,0.257,319.74,0.148,314.18,0.147,313.35,0.144,313.32,0.144,278.81,0.152,282.12,0.173,259.67,0.174,255.72,0.184,256.8,0.201,248.15,0.196,244.61,0.188,248.2,0.184,261.87,0.193,276.83,0.209,276.04,0.195,283.32,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/12/2009 1:00,11.9,21.9,-3.1,4.6,37.51,27.49,0,0,0.137,343.02,0.283,305.37,0.255,315.32,0.276,309.41,0.235,318.97,0.238,310.91,0.173,314.3,0.18,309.36,0.145,277.52,0.155,256.95,0.164,254.44,0.179,270.64,0.251,264.06,0.265,260,0.225,252.45,0.238,259.59,0.263,265.42,0.244,272.11,0.22,280.19,0.224,285.03,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/12/2009 2:00,11.9,22,-3.1,4.6,37.489,27.43,0,0,0.132,315.62,0.166,326.79,0.162,332.49,0.208,317.73,0.209,307.42,0.108,321.75,0.179,328.27,0.096,314.16,0.1,286.81,0.121,297.63,0.133,284.77,0.181,260.49,0.221,269.22,0.204,259.24,0.216,266.56,0.253,259.98,0.292,248.53,0.324,243.99,0.306,246.95,0.195,270.29,0.224,283.97,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/12/2009 3:00,11.9,22,-3.1,4.6,37.469,27.44,0,0,0.043,259.22,0.088,306.22,0.068,297.32,0.131,333.24,0.066,311.92,0.096,313.32,0.081,277.13,0.091,271.89,0.089,239.7,0.173,237.05,0.244,237.75,0.233,247.29,0.223,252.22,0.274,245.68,0.292,240.89,0.265,241.11,0.254,243.13,0.266,250.48,0.265,258.9,0.293,263.53,0.25,264.72,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
