DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.0m),Dir#1(2.0m),Speed#2(3.5m),Dir#2(3.5m),Speed#3(5.0m),Dir#3(5.0m),Speed#4(6.5m),Dir#4(6.5m),Speed#5(8.0m),Dir#5(8.0m),Speed#6(9.5m),Dir#6(9.5m),Speed#7(11.0m),Dir#7(11.0m),Speed#8(12.5m),Dir#8(12.5m),Speed#9(14.0m),Dir#9(14.0m),Speed#10(15.5m),Dir#10(15.5m),Speed#11(17.0m),Dir#11(17.0m),Speed#12(18.5m),Dir#12(18.5m),Speed#13(20.0m),Dir#13(20.0m),Speed#14(21.5m),Dir#14(21.5m),Speed#15(23.0m),Dir#15(23.0m),Speed#16(24.5m),Dir#16(24.5m),Speed#17(26.0m),Dir#17(26.0m),Speed#18(27.5m),Dir#18(27.5m),Speed#19(29.0m),Dir#19(29.0m),Speed#20(30.5m),Dir#20(30.5m),Speed#21(32.0m),Dir#21(32.0m),Speed#22(33.5m),Dir#22(33.5m),Speed#23(35.0m),Dir#23(35.0m),Speed#24(36.5m),Dir#24(36.5m),Speed#25(38.0m),Dir#25(38.0m),Speed#26(39.5m),Dir#26(39.5m)
3/2/2007 18:00,11.9,344.9,15.5,-9.1,44.413,26.89,0,0,0.07,150.15,0.06,125.54,0.033,10.62,0.043,240.42,0.029,33.69,0.028,71.57,0.024,225,0.055,311.28,0.063,338.7,0.05,343.74,0.079,319.64,0.128,304.81,0.109,302.23,0.109,304.56,0.132,315.62,0.151,303.9,0.111,325.3,0.132,334.02,0.229,332.99,0.143,324.65,0.151,355.46,0.1,335.75,-99,-99,-99,-99,-99,-99,-99,-99
3/2/2007 18:30,11.9,345,15.5,-9.1,44.417,26.9,0,0,0.013,90,0.015,15.95,0.018,160.56,0.037,313.92,0.048,299.74,0.037,11,0.043,332.24,0.038,335.43,0.049,331.86,0.056,346.46,0.078,317.08,0.119,325.64,0.129,321.62,0.091,316.33,0.105,305.35,0.114,309.29,0.151,313.39,0.132,331.49,0.179,321.34,0.252,282.38,0.153,346.78,0.103,322.47,-99,-99,-99,-99,-99,-99,-99,-99
3/2/2007 19:00,11.9,344.9,15.5,-9.1,44.417,26.91,0,0,0.087,247.58,0.068,250.23,0.117,262.63,0.119,262.28,0.076,290.82,0.112,286.65,0.084,293.2,0.15,279.21,0.164,294.07,0.14,305.73,0.13,281.05,0.146,307.5,0.147,304.45,0.164,296.88,0.155,294.41,0.163,303.01,0.148,301.76,0.147,335.52,0.165,281.51,0.096,337.98,0.159,289.46,0.064,306.16,-99,-99,-99,-99,-99,-99,-99,-99
3/2/2007 19:30,11.9,344.7,15.5,-9.1,44.429,26.91,0,0,0.08,311.46,0.062,311.71,0.055,315,0.072,305.91,0.099,297.08,0.129,306.52,0.11,310.94,0.106,318.81,0.096,319.21,0.098,325.01,0.105,293.63,0.098,298.14,0.091,304.73,0.057,314.29,0.064,306.16,0.079,257.55,0.128,344.55,0.084,315.48,0.093,261.96,0.187,38.71,0.193,280.44,0.11,0,-99,-99,-99,-99,-99,-99,-99,-99
3/2/2007 20:00,11.9,344.9,15.5,-9.1,44.422,26.92,0,0,0.125,273.66,0.069,270,0.089,272.57,0.112,290.38,0.136,301.47,0.1,286.26,0.095,327.48,0.106,317.29,0.084,344.8,0.101,341.57,0.082,329.39,0.09,335.71,0.137,343.94,0.113,329.56,0.086,329.26,0.075,348.39,0.087,321.03,0.142,281.78,0.117,283.32,0.089,299.74,0.091,350.54,0.105,331.48,-99,-99,-99,-99,-99,-99,-99,-99
3/2/2007 20:30,11.9,345,15.5,-9.1,44.415,26.94,0,0,0.073,273.14,0.04,298.5,0.103,255.96,0.088,270.65,0.101,273.4,0.128,289.14,0.128,286.31,0.122,282.32,0.119,276.29,0.128,276.29,0.145,277.13,0.145,277.52,0.158,284.65,0.15,279.96,0.119,296.57,0.135,318.01,0.164,282,0.165,282.6,0.075,329.69,0.169,311.41,0.195,267.94,0.039,340.64,-99,-99,-99,-99,-99,-99,-99,-99
3/2/2007 21:00,11.9,345,15.5,-9.1,44.415,26.94,0,0,0.095,224.58,0.097,251.38,0.078,240.8,0.09,262.95,0.104,285.64,0.161,270,0.12,274.76,0.118,294.61,0.126,284.7,0.119,287.67,0.136,266.63,0.113,295.66,0.123,291.54,0.148,275.83,0.167,267.94,0.12,278.6,0.111,269.48,0.053,299.48,0.088,262.79,0.123,345.85,0.03,250.35,0.035,227.29,-99,-99,-99,-99,-99,-99,-99,-99
3/2/2007 21:30,11.9,344.9,15.5,-9.1,44.409,26.92,0,0,0.082,247.81,0.122,244.27,0.148,248.63,0.1,238.54,0.122,247.42,0.133,251.16,0.13,251.15,0.108,259.84,0.13,255.75,0.12,259.91,0.102,280.2,0.108,263.6,0.126,233.04,0.11,244.83,0.159,257.28,0.122,260.07,0.166,265.87,0.226,273.54,0.15,270,0.187,264.78,0.231,267.27,0.087,294.5,-99,-99,-99,-99,-99,-99,-99,-99
3/2/2007 22:00,11.9,344.8,15.5,-9.1,44.409,26.92,0,0,0.066,231.75,0.087,236.67,0.13,272.64,0.137,244,0.087,262.06,0.125,262.19,0.138,273.32,0.171,285.99,0.162,274.24,0.127,287,0.173,282.67,0.176,283.48,0.17,281.91,0.145,268.81,0.157,254.46,0.095,271.81,0.093,273.69,0.155,259.2,0.107,265.72,0.081,315.5,0.164,281.58,0.135,318.01,-99,-99,-99,-99,-99,-99,-99,-99
3/2/2007 22:30,11.9,344.9,15.5,-9.1,44.402,26.92,0,0,0.178,251.36,0.145,265.27,0.111,267.94,0.104,270,0.148,275.44,0.127,266.85,0.107,273.74,0.128,266.42,0.113,268.48,0.125,265.88,0.126,261.36,0.145,268.81,0.151,271.9,0.127,248.28,0.121,271.89,0.119,270,0.095,274.81,0.088,298.61,0.125,259.86,0.171,18.75,0.042,315,0.117,322.64,-99,-99,-99,-99,-99,-99,-99,-99
