DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m)
10/24/2008 18:00,11.9,45.4,16.6,9.2,44.546,28.06,0,0,0.336,204.27,0.259,211.42,0.197,259.77,0.149,283.94,0.105,251.74,0.051,218.66,0.047,262.72,0.086,308.87,0.104,313.83,0.138,287.26,0.153,277.5,0.15,274.99,0.166,267.93,0.162,275.68,0.196,282.05,0.204,277.61,0.221,272.33,0.213,278.62,0.235,278.58,0.258,285.98,0.176,268.05,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/24/2008 19:00,11.9,45.1,16.6,9.2,44.55,28.14,0,0,0.454,214.14,0.306,234.18,0.26,250.24,0.205,278.68,0.223,277.98,0.265,287.55,0.281,288.43,0.273,298.63,0.295,297.87,0.301,301.42,0.294,305.86,0.289,299.84,0.292,295.34,0.283,288.76,0.353,291.41,0.36,294.79,0.3,298.7,0.319,298.5,0.329,295.55,0.25,280.59,0.247,267.68,0.243,275.9,0.359,299.21,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/24/2008 20:00,11.9,45.1,16.6,9.2,44.556,28.18,0,0,0.436,200.56,0.396,223.57,0.329,239.93,0.279,262.16,0.292,276.3,0.346,293.16,0.361,297.56,0.358,300.14,0.317,304.84,0.315,305.45,0.357,310.11,0.359,310.03,0.376,304.37,0.332,306.18,0.367,300.96,0.368,306.93,0.376,309.83,0.311,304.92,0.31,302.2,0.348,297.52,0.331,295.79,0.331,295.02,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/24/2008 21:00,11.9,45,16.6,9.2,44.544,28.13,0,0,0.314,189.16,0.185,217.55,0.228,267.49,0.299,294.51,0.304,298.93,0.326,307.4,0.303,317.14,0.301,321.34,0.307,324.96,0.307,318.17,0.382,318.72,0.364,320.01,0.347,320.26,0.418,321.51,0.352,314.31,0.417,315.88,0.391,318.73,0.364,312.66,0.386,311,0.419,320.72,0.386,316.79,0.318,308.74,0.363,305.35,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/24/2008 22:00,11.9,45,16.6,9.2,44.507,28.16,0,0,0.207,237.61,0.145,246.8,0.181,267.15,0.121,307.63,0.166,312.32,0.135,305.93,0.178,317.05,0.218,321.71,0.267,326.01,0.287,335.49,0.324,341.12,0.326,344.18,0.367,330.08,0.383,332.3,0.339,330.26,0.318,321,0.361,334.22,0.406,325.14,0.367,320.85,0.358,324.44,0.362,322.62,0.361,315.78,0.449,318.25,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/24/2008 23:00,11.9,45.1,16.6,9.2,44.483,28.14,0,0,0.134,228.93,0.107,279.11,0.042,289.29,0.012,75.96,0.055,228.72,0.132,284.46,0.043,288.85,0.083,308.66,0.123,305.75,0.187,316.74,0.197,321.39,0.232,325.69,0.217,337.22,0.28,333.98,0.3,333.69,0.344,328.44,0.402,328.13,0.401,331.9,0.468,321.24,0.403,317.72,0.39,331,0.416,314.61,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/25/2008 0:00,11.9,45.1,16.6,9.2,44.456,28.17,0,0,0.053,171.25,0.044,211.87,0.038,232.52,0.009,237.99,0.012,311.63,0.033,312.51,0.065,180,0.019,258.11,0.051,327.88,0.094,347.14,0.049,28.14,0.096,7.79,0.118,352.21,0.175,1.31,0.197,352.69,0.228,342.36,0.313,353.4,0.256,356.87,0.256,351.02,0.242,342.69,0.254,339.21,0.342,346.45,0.361,344.08,0.323,339.55,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/25/2008 1:00,11.9,45.2,16.6,9.2,44.451,27.94,0,0,0.031,358.15,0.07,332.7,0.056,326.59,0.058,321.34,0.023,282.8,0.063,358.18,0.066,331.11,0.047,13.45,0.067,63.43,0.071,90,0.095,24.15,0.134,2.14,0.113,345.1,0.111,22.86,0.115,357.01,0.19,342.23,0.178,3.54,0.144,8.81,0.188,15.15,0.217,2.64,0.201,352.27,0.175,352.43,0.276,336.77,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/25/2008 2:00,11.9,45.1,16.6,9.2,44.46,27.93,0,0,0.053,293.2,0.049,188.3,0.097,151.58,0.188,166.48,0.179,200.26,0.085,191.58,0.036,136.12,0.029,46.4,0.052,57.53,0.069,54.46,0.099,6.98,0.188,5.5,0.19,10.6,0.16,11.17,0.166,8.67,0.193,357.63,0.195,345.11,0.121,9,0.159,351.67,0.221,348.79,0.184,349.97,0.102,334.95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10/25/2008 3:00,11.9,45.1,16.6,9.2,44.47,28.19,0,0,0.036,175.24,0.049,32.38,0.032,325.3,0.025,298.61,0.059,352.15,0.098,3.5,0.148,334.3,0.177,338.8,0.16,351.72,0.188,353.9,0.158,336.85,0.155,328.97,0.145,343.95,0.172,351.63,0.188,337.52,0.131,326.79,0.116,357.53,0.135,303.81,0.077,315.53,0.072,17.68,0.143,327.31,0.117,320.19,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
