DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m),Speed#37(37.5m),Dir#37(37.5m),Speed#38(38.5m),Dir#38(38.5m),Speed#39(39.5m),Dir#39(39.5m),Speed#40(40.5m),Dir#40(40.5m)
6/3/2011 15:30,11.8,200.1,-23.6,-3.3,44.389,26.22,0,0,0.374,174.78,0.414,186.52,0.327,209.31,0.15,197.1,0.137,203.2,0.074,194.04,0.017,180,0.056,230.06,0.065,240.69,0.027,238.67,0.059,277.85,0.103,251.39,0.072,200.19,0.043,212.57,0.047,187.28,0.028,180,0.042,135.97,0.029,130.82,0.052,172.33,0.074,222.27,0.087,218.45,0.064,212.2,0.036,247.01,0.078,267.06,0.101,256.79,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/3/2011 16:30,11.8,200,-23.6,-3.2,44.404,26.18,0,0,0.259,188.22,0.281,188.39,0.178,180,0.148,177.68,0.076,203.2,0.055,231.67,0.051,308.66,0.07,308.02,0.022,341.57,0.02,197.53,0.065,235.08,0.069,239.74,0.101,256.24,0.11,248.59,0.074,235.45,0.041,201.54,0.045,199.65,0.041,192.68,0.043,246.97,0.042,28.39,0.008,7.13,0.026,349.11,0.09,14.81,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/3/2011 17:30,11.8,200,-23.6,-3.2,44.42,26.34,0,0,0.199,196.98,0.137,190.9,0.066,190.46,0.086,199.07,0.099,202.66,0.147,241.17,0.014,180,0.042,270,0.043,192.09,0.049,181.17,0.03,248.55,0.058,269.01,0.043,27.76,0.041,342.9,0.034,299.54,0.016,227.49,0.013,241.39,0.05,9.27,0.043,354.69,0.071,335.96,0.095,340.99,0.087,354.75,0.097,343.81,0.104,324.78,-99,-99,0.221,214.7,-99,-99,0.07,292.56,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/3/2011 18:30,11.8,199.8,-23.6,-3.2,44.447,26.42,0,0,0.132,133.47,0.055,115.64,0.002,90,0.006,51.34,0.085,107.15,0.049,91.17,0.066,77.85,0.033,72.12,0.013,18.43,0.018,209.36,0.038,285.12,0.038,285.12,0.071,340.29,0.03,61.7,0.034,93.37,0.029,162.18,0.095,45.42,0.059,56.85,0.012,24.44,0.029,347.91,0.052,32.47,0.051,18.43,0.038,326.73,0.089,331.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/3/2011 19:30,11.8,200,-23.6,-3.2,44.487,26.42,0,0,0.036,285.95,0.053,339.19,0.072,335.22,0.037,143.75,0.055,77.47,0.094,24.65,0.048,26.03,0.042,25.35,0.085,0,0.038,1.51,0.081,27.82,0.042,328.57,0.061,350.54,0.035,351.87,0.052,304.9,0.07,0.82,0.085,20.79,0.089,21.08,0.108,63.67,0.122,52.66,0.07,32.09,0.11,16.95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/3/2011 20:30,11.8,199.8,-23.6,-3.2,44.538,26.32,0,0,0.07,125.73,0.028,145.18,0.021,73.3,0.086,119.83,0.078,70.64,0.033,23.43,0.056,37.07,0.072,93.97,0.043,17.59,0.043,320.71,0.051,357.75,0.093,349.42,0.068,27.32,0.075,21.09,0.066,46.22,0.04,41.99,0.095,34.7,0.046,257.47,0.099,305.13,0.077,302.87,0.07,308.66,0.106,331.74,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/3/2011 21:30,11.8,199.8,-23.6,-3.2,44.602,26.28,0,0,0.037,42.8,0.021,345.96,0.034,84.96,0.016,55.3,0.072,50.09,0.043,299.58,0.061,97.59,0.051,43.41,0.082,53.97,0.046,52.13,0.081,15.07,0.095,33.02,0.04,64.72,0.029,99.78,0.099,91.16,0.114,71.57,0.047,86.35,0.038,184.51,0.005,78.69,0.077,9.71,0.043,52.59,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/3/2011 22:30,11.8,199.9,-23.5,-3.2,44.653,26.47,0,0,0.196,168.52,0.172,166.21,0.147,158.85,0.087,139.69,0.065,107.88,0.066,56.07,0.055,95.19,0.063,71.57,0.067,114.66,0.04,156.61,0.059,82.15,0.059,54.69,0.021,165.96,0.064,143.84,0.032,161.57,0.066,189.61,0.035,91.64,0.029,72.18,0.034,127.87,0.007,236.31,0.04,287.53,0.108,355.76,0.157,350.12,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/3/2011 23:30,11.8,199.9,-23.5,-3.2,44.697,26.4,0,0,0.31,178.71,0.273,179.58,0.259,177.13,0.196,194.18,0.189,197.86,0.115,175.53,0.081,157.54,0.055,180,0.034,285.26,0.032,326.31,0.026,300.58,0.04,12.99,0.014,309.29,0.01,343.3,0.045,336.3,0.06,323.13,0.063,298.61,0.06,221.63,0.04,143.13,0.101,181.13,0.051,221.82,0.034,356.63,0.061,211.61,0.076,318.74,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/4/2011 0:30,11.8,199.9,-23.5,-3.2,44.721,26.37,0,0,0.292,178.43,0.33,171.99,0.315,170.87,0.297,186.38,0.258,185.78,0.236,184.38,0.225,191.81,0.148,188.57,0.126,198.43,0.093,223.26,0.118,243.22,0.145,216.32,0.125,220.45,0.153,231.11,0.083,250.25,0.019,205.2,0.03,268.09,0.029,216.47,0.04,5.71,0.092,307.49,0.153,272.25,0.16,297.53,0.137,320.62,0.103,258.25,0.117,356.09,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/4/2011 1:30,11.8,199.9,-23.5,-3.2,44.725,26.44,0,0,0.351,186.21,0.344,178.5,0.324,185.31,0.399,189.82,0.297,191.84,0.309,175.36,0.331,174.27,0.232,190.44,0.233,202.17,0.098,237.12,0.048,257.99,0.19,233.55,0.099,208.38,0.116,227.79,0.092,269.38,0.05,10.41,0.033,285.71,0.096,323.01,0.102,281.86,0.086,245.22,0.059,271.94,0.127,261.42,0.171,245.08,0.18,277.99,0.204,301.98,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
