DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m)
1/28/2019 20:00,11.8,58,8.3,4,44.934,26.43,0,0,0.045,216.87,0.041,219.09,0.085,191.58,0.104,205.58,0.079,220.91,0.06,174.29,0.059,175.16,0.077,173.25,0.065,176.48,0.049,181.17,0.04,218.88,0.033,222.51,0.084,337.69,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/28/2019 21:00,11.8,58.3,8.3,4.4,44.932,26.31,0,0,0.058,155.64,0.095,193.45,0.119,202.69,0.047,226.74,0.083,225.49,0.083,187.64,0.062,205.74,0.037,162.55,0.029,167.91,0.038,294.57,0.056,282.31,0.052,288.08,0.058,300.96,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/28/2019 22:00,11.8,58.4,8.3,4.4,44.921,26.31,0,0,0.064,202.96,0.075,243.09,0.028,199.09,0.02,81.47,0.014,68.96,0.04,1.43,0.052,18.08,0.028,22.93,0.007,153.43,0.021,318.81,0.008,187.13,0.017,193.24,0.047,311.53,0.018,139.4,0.035,266.73,0.074,297.26,-99,-99,-99,-99,-99,-99,-99,-99
1/28/2019 23:00,11.8,58.4,8.3,4.4,44.898,26.33,0,0,0.047,32.01,0.044,17.2,0.047,48.47,0.044,39.47,0.014,342.9,0.041,84.43,0.027,107.1,0.026,107.74,0.027,72.9,0.066,93.47,0.064,63.03,0.084,131.12,0.063,82.65,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 0:00,11.8,58.1,8.3,4.4,44.889,26.34,0,0,0.039,17.97,0.073,59.57,0.066,86.53,0.061,77.77,0.048,49.27,0.078,45.52,0.075,26.22,0.064,15.33,0.085,35.93,0.133,58.22,0.141,52.8,0.134,53.22,0.119,53.9,0.123,41.05,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 1:00,11.8,58.2,8.3,4.4,44.871,26.32,0,0,0.034,71.03,0.066,45.62,0.093,39.33,0.097,29.74,0.127,22.72,0.108,46.12,0.158,66.04,0.118,41.92,0.115,42.88,0.136,37.54,0.139,28.77,0.186,23.4,0.154,43.95,0.217,37.87,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 2:00,11.8,58.4,8.3,4.4,44.87,26.31,0,0,0.059,4.84,0.073,52.82,0.068,48.58,0.067,53.47,0.083,34.65,0.123,40.7,0.148,31.43,0.146,38.6,0.134,46.52,0.149,42.27,0.149,34.33,0.174,40.57,0.198,33.05,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 3:00,11.8,58.3,8.3,4.4,44.87,26.31,0,0,0.055,63.9,0.106,349.11,0.106,27.53,0.099,33.85,0.097,42.08,0.087,52.47,0.112,46.08,0.154,41.57,0.194,44.37,0.193,38.47,0.177,42.25,0.199,47.24,0.181,50.15,0.179,35.02,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 4:00,11.8,58.3,8.3,4.4,44.89,26.3,0,0,0.072,93.18,0.066,77.66,0.115,73.78,0.105,76.23,0.11,85.84,0.143,81.13,0.16,80.3,0.149,75.22,0.149,75.59,0.151,73.48,0.13,73.93,0.125,90,0.097,89.41,0.11,77.98,0.203,59.76,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 5:00,11.8,58.4,8.3,4.4,44.925,26.3,0,0,0.098,104.18,0.042,106.7,0.155,90,0.044,76.91,0.085,106.31,0.103,102.95,0.094,98.56,0.118,89.51,0.094,75.82,0.091,93.14,0.13,100.62,0.085,94.71,0.079,111.67,0.103,102.29,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 6:00,11.8,58.4,8.2,4.4,44.951,26.3,0,0,0.138,118.61,0.108,131.99,0.105,130.36,0.111,117.95,0.093,117.67,0.121,111.27,0.072,117.28,0.047,116.57,0.108,115.14,0.126,129.86,0.112,130.66,0.113,100.71,0.127,103.71,0.111,115.64,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 7:00,11.8,58.2,8.2,4.4,44.976,26.3,0,0,0.05,122.74,0.079,123.69,0.092,144.25,0.142,112.4,0.149,111.59,0.117,122.06,0.135,125.69,0.155,110.43,0.144,94.76,0.108,97.98,0.086,104.85,0.116,111.71,0.132,110.91,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 8:00,11.8,58.4,8.2,4.4,45.016,26.3,0,0,0.065,82,0.042,96.79,0.091,147.53,0.137,160.77,0.149,141.82,0.157,139.4,0.146,144.78,0.139,157.66,0.151,159.04,0.158,141.68,0.093,112.15,0.126,139.84,0.154,124.41,0.197,135.62,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 9:00,11.8,58.4,8.2,4.4,45.037,26.3,0,0,0.104,107.39,0.09,172.95,0.075,153.09,0.124,123.18,0.141,128.66,0.207,143.85,0.244,146.7,0.226,140.19,0.226,142.01,0.21,138.28,0.207,138.14,0.158,139.36,0.158,144,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 10:00,11.8,58.3,8.2,4.4,45.047,26.28,0,0,0.054,63.43,0.063,212.68,0.094,182.44,0.138,169.99,0.15,165.69,0.112,167.08,0.177,164.63,0.166,173.09,0.198,170.68,0.197,177.09,0.197,165.89,0.2,178,0.237,179.52,0.211,180.81,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 11:00,11.8,58.4,8.2,4.4,45.051,26.28,0,0,0.046,162.35,0.055,175.84,0.068,180,0.084,186.87,0.067,147.26,0.069,143.3,0.102,159.97,0.111,161.57,0.097,162.68,0.118,170.22,0.133,162.52,0.12,154.29,0.09,161.16,0.082,156.89,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 12:00,11.8,58.4,8.2,4.4,45.047,26.28,0,0,0.028,173.88,0.022,280.3,0.005,180,0.036,105.95,0.003,0,0.018,160.56,0.019,188.97,0.032,155.85,0.006,279.46,0.056,184.09,0.106,182.7,0.06,180,0.049,233.37,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 13:00,11.8,58.4,8.2,4.4,45.019,26.28,0,0,0.05,79.59,0.075,55.26,0.105,63.43,0.08,23.67,0.103,52.13,0.135,52.54,0.082,40.53,0.061,1.88,0.033,68.84,0.079,90,0.08,72.47,0.048,66.64,0.061,59.68,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 14:00,11.8,58.3,8.2,4.4,45.008,26.28,0,0,0.1,19.34,0.121,21.89,0.097,32.38,0.095,35.19,0.105,34.9,0.039,320.19,0.069,323.3,0.051,329.42,0.015,352.41,0.066,9.61,0.069,59.32,0.063,31.43,0.096,11.43,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 15:00,11.8,58.4,8.2,4.4,44.988,26.29,0,0,0.097,84.7,0.082,36.03,0.132,58.59,0.093,69.81,0.068,67.57,0.07,65.62,0.099,56.15,0.081,61.22,0.041,65.32,0.057,52.13,0.095,65.06,0.123,60.31,0.117,71.57,0.151,49.56,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 16:00,11.8,58.4,8.2,4.4,44.965,26.31,0,0,0.025,151.39,0.053,54.21,0.093,67.85,0.149,74.48,0.116,81.59,0.087,75.32,0.118,79.26,0.079,72.26,0.085,96.79,0.104,73.83,0.157,64.25,0.114,87.49,0.132,70.46,0.114,84.99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 17:00,11.8,58.4,8.2,4.4,44.954,26.3,0,0,0.115,58.1,0.052,48.92,0.113,73.01,0.08,65.67,0.088,88.05,0.069,82.46,0.081,80.07,0.077,58.78,0.059,47.07,0.082,92.1,0.066,74.05,0.093,91.85,0.065,26.57,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 18:00,11.8,58.2,8.2,4.4,44.935,26.29,0,0,0.098,117.35,0.148,116.05,0.058,82.01,0.116,85.56,0.101,88.3,0.077,85.54,0.119,98.2,0.119,92.41,0.119,91.93,0.105,87.27,0.13,96.19,0.184,83.14,0.196,103.89,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 19:00,11.8,58.3,8.2,4.4,44.92,26.29,0,0,0.162,151.53,0.129,162.41,0.134,157.64,0.15,135.54,0.151,151.06,0.146,156.24,0.142,138.13,0.098,142.43,0.06,147.89,0.05,133.36,0.072,113.72,0.089,132.27,0.093,134.13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 20:00,11.8,58.3,8.2,4.4,44.91,26.3,0,0,0.056,178.98,0.138,156.04,0.165,153.75,0.171,155.08,0.156,146.51,0.175,150.95,0.152,150.91,0.135,139.49,0.144,133.59,0.143,141.53,0.155,141.8,0.177,139.82,0.085,109.93,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 21:00,11.8,58.3,8.2,4.4,44.9,26.3,0,0,0.081,148.07,0.078,183.67,0.118,166.32,0.141,159.25,0.153,160.5,0.18,156.43,0.179,153.43,0.162,156.29,0.192,151.44,0.182,148.93,0.203,155.21,0.178,149.26,0.178,152.14,0.149,149.83,0.136,159.84,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 22:00,11.8,58.3,8.2,4.4,44.895,26.29,0,0,0.067,101.98,0.038,83.99,0.095,111.69,0.066,146.79,0.132,158.28,0.125,174.47,0.14,164.28,0.148,156.55,0.163,172.61,0.172,177.34,0.19,173.06,0.202,163.63,0.18,165.89,0.18,176.82,0.168,160.16,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/29/2019 23:00,11.8,58.3,8.2,4.4,44.897,26.29,0,0,0.057,167.91,0.047,182.44,0.07,263.48,0.074,185.4,0.084,180,0.098,172.95,0.102,182.81,0.119,180.96,0.122,173.87,0.126,184.09,0.099,199.54,0.143,195.01,0.135,190.23,0.088,171.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/30/2019 0:00,11.8,58.3,8.2,4.4,44.887,26.29,0,0,0.022,57.72,0.01,330.95,0.016,71.57,0.01,180,0.036,162.07,0.023,347.2,0.044,281.82,0.06,228.37,0.078,197.05,0.07,204.38,0.071,215.26,0.069,210.26,0.053,205.6,0.051,268.88,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/30/2019 1:00,11.8,58.4,8.2,4.4,44.862,26.29,0,0,0.03,270,0.067,246.12,0.078,174.87,0.06,211.29,0.036,194.42,0.016,161.57,0.033,19.54,0.075,4.57,0.061,0,0.054,331.05,0.056,355.91,0.063,351.74,0.022,0,0.058,39.43,0.09,28.56,0.122,5.15,-99,-99,-99,-99,-99,-99,-99,-99
1/30/2019 2:00,11.8,58.5,8.2,4.4,44.861,26.31,0,0,0.02,348.69,0.061,359.06,0.053,348.06,0.063,354.56,0.084,354.56,0.053,352.48,0.062,348.87,0.049,334.49,0.068,355.79,0.107,20.81,0.142,29.64,0.115,41.84,0.095,50.12,0.116,43.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/30/2019 3:00,11.8,58.4,8.2,4.4,44.851,26.39,0,0,0.044,165.65,0.036,83.66,0.011,264.81,0.022,69.15,0.03,39.56,0.029,36.47,0.038,41.76,0.033,311.35,0.07,346.76,0.09,30.85,0.11,43.53,0.11,64.13,0.124,66.74,0.102,46.59,0.075,109.4,-99,-99,-99,-99,-99,-99,0.096,89.4,-99,-99
1/30/2019 4:00,11.8,58.3,8.2,4.4,44.87,26.31,0,0,0.021,136.97,0.068,181.68,0.045,192.8,0.033,83.09,0.033,70.46,0.043,66.97,0.055,84.81,0.029,26.57,0.034,103.63,0.03,113.2,0.007,105.95,0.042,357.27,0.044,86.1,0.076,65.12,0.106,59.31,0.097,78.11,0.091,60.33,0.084,100.24,0.019,115.2,-99,-99
1/30/2019 5:00,11.8,58.3,8.2,4.4,44.914,26.29,0,0,0.031,129.81,0.047,234.61,0.05,131.73,0.043,138.81,0.038,144.64,0.043,144.46,0.039,133.96,0.075,128.54,0.089,168.94,0.036,173.66,0.047,91.22,0.036,90,0.025,0,0.01,336.04,0.058,335.64,0.01,90,0.007,206.57,0.06,114.84,0.089,137.73,-99,-99
1/30/2019 6:00,11.8,58.2,8.2,4.4,44.95,26.29,0,0,0.057,167.91,0.024,131.63,0.025,311.82,0.036,51.84,0.023,262.57,0.011,315,0.043,66.45,0.045,90,0.077,96.75,0.061,77.77,0.044,59.93,0.033,66.57,0.071,52.48,0.053,34.29,0.021,75.96,0.002,270,0.026,280.89,0.009,77.47,0.043,68.2,-99,-99
1/30/2019 7:00,11.8,58.4,8.2,4.4,44.988,26.29,0,0,0.046,249.59,0.049,201.37,0.037,203.81,0.058,226.4,0.033,185.19,0.044,198.43,0.019,188.97,0.026,177.8,0.069,156.8,0.035,178.36,0.024,207.65,0.018,213.69,0.048,268.81,0.071,221.57,0.051,255.14,0.036,210.14,0.011,45,0.026,285.64,0.003,288.43,-99,-99
1/30/2019 8:00,11.8,58.2,8.2,4.4,45.026,26.29,0,0,0.072,238.08,0.105,222.31,0.051,245.46,0.068,229.76,0.074,208.3,0.075,206.22,0.076,215.36,0.075,208.61,0.088,188.5,0.056,208.86,0.026,252.26,0.055,196.8,0.075,221.76,0.057,215.07,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/30/2019 9:00,11.8,58.3,8.1,4.4,45.063,26.29,0,0,0.065,165.75,0.06,179.05,0.057,169.88,0.104,167.83,0.139,177.12,0.137,190.08,0.131,215.39,0.137,198.3,0.143,192.49,0.12,189.62,0.116,195.47,0.082,219.09,0.065,214.92,0.048,208.71,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
