DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.0m),Dir#1(2.0m),Speed#2(3.5m),Dir#2(3.5m),Speed#3(5.0m),Dir#3(5.0m),Speed#4(6.5m),Dir#4(6.5m),Speed#5(8.0m),Dir#5(8.0m),Speed#6(9.5m),Dir#6(9.5m),Speed#7(11.0m),Dir#7(11.0m),Speed#8(12.5m),Dir#8(12.5m),Speed#9(14.0m),Dir#9(14.0m),Speed#10(15.5m),Dir#10(15.5m),Speed#11(17.0m),Dir#11(17.0m),Speed#12(18.5m),Dir#12(18.5m),Speed#13(20.0m),Dir#13(20.0m),Speed#14(21.5m),Dir#14(21.5m),Speed#15(23.0m),Dir#15(23.0m),Speed#16(24.5m),Dir#16(24.5m),Speed#17(26.0m),Dir#17(26.0m),Speed#18(27.5m),Dir#18(27.5m),Speed#19(29.0m),Dir#19(29.0m),Speed#20(30.5m),Dir#20(30.5m),Speed#21(32.0m),Dir#21(32.0m),Speed#22(33.5m),Dir#22(33.5m),Speed#23(35.0m),Dir#23(35.0m),Speed#24(36.5m),Dir#24(36.5m)
1/25/2008 18:00,11.8,63.2,14.3,6.4,44.457,26.45,0,0,0.115,77.91,0.136,64.19,0.126,69.13,0.113,65.47,0.118,64.95,0.135,54.66,0.139,58.26,0.159,41.19,0.158,33.89,0.142,15.89,0.133,6.91,0.146,17.94,0.179,12.95,0.191,13.02,0.19,342.52,0.163,345.45,0.166,346.05,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/25/2008 18:30,11.8,63.3,14.3,6.4,44.454,26.45,0,0,0.131,87.38,0.139,77.96,0.135,78.02,0.171,79.88,0.131,63.82,0.156,44.74,0.189,34.87,0.189,29.56,0.161,26.09,0.183,12.6,0.164,12,0.145,11.54,0.122,356.72,0.186,13.06,0.145,4.73,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/25/2008 19:00,11.8,63.3,14.3,6.4,44.45,26.46,0,0,0.165,80.94,0.134,78.77,0.137,67.73,0.131,63.24,0.139,63.43,0.146,56.42,0.186,42.17,0.161,34.09,0.17,30.04,0.124,38.44,0.133,48.98,0.143,24.41,0.123,8.39,0.141,15.61,0.111,37.28,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/25/2008 19:30,11.8,63.2,14.3,6.4,44.452,26.46,0,0,0.07,109.98,0.157,89.27,0.103,77.71,0.109,73.4,0.113,55.05,0.086,66.71,0.127,38.59,0.143,45,0.16,24.33,0.144,15.29,0.129,28.15,0.14,29.13,0.148,18.56,0.16,7.93,0.146,355.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/25/2008 20:00,11.8,63.3,14.3,6.4,44.457,26.46,0,0,0.127,91.35,0.122,98.92,0.132,80.82,0.13,68.36,0.129,71.99,0.134,61.53,0.136,42.61,0.139,41.5,0.148,39.51,0.123,48.29,0.115,44.65,0.066,19.54,0.061,39.69,0.13,12.86,0.084,51.77,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/25/2008 20:30,11.8,63.2,14.3,6.4,44.459,26.47,0,0,0.089,116.85,0.123,89.07,0.13,79.38,0.156,80.42,0.112,73.35,0.122,70.82,0.11,69.75,0.111,69.93,0.085,76.45,0.062,53.5,0.103,35.54,0.084,53.27,0.073,75.77,0.061,55.01,0.119,31.54,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/25/2008 21:00,11.8,63.2,14.3,6.4,44.462,26.47,0,0,0.293,78,0.135,122.28,0.117,114.16,0.168,92.05,0.197,99.37,0.182,106.94,0.159,102.72,0.145,99.53,0.131,94.8,0.139,87.53,0.128,80.1,0.114,92.01,0.08,64.08,0.109,64.38,0.116,60.56,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/25/2008 21:30,11.8,63.1,14.3,6.4,44.47,26.49,0,0,0.151,153.6,0.182,141.24,0.184,125.25,0.235,118.42,0.183,113.2,0.135,115.99,0.124,121.52,0.133,106.66,0.137,109.63,0.108,96.4,0.113,93.04,0.092,90,0.076,100.57,0.078,69.02,0.041,68.46,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/25/2008 22:00,11.8,63.2,14.3,6.4,44.469,26.51,0,0,0.132,172.61,0.197,113.96,0.189,136.93,0.158,133.72,0.161,129.44,0.161,137.51,0.152,135.27,0.17,132.14,0.135,123.22,0.129,116.76,0.148,105.73,0.141,103.94,0.138,102.12,0.15,119.13,0.139,91.65,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/25/2008 22:30,11.8,63.2,14.3,6.4,44.465,26.49,0,0,0.142,173.93,0.186,114.78,0.122,133,0.123,146.96,0.158,142.7,0.173,139.69,0.152,134.2,0.11,144.28,0.093,150.41,0.107,152.72,0.088,138.69,0.113,146.17,0.076,135.54,0.115,144.93,0.116,137.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/25/2008 23:00,11.8,63.2,14.3,6.4,44.466,26.51,0,0,0.147,127.81,0.257,115.87,0.194,139.17,0.214,140.88,0.183,147.96,0.165,142.16,0.171,138.56,0.15,132.84,0.126,143.4,0.125,143.13,0.127,141.06,0.155,155.25,0.132,152.08,0.166,155.13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/25/2008 23:30,11.8,63.2,14.3,6.4,44.46,26.51,0,0,0.3,96.89,0.115,147.84,0.15,150.87,0.169,152.07,0.195,147.78,0.186,149.99,0.188,152.48,0.183,145.27,0.184,147,0.184,150.37,0.187,154.26,0.158,154.9,0.183,143.88,0.199,166.94,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/26/2008 0:00,11.8,63.3,14.3,6.4,44.45,26.51,0,0,0.139,166.26,0.1,157.03,0.162,146.31,0.165,150.64,0.158,149.22,0.18,153.58,0.198,150.33,0.202,157.25,0.195,163.89,0.179,164.41,0.171,161.57,0.172,157.77,0.179,161.06,0.195,169.04,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/26/2008 0:30,11.8,63.2,14.3,6.4,44.448,26.49,0,0,0.051,213.07,0.036,153.43,0.104,162.61,0.112,165.47,0.125,159.82,0.161,165.62,0.187,173.25,0.18,169.75,0.198,166.59,0.194,171.7,0.195,165.11,0.215,164.09,0.205,169.62,0.127,180.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
