DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m),Speed#37(37.5m),Dir#37(37.5m),Speed#38(38.5m),Dir#38(38.5m),Speed#39(39.5m),Dir#39(39.5m),Speed#40(40.5m),Dir#40(40.5m)
4/11/2011 16:00,11.9,335.6,10.9,-14.6,44.877,26.31,0,0,0.171,217.41,0.154,228.43,0.184,208.24,0.2,221.56,0.225,229.15,0.234,211.38,0.297,212.78,0.239,220.08,0.238,222.27,0.26,229.69,0.239,231.45,0.267,225.61,0.229,207.57,0.136,212.05,0.086,227.37,0.106,259.11,0.12,259.91,0.174,293.33,0.15,270,0.14,311.22,0.091,296.85,0.116,264.04,0.1,266.57,0.111,319.73,0.113,322.93,0.158,322.19,0.193,339.97,0.1,333.95,0.206,346.5,0.271,265.97,0.166,34.17,0.131,323.39,0.207,321.86,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2011 16:10,11.9,335.6,10.9,-14.6,44.876,26.32,0,0,0.166,210.73,0.233,191.65,0.163,166.56,0.215,197,0.226,218.9,0.293,205.87,0.315,211.77,0.225,221.76,0.3,230.41,0.255,219.12,0.207,226.76,0.175,227.09,0.215,237.71,0.135,234.07,0.129,258.34,0.125,275.98,0.112,302.98,0.072,295.5,0.126,332.01,0.107,333.91,0.039,345.26,0.051,318.18,0.072,284.42,0.08,341.79,0.042,314.03,0.112,231.18,0.14,318.78,0.189,329.5,0.118,300.05,0.209,332.09,0.139,19.74,0.121,344.12,0.156,15.64,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2011 16:20,11.9,335.5,10.8,-14.6,44.876,26.33,0,0,0.26,210.21,0.196,195.38,0.193,200.03,0.243,216.96,0.24,210.51,0.223,213.12,0.245,208.55,0.205,212.84,0.17,220.45,0.221,204.94,0.212,220.98,0.236,217.94,0.218,223.51,0.149,216.79,0.173,233,0.126,229.84,0.116,235.9,0.08,287.53,0.073,14.23,0.104,295.08,0.193,262.54,0.112,279.8,0.128,293.55,0.091,312.78,0.126,316.93,0.13,310.65,0.118,237.12,0.119,292.69,0.079,306.29,0.117,211.38,0.097,273.54,0.173,309.13,0.188,293.56,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2011 16:30,11.9,335.5,10.8,-14.6,44.875,26.33,0,0,0.167,201.48,0.193,192.88,0.139,189.94,0.227,214.25,0.231,214.59,0.246,213.88,0.312,208.54,0.305,214.16,0.294,219.76,0.203,210.09,0.252,217.1,0.186,235.54,0.185,232.26,0.163,239.34,0.164,253,0.132,268.26,0.127,293.14,0.119,331.93,0.129,308.38,0.097,323.84,0.078,338.06,0.113,280.21,0.129,282.53,0.175,305.69,0.095,273.61,0.121,282.89,0.151,290.11,0.077,272.97,0.1,350.26,0.209,16.96,0.107,261.95,0.068,87.47,0.19,312.66,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2011 16:40,11.9,335.6,10.8,-14.6,44.875,26.33,0,0,0.2,162.2,0.202,170.02,0.182,185.05,0.277,202.3,0.305,194.45,0.202,181.42,0.272,202.89,0.243,202.77,0.22,199.09,0.218,197.94,0.111,205.64,0.157,234.59,0.138,230.89,0.065,196.19,0.074,222.27,0.095,257.86,0.087,266.05,0.063,153.43,0.046,290.41,0.076,324.64,0.099,270,0.037,237.17,0.054,204.18,0.038,180,0.105,279.28,0.123,344.95,0.069,286.86,0.074,36.71,0.098,354.75,0.186,30.01,0.106,21,0.095,43.73,0.165,13.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2011 16:50,11.9,335.6,10.8,-14.6,44.874,26.34,0,0,0.123,190.76,0.181,209.82,0.173,183.97,0.167,206.26,0.127,228.18,0.209,202.16,0.246,228.46,0.186,207.95,0.225,224.64,0.201,223.79,0.223,219.18,0.107,213.99,0.077,191.16,0.082,197.1,0.116,260.05,0.07,279.06,0.005,233.13,0.044,80.75,0.097,39.12,0.009,12.53,0.03,320.44,0.03,315,0.046,79.92,0.116,332.77,0.088,325.22,0.227,8.34,0.149,3.07,0.094,21.91,0.084,2.05,0.07,31.66,0.11,166.34,0.022,338.2,0.088,147.58,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2011 17:00,11.9,335.6,10.8,-14.6,44.871,26.34,0,0,0.077,220.76,0.124,184.15,0.171,212.86,0.201,218.93,0.213,212.12,0.208,200.52,0.21,206.93,0.221,211.68,0.138,212.88,0.093,210.96,0.122,225.67,0.052,239.98,0.092,270,0.069,233.79,0.034,258.02,0.046,204.34,0.065,202.62,0.078,285.64,0.1,305.6,0.085,318.81,0.059,13.8,0.142,19.71,0.107,13.52,0.103,27.06,0.144,269.2,0.088,327.03,0.118,357.09,0.072,278.81,0.025,220.1,0.121,313.33,0.134,249.94,0.171,334.78,0.096,312.47,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2011 17:10,11.9,335.6,10.8,-14.6,44.874,26.34,0,0,0.037,7.7,0.198,194.04,0.208,182.48,0.189,200.73,0.191,215.43,0.239,201.85,0.176,207.44,0.123,205.94,0.177,217.9,0.076,226.06,0.142,241.45,0.117,240.8,0.054,243.43,0.092,239.25,0.109,250.24,0.135,251.03,0.068,272.53,0.136,300.53,0.094,324.11,0.089,305.84,0.116,295.46,0.106,305.79,0.119,312.27,0.029,270,0.102,256.92,0.186,275.25,0.129,255.64,0.142,277.28,0.156,266.7,0.17,2.36,0.08,36.87,0.228,333.43,0.059,282.63,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2011 17:20,11.9,335.6,10.8,-14.6,44.874,26.34,0,0,0.157,41.63,0.21,208.76,0.209,207.67,0.202,203.39,0.262,204.61,0.245,219.54,0.229,232.08,0.184,215.07,0.207,226.57,0.222,218.42,0.208,231.43,0.265,222.86,0.171,230.71,0.168,232.51,0.158,248.13,0.1,244.46,0.175,256.12,0.18,272.86,0.151,306.11,0.185,291.86,0.1,272.86,0.118,287.21,0.166,277.25,0.035,332.7,0.027,357.88,0.051,299.05,0.203,295.94,0.155,284.57,0.139,300.82,0.166,275.19,0.049,284.32,0.107,357.32,0.049,8.13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2011 17:30,11.9,335.5,10.8,-14.6,44.872,26.34,0,0,0.226,44.28,0.162,199.44,0.211,204.98,0.273,223.22,0.194,208.28,0.235,236.78,0.223,235.95,0.246,213.04,0.304,222.73,0.269,242.58,0.174,225.47,0.124,235.16,0.111,249.44,0.201,235.36,0.092,227.64,0.099,232.78,0.093,240.41,0.123,228.64,0.126,247.69,0.063,294.52,0.091,278.84,0.1,275.14,0.07,294.38,0.099,285.87,0.121,270,0.15,299.46,0.079,243.76,0.102,270.56,0.135,293.53,0.207,20.1,0.036,281.31,0.114,318.2,0.205,341.48,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
