DateTime;Battery;Heading;Pitch;Roll;Pressure;Temperature;AnalogIn1;AnalogIn2;Speed#1(2.5m);Dir#1(2.5m);Speed#2(4.5m);Dir#2(4.5m);Speed#3(6.5m);Dir#3(6.5m);Speed#4(8.5m);Dir#4(8.5m);Speed#5(10.5m);Dir#5(10.5m);Speed#6(12.5m);Dir#6(12.5m);Speed#7(14.5m);Dir#7(14.5m);Speed#8(16.5m);Dir#8(16.5m);Speed#9(18.5m);Dir#9(18.5m);Speed#10(20.5m);Dir#10(20.5m);Speed#11(22.5m);Dir#11(22.5m);Speed#12(24.5m);Dir#12(24.5m);Speed#13(26.5m);Dir#13(26.5m);Speed#14(28.5m);Dir#14(28.5m);Speed#15(30.5m);Dir#15(30.5m);Speed#16(32.5m);Dir#16(32.5m);Speed#17(34.5m);Dir#17(34.5m);Speed#18(36.5m);Dir#18(36.5m);Speed#19(38.5m);Dir#19(38.5m);Speed#20(40.5m);Dir#20(40.5m);
4/30/13 22:00:00; 11.9;116.8; -8.8; 18.6; 44.528; 26.53;  0.0;  0.0;  0.164; 251.57;  0.130; 258.95;  0.158; 275.82;  0.167; 276.87;  0.116; 281.89;  0.134; 284.24;  0.143; 314.43;  0.148; 307.02;  0.131; 310.36;  0.149; 316.64;  0.174; 311.28;  0.225; 305.60;  0.236; 313.29;  0.234; 317.78;  0.263; 315.31;  0.260; 320.62;  0.301; 301.42;-99.000; -99.00;-99.000; -99.00;-99.000; -99.00;
4/30/13 23:00:00; 11.9;116.8; -8.8; 18.6; 44.564; 26.44;  0.0;  0.0;  0.140; 275.75;  0.143; 293.88;  0.169; 292.31;  0.159; 301.40;  0.167; 301.02;  0.153; 307.02;  0.172; 297.01;  0.232; 296.90;  0.205; 300.82;  0.225; 303.97;  0.263; 308.66;  0.234; 319.50;  0.212; 327.13;  0.194; 345.03;  0.232; 339.07;  0.232; 330.01;  0.236; 324.49;-99.000; -99.00;-99.000; -99.00;-99.000; -99.00;
5/1/13 00:00:00; 11.9;116.8; -8.8; 18.6; 44.598; 26.42;  0.0;  0.0;  0.112; 279.21;  0.109; 287.60;  0.120; 293.57;  0.115; 307.96;  0.103; 318.14;  0.148; 307.33;  0.161; 308.94;  0.193; 304.85;  0.166; 308.88;  0.174; 305.15;  0.204; 305.64;  0.187; 312.83;  0.211; 310.40;  0.189; 325.80;  0.170; 327.99;  0.201; 308.53;  0.275; 298.24;-99.000; -99.00;-99.000; -99.00;-99.000; -99.00;
5/1/13 01:00:00; 11.9;116.9; -8.8; 18.5; 44.632; 26.40;  0.0;  0.0;  0.116; 281.89;  0.166; 282.87;  0.146; 285.95;  0.166; 302.44;  0.181; 312.76;  0.188; 310.04;  0.152; 321.93;  0.172; 313.82;  0.178; 310.22;  0.179; 311.16;  0.178; 303.06;  0.182; 316.11;  0.168; 325.46;  0.156; 333.27;  0.181; 328.33;  0.212; 312.13;  0.302; 289.93;-99.000; -99.00;-99.000; -99.00;-99.000; -99.00;
5/1/13 02:00:00; 11.9;116.9; -8.8; 18.5; 44.685; 26.43;  0.0;  0.0;  0.089; 273.22;  0.101; 273.96;  0.148; 283.28;  0.153; 284.76;  0.141; 282.66;  0.159; 286.49;  0.197; 289.54;  0.131; 284.99;  0.097; 281.31;  0.135; 285.07;  0.148; 302.83;  0.195; 316.66;  0.191; 303.27;  0.184; 317.64;  0.207; 312.65;  0.190; 307.29;  0.262; 285.26;-99.000; -99.00;-99.000; -99.00;-99.000; -99.00;
5/1/13 03:00:00; 11.9;116.8; -8.8; 18.5; 44.726; 26.54;  0.0;  0.0;  0.071; 245.96;  0.123; 269.53;  0.112; 274.59;  0.154; 275.97;  0.169; 276.12;  0.151; 278.78;  0.173; 278.65;  0.153; 280.14;  0.141; 286.50;  0.138; 290.41;  0.169; 303.88;  0.188; 323.01;  0.174; 330.34;  0.175; 324.04;  0.249; 314.35;  0.200; 323.93;  0.164; 306.80;-99.000; -99.00;-99.000; -99.00;-99.000; -99.00;
5/1/13 04:00:00; 11.9;116.9; -8.8; 18.5; 44.759; 26.53;  0.0;  0.0;  0.131; 201.07;  0.144; 230.91;  0.107; 252.58;  0.103; 278.37;  0.133; 286.12;  0.139; 285.04;  0.150; 271.91;  0.148; 279.33;  0.118; 280.26;  0.116; 281.41;  0.131; 303.81;  0.162; 306.44;  0.192; 297.63;  0.188; 297.25;  0.191; 298.85;  0.186; 289.80;  0.221; 281.46;-99.000; -99.00;-99.000; -99.00;-99.000; -99.00;
5/1/13 05:00:00; 11.9;117.1; -8.8; 18.5; 44.769; 26.52;  0.0;  0.0;  0.139; 232.88;  0.149; 258.39;  0.147; 261.37;  0.124; 274.15;  0.118; 290.27;  0.182; 289.53;  0.223; 288.27;  0.183; 295.30;  0.150; 294.86;  0.165; 295.16;  0.153; 276.01;  0.159; 280.89;  0.128; 292.96;  0.127; 287.86;  0.199; 284.25;  0.212; 291.85;  0.139; 287.53;-99.000; -99.00;-99.000; -99.00;-99.000; -99.00;
5/1/13 06:00:00; 11.9;116.8; -8.8; 18.5; 44.775; 26.54;  0.0;  0.0;  0.225; 220.13;  0.174; 233.20;  0.108; 229.11;  0.117; 242.56;  0.125; 259.41;  0.156; 280.73;  0.189; 270.30;  0.133; 271.29;  0.166; 280.43;  0.204; 274.51;  0.190; 266.39;  0.206; 270.28;  0.179; 280.93;  0.182; 280.14;  0.169; 271.36;  0.166; 271.38;  0.207; 274.44;-99.000; -99.00;-99.000; -99.00;-99.000; -99.00;
5/1/13 07:00:00; 11.9;116.8; -8.8; 18.5; 44.777; 26.56;  0.0;  0.0;  0.153; 219.42;  0.192; 240.63;  0.157; 262.69;  0.196; 264.73;  0.168; 269.32;  0.148; 284.88;  0.175; 278.55;  0.220; 295.28;  0.208; 297.18;  0.163; 302.23;  0.169; 305.38;  0.194; 290.87;  0.165; 287.23;  0.206; 288.70;  0.193; 281.95;  0.187; 285.23;  0.220; 285.80;-99.000; -99.00;-99.000; -99.00;-99.000; -99.00;
