DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m)
7/2/2018 16:00,11.4,232,-11,-24.8,45.053,27.2,0,0,0.201,190.3,0.024,213.02,0.091,236.66,0.042,208.39,0.055,209.36,0.044,249.9,0.074,255.96,0.046,183.73,0.066,198.43,0.064,210.19,0.077,244.76,0.067,204.66,0.075,182.29,0.063,207.38,0.078,159.7,0.157,167.47,-99,-99,-99,-99,-99,-99,-99,-99
7/2/2018 17:00,11.4,232,-10.9,-24.6,45.041,26.33,0,0,0.149,192.36,0.099,229.52,0.071,251.05,0.11,248.78,0.084,227.41,0.088,232.35,0.107,243.43,0.086,217,0.086,217,0.104,232.8,0.099,217.22,0.107,212.8,0.092,210.75,0.063,241.39,0.069,163.94,0.141,166.85,-99,-99,-99,-99,-99,-99,-99,-99
7/2/2018 18:00,11.4,231.8,-10.9,-24.6,45.032,26.32,0,0,0.239,201.62,0.163,232.5,0.13,220.65,0.062,183.69,0.052,187.67,0.105,211.72,0.101,223.8,0.088,223.15,0.126,243.64,0.119,240.2,0.12,239.36,0.137,250.77,0.126,225,0.163,236.02,0.173,181.66,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
7/2/2018 19:00,11.4,231.9,-10.9,-24.6,45.037,26.19,0,0,0.126,185.94,0.023,25.46,0.03,105.42,0.022,166.61,0.057,312.88,0.071,304.14,0.098,256.39,0.082,258,0.105,236.31,0.098,240.55,0.084,237.63,0.073,262.87,0.06,213.42,0.126,225.64,0.121,171,0.178,177.75,-99,-99,-99,-99,-99,-99,-99,-99
7/2/2018 20:00,11.4,232,-10.9,-24.5,45.035,26.14,0,0,0.047,222.44,0.052,296.08,0.063,283.82,0.063,276.34,0.063,252.43,0.053,275.39,0.087,270.66,0.072,236.31,0.087,220.82,0.056,219.94,0.062,238.09,0.066,204.23,0.07,184.9,0.079,190.89,0.131,146.19,0.172,163.46,-99,-99,-99,-99,-99,-99,-99,-99
7/2/2018 21:00,11.4,231.9,-10.9,-24.5,45.044,26.33,0,0,0.04,82.87,0.072,133.88,0.127,169.13,0.119,216.1,0.093,234.61,0.054,225.74,0.043,204.78,0.06,196.34,0.029,233.53,0.051,221.82,0.074,208.3,0.049,199.18,0.072,247.01,0.063,200.45,0.074,137.73,0.046,195.26,-99,-99,-99,-99,-99,-99,-99,-99
7/2/2018 22:00,11.4,231.9,-10.8,-24.5,45.054,26.37,0,0,0.118,283.21,0.157,275.49,0.117,273.91,0.081,254.93,0.037,214.11,0.068,232.13,0.054,290.43,0.023,357.51,0.051,288.43,0.043,331.07,0.008,352.87,0.024,326.98,0.009,270,0.028,90,0.052,107.74,0.147,113.61,-99,-99,-99,-99,-99,-99,-99,-99
7/2/2018 23:00,11.4,232,-10.8,-24.5,45.083,26.26,0,0,0.048,13.17,0.113,301.57,0.113,300.88,0.118,318.08,0.104,324.78,0.073,330.64,0.029,5.91,0.03,350.54,0.054,330.12,0.072,311.63,0.048,344.22,0.028,316.47,0.041,18.43,0.03,295.71,0.04,40.91,0.111,90.52,-99,-99,-99,-99,-99,-99,-99,-99
7/3/2018 0:00,11.4,231.9,-10.8,-24.5,45.115,26.13,0,0,0.046,217.12,0.043,287.59,0.059,336.93,0.065,330.69,0.089,329.7,0.138,5.83,0.117,29.2,0.135,69.15,0.102,95.04,0.079,81.97,0.035,106.39,0.008,270,0.036,85.24,0.038,50.39,0.08,67.27,0.101,87.73,-99,-99,-99,-99,-99,-99,-99,-99
7/3/2018 1:00,11.4,231.9,-10.8,-24.5,45.147,26.22,0,0,0.052,129.52,0.038,63.43,0.031,14.93,0.061,349.61,0.081,17.99,0.062,24.9,0.071,110.75,0.058,154.32,0.033,40.03,0.054,57.2,0.05,72.65,0.046,98.84,0.038,73.01,0.049,100.62,0.104,119.27,0.181,120.26,-99,-99,-99,-99,-99,-99,-99,-99
