DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m),
2/24/2008 13:00:00, 11.9,334.4,-10.6,  3.2, 43.136, 25.58,  0.0,  0.0,  0.136, 225.30,  0.091, 224.10,  0.246, 204.48,  0.219, 206.33,  0.208, 200.88,  0.210, 200.68,  0.221, 205.99,  0.245, 201.02,  0.250, 206.36,  0.273, 186.94,  0.254, 197.43,  0.246, 199.25,  0.241, 203.17,  0.297, 198.68,  0.234, 203.71,  0.355, 161.11,  0.334, 260.88,  0.281, 198.05,-99.000, -99.00,-99.000, -99.00,
2/24/2008 13:10:00, 11.9,334.4,-10.4,  3.1, 43.123, 25.71,  0.0,  0.0,  0.180, 223.65,  0.139, 189.53,  0.191, 201.86,  0.218, 200.43,  0.246, 208.96,  0.233, 206.78,  0.277, 207.77,  0.264, 199.26,  0.296, 187.77,  0.294, 193.18,  0.277, 190.18,  0.290, 198.06,  0.233, 197.74,  0.210, 195.49,  0.296, 201.37,  0.279, 196.23,  0.209, 267.53,  0.300, 196.44,-99.000, -99.00,-99.000, -99.00,
2/24/2008 13:20:00, 11.9,334.4,-10.4,  3.0, 43.119, 25.77,  0.0,  0.0,  0.206, 193.77,  0.181, 207.98,  0.264, 210.55,  0.235, 197.05,  0.239, 192.30,  0.255, 192.89,  0.226, 193.85,  0.239, 202.60,  0.261, 203.23,  0.327, 204.37,  0.303, 198.26,  0.317, 205.03,  0.294, 201.95,  0.293, 212.61,  0.261, 197.39,  0.355, 183.88,  0.179, 274.50,  0.109, 204.92,-99.000, -99.00,-99.000, -99.00,
2/24/2008 13:30:00, 11.9,334.2,-10.4,  3.0, 43.117, 25.80,  0.0,  0.0,  0.106, 214.59,  0.119, 233.51,  0.171, 194.93,  0.171, 202.67,  0.210, 216.11,  0.240, 220.60,  0.245, 214.53,  0.246, 208.44,  0.264, 206.57,  0.278, 195.89,  0.289, 204.35,  0.284, 206.75,  0.275, 214.50,  0.255, 211.20,  0.258, 212.64,  0.228, 201.61,  0.240, 266.17,  0.280, 207.48,-99.000, -99.00,-99.000, -99.00,
2/24/2008 13:40:00, 11.9,334.2,-10.4,  3.0, 43.113, 25.82,  0.0,  0.0,  0.165, 203.93,  0.115, 224.29,  0.198, 206.05,  0.216, 200.28,  0.218, 200.10,  0.228, 208.03,  0.204, 205.19,  0.203, 212.75,  0.235, 213.01,  0.233, 205.46,  0.257, 212.45,  0.251, 208.81,  0.269, 215.93,  0.274, 207.41,  0.157, 216.43,  0.188, 239.61,  0.299, 256.66,  0.367, 212.44,-99.000, -99.00,-99.000, -99.00,
2/24/2008 13:50:00, 11.9,334.1,-10.4,  3.0, 43.110, 25.83,  0.0,  0.0,  0.192, 208.30,  0.171, 217.87,  0.209, 208.89,  0.224, 207.37,  0.250, 213.56,  0.290, 223.88,  0.250, 225.65,  0.279, 222.67,  0.266, 225.30,  0.286, 226.56,  0.288, 226.55,  0.283, 213.63,  0.281, 211.49,  0.280, 228.04,  0.200, 239.09,  0.238, 238.91,  0.272, 264.73,  0.143, 234.42,-99.000, -99.00,-99.000, -99.00,
2/24/2008 14:00:00, 11.9,334.2,-10.4,  3.0, 43.104, 25.83,  0.0,  0.0,  0.149, 208.98,  0.093, 206.02,  0.177, 194.43,  0.167, 211.49,  0.182, 219.20,  0.239, 204.74,  0.255, 203.55,  0.243, 200.45,  0.283, 212.74,  0.289, 214.85,  0.254, 209.80,  0.256, 220.09,  0.268, 218.63,  0.262, 228.09,  0.224, 220.66,  0.255, 248.37,  0.288, 274.18,  0.189, 185.77,-99.000, -99.00,-99.000, -99.00,
2/24/2008 14:10:00, 11.9,334.2,-10.4,  3.0, 43.097, 25.83,  0.0,  0.0,  0.132, 179.57,  0.111, 208.41,  0.185, 208.09,  0.186, 208.22,  0.202, 211.01,  0.214, 206.33,  0.250, 218.02,  0.256, 216.91,  0.280, 219.94,  0.249, 212.35,  0.290, 210.28,  0.310, 211.28,  0.284, 205.21,  0.293, 207.18,  0.255, 203.35,  0.205, 244.31,  0.293, 273.92,  0.287, 203.62,-99.000, -99.00,-99.000, -99.00,
2/24/2008 14:20:00, 11.9,334.2,-10.3,  3.0, 43.096, 25.83,  0.0,  0.0,  0.184, 217.06,  0.163, 235.53,  0.168, 232.72,  0.158, 202.34,  0.195, 207.88,  0.203, 209.22,  0.246, 205.31,  0.249, 211.71,  0.260, 214.36,  0.240, 210.51,  0.247, 222.54,  0.238, 226.02,  0.272, 226.79,  0.246, 249.80,  0.260, 246.19,  0.305, 249.49,  0.316, 291.53,  0.061, 231.63,-99.000, -99.00,-99.000, -99.00,
2/24/2008 14:30:00, 11.9,334.1,-10.3,  3.0, 43.088, 25.83,  0.0,  0.0,  0.168, 200.60,  0.111, 223.18,  0.146, 210.96,  0.169, 216.80,  0.212, 224.62,  0.177, 220.43,  0.174, 229.43,  0.199, 220.10,  0.195, 228.95,  0.171, 235.01,  0.195, 219.58,  0.206, 227.16,  0.217, 226.31,  0.267, 212.62,  0.265, 218.42,  0.214, 222.54,  0.318, 272.16,  0.287, 193.70,-99.000, -99.00,-99.000, -99.00,
