DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),
8/24/2006 13:00:00, 11.3,300.1,  0.1,  2.3, 18.689, 29.01,  0.0,  0.0,  0.049, 211.76,  0.031, 335.10,  0.066,  61.11,  0.058,  47.79,  0.029, 180.00,  0.070, 266.73,  0.140, 303.92,  0.179, 308.21,  0.162, 281.03,  0.154, 277.45,  0.166, 276.23,  0.197, 263.02,  0.167, 268.97,  0.132, 259.97,  0.149, 283.94,  0.327, 266.14,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/24/2006 13:05:00, 11.3,300.1,  0.1,  2.3, 18.685, 29.00,  0.0,  0.0,  0.064, 123.44,  0.088, 120.63,  0.071,  83.57,  0.080,  36.87,  0.050, 274.57,  0.099, 271.16,  0.085, 260.54,  0.077, 312.37,  0.064, 223.11,  0.151, 270.00,  0.106, 277.06,  0.141, 299.29,  0.159, 287.53,  0.126, 270.00,  0.087, 251.98,  0.416, 261.42,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/24/2006 13:10:00, 11.3,300.2,  0.2,  2.3, 18.682, 29.00,  0.0,  0.0,  0.033, 171.38,  0.070, 104.83,  0.100, 106.81,  0.034,  60.46,  0.071, 276.43,  0.081, 240.60,  0.059, 267.09,  0.059, 252.18,  0.123, 244.06,  0.156, 236.51,  0.142, 263.13,  0.117, 254.19,  0.191, 263.10,  0.139, 254.56,  0.186, 263.83,  0.444, 257.50,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/24/2006 13:15:00, 11.3,300.1,  0.2,  2.3, 18.682, 29.01,  0.0,  0.0,  0.071, 154.16,  0.027,  81.57,  0.024,  51.71,  0.007, 296.57,  0.006, 180.00,  0.022,  95.19,  0.090, 280.93,  0.070, 243.80,  0.099, 258.92,  0.129, 235.08,  0.097, 242.38,  0.130, 246.97,  0.142, 229.57,  0.105, 243.43,  0.142, 283.84,  0.451, 273.31,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/24/2006 13:20:00, 11.3,300.0,  0.2,  2.3, 18.668, 29.01,  0.0,  0.0,  0.044,  65.77,  0.058,  50.57,  0.048,  60.26,  0.061,  84.38,  0.087, 115.10,  0.089, 108.43,  0.059, 253.39,  0.031, 240.95,  0.146, 278.30,  0.097, 246.88,  0.116, 249.85,  0.067, 261.38,  0.166, 262.02,  0.103, 238.47,  0.169, 236.12,  0.424, 257.34,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/24/2006 13:25:00, 11.3,300.1,  0.3,  2.3, 18.666, 29.01,  0.0,  0.0,  0.023,  39.81,  0.004,   0.00,  0.067,  71.83,  0.053,  74.65,  0.062,  20.77,  0.069,  18.70,  0.121, 328.14,  0.063,   1.82,  0.059, 350.22,  0.047, 286.11,  0.122, 271.88,  0.140, 266.32,  0.116, 267.04,  0.074, 268.45,  0.085, 263.21,  0.377, 259.29,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/24/2006 13:30:00, 11.3,300.1,  0.3,  2.3, 18.653, 29.02,  0.0,  0.0,  0.057,  17.47,  0.121,  85.28,  0.128,  69.86,  0.043,  90.00,  0.038, 234.64,  0.069, 239.32,  0.034, 234.46,  0.065, 220.60,  0.082, 284.04,  0.072, 205.50,  0.096, 222.88,  0.057, 224.29,  0.076, 240.72,  0.104, 278.83,  0.101, 275.09,  0.412, 269.86,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/24/2006 13:35:00, 11.3,300.1,  0.3,  2.3, 18.642, 29.03,  0.0,  0.0,  0.022,  33.69,  0.036, 152.02,  0.075,  32.01,  0.065,  90.88,  0.052,  56.00,  0.074,  85.36,  0.054, 101.73,  0.042, 177.27,  0.157, 244.41,  0.129, 270.44,  0.089, 244.01,  0.107, 250.38,  0.137, 265.83,  0.133, 283.93,  0.163, 267.89,  0.481, 259.34,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/24/2006 13:40:00, 11.3,300.3,  0.3,  2.4, 18.631, 29.04,  0.0,  0.0,  0.114,  91.01,  0.089,  91.29,  0.109,  73.55,  0.045, 108.03,  0.072,  93.18,  0.019,  42.88,  0.091, 180.00,  0.089, 182.57,  0.109, 227.23,  0.069, 282.62,  0.052, 197.74,  0.087, 273.29,  0.121, 285.88,  0.018, 236.31,  0.085, 244.33,  0.439, 256.44,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/24/2006 13:45:00, 11.3,300.2,  0.3,  2.3, 18.627, 29.04,  0.0,  0.0,  0.062,  70.10,  0.044, 353.52,  0.092,  54.25,  0.063,  49.50,  0.008, 345.96,  0.050, 297.60,  0.016, 345.96,  0.087, 337.58,  0.061, 308.37,  0.080,   8.64,  0.041, 258.69,  0.106, 209.48,  0.096, 198.25,  0.033, 231.07,  0.124, 278.78,  0.413, 268.61,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
