DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m)
8/24/2006 13:00,13.7,275.9,0.7,3.9,18.764,28.99,0,0,0.089,305.84,0.117,308.74,0.065,312.51,0.091,343.36,0.125,324.78,0.156,327.02,0.132,328.59,0.189,318.87,0.124,306.13,0.132,268.26,0.089,288.23,0.11,267.92,0.208,279.69,0.261,271.32,0.196,290.28,0.214,270.8,-99,-99,-99,-99,-99,-99,-99,-99
8/24/2006 13:05,13.7,275.8,0.7,3.8,18.758,29,0,0,0.152,6.42,0.086,5.31,0.07,0,0.071,318.43,0.087,262.06,0.077,299.56,0.077,311.33,0.24,295.92,0.132,286.24,0.115,273.48,0.119,299.8,0.114,287.8,0.147,274.28,0.13,291.64,0.171,290.56,0.151,239.88,-99,-99,-99,-99,-99,-99,-99,-99
8/24/2006 13:10,13.7,275.8,0.7,3.8,18.753,29.02,0,0,0.06,302.11,0.115,353,0.116,0,0.122,313.34,0.147,300.56,0.058,273.95,0.068,354.12,0.185,311.71,0.08,290.47,0.098,265.91,0.118,277.31,0.129,264.64,0.154,292.91,0.103,274.44,0.164,277.69,0.158,226.02,-99,-99,-99,-99,-99,-99,-99,-99
8/24/2006 13:15,13.7,275.8,0.7,3.8,18.755,29.02,0,0,0.039,4.4,0.128,307.68,0.03,11.69,0.153,329.42,0.053,321.17,0.066,320.53,0.07,343.38,0.078,278.13,0.035,14.83,0.049,239.24,0.177,272.91,0.168,275.47,0.161,277.88,0.206,283.5,0.107,298.48,0.151,256.24,-99,-99,-99,-99,-99,-99,-99,-99
8/24/2006 13:20,13.7,275.7,0.7,3.7,18.745,29.03,0,0,0.037,273.09,0.033,190.62,0.051,341.57,0.054,180,0.04,313.99,0.076,280.57,0.097,302.38,0.077,328.78,0.024,326.98,0.037,176.91,0.057,180,0.085,280.12,0.049,303.37,0.141,265.54,0.166,287.89,0.12,262.34,-99,-99,-99,-99,-99,-99,-99,-99
8/24/2006 13:25,13.7,275.8,0.7,3.7,18.739,29.03,0,0,0.042,49.84,0.065,0.88,0.093,11.19,0.085,331.93,0.091,28.81,0.127,314.36,0.076,339.18,0.055,227.94,0.028,157.07,0.048,270,0.079,304.7,0.105,338.1,0.073,339.08,0.124,292.23,0.094,275.47,0.098,221.3,-99,-99,-99,-99,-99,-99,-99,-99
8/24/2006 13:30,13.7,275.8,0.7,3.7,18.728,29.04,0,0,0.119,298.73,0.044,263.52,0.035,297.3,0.05,262.03,0.171,305.73,0.06,351.33,0.054,285.07,0.024,216.38,0.111,273.09,0.076,275.26,0.134,272.99,0.118,270,0.144,281.62,0.098,284.74,0.042,319.84,0.084,274.09,-99,-99,-99,-99,-99,-99,-99,-99
8/24/2006 13:35,13.7,275.8,0.7,3.7,18.716,29.04,0,0,0.016,3.58,0.121,10.47,0.122,358.59,0.103,312.24,0.02,339.78,0.093,307.12,0.073,345.77,0.015,344.05,0.09,326.84,0.114,340.45,0.054,297.51,0.074,353.83,0.145,294.8,0.073,292.68,0.09,1.27,0.146,276.3,-99,-99,-99,-99,-99,-99,-99,-99
8/24/2006 13:40,13.7,275.9,0.7,3.7,18.71,29.05,0,0,0.103,240.19,0.099,20.62,0.114,333.43,0.049,219.21,0.079,289.12,0.102,298.07,0.098,321.61,0.094,282.86,0.072,339.81,0.082,324.95,0.106,324.21,0.08,299.12,0.047,236.31,0.043,270,0.059,271.94,0.183,258.63,-99,-99,-99,-99,-99,-99,-99,-99
8/24/2006 13:45,13.7,275.8,0.7,3.7,18.709,29.02,0,0,0.095,232.28,0.049,206.57,0.083,113.47,0.053,279.82,0.104,320.48,0.199,329.18,0.201,306.7,0.172,330.46,0.134,335.34,0.067,28.47,0.102,327.88,0.098,15.31,0.072,356.82,0.153,297.24,0.08,320.1,0.176,259.2,-99,-99,-99,-99,-99,-99,-99,-99
