DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m),Speed#37(37.5m),Dir#37(37.5m),Speed#38(38.5m),Dir#38(38.5m),Speed#39(39.5m),Dir#39(39.5m),Speed#40(40.5m),Dir#40(40.5m),Speed#41(41.5m),Dir#41(41.5m),Speed#42(42.5m),Dir#42(42.5m),Speed#43(43.5m),Dir#43(43.5m),Speed#44(44.5m),Dir#44(44.5m),Speed#45(45.5m),Dir#45(45.5m),
2/9/2005 18:00:00, 13.6,181.5, -2.8, -2.1, 36.831, 25.69,  0.0,  0.0,  0.213,  65.36,  0.065,   6.15,  0.145,  15.57,  0.084, 327.63,  0.191, 351.87,  0.177, 358.06,  0.177,   7.49,  0.136,   0.00,  0.227,   0.76,  0.214,   1.87,  0.210,   9.60,  0.223,  11.36,  0.242,  14.09,  0.193,  17.21,  0.218, 359.74,  0.230, 355.26,  0.212,   8.97,  0.199, 353.66,  0.203, 353.78,  0.169, 356.28,  0.216,  10.95,  0.259,   7.76,  0.265, 355.67,  0.244, 358.36,  0.245, 358.13,  0.210, 356.73,  0.217, 358.94,  0.184, 344.91,  0.214, 352.48,  0.244, 345.28,  0.255, 344.27,  0.200,   6.59,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 18:30:00, 13.6,181.4, -2.8, -2.0, 36.833, 25.68,  0.0,  0.0,  0.336,  44.64,  0.081,   2.83,  0.105,  13.77,  0.102,   3.37,  0.172,  16.86,  0.157,   0.00,  0.193,   2.37,  0.163, 359.30,  0.206,  16.33,  0.199,  10.41,  0.235,  24.06,  0.219,  21.66,  0.242,  18.06,  0.220,  24.47,  0.157,  31.15,  0.198,  15.79,  0.212,  14.76,  0.163,   7.39,  0.216,  13.91,  0.271,  21.17,  0.247,  22.83,  0.277,  17.19,  0.272,   7.59,  0.246,   2.79,  0.212, 357.30,  0.232, 353.82,  0.288, 346.54,  0.277,   2.27,  0.200,  10.07,  0.257, 350.13,  0.269, 331.34,  0.153, 351.34,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 19:00:00, 13.6,181.6, -2.8, -2.1, 36.834, 25.66,  0.0,  0.0,  0.226,  53.64,  0.075,  39.61,  0.102,   2.81,  0.130, 356.04,  0.235, 357.56,  0.240,   9.58,  0.232,   7.43,  0.268,   5.56,  0.218,  13.78,  0.215,   3.73,  0.222,  18.11,  0.220,  27.38,  0.217,  13.59,  0.241,   6.18,  0.218,   3.15,  0.218,  12.44,  0.191,  10.25,  0.223,  11.36,  0.193,   1.78,  0.187,   5.83,  0.235,  12.03,  0.222,   7.51,  0.178,   3.86,  0.230,  21.66,  0.200,   1.15,  0.212,   3.51,  0.163, 349.03,  0.183,   1.88,  0.175, 350.48,  0.194, 352.91,  0.225,  24.40,  0.089,  25.13,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 19:30:00, 13.6,181.5, -2.8, -2.1, 36.830, 25.65,  0.0,  0.0,  0.335,  55.46,  0.050,   0.00,  0.063,  66.68,  0.073, 356.08,  0.156,  12.97,  0.149,  20.38,  0.167,  24.42,  0.168,  10.98,  0.240,   1.43,  0.214,  11.57,  0.194,   2.07,  0.100,   5.77,  0.177,  10.10,  0.185,  14.71,  0.180,   7.01,  0.189,   7.31,  0.229,  23.43,  0.199,  13.97,  0.129,   0.44,  0.181,  23.03,  0.245,  13.47,  0.227,  14.53,  0.227,  19.31,  0.218,   7.13,  0.184,   5.00,  0.179,   6.41,  0.197, 353.02,  0.205, 357.49,  0.248,   3.94,  0.244, 351.27,  0.160,   5.03,  0.078,  14.04,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 20:00:00, 13.6,181.5, -2.8, -2.0, 36.838, 25.67,  0.0,  0.0,  0.185,  66.07,  0.082,  61.56,  0.049,  81.70,  0.072,  39.91,  0.179,  58.71,  0.118,  32.21,  0.142,  33.80,  0.112,  18.27,  0.166,  17.89,  0.176,  25.98,  0.111,   8.79,  0.097, 335.02,  0.097,  14.89,  0.113,   6.12,  0.207,  22.98,  0.209,  27.06,  0.165,  22.38,  0.221,  30.16,  0.163,  21.21,  0.147,  22.89,  0.203,  38.79,  0.165,  28.28,  0.123,  11.22,  0.142,  23.30,  0.175,   1.64,  0.188,   1.22,  0.199, 359.42,  0.247,  11.67,  0.228,  10.37,  0.285, 356.99,  0.169,   0.34,  0.164,  23.29,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 20:30:00, 13.6,181.5, -2.8, -2.1, 36.825, 25.68,  0.0,  0.0,  0.179,  40.91,  0.000,   0.00,  0.045,  18.03,  0.068, 334.57,  0.062,  43.70,  0.048,  41.63,  0.070, 344.17,  0.102,   9.00,  0.128,  20.56,  0.143,  25.31,  0.161,  24.97,  0.102,   6.78,  0.073,   3.14,  0.106,  18.09,  0.156,  28.70,  0.154,  30.07,  0.152,  37.78,  0.135,  35.69,  0.124,  19.31,  0.114,   8.06,  0.120,  35.54,  0.123,  30.32,  0.143,  29.79,  0.125,  15.82,  0.137,  11.80,  0.110,  29.36,  0.146,   4.70,  0.224,  20.38,  0.137,   6.71,  0.104, 356.70,  0.126,   0.00,  0.094,  33.69,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 21:00:00, 13.6,181.3, -2.8, -2.0, 36.821, 25.68,  0.0,  0.0,  0.195,  58.43,  0.062,  94.61,  0.049,  75.68,  0.093,  37.98,  0.048,  21.80,  0.078,  34.51,  0.101,  12.53,  0.073,   2.35,  0.066,  25.02,  0.120,  29.33,  0.118,  33.55,  0.071,  10.52,  0.122, 356.72,  0.093, 355.08,  0.113,   7.13,  0.178,  27.71,  0.156,  20.64,  0.121,  10.01,  0.114,  35.36,  0.156,  43.70,  0.113,  29.74,  0.121,  39.62,  0.056,  45.73,  0.095,  29.00,  0.137,  38.46,  0.125,  31.91,  0.102,   2.25,  0.065,   0.00,  0.069,  38.53,  0.159,  35.29,  0.128,  23.55,  0.109,  67.91,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 21:30:00, 13.6,181.5, -2.8, -2.0, 36.817, 25.68,  0.0,  0.0,  0.111,  80.71,  0.035, 291.50,  0.057, 220.06,  0.031, 290.77,  0.012, 255.96,  0.038, 312.88,  0.013,  94.40,  0.034, 240.46,  0.042,  18.00,  0.064, 329.04,  0.070,   3.27,  0.086,  31.65,  0.131,  30.89,  0.120,  27.85,  0.075,  36.87,  0.057,  39.29,  0.083,  37.69,  0.091,  40.53,  0.146,  25.51,  0.118,   3.39,  0.094,  15.36,  0.101,  48.22,  0.116,  41.51,  0.087,  13.24,  0.119,  14.62,  0.098,   3.50,  0.170,  33.97,  0.120,  21.00,  0.103,  25.32,  0.140,  11.55,  0.060,   8.67,  0.066,  78.69,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 22:00:00, 13.6,181.5, -2.8, -2.0, 36.798, 25.68,  0.0,  0.0,  0.113,  84.39,  0.053, 173.54,  0.065, 205.39,  0.048, 175.24,  0.104, 181.10,  0.070, 207.30,  0.103,  13.50,  0.071,  22.25,  0.081,  52.99,  0.057,  12.09,  0.057,  16.22,  0.053,  51.84,  0.076,  42.32,  0.045,  65.14,  0.046,  74.74,  0.036,  52.82,  0.050,  64.98,  0.046,  45.88,  0.073,  55.65,  0.054,  31.33,  0.052,  37.97,  0.042,  87.27,  0.032, 119.74,  0.049,  86.50,  0.110,  75.84,  0.133,  73.34,  0.063,  43.07,  0.043,  18.85,  0.047,  64.54,  0.080,  59.28,  0.068,  52.79,  0.094, 126.38,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 22:30:00, 13.6,181.5, -2.8, -2.0, 36.797, 25.68,  0.0,  0.0,  0.095,  73.47,  0.125, 212.54,  0.125, 208.61,  0.089, 183.22,  0.066, 195.95,  0.052, 146.00,  0.078, 153.43,  0.010,  84.29,  0.054, 335.82,  0.013,   0.00,  0.039,  95.86,  0.034, 266.63,  0.064, 298.97,  0.033, 257.66,  0.013, 128.66,  0.027, 188.43,  0.040, 235.12,  0.045, 264.92,  0.045, 321.34,  0.016,  21.80,  0.027, 263.66,  0.059,   0.00,  0.061, 351.47,  0.025, 355.43,  0.029,  56.31,  0.050, 277.97,  0.025, 323.13,  0.018, 135.00,  0.079, 111.67,  0.057,  77.91,  0.115,  32.59,  0.031, 283.13,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
