DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m),Speed#37(37.5m),Dir#37(37.5m),Speed#38(38.5m),Dir#38(38.5m),Speed#39(39.5m),Dir#39(39.5m),Speed#40(40.5m),Dir#40(40.5m),Speed#41(41.5m),Dir#41(41.5m),Speed#42(42.5m),Dir#42(42.5m),Speed#43(43.5m),Dir#43(43.5m),Speed#44(44.5m),Dir#44(44.5m),Speed#45(45.5m),Dir#45(45.5m),
2/9/2005 18:00:00, 13.9,133.4, -1.7,  1.5, 40.901, 25.76,  0.0,  0.0,  0.026, 344.36,  0.142,  16.39,  0.190, 348.16,  0.207, 350.54,  0.229, 352.22,  0.235, 339.02,  0.252, 357.05,  0.269, 347.31,  0.223, 349.65,  0.267, 335.45,  0.247, 357.22,  0.225, 342.37,  0.269, 349.49,  0.262, 355.40,  0.270, 338.75,  0.251,   0.68,  0.216, 358.14,  0.214, 356.52,  0.217, 358.42,  0.268, 357.86,  0.288, 348.81,  0.229,   0.00,  0.227,  13.49,  0.288,   4.18,  0.263, 345.91,  0.255,   4.95,  0.324,  26.01,  0.223,  10.86,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 18:30:00, 13.8,133.5, -1.7,  1.5, 40.894, 25.75,  0.0,  0.0,  0.073, 228.89,  0.087, 304.24,  0.157, 308.03,  0.226, 344.37,  0.152, 345.51,  0.163, 345.45,  0.177, 358.38,  0.179, 357.76,  0.138, 345.26,  0.211, 352.37,  0.185,   4.35,  0.201,   0.00,  0.206, 356.67,  0.166, 343.53,  0.167, 342.54,  0.194, 343.24,  0.230, 346.45,  0.236, 352.94,  0.194,   0.00,  0.220,   0.00,  0.192, 347.34,  0.235, 350.46,  0.237, 345.32,  0.198, 346.59,  0.219, 356.86,  0.252, 352.03,  0.283,   0.20,  0.274,   3.34,  0.246, 352.07,  0.258,   3.78,  0.266, 351.57,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 19:00:00, 13.8,133.4, -1.7,  1.5, 40.896, 25.76,  0.0,  0.0,  0.083, 319.40,  0.092,  18.43,  0.215, 348.48,  0.160, 338.40,  0.114, 348.40,  0.047, 325.30,  0.078,  23.29,  0.132,  14.46,  0.134,   1.28,  0.149,  17.95,  0.178,   8.40,  0.172,   5.01,  0.164, 358.60,  0.220, 359.22,  0.207, 354.18,  0.179,   0.00,  0.209, 356.17,  0.268,   5.14,  0.282, 358.38,  0.309,   8.76,  0.292,   3.33,  0.296,   3.69,  0.339, 358.99,  0.320,   1.43,  0.248, 359.54,  0.271,  18.70,  0.216,   0.00,  0.243,   9.69,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 19:30:00, 13.8,133.5, -1.7,  1.5, 40.897, 25.76,  0.0,  0.0,  0.076, 343.23,  0.149,  13.57,  0.133, 341.98,  0.095, 347.28,  0.074, 346.72,  0.088, 326.13,  0.114, 353.44,  0.128,   6.74,  0.141, 355.54,  0.117, 327.26,  0.136,   4.21,  0.170,   8.80,  0.143, 354.77,  0.127,   5.89,  0.168, 358.98,  0.158, 356.38,  0.232, 349.56,  0.233,   1.23,  0.179, 358.08,  0.201,   1.71,  0.233,   7.40,  0.222,   8.82,  0.225,  15.46,  0.224,   0.26,  0.189, 359.39,  0.185, 351.00,  0.141, 348.13,  0.175,   4.60,-99.000, -99.00,  0.193,   2.08,  0.174,  16.67,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 20:00:00, 13.8,133.4, -1.7,  1.5, 40.889, 25.76,  0.0,  0.0,  0.107, 354.66,  0.145,  33.14,  0.105,   1.09,  0.051, 283.50,  0.086, 324.46,  0.094, 350.24,  0.107, 345.45,  0.106,  19.29,  0.147, 354.91,  0.144,   7.57,  0.178,  12.00,  0.159,  16.84,  0.135, 355.34,  0.133, 354.38,  0.121,   6.18,  0.164, 355.82,  0.166,   5.54,  0.142,   1.61,  0.170,   2.36,  0.155,  10.44,  0.162, 345.36,  0.138,   3.73,  0.124, 342.59,  0.148, 359.61,  0.158, 352.74,  0.171, 349.22,  0.182, 356.54,  0.222, 351.98,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 20:30:00, 13.8,133.3, -1.7,  1.5, 40.889, 25.76,  0.0,  0.0,  0.137, 302.76,  0.148, 356.52,  0.132, 308.86,  0.063, 287.57,  0.067, 259.70,  0.028, 106.50,  0.083, 326.31,  0.028, 347.47,  0.074, 338.63,  0.084, 350.43,  0.111, 355.88,  0.111, 348.08,  0.137, 335.87,  0.093, 357.54,  0.098, 342.12,  0.126, 355.01,  0.153, 357.75,  0.118, 339.10,  0.082, 326.89,  0.090,   7.68,  0.107,  24.89,  0.069,   7.54,  0.068,   2.53,  0.098, 351.21,  0.066,   9.61,  0.098,  31.26,  0.103, 328.47,  0.100, 338.30,  0.103, 346.50,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 21:00:00, 13.8,133.3, -1.7,  1.5, 40.880, 25.75,  0.0,  0.0,  0.144, 352.43,  0.053, 351.25,  0.087, 322.47,  0.056, 284.53,  0.018, 196.39,  0.046,   1.25,  0.076, 297.24,  0.061, 338.90,  0.053, 304.29,  0.052, 297.55,  0.021, 202.83,  0.076, 269.25,  0.118, 308.81,  0.091, 311.89,  0.090, 311.85,  0.089, 295.99,  0.053, 290.81,  0.026, 280.89,  0.069, 300.68,  0.052, 344.36,  0.046, 336.80,  0.057, 319.94,  0.051, 352.18,  0.051, 281.31,  0.007, 153.43,  0.084, 227.91,  0.031, 266.31,  0.044, 292.52,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.026,  51.34,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 21:30:00, 13.8,133.2, -1.7,  1.5, 40.873, 25.75,  0.0,  0.0,  0.199, 207.60,  0.082, 239.39,  0.079, 307.30,  0.091, 278.84,  0.037, 161.08,  0.031, 264.47,  0.089, 290.48,  0.095, 241.00,  0.057, 241.63,  0.102, 228.18,  0.100, 218.93,  0.074, 252.78,  0.082, 235.92,  0.061, 238.39,  0.080, 233.13,  0.048, 238.63,  0.042, 244.65,  0.040, 243.43,  0.073, 221.11,  0.085, 216.87,  0.079, 223.45,  0.118, 211.80,  0.115, 224.65,  0.121, 239.20,  0.066, 224.38,  0.115, 213.69,  0.132, 222.86,  0.143, 236.09,  0.070, 206.20,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 22:00:00, 13.8,133.3, -1.7,  1.5, 40.866, 25.74,  0.0,  0.0,  0.361, 202.16,  0.054, 184.24,  0.109, 268.42,  0.154, 234.25,  0.147, 252.18,  0.092, 215.75,  0.081, 227.49,  0.097, 227.92,  0.068, 184.21,  0.079, 220.91,  0.075, 207.94,  0.116, 222.21,  0.103, 255.43,  0.099, 255.40,  0.061, 252.76,  0.088, 225.92,  0.103, 248.40,  0.115, 243.66,  0.096, 259.75,  0.100, 263.09,  0.100, 247.03,  0.117, 239.04,  0.143, 238.42,  0.089, 208.30,  0.073, 238.50,  0.073, 213.91,  0.117, 242.56,  0.066, 250.46,  0.017, 215.54,  0.051, 307.78,-99.000, -99.00,  0.148, 257.55,-99.000, -99.00,-99.000, -99.00,  0.070,  87.55,  0.024,   2.39,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/9/2005 22:30:00, 13.8,133.2, -1.8,  1.5, 40.860, 25.74,  0.0,  0.0,  0.360, 202.86,  0.163, 146.80,  0.160, 229.83,  0.197, 205.53,  0.199, 202.44,  0.256, 203.76,  0.246, 204.27,  0.237, 211.21,  0.214, 212.57,  0.205, 229.16,  0.213, 210.78,  0.152, 206.57,  0.169, 207.17,  0.208, 205.33,  0.169, 200.04,  0.170, 204.75,  0.137, 185.88,  0.148, 197.33,  0.124, 213.82,  0.127, 202.72,  0.121, 215.92,  0.166, 244.98,  0.168, 239.62,  0.064, 233.31,  0.093, 249.81,  0.014, 140.71,  0.097, 206.83,  0.163, 211.45,  0.135, 206.38,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
