DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.0m),Dir#1(2.0m),Speed#2(3.5m),Dir#2(3.5m),Speed#3(5.0m),Dir#3(5.0m),Speed#4(6.5m),Dir#4(6.5m),Speed#5(8.0m),Dir#5(8.0m),Speed#6(9.5m),Dir#6(9.5m),Speed#7(11.0m),Dir#7(11.0m),Speed#8(12.5m),Dir#8(12.5m),Speed#9(14.0m),Dir#9(14.0m),Speed#10(15.5m),Dir#10(15.5m),Speed#11(17.0m),Dir#11(17.0m),Speed#12(18.5m),Dir#12(18.5m),Speed#13(20.0m),Dir#13(20.0m),Speed#14(21.5m),Dir#14(21.5m),Speed#15(23.0m),Dir#15(23.0m),Speed#16(24.5m),Dir#16(24.5m),Speed#17(26.0m),Dir#17(26.0m),Speed#18(27.5m),Dir#18(27.5m),Speed#19(29.0m),Dir#19(29.0m),Speed#20(30.5m),Dir#20(30.5m),Speed#21(32.0m),Dir#21(32.0m),Speed#22(33.5m),Dir#22(33.5m),Speed#23(35.0m),Dir#23(35.0m),Speed#24(36.5m),Dir#24(36.5m),Speed#25(38.0m),Dir#25(38.0m),Speed#26(39.5m),Dir#26(39.5m),
8/27/2007 18:00:00, 11.7, 36.3,  2.6,  2.5, 41.073, 28.13,  0.0,  0.0,  0.098, 223.76,  0.057, 302.86,  0.040, 249.78,  0.072, 216.55,  0.067, 222.56,  0.088, 236.13,  0.083, 270.00,  0.022, 320.53,  0.043, 321.55,  0.063, 270.00,  0.071, 262.67,  0.039, 284.74,  0.059, 290.90,  0.061, 281.31,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/27/2007 18:30:00, 11.7, 36.4,  2.6,  2.5, 41.101, 28.16,  0.0,  0.0,  0.145, 187.13,  0.086, 201.18,  0.069, 236.31,  0.090, 246.30,  0.036, 290.92,  0.092, 281.92,  0.103, 272.22,  0.072, 291.95,  0.042, 285.02,  0.050, 270.00,  0.038, 257.80,  0.006, 279.46,  0.045, 260.96,  0.032, 255.53,  0.041, 285.75,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/27/2007 19:00:00, 11.7, 36.3,  2.7,  2.4, 41.126, 28.15,  0.0,  0.0,  0.162, 186.03,  0.118, 206.13,  0.159, 209.48,  0.069, 219.70,  0.078, 239.80,  0.092, 239.25,  0.072, 219.91,  0.085, 212.01,  0.060, 207.85,  0.043, 249.44,  0.059, 248.20,  0.065, 252.12,  0.093, 239.57,  0.097, 237.62,  0.077, 246.11,  0.092, 247.05,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/27/2007 19:30:00, 11.7, 36.4,  2.6,  2.5, 41.148, 28.16,  0.0,  0.0,  0.183, 184.71,  0.105, 201.19,  0.164, 207.97,  0.142, 218.16,  0.127, 227.24,  0.134, 239.99,  0.137, 236.89,  0.121, 219.99,  0.170, 219.76,  0.129, 222.48,  0.122, 223.34,  0.113, 215.66,  0.114, 218.97,  0.151, 221.51,  0.141, 212.22,  0.163, 229.97,  0.120, 235.91,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/27/2007 20:00:00, 11.7, 36.2,  2.6,  2.4, 41.167, 28.17,  0.0,  0.0,  0.206, 188.09,  0.211, 191.74,  0.181, 207.27,  0.194, 210.00,  0.193, 221.21,  0.179, 226.58,  0.190, 222.23,  0.187, 217.61,  0.155, 211.03,  0.159, 221.69,  0.165, 227.21,  0.185, 219.53,  0.164, 222.04,  0.180, 226.57,  0.165, 241.72,  0.165, 252.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/27/2007 20:30:00, 11.7, 36.4,  2.6,  2.5, 41.184, 28.16,  0.0,  0.0,  0.213, 170.27,  0.221, 184.42,  0.220, 193.40,  0.207, 205.20,  0.210, 215.51,  0.197, 224.18,  0.209, 227.14,  0.167, 224.03,  0.177, 215.58,  0.158, 215.20,  0.186, 212.92,  0.195, 222.92,  0.200, 238.06,  0.183, 238.66,  0.151, 235.26,  0.191, 251.09,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/27/2007 21:00:00, 11.7, 36.4,  2.6,  2.5, 41.200, 28.15,  0.0,  0.0,  0.234, 172.15,  0.202, 177.17,  0.182, 175.58,  0.195, 199.46,  0.171, 199.07,  0.176, 227.53,  0.207, 234.85,  0.180, 223.65,  0.177, 224.08,  0.161, 212.31,  0.188, 216.14,  0.180, 225.00,  0.192, 220.99,  0.147, 215.86,  0.168, 222.34,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/27/2007 21:30:00, 11.7, 36.4,  2.6,  2.4, 41.203, 28.19,  0.0,  0.0,  0.183, 175.60,  0.176, 181.63,  0.139, 174.21,  0.169, 197.25,  0.176, 214.14,  0.161, 225.00,  0.142, 221.00,  0.190, 229.27,  0.195, 224.17,  0.170, 219.98,  0.160, 217.66,  0.196, 215.64,  0.194, 214.51,  0.212, 222.71,  0.191, 207.51,  0.219, 228.52,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/27/2007 22:00:00, 11.7, 36.2,  2.7,  2.4, 41.206, 28.21,  0.0,  0.0,  0.209, 173.42,  0.135, 180.00,  0.147, 163.04,  0.171, 176.99,  0.157, 204.93,  0.177, 208.30,  0.170, 211.54,  0.169, 210.67,  0.199, 223.57,  0.193, 215.74,  0.183, 218.12,  0.215, 211.33,  0.203, 208.84,  0.204, 211.35,  0.170, 225.48,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/27/2007 22:30:00, 11.7, 36.3,  2.6,  2.5, 41.191, 28.25,  0.0,  0.0,  0.193, 166.83,  0.177, 155.61,  0.176, 152.56,  0.148, 163.15,  0.088, 195.77,  0.138, 208.61,  0.168, 224.76,  0.130, 222.18,  0.154, 207.90,  0.148, 211.76,  0.135, 224.10,  0.153, 229.24,  0.122, 213.30,  0.134, 227.41,  0.160, 237.80,  0.132, 251.02,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
