DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m),Speed#37(37.5m),Dir#37(37.5m),Speed#38(38.5m),Dir#38(38.5m),Speed#39(39.5m),Dir#39(39.5m),Speed#40(40.5m),Dir#40(40.5m),
8/12/2009 18:00:00, 11.9,287.4,  0.4, -2.5, 41.085, 27.09,  0.0,  0.0,  0.218, 138.72,  0.246, 129.06,  0.215, 132.36,  0.079, 201.67,  0.134, 214.64,  0.168, 238.86,  0.112, 282.42,  0.155, 279.28,  0.091, 270.63,  0.127, 250.13,  0.145, 260.47,  0.089, 262.87,  0.130, 302.71,  0.118, 290.90,  0.112, 271.53,  0.120, 270.00,  0.188, 289.30,  0.242, 301.13,  0.231, 296.23,  0.171, 298.21,  0.211, 321.55,  0.222, 319.20,  0.255, 310.70,  0.210, 323.13,  0.262, 316.55,  0.213, 323.02,  0.222, 313.18,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.583, 303.04,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/12/2009 19:00:00, 11.9,287.4,  0.5, -2.5, 41.075, 27.10,  0.0,  0.0,  0.054, 170.36,  0.038, 321.34,  0.048,  49.27,  0.072, 287.68,  0.122, 341.86,  0.102, 324.14,  0.067, 313.19,  0.136, 311.42,  0.148, 322.43,  0.172, 323.26,  0.179, 326.13,  0.184, 332.88,  0.234, 328.28,  0.231, 336.77,  0.160, 336.80,  0.187, 320.19,  0.194, 313.96,  0.162, 312.75,  0.120, 321.79,  0.144, 315.28,  0.227, 323.23,  0.245, 330.20,  0.232, 339.53,  0.212, 328.11,  0.275, 318.25,  0.275, 329.89,  0.263, 339.50,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.495, 311.23,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/12/2009 20:00:00, 11.9,287.3,  0.5, -2.5, 41.052, 27.14,  0.0,  0.0,  0.108,   1.06,  0.101,   9.09,  0.065,  19.83,  0.128,  26.37,  0.147,   9.40,  0.158, 349.05,  0.148, 346.34,  0.200, 348.47,  0.172, 356.34,  0.135, 351.93,  0.217, 341.73,  0.270, 353.19,  0.254, 352.76,  0.242, 333.01,  0.238, 342.86,  0.285, 335.77,  0.277, 342.35,  0.209, 353.96,  0.240, 339.22,  0.273, 335.31,  0.230, 350.25,  0.287, 327.53,  0.259, 318.61,  0.247, 333.02,  0.323, 330.34,  0.240, 340.81,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.327, 318.35,  0.378, 311.57,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/12/2009 21:00:00, 11.9,287.4,  0.5, -2.5, 41.050, 27.01,  0.0,  0.0,  0.202,  32.04,  0.142,  59.45,  0.284,  41.43,  0.199,  22.44,  0.168,  32.84,  0.213,  34.66,  0.163,  12.41,  0.229,   3.25,  0.227, 344.12,  0.273, 358.11,  0.306, 356.25,  0.272, 356.20,  0.330, 345.25,  0.309, 345.74,  0.291, 344.05,  0.308, 336.68,  0.303, 330.14,  0.260, 319.21,  0.251, 327.20,  0.230, 323.68,  0.284, 312.86,  0.239, 329.90,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.454, 306.84,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/12/2009 22:00:00, 11.9,287.3,  0.5, -2.5, 41.045, 26.95,  0.0,  0.0,  0.169,  17.90,  0.072,   0.00,  0.334,  35.26,  0.213,  21.50,  0.147,  32.50,  0.178,  19.65,  0.185,  23.93,  0.165,  17.67,  0.144, 349.16,  0.194, 336.99,  0.277, 327.51,  0.277, 337.51,  0.267, 331.61,  0.227, 332.76,  0.104, 302.47,  0.155, 316.83,  0.215, 321.05,  0.259, 311.87,  0.245, 315.83,  0.265, 321.75,  0.316, 316.15,  0.339, 313.21,  0.303, 311.11,  0.299, 306.98,-99.000, -99.00,  0.240, 315.51,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.366, 335.32,  0.484, 314.16,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/12/2009 23:00:00, 11.9,287.4,  0.5, -2.5, 41.055, 26.50,  0.0,  0.0,  0.140,  24.55,  0.216,   0.00,  0.239,  18.06,  0.222,  11.41,  0.230,  23.00,  0.220,  23.88,  0.161,  33.10,  0.183,  18.43,  0.159,  24.15,  0.170,   0.00,  0.199, 345.12,  0.232, 344.53,  0.240, 350.42,  0.207, 338.76,  0.192, 308.66,  0.229, 297.35,  0.277, 293.42,  0.288, 296.83,  0.276, 291.26,  0.272, 292.98,  0.215, 302.66,  0.257, 303.07,  0.305, 311.42,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.529, 305.85,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/13/2009 00:00:00, 11.9,287.4,  0.5, -2.5, 41.046, 26.44,  0.0,  0.0,  0.058,  23.46,  0.164,  22.97,  0.169,  33.69,  0.193,  25.11,  0.152,  39.13,  0.144,  39.65,  0.123,  29.28,  0.116,  31.64,  0.084, 346.95,  0.098, 322.90,  0.192, 297.63,  0.203, 287.19,  0.158, 291.53,  0.188, 291.80,  0.226, 283.05,  0.242, 283.63,  0.205, 285.60,  0.257, 279.17,  0.275, 280.49,  0.221, 299.23,  0.214, 285.14,  0.232, 283.74,  0.270, 297.14,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.448, 300.85,  0.546, 303.81,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/13/2009 01:00:00, 11.9,287.3,  0.4, -2.5, 41.022, 26.62,  0.0,  0.0,  0.073, 170.54,  0.111, 140.86,  0.104,  97.19,  0.081, 131.52,  0.057, 149.38,  0.028, 112.93,  0.124, 225.65,  0.081, 222.99,  0.084, 218.23,  0.102, 248.20,  0.106, 244.89,  0.164, 272.79,  0.162, 281.38,  0.171, 270.34,  0.186, 285.90,  0.206, 275.57,  0.282, 274.88,  0.286, 272.60,  0.229, 280.57,  0.249, 280.18,  0.330, 283.87,  0.433, 289.56,  0.421, 293.64,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.537, 306.06,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/13/2009 02:00:00, 11.9,287.3,  0.4, -2.5, 40.988, 26.80,  0.0,  0.0,  0.152, 164.31,  0.303, 160.13,  0.230, 135.18,  0.276, 156.50,  0.199, 183.74,  0.229, 245.45,  0.174, 234.58,  0.232, 242.55,  0.163, 241.08,  0.210, 251.65,  0.239, 255.44,  0.217, 266.03,  0.258, 277.35,  0.200, 271.15,  0.266, 255.18,  0.205, 264.96,  0.242, 273.80,  0.298, 272.69,  0.340, 278.63,  0.360, 280.72,  0.343, 289.23,  0.327, 293.20,  0.308, 298.98,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.397, 300.12,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/13/2009 03:00:00, 11.9,287.4,  0.4, -2.5, 40.960, 26.92,  0.0,  0.0,  0.223, 156.53,  0.347, 166.68,  0.354, 167.10,  0.372, 171.65,  0.338, 181.86,  0.245, 207.19,  0.268, 223.04,  0.247, 224.67,  0.262, 225.77,  0.300, 247.45,  0.326, 238.55,  0.341, 246.89,  0.283, 252.72,  0.271, 261.51,  0.242, 240.58,  0.270, 254.11,  0.193, 245.56,  0.206, 267.22,  0.183, 276.27,  0.205, 279.55,  0.260, 267.36,  0.223, 283.23,  0.244, 293.94,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.291, 299.48,  0.403, 305.11,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
