DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m),Speed#37(37.5m),Dir#37(37.5m),Speed#38(38.5m),Dir#38(38.5m),Speed#39(39.5m),Dir#39(39.5m),Speed#40(40.5m),Dir#40(40.5m)
9/28/2012 12:00,11.9,349.3,1.9,0.1,40.766,28.89,0,0,0.17,112.49,0.201,183.7,0.245,174.15,0.25,196.77,0.285,186.25,0.308,189.71,0.306,194.17,0.352,176.74,0.325,180.35,0.299,179.62,0.281,183.88,0.352,190.13,0.341,185.73,0.38,180.75,0.34,176.12,0.327,174.57,0.298,174.42,0.35,177.87,0.407,190.04,0.412,189.35,0.322,192.74,0.266,197.28,0.319,199.63,0.291,183.95,0.284,188.5,0.277,194.19,0.284,188.5,0.258,191.83,0.248,193.31,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/28/2012 12:30,11.9,349.2,1.9,0,40.769,28.9,0,0,0.139,95.38,0.168,168.36,0.238,188.95,0.266,185.17,0.269,197.49,0.282,189.19,0.33,192.77,0.353,193.76,0.296,211.33,0.282,193.35,0.315,187.1,0.278,188.07,0.324,196.7,0.341,199.71,0.342,185.88,0.319,187.01,0.36,192.34,0.341,198.65,0.332,195.54,0.319,205.04,0.286,215.3,0.292,205.78,0.341,198.65,0.307,188.05,0.245,192.96,-99,-99,0.25,191.53,0.308,196.79,0.307,197.08,0.29,194.8,0.232,195.78,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/28/2012 13:00,11.9,349.2,1.9,0.1,40.778,28.92,0,0,0.118,69.73,0.149,185.02,0.23,189.99,0.26,210.51,0.3,197.23,0.3,199.71,0.308,206.23,0.318,203.34,0.324,195.02,0.356,199.71,0.38,200.34,0.345,192.91,0.306,195.95,0.37,203.38,0.348,203.7,0.375,216.11,0.321,206.49,0.331,208.5,0.323,205.85,0.299,200.74,0.295,193.71,0.296,198.92,0.337,199.78,0.327,199.1,0.276,197.06,0.282,196.7,0.271,191.73,0.282,195.42,0.35,204.81,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/28/2012 13:30,11.9,349.3,1.9,0,40.77,28.97,0,0,0.17,76.7,0.193,228.37,0.188,183.96,0.233,207,0.284,208.82,0.316,204.46,0.366,213.73,0.322,197.36,0.296,194.88,0.291,203.04,0.324,199.27,0.337,195.64,0.347,200.79,0.317,200.66,0.323,199.16,0.33,209.98,0.307,216.53,0.358,216.36,0.338,209.45,0.308,213.33,0.296,215.52,0.269,211.15,0.241,218.25,0.275,219.83,0.289,220.92,0.275,210.86,0.278,202.87,0.304,205.97,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/28/2012 14:00,11.9,349.2,1.9,0.1,40.757,28.98,0,0,0.06,31.29,0.132,209.1,0.22,197.45,0.309,199.26,0.235,207.11,0.244,203.94,0.21,208.39,0.308,202.91,0.32,203.6,0.287,210.86,0.299,202.02,0.324,203.24,0.266,204.93,0.29,204.89,0.33,200.03,0.359,204.5,0.331,207.96,0.304,201.42,0.27,211.69,0.267,213.21,0.271,219.75,0.305,218.48,-99,-99,-99,-99,-99,-99,-99,-99,0.216,215.75,0.233,218.89,0.25,221.92,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/28/2012 14:30,11.9,349.2,1.9,0,40.75,29.03,0,0,0.118,98.27,0.18,211.84,0.205,192.95,0.233,196.96,0.214,213.76,0.182,200.63,0.264,209.96,0.259,213.51,0.255,199.93,0.232,213.55,0.25,209.43,0.248,202.53,0.288,200.95,0.31,197.85,0.277,205.45,0.303,203.1,0.288,200.95,0.27,208.56,0.238,211.62,0.265,219.34,0.27,222.3,0.258,211.84,0.197,203.7,0.179,227.49,0.236,228.61,0.286,221.88,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/28/2012 15:00,11.9,349.2,1.9,0.1,40.733,29.06,0,0,0.048,69.3,0.144,206.03,0.148,185.83,0.222,200.31,0.179,198.54,0.181,200.33,0.22,199.09,0.159,209.79,0.176,195.86,0.222,197.86,0.169,202.93,0.215,194.3,0.217,193.59,0.252,205.85,0.301,209.89,0.261,214.85,0.209,201.29,0.226,212.92,0.249,221.42,0.26,232.82,0.238,226.02,0.211,223.85,0.168,234.42,0.165,234.38,0.205,238.17,0.16,233.92,0.169,246.62,0.166,235.06,0.203,233.02,0.243,231.01,0.224,227.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/28/2012 15:30,11.9,349.4,1.9,0.1,40.714,29.13,0,0,0.051,108.43,0.152,208.25,0.181,181.9,0.252,181.14,0.237,203.1,0.196,192.69,0.213,185.39,0.206,201.6,0.195,221.05,0.154,213.07,0.221,205.41,0.24,203.57,0.197,200.18,0.237,217.79,0.276,199.03,0.227,208.71,0.207,222.85,0.239,237.64,0.188,239.61,0.135,242.68,0.238,251.87,0.217,246.97,0.226,237.86,0.163,226.99,0.148,240.83,0.184,243.85,0.212,233.46,0.192,242.1,0.183,254.44,0.173,239.89,0.164,238.44,0.195,251.19,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/28/2012 16:00,11.9,349.4,1.9,0,40.699,29.18,0,0,0.088,112.77,0.117,204.81,0.151,213.37,0.197,220.07,0.177,210.19,0.152,207.07,0.174,204.06,0.14,195.72,0.131,202.45,0.158,221.15,0.144,198.18,0.164,218.55,0.204,225.2,0.168,203.51,0.189,217.05,0.192,236.48,0.175,233.85,0.21,263.45,0.183,263.11,0.157,257.91,0.18,260.07,0.133,264.81,0.133,251.98,-99,-99,-99,-99,-99,-99,-99,-99,0.211,249.51,0.236,251.49,0.203,261.23,0.239,272.16,0.196,274.11,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/28/2012 16:30,11.9,349.3,1.9,0,40.677,29.25,0,0,0.113,177.97,0.137,224.41,0.151,196.52,0.182,225.44,0.14,220.96,0.186,216.25,0.168,203.2,0.178,227.27,0.204,226.59,0.225,234.05,0.144,241.83,0.192,266.13,0.218,262.09,0.164,267.9,0.195,259.04,0.156,269.27,0.117,267.55,0.129,273.11,0.139,260.47,0.152,269.25,0.123,289.47,0.122,267.18,0.138,275.42,0.144,281.62,0.183,277.55,0.195,283.96,-99,-99,-99,-99,0.242,289.56,0.224,300.92,0.269,312.59,0.327,311.15,0.298,315,0.251,327.7,0.211,341.48,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/28/2012 17:00,11.9,349.4,1.9,0.1,40.659,29.28,0,0,0.111,157.14,0.137,222.64,0.129,201.39,0.171,211.83,0.225,218.5,0.193,239.44,0.161,223.23,0.113,222.48,0.158,246.04,0.251,247.01,0.254,258.2,0.232,270.49,0.242,279.27,0.216,264.42,0.164,273.84,0.135,277.65,0.157,290.17,0.161,274.65,0.153,271.12,0.184,284.49,0.234,282.85,0.243,294.03,0.196,292.13,0.245,295.1,0.239,296.89,0.231,303.9,0.228,305.01,-99,-99,0.329,293.68,0.31,300.46,0.306,308.1,0.273,314.41,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/28/2012 17:30,11.9,349.4,1.9,0.1,40.655,29.19,0,0,0.038,155.43,0.025,263.16,0.055,136.47,0.1,187.48,0.138,234.46,0.122,233.32,0.057,237.99,0.112,262.3,0.157,279.52,0.175,284.91,0.143,274,0.154,276.71,0.125,295.54,0.167,285.95,0.214,291.4,0.246,289.98,0.221,310.4,0.174,297.3,0.207,308.14,0.187,310.67,0.164,315.49,0.171,307.41,0.221,310.4,0.251,310.8,0.241,302.43,0.215,306.87,0.211,303.99,0.21,297.17,0.273,293.28,0.287,299.7,0.267,306.61,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9/28/2012 18:00,11.9,349.3,1.9,0.1,40.648,29.2,0,0,0.049,273.5,0.042,274.09,0.056,271.02,0.134,286.95,0.152,308.31,0.143,298,0.13,299.53,0.195,286.39,0.224,300.35,0.183,313.01,0.199,320.71,0.214,314.81,0.229,329.64,0.256,336.74,0.203,344.25,0.263,326.01,0.265,328.89,0.247,331.46,0.252,325.18,0.267,325.54,0.255,320.88,0.262,321.82,0.275,328.96,0.252,324.36,0.279,319.35,0.346,316.29,0.285,308.72,0.306,304.36,0.275,307.16,0.245,305.7,-99,-99,0.281,302.05,0.29,299.13,0.28,303.8,0.201,321.07,0.337,325.27,-99,-99,-99,-99,-99,-99,-99,-99
