DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m),
5/2/2013 22:00:00, 11.9,278.3, -0.2, -2.4, 41.003, 26.76,  0.0,  0.0,  0.143, 190.05,  0.175, 195.23,  0.225, 210.79,  0.191, 209.11,  0.205, 189.55,  0.209, 205.22,  0.260, 204.99,  0.267, 204.36,  0.252, 199.23,  0.235, 195.28,  0.276, 191.07,  0.238, 184.34,  0.245, 185.85,  0.256, 181.57,  0.219, 172.91,  0.228, 184.53,  0.102, 193.63,  0.439, 285.59,-99.000, -99.00,-99.000, -99.00,
5/2/2013 23:00:00, 11.9,278.4, -0.2, -2.4, 41.010, 26.76,  0.0,  0.0,  0.079, 223.98,  0.125, 197.71,  0.171, 214.25,  0.132, 227.14,  0.192, 217.17,  0.187, 210.12,  0.226, 218.34,  0.221, 220.40,  0.215, 216.87,  0.196, 207.61,  0.178, 206.28,  0.227, 196.12,  0.241, 201.89,  0.229, 205.89,  0.212, 205.72,  0.188, 210.65,  0.087, 230.62,  0.421, 284.04,-99.000, -99.00,-99.000, -99.00,
5/3/2013 00:00:00, 11.9,278.4, -0.2, -2.4, 41.015, 26.77,  0.0,  0.0,  0.051, 218.66,  0.100, 258.47,  0.080, 250.20,  0.129, 266.89,  0.134, 256.17,  0.076, 217.48,  0.091, 254.14,  0.085, 237.06,  0.111, 233.44,  0.158, 225.77,  0.091, 221.01,  0.096, 235.65,  0.097, 234.67,  0.085, 261.87,  0.100, 291.70,  0.111, 300.96,  0.099, 311.73,  0.513, 285.04,-99.000, -99.00,-99.000, -99.00,
5/3/2013 01:00:00, 11.9,278.3, -0.2, -2.4, 41.028, 26.77,  0.0,  0.0,  0.113, 280.71,  0.096, 271.19,  0.080, 317.53,  0.137, 287.90,  0.118, 288.74,  0.150, 289.04,  0.096, 273.58,  0.081, 244.38,  0.101, 220.97,  0.066, 208.89,  0.098, 312.12,  0.106, 348.06,  0.146, 342.06,  0.119, 326.31,  0.099, 335.51,  0.113, 342.53,  0.124, 349.78,  0.491, 298.18,-99.000, -99.00,-99.000, -99.00,
5/3/2013 02:00:00, 11.9,278.3, -0.1, -2.4, 41.045, 26.77,  0.0,  0.0,  0.036, 329.86,  0.105, 346.76,  0.062, 315.66,  0.056, 335.73,  0.035, 348.37,  0.047,   2.44,  0.081,  32.91,  0.080, 359.28,  0.098,   1.75,  0.116,   9.95,  0.137,   1.67,  0.153,  12.85,  0.203,   9.37,  0.218,  10.59,  0.201,  20.06,  0.172,  26.27,  0.161,  16.97,  0.381, 289.96,-99.000, -99.00,-99.000, -99.00,
5/3/2013 03:00:00, 11.9,278.4, -0.1, -2.4, 41.082, 26.49,  0.0,  0.0,  0.092, 328.72,  0.113, 345.59,  0.086,  27.76,  0.123, 342.45,  0.100, 354.29,  0.081, 320.01,  0.065, 316.25,  0.102, 336.21,  0.116,  21.71,  0.102,  14.72,  0.109,  73.40,  0.095,   1.21,  0.126,  22.31,  0.152,  32.64,  0.186,  30.28,  0.146,  34.12,  0.148,  32.62,  0.293, 300.33,-99.000, -99.00,-99.000, -99.00,
5/3/2013 04:00:00, 11.9,278.2, -0.2, -2.4, 41.106, 26.46,  0.0,  0.0,  0.039, 357.06,  0.036, 353.66,  0.087,  15.95,  0.075, 359.24,  0.072, 354.45,  0.036, 329.86,  0.048, 321.71,  0.046, 315.88,  0.056, 278.28,  0.049, 305.94,  0.029, 326.31,  0.044,  18.43,  0.049,  10.62,  0.088,  25.69,  0.124,  23.26,  0.129,  26.17,  0.145,  31.17,  0.250, 316.29,-99.000, -99.00,-99.000, -99.00,
5/3/2013 05:00:00, 11.9,278.3, -0.2, -2.4, 41.140, 26.51,  0.0,  0.0,  0.034, 115.82,  0.045, 320.36,  0.026, 300.58,  0.026,  22.62,  0.032,  95.36,  0.020,  59.53,  0.012, 104.04,  0.021,  73.30,  0.022, 213.69,  0.038, 221.76,  0.043, 210.74,  0.013,  38.66,  0.014, 287.10,  0.051, 330.40,  0.036, 316.12,  0.026, 353.42,  0.048, 357.61,  0.263, 317.46,-99.000, -99.00,-99.000, -99.00,
5/3/2013 06:00:00, 11.9,278.4, -0.2, -2.4, 41.151, 26.61,  0.0,  0.0,  0.090, 159.96,  0.081, 192.14,  0.117, 203.71,  0.095, 209.00,  0.136, 208.07,  0.099, 196.98,  0.132, 196.24,  0.133, 204.05,  0.151, 195.32,  0.121, 181.42,  0.138, 192.53,  0.117, 180.00,  0.066, 173.09,  0.057, 135.71,  0.027, 107.10,  0.031,  76.87,  0.030,  34.22,  0.180, 296.42,-99.000, -99.00,-99.000, -99.00,
5/3/2013 07:00:00, 11.9,278.4, -0.2, -2.4, 41.162, 26.67,  0.0,  0.0,  0.144, 181.59,  0.158, 184.34,  0.184, 165.21,  0.210, 196.62,  0.119, 176.15,  0.214, 189.68,  0.186, 201.17,  0.182, 190.14,  0.208, 184.42,  0.190, 186.64,  0.158, 180.00,  0.169, 175.94,  0.164, 170.88,  0.155, 172.23,  0.139, 147.91,  0.108, 179.47,  0.055,  94.16,  0.241, 316.51,-99.000, -99.00,-99.000, -99.00,
5/3/2013 08:00:00, 11.9,278.3, -0.2, -2.4, 41.157, 26.70,  0.0,  0.0,  0.142, 196.39,  0.136, 169.02,  0.224, 185.63,  0.211, 182.17,  0.185, 188.70,  0.200, 191.25,  0.204, 191.86,  0.196, 190.57,  0.181, 191.81,  0.220, 185.48,  0.195, 193.32,  0.218, 193.78,  0.178, 189.04,  0.149, 195.52,  0.162, 182.12,  0.191, 170.34,  0.143, 192.09,  0.142, 317.56,-99.000, -99.00,-99.000, -99.00,
5/3/2013 09:00:00, 11.9,278.3, -0.2, -2.4, 41.148, 26.76,  0.0,  0.0,  0.181, 201.04,  0.166, 209.66,  0.202, 205.80,  0.212, 210.31,  0.270, 217.63,  0.262, 198.71,  0.206, 205.94,  0.259, 201.31,  0.261, 204.41,  0.267, 200.61,  0.265, 204.53,  0.247, 208.02,  0.245, 204.58,  0.199, 206.31,  0.250, 197.20,  0.235, 208.75,  0.167, 191.38,  0.046, 348.69,-99.000, -99.00,-99.000, -99.00,
5/3/2013 10:00:00, 11.9,278.3, -0.2, -2.4, 41.129, 26.79,  0.0,  0.0,  0.148, 207.26,  0.248, 200.77,  0.275, 208.43,  0.240, 215.15,  0.239, 207.10,  0.189, 206.02,  0.209, 206.08,  0.235, 219.65,  0.189, 219.42,  0.224, 219.74,  0.222, 213.62,  0.234, 214.91,  0.244, 219.84,  0.246, 218.73,  0.198, 213.05,  0.240, 216.54,  0.087, 220.31,  0.162,   9.93,-99.000, -99.00,-99.000, -99.00,
5/3/2013 11:00:00, 11.9,278.4, -0.1, -2.4, 41.128, 26.81,  0.0,  0.0,  0.168, 230.81,  0.150, 198.68,  0.134, 227.73,  0.104, 247.38,  0.211, 213.77,  0.248, 223.69,  0.196, 218.80,  0.214, 219.50,  0.212, 207.90,  0.181, 228.13,  0.205, 229.16,  0.232, 239.46,  0.242, 224.33,  0.176, 214.14,  0.111, 206.10,  0.106, 195.35,  0.074, 215.63,  0.019, 180.00,-99.000, -99.00,-99.000, -99.00,
5/3/2013 12:00:00, 11.9,278.3, -0.2, -2.4, 41.116, 26.82,  0.0,  0.0,  0.135, 224.70,  0.117, 236.17,  0.129, 254.67,  0.155, 261.82,  0.128, 257.81,  0.087, 260.75,  0.158, 259.82,  0.165, 263.05,  0.113, 264.94,  0.093, 261.96,  0.134, 252.24,  0.152, 245.96,  0.175, 242.12,  0.127, 225.64,  0.144, 236.64,  0.165, 243.43,  0.097, 248.96,  0.105, 262.33,-99.000, -99.00,-99.000, -99.00,
