DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m)
1/17/2017 21:00,11.8,118.5,-1.3,2.5,41.394,26.47,0,0,0.116,176.55,0.092,201.8,0.073,91.57,0.029,77.91,0.022,123.69,0.03,344.58,0.043,90,0.007,123.69,0.035,188.13,0.012,210.96,0.004,33.69,0.021,309.09,0.049,253.41,0.036,270,0.018,157.62,0.053,115.6,0.026,157.38,0.223,185.66,-99,-99,-99,-99
1/17/2017 22:00,11.8,118.2,-1.2,2.3,41.38,26.54,0,0,0.044,180,0.037,316.08,0.047,7.28,0.085,340.71,0.108,321.01,0.065,309.35,0.06,294.44,0.114,270,0.11,304.99,0.163,290.1,0.165,281.51,0.15,305.49,0.155,297.72,0.148,297.78,0.129,309.01,0.135,304.75,0.098,258.23,0.157,216.21,-99,-99,-99,-99
1/17/2017 23:00,11.8,118.4,-1.2,2.3,41.363,26.52,0,0,0.027,338.2,0.111,331.35,0.163,1.05,0.166,339.93,0.171,336.14,0.174,329.6,0.17,339.01,0.172,336.71,0.145,332.9,0.128,346.94,0.131,344.05,0.14,2.05,0.131,356.94,0.136,351.57,0.138,354.17,0.139,331.23,0.091,311.01,0.125,237.7,-99,-99,-99,-99
1/18/2017 0:00,11.8,118.4,-1.2,2.3,41.367,26.52,0,0,0.078,332.45,0.08,20.47,0.196,357.37,0.22,354.26,0.166,1.04,0.184,0.93,0.204,0.84,0.221,353.23,0.196,1.17,0.19,356.99,0.212,349.38,0.221,349.05,0.232,339.3,0.219,344.88,0.182,3.77,0.169,358.64,0.193,352.84,0.083,258.83,-99,-99,-99,-99
1/18/2017 1:00,11.8,118.3,-1.2,2.3,41.364,26.52,0,0,0.154,7.82,0.116,10.92,0.193,357.33,0.159,350.24,0.207,8.33,0.203,356.05,0.194,352.91,0.236,341.95,0.242,354.55,0.214,347.33,0.202,340.67,0.209,339.83,0.155,348.47,0.113,303.83,0.125,329.12,0.212,334.89,0.215,319.34,0.149,287.95,-99,-99,-99,-99
1/18/2017 2:00,11.8,118.5,-1.2,2.3,41.374,26.52,0,0,0.041,358.6,0.08,0,0.133,352.66,0.214,351.68,0.227,355.45,0.197,4.67,0.214,8.32,0.182,357.8,0.196,359.42,0.213,1.34,0.242,344.93,0.232,348.54,0.23,1.74,0.208,358.35,0.229,0,0.281,356.94,0.149,349.59,0.109,246.73,-99,-99,-99,-99
1/18/2017 3:00,11.8,118.4,-1.2,2.3,41.376,26.64,0,0,0.132,2.6,0.184,23.65,0.174,0,0.268,13.62,0.227,4.55,0.243,12.84,0.199,4.33,0.207,9.74,0.249,12.3,0.164,24.53,0.134,9.46,0.134,14.66,0.149,9.27,0.146,0,0.081,313.99,0.11,341.4,0.137,350.74,0.117,222.93,-99,-99,-99,-99
1/18/2017 4:00,11.8,118.4,-1.2,2.3,41.375,26.6,0,0,0.136,43.81,0.123,70.53,0.162,58.37,0.158,32.89,0.234,21.07,0.222,17.54,0.201,18.25,0.18,21.15,0.145,23.92,0.133,13.51,0.116,28.33,0.097,27.62,0.107,15.21,0.095,29,0.123,22.41,0.104,28.04,0.086,52.07,0.057,159.33,-99,-99,-99,-99
1/18/2017 5:00,11.8,118.5,-1.2,2.3,41.374,26.54,0,0,0.113,96.12,0.128,66.45,0.176,58.03,0.169,38.02,0.16,49.05,0.111,43.91,0.081,44.5,0.143,36.47,0.079,41.93,0.064,26.16,0.07,72.6,0.076,55.68,0.082,80.19,0.095,97.87,0.098,120.76,0.08,83.5,0.081,121.33,0.223,182.57,-99,-99,-99,-99
1/18/2017 6:00,11.8,118.3,-1.2,2.3,41.376,26.48,0,0,0.133,148.22,0.143,146.98,0.116,90,0.137,110.56,0.136,98.91,0.136,126.03,0.065,116.57,0.083,85.87,0.103,87.22,0.08,43.48,0.156,96.62,0.187,93.37,0.208,109.04,0.184,123.95,0.147,126.71,0.123,122.4,0.087,148.7,0.183,207.26,-99,-99,-99,-99
1/18/2017 7:00,11.8,118.4,-1.2,2.3,41.378,26.49,0,0,0.13,94.84,0.158,113.82,0.184,90,0.16,102.3,0.168,96.49,0.158,91.45,0.17,100.52,0.151,113.35,0.122,111.71,0.086,97.37,0.11,111.9,0.228,112.97,0.227,124.25,0.174,120.68,0.204,130.24,0.212,126.38,0.155,125.84,0.225,191.01,-99,-99,-99,-99
1/18/2017 8:00,11.8,118.3,-1.2,2.3,41.376,26.48,0,0,0.126,125.33,0.16,104.82,0.195,81.75,0.161,86.8,0.205,84.12,0.229,92.25,0.193,81.95,0.096,80.44,0.095,102.72,0.066,83.95,0.12,106.47,0.179,109.24,0.23,100.53,0.197,103.82,0.191,102.37,0.205,93.35,0.169,101.58,0.149,167.64,-99,-99,-99,-99
1/18/2017 9:00,11.8,118.3,-1.2,2.3,41.378,26.49,0,0,0.104,49.7,0.115,106.22,0.098,90.58,0.093,74.48,0.096,55.65,0.097,70.82,0.146,84.88,0.143,86,0.136,62.87,0.086,60.75,0.109,54.71,0.124,93.69,0.148,86.13,0.192,82.8,0.16,79.18,0.191,93,0.173,94.98,0.176,169.2,-99,-99,-99,-99
1/18/2017 10:00,11.8,118.3,-1.2,2.3,41.377,26.5,0,0,0.071,81.87,0.058,159.68,0.127,24.15,0.076,41.82,0.064,45,0.059,49.82,0.069,49.13,0.035,40.43,0.073,60.26,0.102,36.19,0.086,43.58,0.067,51.07,0.116,59.89,0.129,52.24,0.163,62.65,0.122,67.85,0.101,91.7,0.141,185.31,-99,-99,-99,-99
1/18/2017 11:00,11.8,118.5,-1.2,2.3,41.37,26.51,0,0,0.043,59.26,0.074,19.65,0.079,10.89,0.139,355.89,0.123,358.6,0.153,3.37,0.194,8,0.157,14.04,0.118,28.96,0.137,25.07,0.098,25.51,0.06,344.58,0.128,32.57,0.136,36.03,0.139,30.26,0.186,34.29,0.163,39.76,0.05,141.52,-99,-99,-99,-99
1/18/2017 12:00,11.8,118.5,-1.2,2.3,41.372,26.5,0,0,0.061,71.86,0.028,52.31,0.163,39.76,0.191,27.1,0.204,27.82,0.185,9,0.162,18.77,0.171,16.64,0.209,17.83,0.187,14.85,0.179,17.93,0.173,14.36,0.185,9.31,0.187,14.85,0.159,20.6,0.194,12.18,0.104,25.08,0.092,213.86,-99,-99,-99,-99
1/18/2017 13:00,11.8,118.4,-1.2,2.3,41.393,26.48,0,0,0.009,54.46,0.124,50.55,0.213,26.44,0.269,14.4,0.268,9.22,0.222,12.47,0.216,2.65,0.232,11.7,0.216,1.86,0.221,0.52,0.196,8.79,0.255,13.6,0.255,6.54,0.238,15.09,0.272,358.74,0.288,354.43,0.198,358.84,0.13,240.47,-99,-99,-99,-99
1/18/2017 14:00,11.8,118.1,-1.2,2.3,41.408,26.49,0,0,0.076,60.72,0.074,93.87,0.209,38.79,0.201,22.86,0.179,34.31,0.245,23.32,0.237,14.39,0.232,26.12,0.177,15.37,0.269,19.11,0.244,9.19,0.262,10.54,0.244,13.29,0.265,15.29,0.262,8.78,0.311,13.59,0.238,2.65,0.048,209.74,-99,-99,-99,-99
1/18/2017 15:00,11.8,118.4,-1.2,2.3,41.416,26.52,0,0,0.087,113.03,0.052,120.02,0.206,38.88,0.297,41.86,0.268,43.04,0.23,39.36,0.327,31.35,0.261,22.25,0.284,24.31,0.276,24.15,0.208,25.95,0.235,26.78,0.256,22.47,0.243,32.91,0.252,36.46,0.233,28.98,0.154,8.97,0.076,119.28,-99,-99,-99,-99
1/18/2017 16:00,11.8,118.4,-1.2,2.3,41.416,26.51,0,0,0.11,63.43,0.04,165.62,0.155,38.72,0.184,39.05,0.178,34.67,0.248,32.47,0.231,29.34,0.198,23.46,0.222,17.54,0.212,33.24,0.218,28.8,0.2,20.52,0.179,16.91,0.197,27.87,0.185,28.36,0.192,25.23,0.164,26.1,0.02,197.53,-99,-99,-99,-99
1/18/2017 17:00,11.8,118.4,-1.2,2.3,41.406,26.49,0,0,0.075,111.8,0.154,132.1,0.104,7.19,0.141,70.16,0.099,62.4,0.113,42.14,0.133,70.2,0.143,48.96,0.211,74.91,0.187,60.14,0.154,56.41,0.157,28.2,0.157,40.09,0.158,44.74,0.157,60.66,0.089,68.92,0.153,60.58,0.155,165.78,-99,-99,-99,-99
1/18/2017 18:00,11.8,118.4,-1.2,2.3,41.392,26.48,0,0,0.145,110.56,0.175,104.19,0.255,99.02,0.16,107.08,0.202,99.7,0.108,68.89,0.123,63.02,0.179,54.54,0.129,62.24,0.076,35.36,0.182,79.55,0.181,88.1,0.168,90.68,0.158,92.54,0.169,91.69,0.172,117.31,0.096,128.66,0.256,189.68,-99,-99,-99,-99
1/18/2017 19:00,11.8,118.5,-1.2,2.3,41.375,26.47,0,0,0.201,117.84,0.213,103.32,0.222,95.17,0.197,111.75,0.237,100.22,0.23,99.75,0.258,94.01,0.291,94.53,0.225,91.53,0.219,88.69,0.231,95.22,0.242,101.91,0.222,99.08,0.225,96.65,0.199,100.12,0.169,97.46,0.182,122.21,0.225,184.34,-99,-99,-99,-99
1/18/2017 20:00,11.8,118.5,-1.2,2.3,41.364,26.49,0,0,0.157,114.44,0.145,145.98,0.198,90,0.18,99.25,0.215,99.11,0.281,98.19,0.268,108.03,0.291,103.13,0.316,98.57,0.273,94.83,0.267,88.28,0.231,96.45,0.226,101.51,0.263,104.09,0.255,99.46,0.199,104.88,0.202,123.3,0.225,194.65,-99,-99,-99,-99
1/18/2017 21:00,11.8,118.6,-1.2,2.3,41.354,26.49,0,0,0.097,99.46,0.149,94.22,0.227,79.33,0.233,78.88,0.262,82.98,0.299,82.11,0.268,75.5,0.27,80.4,0.231,84.29,0.23,86.27,0.196,87.95,0.242,93.07,0.184,106.46,0.176,97.17,0.214,99.68,0.185,99.67,0.128,127.41,0.242,171.67,-99,-99,-99,-99
1/18/2017 22:00,11.8,118.4,-1.2,2.3,41.331,26.46,0,0,0.073,101.93,0.124,83.51,0.182,68.37,0.172,65.22,0.143,57.31,0.143,54.42,0.182,72.46,0.151,71.81,0.152,67.99,0.132,75.96,0.147,76.25,0.159,67.46,0.174,53.66,0.152,68.83,0.144,60.06,0.144,47.54,0.16,59.59,0.133,162.93,-99,-99,-99,-99
1/18/2017 23:00,11.8,118.4,-1.2,2.3,41.315,26.48,0,0,0.073,356.08,0.013,225,0.072,16.93,0.051,17.02,0.109,62.02,0.13,35.9,0.108,21.11,0.142,34.7,0.131,24.81,0.134,26.18,0.145,24.08,0.109,29.61,0.099,5.83,0.124,32.15,0.13,37.49,0.151,26.4,0.078,11.89,0.164,188.77,-99,-99,-99,-99
1/19/2017 0:00,11.8,118.2,-1.2,2.3,41.307,26.46,0,0,0.088,9.78,0.082,357.9,0.099,32.25,0.111,33.26,0.121,19.33,0.171,353.29,0.128,29.58,0.124,11.13,0.125,19.16,0.147,354.13,0.168,3.07,0.117,341.57,0.107,19.62,0.157,8.44,0.174,4.27,0.218,7.39,0.172,11.38,0.048,253.07,-99,-99,-99,-99
1/19/2017 1:00,11.8,118.1,-1.2,2.3,41.307,26.44,0,0,0.121,22.33,0.159,13.86,0.231,19.45,0.191,27.1,0.225,18.68,0.218,17.35,0.145,23.92,0.186,24.5,0.181,0,0.122,0,0.205,353.57,0.187,11.43,0.194,1.48,0.202,1.98,0.199,5.48,0.229,1.5,0.104,349.99,0.165,221.81,-99,-99,-99,-99
1/19/2017 2:00,11.8,118.4,-1.2,2.3,41.319,26.45,0,0,0.123,36.4,0.089,25.41,0.163,14.89,0.214,23.69,0.248,22.74,0.205,14.99,0.154,17.38,0.195,18.25,0.204,13.35,0.207,37.15,0.172,40.53,0.193,27.76,0.187,26.02,0.16,359.64,0.178,13.96,0.201,26.31,0.089,27.43,0.179,223.87,-99,-99,-99,-99
1/19/2017 3:00,11.8,118.4,-1.2,2.3,41.341,26.48,0,0,0.049,50.79,0.123,31.76,0.152,28.25,0.208,24.47,0.172,34.8,0.167,25.18,0.16,21.27,0.192,33.77,0.196,29.31,0.228,44.47,0.202,26.18,0.17,39.03,0.146,29.02,0.159,47.56,0.158,37.52,0.154,42.37,0.15,74.95,0.148,218.96,-99,-99,-99,-99
1/19/2017 4:00,11.8,118.4,-1.2,2.3,41.352,26.49,0,0,0.108,53.66,0.14,31.53,0.155,28.88,0.199,39.69,0.158,25.43,0.173,25.38,0.174,37.53,0.158,34.4,0.095,15.95,0.135,18.17,0.141,19.08,0.136,11.48,0.149,21.23,0.182,15.26,0.172,24.03,0.185,21.28,0.133,9.96,0.168,219.94,-99,-99,-99,-99
1/19/2017 5:00,11.8,118.4,-1.2,2.3,41.367,26.49,0,0,0.047,97.28,0.083,110.39,0.109,53.55,0.089,73.61,0.086,53,0.097,66.34,0.124,58.88,0.161,52.06,0.127,62.83,0.135,41.99,0.118,42.24,0.096,83.99,0.155,78.47,0.169,72.75,0.118,73.25,0.096,55.65,0.078,60.16,0.164,209.22,-99,-99,-99,-99
