DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),
12/11/2006 18:00:00, 11.9,338.2, -4.9, -4.9, 32.135, 28.08,  0.0,  0.0,  0.095,  36.87,  0.097, 235.98,  0.035, 291.50,  0.060, 201.45,  0.033,  40.03,  0.025, 101.31,  0.039,  81.25,  0.047, 113.84,  0.056, 173.88,  0.014,  45.00,  0.024, 189.46,  0.064, 119.74,  0.056, 135.73,  0.064, 118.18,  0.091, 110.63,  0.071, 135.00,  0.062, 178.15,  0.081, 153.75,  0.024,  90.00,  0.098,  84.75,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/11/2006 18:30:00, 11.9,338.0, -4.9, -4.9, 32.119, 28.08,  0.0,  0.0,  0.026, 344.36,  0.055, 329.22,  0.029, 350.22,  0.067,  34.64,  0.065,  29.31,  0.024, 231.71,  0.040, 330.26,  0.064, 302.20,  0.047, 330.71,  0.068, 330.78,  0.054, 286.09,  0.060, 321.04,  0.089, 340.35,  0.051, 287.02,  0.077, 289.60,  0.053, 293.20,  0.069, 297.68,  0.066, 291.16,  0.065, 327.53,  0.086, 349.34,  0.056, 317.17,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/11/2006 19:00:00, 11.9,338.0, -4.9, -4.9, 32.111, 28.08,  0.0,  0.0,  0.104,  14.44,  0.086, 268.67,  0.041, 295.94,  0.027, 338.20,  0.039,  17.97,  0.041, 345.96,  0.019, 353.99,  0.054,  40.49,  0.071,   0.81,  0.081, 326.11,  0.068, 342.10,  0.069, 344.96,  0.045, 348.44,  0.036,   9.73,  0.086, 347.91,  0.056,  12.31,  0.039, 309.81,  0.113, 337.07,  0.057, 332.99,  0.116, 324.81,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/11/2006 19:30:00, 11.9,338.0, -4.9, -4.9, 32.109, 28.08,  0.0,  0.0,  0.064, 350.10,  0.057, 237.99,  0.031, 238.39,  0.008, 119.74,  0.059, 131.55,  0.069, 168.37,  0.094, 156.16,  0.032, 169.05,  0.012, 304.99,  0.021, 247.17,  0.041, 217.15,  0.038, 186.01,  0.065, 214.92,  0.036, 231.84,  0.086, 169.99,  0.092, 194.49,  0.031, 230.19,  0.089, 283.72,  0.075, 258.39,  0.060, 249.44,  0.042, 229.84,  0.031, 206.57,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/11/2006 20:00:00, 11.8,338.2, -4.9, -4.9, 32.095, 28.07,  0.0,  0.0,  0.103, 100.65,  0.135, 176.19,  0.158, 136.02,  0.088, 167.54,  0.115, 181.99,  0.074, 196.48,  0.077, 203.59,  0.163, 202.32,  0.168, 195.85,  0.122, 192.78,  0.172, 183.66,  0.131, 175.63,  0.061, 163.93,  0.053, 131.19,  0.053, 156.80,  0.060, 178.09,  0.073, 141.10,  0.058, 135.00,  0.026,  79.11,  0.074, 160.35,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.127, 210.81,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/11/2006 20:30:00, 11.8,338.1, -4.9, -4.9, 32.079, 28.07,  0.0,  0.0,  0.112,  97.19,  0.158, 146.92,  0.135, 141.94,  0.079, 116.24,  0.099, 174.17,  0.160, 185.75,  0.132, 156.74,  0.146, 148.16,  0.150, 150.35,  0.166, 145.06,  0.130, 135.62,  0.139, 159.73,  0.143, 158.65,  0.135, 160.49,  0.126, 157.10,  0.123, 157.59,  0.067, 122.74,  0.050,  82.03,  0.046,  68.43,  0.097, 140.88,  0.140, 148.69,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/11/2006 21:00:00, 11.8,338.0, -4.9, -4.8, 32.091, 28.07,  0.0,  0.0,  0.151, 142.83,  0.182, 180.00,  0.160, 179.28,  0.162, 163.91,  0.120, 144.18,  0.142, 164.50,  0.141, 168.93,  0.169, 165.96,  0.156, 158.54,  0.130, 142.51,  0.156, 135.26,  0.136, 134.40,  0.117, 147.26,  0.147, 162.55,  0.149, 153.78,  0.139, 158.43,  0.171, 145.47,  0.144, 151.29,  0.162, 185.32,  0.161, 160.78,  0.135, 164.52,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/11/2006 21:30:00, 11.8,338.0, -4.9, -4.8, 32.073, 28.08,  0.0,  0.0,  0.161,  98.58,  0.140, 155.08,  0.112, 177.95,  0.116, 158.29,  0.117, 140.88,  0.117, 171.66,  0.125, 187.81,  0.114, 180.50,  0.139, 184.52,  0.069, 182.49,  0.056, 201.99,  0.067, 172.23,  0.092, 171.87,  0.092, 170.64,  0.056, 127.69,  0.105, 162.26,  0.102, 152.68,  0.121, 119.10,  0.112, 133.92,  0.134, 141.07,  0.241, 139.89,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,  0.040, 106.14,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/11/2006 22:00:00, 11.8,337.9, -4.9, -4.9, 32.081, 28.09,  0.0,  0.0,  0.108, 162.24,  0.063, 156.68,  0.116, 145.21,  0.109, 150.39,  0.075, 162.05,  0.078, 192.61,  0.097, 162.68,  0.115, 137.46,  0.093, 129.33,  0.108, 152.49,  0.071, 133.85,  0.087, 140.11,  0.094, 166.41,  0.102, 168.14,  0.107, 166.48,  0.058, 168.11,  0.054, 153.43,  0.070, 165.17,  0.083, 181.38,  0.065, 252.96,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/11/2006 22:30:00, 11.8,338.0, -4.9, -4.9, 32.076, 28.08,  0.0,  0.0,  0.128,  74.55,  0.104, 186.65,  0.140, 151.98,  0.129, 149.65,  0.110, 164.20,  0.118, 162.79,  0.088, 132.23,  0.098, 141.61,  0.071, 122.35,  0.089, 164.41,  0.095, 158.31,  0.094, 159.44,  0.105, 144.65,  0.128, 133.42,  0.107, 148.39,  0.091, 177.48,  0.049, 214.99,  0.041, 170.07,  0.141, 167.34,  0.160, 176.42,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
