DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m)
4/6/2017 18:00,11.9,245.8,1.1,3.6,31.643,26.47,0,0,0.064,331.82,0.098,342.85,0.135,12.39,0.133,9.53,0.182,15.64,0.184,7.51,0.125,15.82,0.166,14.62,0.147,12.61,0.138,21.19,0.174,19.17,0.209,32.32,0.276,30.93,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/6/2017 19:00,11.9,245.8,1.1,3.6,31.654,26.28,0,0,0.094,61.24,0.081,83.58,0.082,83.74,0.113,75.1,0.096,61.29,0.106,63.68,0.128,39.29,0.142,38.41,0.167,58.68,0.215,54.46,0.201,55.76,0.232,60.22,0.194,44.16,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/6/2017 20:00,11.9,245.7,1.2,3.6,31.645,26.24,0,0,0.167,101.38,0.162,125.46,0.164,112.97,0.057,100.12,0.095,95.41,0.134,63.82,0.14,72.08,0.13,65.01,0.157,71.45,0.208,67.63,0.246,69.58,0.19,58.57,0.247,47.13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/6/2017 21:00,11.9,245.7,1.1,3.6,31.641,26.25,0,0,0.163,144.26,0.106,143.02,0.134,114.27,0.093,90.62,0.092,89.38,0.085,92.02,0.154,72.98,0.126,80.84,0.147,66.75,0.174,67.71,0.186,63.85,0.208,61.96,0.24,52.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/6/2017 22:00,11.9,245.7,1.1,3.6,31.639,26.26,0,0,0.15,89.62,0.148,122.83,0.159,128.6,0.211,128.83,0.16,109.34,0.144,101.62,0.131,90,0.093,90,0.099,118.89,0.107,93.74,0.175,76.76,0.204,60.29,0.203,54.43,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/6/2017 23:00,11.9,245.8,1.1,3.6,31.642,26.28,0,0,0.146,128.9,0.164,127.08,0.225,127.79,0.2,127.27,0.202,125.34,0.148,93.87,0.118,90,0.076,84.74,0.081,84.36,0.092,64.83,0.132,55.83,0.132,51.75,0.179,35.91,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/7/2017 0:00,11.9,245.7,1.1,3.6,31.645,26.33,0,0,0.222,111.71,0.166,117.95,0.205,114.19,0.122,99.93,0.054,75.96,0.059,330.38,0.037,330.64,0.054,358.94,0.026,6.58,0.104,37.2,0.107,27.28,0.097,39.12,0.136,15.77,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/7/2017 1:00,11.9,245.8,1.1,3.6,31.645,26.38,0,0,0.08,118.5,0.032,75.53,0.04,278.53,0.027,328.67,0.094,311.13,0.138,327.69,0.143,339.91,0.108,340.56,0.149,342.42,0.12,0,0.134,0.86,0.158,16.94,0.202,343,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/7/2017 2:00,11.9,245.9,1.1,3.6,31.652,26.31,0,0,0.094,343.89,0.043,336.97,0.067,333.43,0.04,253.86,0.071,316.7,0.11,343.7,0.204,336.95,0.182,349.86,0.152,346.69,0.18,342.87,0.181,352.72,0.209,0.27,0.187,1.23,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/7/2017 3:00,11.9,245.8,1.1,3.6,31.66,26.28,0,0,0.052,117.55,0.049,94.67,0.008,180,0.012,350.54,0.071,33.47,0.139,2.06,0.189,0.91,0.196,353.85,0.192,7.79,0.194,8.88,0.239,16.54,0.217,11.73,0.155,7.03,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
