DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m),Speed#37(37.5m),Dir#37(37.5m),Speed#38(38.5m),Dir#38(38.5m),Speed#39(39.5m),Dir#39(39.5m)
4/10/2008 18:00,11.9,206,10.7,4.8,42.999,25.66,0,0,0.081,39.99,0.096,12.59,0.07,10.67,0.126,328.33,0.069,341.3,0.124,21.8,0.062,326.82,0.094,319.33,0.106,341.22,0.079,10.89,0.042,31.43,0.077,303.27,0.104,316.17,0.05,334.98,0.068,331.19,0.094,332.89,0.102,336.95,0.16,2.15,0.054,321.01,0.107,6.46,0.104,333.68,0.099,0,0.196,358.83,0.229,332.09,0.23,3.48,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/10/2008 18:30,11.9,205.9,10.7,4.8,43.009,25.67,0,0,0.18,340.86,0.123,317.63,0.07,289.98,0.158,1.81,0.124,5.57,0.103,348.8,0.148,11.69,0.142,7.28,0.126,0.91,0.055,54.58,0.084,24.73,0.073,29.74,0.054,296.57,0.128,325.81,0.128,355.09,0.081,353.58,0.181,339.26,0.211,6.25,0.143,24.78,0.23,1,0.203,327.49,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/10/2008 19:00,11.9,205.9,10.7,4.8,43.037,25.67,0,0,0.147,337.62,0.083,12.53,0.101,346.79,0.15,13.11,0.061,22.33,0.142,31.45,0.18,10.25,0.132,7.82,0.106,13.12,0.13,5.75,0.108,25.85,0.155,11.16,0.123,357.67,0.149,7.7,0.202,15.48,0.192,45.42,0.182,48.78,0.321,352.48,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/10/2008 19:30,11.9,205.9,10.7,4.8,43.064,25.67,0,0,0.163,13.87,0.176,27.73,0.14,24,0.176,18.85,0.147,18.19,0.128,7.18,0.131,16.36,0.169,356.61,0.208,347.77,0.22,1.3,0.167,350.37,0.15,2.67,0.216,10.68,0.173,0.99,0.238,358.32,0.126,356.82,0.154,358.14,0.154,4.09,0.219,352.39,0.233,4.68,0.149,84.21,0.19,9.07,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/10/2008 20:00,11.9,206,10.7,4.8,43.088,25.66,0,0,0.022,111.8,0.106,28.74,0.125,1.37,0.133,23.09,0.132,1.3,0.175,7.57,0.158,353.82,0.117,29.2,0.124,359.54,0.114,16.84,0.139,39.17,0.164,19.21,0.16,11.17,0.124,25.32,0.13,358.68,0.147,2.34,0.133,16.66,0.118,13.21,0.194,3.25,0.192,8.68,0.197,9.03,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/10/2008 20:30,11.9,205.9,10.7,4.8,43.114,25.66,0,0,0.141,16,0.113,57.99,0.187,45.87,0.217,22.54,0.139,14.53,0.13,39.69,0.137,39.38,0.187,35.22,0.191,13.02,0.193,12.88,0.169,37.07,0.215,26.57,0.185,26.01,0.152,34,0.165,38.12,0.159,21.06,0.172,1.33,0.231,4.72,0.219,13.47,0.172,15.9,0.295,353,0.27,345.66,0.127,330.2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/10/2008 21:00,11.9,206,10.7,4.8,43.145,25.66,0,0,0.093,4.92,0.033,317.49,0.107,70.89,0.057,23.86,0.127,76.84,0.072,85.24,0.074,36.71,0.137,18.3,0.152,3.76,0.119,27.42,0.191,33.69,0.242,9.73,0.197,21.48,0.193,22.57,0.211,26.81,0.267,20.88,0.236,25.37,0.189,57.06,0.266,7.34,0.18,36.17,0.205,27.56,0.265,15.29,0.274,23.94,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/10/2008 21:30,11.9,206,10.7,4.8,43.171,25.66,0,0,0.11,88.96,0.091,81.78,0.151,90.38,0.172,47.59,0.113,51.1,0.159,73.51,0.112,63.43,0.126,69.13,0.112,62.98,0.125,35.59,0.156,35.32,0.162,36.44,0.131,47.17,0.201,34.64,0.201,39.95,0.163,84.71,0.117,83.12,0.118,26.78,0.123,95.11,0.133,36.44,0.222,17.86,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/10/2008 22:00,11.9,205.9,10.7,4.8,43.203,25.65,0,0,0.099,92.31,0.113,34.95,0.022,354.81,0.127,12.72,0.162,57.58,0.067,53.47,0.078,41.88,0.165,35.62,0.11,40.94,0.091,28.26,0.097,53.37,0.122,28.46,0.136,47.39,0.181,54.65,0.126,37.6,0.152,45.27,0.21,30.96,0.129,43.43,0.112,11.31,0.062,69.23,0.118,71.26,0.174,59.15,0.162,58.67,0.206,90.28,0.157,42.94,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/10/2008 22:30,11.9,205.9,10.7,4.8,43.219,25.65,0,0,0.073,100.23,0.053,177.84,0.081,102.84,0.137,51.54,0.027,87.88,0.078,172.6,0.104,149.51,0.034,45,0.052,30.96,0.105,61.48,0.116,61.23,0.1,59.33,0.057,24.78,0.094,48.87,0.125,47.91,0.109,54.71,0.122,20.06,0.163,37.78,0.125,40.8,0.16,98.64,0.173,53.46,0.182,35.61,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/10/2008 23:00,11.9,205.9,10.7,4.8,43.242,25.64,0,0,0.136,71.97,0.099,16.42,0.152,77.43,0.019,42.88,0.038,81.03,0.087,105.31,0.054,96.34,0.077,92.23,0.094,124.2,0.073,81.31,0.122,91.88,0.083,98.33,0.065,97.02,0.031,39.81,0.061,57.09,0.108,50.26,0.107,55.71,0.169,27.47,0.149,115.02,0.124,99.77,0.051,353.29,0.059,110.9,0.137,122.76,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/10/2008 23:30,11.9,205.9,10.7,4.8,43.255,25.64,0,0,0.022,20.85,0.055,176.88,0.102,121.83,0.032,244.23,0.033,160.46,0.073,124.99,0.046,98.84,0.075,115.2,0.047,103.45,0.071,147.65,0.073,143.91,0.06,123.42,0.16,124.79,0.085,121.08,0.067,114.66,0.042,28.39,0.009,57.99,0.029,305.31,0.092,115.17,0.053,55.71,0.07,109.21,0.07,82.57,0.107,72.58,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 0:00,11.9,205.8,10.7,4.8,43.269,25.64,0,0,0.087,156.97,0.083,114.1,0.069,196.06,0.014,210.26,0.109,131.28,0.168,131.38,0.107,125.91,0.173,135.47,0.156,159.36,0.148,173.79,0.136,170.26,0.138,177.1,0.169,159.96,0.133,173.09,0.134,183.84,0.138,165.26,0.093,121.81,0.097,102.46,0.181,139.71,0.137,171.63,0.091,241.74,0.141,170.2,0.134,166.59,0.043,178.67,-99,-99,0.144,251.82,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 0:30,11.9,205.9,10.7,4.8,43.278,25.64,0,0,0.073,188.69,0.031,180,0.211,181.36,0.187,165.15,0.255,175.5,0.221,172.97,0.192,174.02,0.194,156.34,0.204,170.12,0.188,171.14,0.142,159.4,0.205,184.21,0.212,182.16,0.2,185.74,0.213,189.46,0.306,176.25,0.232,160.08,0.196,179.42,0.208,173.39,0.193,193.82,0.258,173.32,0.163,192.07,0.305,185.08,0.239,213.76,0.207,264.18,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 1:00,11.9,206,10.7,4.8,43.285,25.64,0,0,0.157,181.82,0.007,123.69,0.115,173.99,0.118,207.87,0.158,170.18,0.145,166.83,0.166,166.38,0.19,185.74,0.235,178.05,0.256,176.42,0.318,185.41,0.268,189.22,0.283,188.33,0.238,182.41,0.247,183.95,0.248,194.48,0.205,186.43,0.348,192.44,0.208,201.39,0.19,190.01,0.179,200.97,0.219,185.24,0.157,207.71,0.181,199.33,0.133,189.96,0.05,177.71,0.09,240.88,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 1:30,11.9,205.9,10.7,4.8,43.286,25.64,0,0,0.15,173.87,0.06,204.84,0.094,196.7,0.131,200.5,0.166,183.79,0.157,181.09,0.151,194.59,0.169,188.18,0.19,203.59,0.127,184.05,0.149,181.92,0.178,187.09,0.174,169.08,0.201,189.18,0.233,204.59,0.257,203.58,0.296,216.75,0.299,203.22,0.222,210.96,0.277,213.98,0.253,205.04,0.197,193.19,0.171,204.47,0.315,243.6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 2:00,11.9,205.9,10.7,4.8,43.279,25.65,0,0,0.138,138.23,0.063,257.07,0.08,161.11,0.117,180.49,0.099,199.54,0.198,214.9,0.221,220.24,0.226,224.1,0.228,216.27,0.293,195.65,0.275,203.12,0.223,204.04,0.248,193.31,0.256,205.96,0.272,208.26,0.271,205.14,0.217,168.02,0.258,185.56,0.306,195.35,0.329,177.91,0.232,177.29,0.326,203.73,0.239,194.27,0.227,223.04,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 2:30,11.9,205.9,10.7,4.8,43.281,25.65,0,0,0.054,174.71,0.188,227.38,0.192,212.86,0.127,203.73,0.141,196,0.129,208.15,0.085,237.06,0.141,224.43,0.213,237.05,0.211,225.57,0.192,224.37,0.228,223.58,0.229,214.32,0.237,190.93,0.234,208.86,0.242,217.77,0.246,198.51,0.338,195.43,0.286,215.91,0.182,211.77,0.344,199.01,0.306,203.47,0.224,208.51,0.292,215.38,0.275,206.57,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 3:00,11.9,206,10.7,4.8,43.272,25.65,0,0,0.132,228.08,0.153,217.32,0.134,198.71,0.167,233.27,0.213,217.19,0.118,232.25,0.178,246.89,0.22,237.61,0.28,236.65,0.256,231.34,0.271,218.86,0.25,210.77,0.228,216.97,0.252,224.36,0.245,230.97,0.321,239.92,0.308,232.13,0.344,228.89,0.291,229.46,0.268,243.43,0.254,229.79,0.303,245.04,0.312,238.25,0.268,229.24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 3:30,11.9,205.9,10.7,4.8,43.269,25.64,0,0,0.173,235.58,0.23,227.99,0.233,210.75,0.188,211.49,0.253,222.44,0.286,232.53,0.218,223.88,0.173,232.27,0.173,222.43,0.176,227.77,0.223,224.82,0.262,203.43,0.244,217.67,0.296,224.04,0.289,226.82,0.282,226.44,0.285,235.58,0.249,246.83,0.255,231.06,0.304,254.73,0.312,243.76,0.26,226.4,0.21,231.38,0.292,249.58,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 4:00,11.9,205.8,10.7,4.8,43.266,25.64,0,0,0.149,257.18,0.212,259.7,0.287,248.98,0.259,265.35,0.27,258.69,0.226,252.21,0.24,261.36,0.217,264.71,0.204,260.95,0.214,247.15,0.276,246.04,0.291,244.32,0.28,248.84,0.297,243.61,0.357,243.58,0.285,247.3,0.322,240.17,0.279,241.05,0.26,235.51,0.249,250.98,0.223,253.84,0.248,267.92,0.16,300.41,0.272,278.46,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 4:30,11.9,205.9,10.7,4.8,43.262,25.64,0,0,0.213,271.61,0.161,286.19,0.119,282.63,0.129,266.45,0.195,270.29,0.237,269.52,0.191,262.76,0.233,272.46,0.209,260.09,0.174,242.99,0.196,270,0.167,284.53,0.233,277.4,0.228,265.72,0.244,258.87,0.196,272.92,0.24,265.22,0.188,243.16,0.209,243.92,0.336,264.02,0.349,254.89,0.234,244.2,0.172,259.61,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 5:00,11.9,205.9,10.7,4.8,43.253,25.64,0,0,0.182,258.57,0.256,267.09,0.295,259.83,0.173,266.36,0.243,270.24,0.291,270.39,0.304,258.43,0.199,267.12,0.254,282.72,0.273,268.32,0.202,254.79,0.196,287.23,0.215,279.64,0.211,277.9,0.239,295.49,0.157,292,0.131,257.66,0.182,255.35,0.182,305.17,0.175,295.39,0.166,260.65,0.177,282.07,0.095,255.96,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 5:30,11.9,205.9,10.7,4.8,43.248,25.64,0,0,0.145,278.75,0.201,273.98,0.162,273.53,0.194,293.01,0.255,284.09,0.133,299.85,0.191,273.6,0.212,271.89,0.198,267.4,0.201,276.28,0.241,280.28,0.233,283.68,0.204,280.15,0.231,278.97,0.267,289.45,0.229,290.73,0.222,287.54,0.295,304.77,0.284,302.07,0.22,274.18,0.229,281.31,0.191,299.52,0.276,314.85,0.258,278.26,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 6:00,11.9,205.9,10.7,4.8,43.242,25.63,0,0,0.068,270.84,0.164,309.31,0.175,278.55,0.176,304.14,0.19,328.31,0.181,293.45,0.105,299,0.15,318.24,0.136,315.6,0.135,301.69,0.125,305.86,0.141,299.29,0.177,315.68,0.182,315.22,0.137,308.46,0.161,308.44,0.141,287.28,0.211,294.38,0.208,294.97,0.21,337.95,0.174,355.73,0.177,321.9,0.122,332.18,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 6:30,11.9,205.9,10.7,4.8,43.228,25.62,0,0,0.188,343.59,0.187,352.61,0.133,318.04,0.233,313.26,0.239,327.84,0.156,317.08,0.119,333.43,0.216,314.81,0.255,313.57,0.251,315.81,0.272,326.54,0.24,334.61,0.23,324.03,0.162,343.47,0.174,331.97,0.204,338.98,0.263,351.25,0.294,341.38,0.337,338.99,0.283,337.79,0.116,340.31,0.213,4.05,0.315,326.51,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 7:00,11.9,205.8,10.7,4.8,43.219,25.61,0,0,0.199,342.47,0.246,341.05,0.157,339.83,0.097,320.88,0.071,322.48,0.112,345.47,0.189,345.89,0.254,333.03,0.241,339.3,0.21,331.61,0.202,340.31,0.109,346.73,0.244,332.91,0.217,335.45,0.12,326.58,0.21,335.87,0.237,327.58,0.277,323.67,0.182,336.68,0.22,347.1,0.289,340.81,0.329,335.22,0.313,327.12,0.401,339.39,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 7:30,11.9,205.9,10.7,4.8,43.202,25.6,0,0,0.214,335.11,0.175,337.1,0.144,342.19,0.257,325.94,0.267,344.56,0.21,348.48,0.22,343.38,0.209,342.43,0.299,340.47,0.267,359.79,0.306,347.15,0.244,343.57,0.209,351.75,0.176,4.9,0.259,351.34,0.279,356.09,0.24,343.53,0.263,333.82,0.302,331.74,0.339,340.71,0.378,355.75,0.335,341.89,0.292,338.27,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 8:00,11.9,205.8,10.7,4.8,43.193,25.6,0,0,0.154,12.77,0.089,309.97,0.146,9.85,0.208,337.38,0.234,344.9,0.253,343.93,0.241,352.37,0.231,350.54,0.199,340.66,0.31,341.74,0.299,340.66,0.17,336,0.215,339.04,0.131,356.51,0.264,358.05,0.269,353.59,0.315,7.67,0.235,352.42,0.261,3.96,0.22,29.36,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 8:30,11.9,205.9,10.7,4.8,43.181,25.61,0,0,0.203,32.75,0.255,9.02,0.189,339.94,0.267,341.43,0.281,0.82,0.271,3.6,0.264,353.47,0.271,1.06,0.329,3.66,0.263,9.86,0.265,0.43,0.305,354.92,0.294,359.61,0.294,16.59,0.307,20.8,0.273,5.04,0.381,354.42,0.261,10.15,0.312,19.07,0.327,14.33,0.426,352.86,0.371,1.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 9:00,11.9,205.9,10.7,4.8,43.172,25.61,0,0,0.216,335.93,0.32,7.55,0.23,21.11,0.327,347.28,0.302,6.28,0.257,2.23,0.283,7.1,0.312,356.32,0.269,4.27,0.236,11.74,0.257,11.22,0.23,15.91,0.148,40.6,0.236,27.54,0.27,25.43,0.16,14.47,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 9:30,11.9,205.9,10.7,4.8,43.168,25.61,0,0,0.208,354.48,0.162,349.66,0.179,32.01,0.275,9.63,0.243,22.02,0.164,9.46,0.217,18.27,0.194,16.47,0.179,14.27,0.175,4.25,0.161,19.22,0.195,355.29,0.219,355.54,0.246,357.67,0.218,353.95,0.268,6.43,0.297,28.12,0.216,354.69,0.32,357.14,0.269,44.1,0.291,35.06,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 10:00,11.9,205.9,10.7,4.8,43.157,25.61,0,0,0.139,51.15,0.203,12.25,0.152,22.85,0.219,4.98,0.214,10.52,0.315,35.05,0.294,26.48,0.285,6.65,0.305,9.25,0.286,18.56,0.258,6.24,0.281,11.91,0.235,28.75,0.198,356.24,0.318,358.2,0.323,10.89,0.244,8,0.338,7.15,0.35,3.12,0.375,354.34,0.338,2.71,0.338,5.61,0.313,0.55,0.29,17.44,0.315,28.44,0.35,28.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 10:30,11.9,205.9,10.7,4.8,43.142,25.62,0,0,0.116,344.05,0.154,355.14,0.075,35.18,0.121,83.35,0.073,86.08,0.073,33.25,0.081,351.47,0.062,49.6,0.098,57.93,0.14,34.82,0.136,24.86,0.163,17.1,0.134,16.41,0.153,15.95,0.142,12.57,0.169,27.17,0.171,38.82,0.215,51.42,0.165,15.8,0.095,31.69,0.113,24.07,0.21,20.33,0.345,17.18,0.387,40.28,0.351,23.71,0.372,355.68,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 11:00,11.9,205.8,10.7,4.8,43.129,25.62,0,0,0.079,87.1,0.085,348.42,0.051,349.8,0.057,293.86,0.019,11.89,0.03,23.96,0.135,317.7,0.106,322.7,0.168,332.67,0.098,29.45,0.161,49.78,0.123,31.36,0.131,20.5,0.184,31.87,0.15,54.51,0.107,44.62,0.154,12.77,0.206,18.7,0.198,23.46,0.151,36.64,0.194,7.09,0.212,12,0.291,6.71,0.28,358.16,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 11:30,11.9,205.9,10.7,4.8,43.12,25.62,0,0,0.104,358.9,0.092,314.12,0.034,64.18,0.111,4.12,0.051,48.18,0.066,63.82,0.077,50.29,0.092,56.14,0.133,62.28,0.148,46.37,0.163,33.2,0.129,58.28,0.131,30.66,0.135,49.81,0.15,25.71,0.156,25.42,0.064,34.19,0.105,12.71,0.144,21.95,0.178,33.51,0.131,50.59,0.227,15.56,0.187,352,0.205,37.65,0.181,5.4,0.233,330.47,0.27,17.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 12:00,11.9,205.9,10.7,4.8,43.101,25.63,0,0,0.166,326.79,0.083,172.36,0.079,138.61,0.022,108.43,0.064,98.13,0.028,175.91,0.031,150.95,0.051,90,0.047,113.84,0.041,60.95,0.063,50.77,0.041,55.92,0.041,4.18,0.033,81.38,0.053,342.58,0.054,296.57,0.001,270,0.053,98.75,0.026,128.66,0.073,228.89,0.059,345.26,0.084,32.37,0.07,50.83,0.19,16.81,0.232,34.65,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 12:30,11.9,205.9,10.7,4.8,43.083,25.63,0,0,0.081,220.99,0.118,220.55,0.164,202.65,0.11,210.07,0.092,135.88,0.051,206.57,0.058,229.18,0.057,206.11,0.059,174.19,0.029,159.68,0.05,109.89,0.019,55.49,0.092,93.73,0.051,167.59,0.101,207.84,0.024,355.24,0.035,143.13,0.063,78.16,0.102,90,0.05,85.43,0.126,303.69,0.215,347.12,0.105,38.4,0.011,180,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
4/11/2008 13:00,11.9,205.9,10.7,4.8,43.067,25.63,0,0,0.083,235.35,0.084,301.43,0.004,303.69,0.018,3.18,0.08,205.28,0.106,205.6,0.12,199.49,0.116,208.77,0.146,219.7,0.074,195.73,0.026,110.56,0.042,182.73,0.093,214.03,0.1,202.44,0.1,214.8,0.108,202.78,0.122,180,0.051,165.14,0.043,173.37,0.21,154.29,0.073,225.56,0.049,170.54,0.059,246.04,0.103,320.91,0.083,322.31,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
