DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m),Speed#37(37.5m),Dir#37(37.5m),Speed#38(38.5m),Dir#38(38.5m),Speed#39(39.5m),Dir#39(39.5m),Speed#40(40.5m),Dir#40(40.5m),
8/9/2009 18:00:00, 11.7,208.6,-18.4, -6.5, 42.962, 27.59,  0.0,  0.0,  0.013,  51.34,  0.043,   9.46,  0.031, 315.00,  0.121, 270.95,  0.436,  30.15,  0.160, 233.13,  0.191, 231.57,  0.154, 247.09,  0.163, 263.31,  0.119, 275.33,  0.122, 259.61,  0.147, 279.78,  0.180, 282.88,  0.208, 318.50,  0.187, 314.35,  0.166, 323.82,  0.243, 350.03,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/9/2009 19:00:00, 11.7,208.6,-18.4, -6.5, 42.975, 27.65,  0.0,  0.0,  0.142,  39.29,  0.110,  35.72,  0.074,  81.43,  0.007,  90.00,  0.046, 342.35,  0.075, 308.54,  0.131, 267.81,  0.136, 269.16,  0.075, 302.01,  0.089, 271.29,  0.163, 283.52,  0.188, 305.71,  0.167, 323.54,  0.146, 308.60,  0.175, 317.09,  0.211, 329.92,  0.197, 313.76,  0.225, 314.64,  0.241, 323.08,  0.267, 305.24,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/9/2009 20:00:00, 11.7,208.7,-18.3, -6.5, 43.011, 27.62,  0.0,  0.0,  0.066,  15.95,  0.127, 318.52,  0.059, 278.82,  0.044, 258.18,  0.021, 354.56,  0.052, 226.55,  0.056, 254.48,  0.063, 276.34,  0.089, 315.91,  0.190, 295.89,  0.204, 318.97,  0.174, 313.14,  0.177, 306.03,  0.178, 305.84,  0.171, 311.44,  0.219, 286.70,  0.223, 313.36,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/9/2009 21:00:00, 11.7,208.6,-18.3, -6.5, 43.047, 27.59,  0.0,  0.0,  0.082, 292.83,  0.090, 288.84,  0.128, 263.26,  0.122, 262.93,  0.041, 254.25,  0.094, 250.02,  0.075, 263.91,  0.101, 255.69,  0.061, 312.34,  0.018, 315.00,  0.060,  10.56,  0.068,   9.32,  0.087, 348.69,  0.096, 313.32,  0.160, 282.30,  0.150, 266.19,  0.144, 266.82,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/9/2009 22:00:00, 11.7,208.6,-18.3, -6.5, 43.071, 27.58,  0.0,  0.0,  0.032, 169.05,  0.018, 289.44,  0.007, 171.87,  0.037, 270.00,  0.085, 316.91,  0.053, 253.61,  0.122, 250.82,  0.090, 272.54,  0.042, 256.29,  0.035,  46.17,  0.042,  12.38,  0.049, 248.63,  0.036, 308.16,  0.064, 315.63,  0.044, 325.22,  0.054, 254.93,  0.137, 258.61,  0.096, 281.43,  0.132, 277.82,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/9/2009 23:00:00, 11.7,208.7,-18.3, -6.5, 43.096, 27.33,  0.0,  0.0,  0.040, 227.05,  0.051, 264.40,  0.134, 249.94,  0.086, 280.01,  0.091, 271.89,  0.128, 239.42,  0.065, 231.89,  0.033, 241.11,  0.061, 208.24,  0.030, 136.33,  0.064, 112.96,  0.142, 203.30,  0.110, 192.64,  0.107, 200.81,  0.193, 203.78,  0.215, 227.64,  0.161, 241.84,  0.225, 236.59,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/10/2009 00:00:00, 11.7,208.6,-18.3, -6.5, 43.095, 27.23,  0.0,  0.0,  0.074, 339.35,  0.084, 347.62,  0.060, 314.33,  0.045, 320.36,  0.045, 246.30,  0.034, 251.03,  0.033, 268.26,  0.087, 227.33,  0.095, 193.45,  0.079, 214.70,  0.136, 212.41,  0.077, 199.60,  0.120, 188.13,  0.125, 201.04,  0.189, 207.11,  0.236, 227.92,  0.149, 228.53,  0.107, 301.61,  0.166, 208.11,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/10/2009 01:00:00, 11.7,208.7,-18.3, -6.5, 43.076, 27.23,  0.0,  0.0,  0.040,  69.27,  0.014, 278.13,  0.057, 264.99,  0.021, 171.87,  0.042, 263.21,  0.072, 127.67,  0.101, 117.07,  0.070, 122.09,  0.069, 129.70,  0.083, 141.34,  0.083, 160.25,  0.103, 196.33,  0.132, 200.91,  0.301, 213.74,  0.292, 208.85,  0.254, 215.88,  0.359, 216.39,  0.245, 226.49,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/10/2009 02:00:00, 11.3,208.5,-18.3, -6.4, 43.043, 27.26,  0.0,  0.0,  0.104, 341.57,  0.067,   2.56,  0.041,  18.43,  0.050,  38.48,  0.067,  82.23,  0.073, 155.88,  0.007,  74.05,  0.043,  32.57,  0.044, 110.10,  0.045, 137.73,  0.081, 188.53,  0.184, 197.74,  0.230, 208.01,  0.278, 207.21,  0.286, 212.13,  0.297, 215.13,  0.260, 227.49,  0.300, 207.59,  0.310, 216.46,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
8/10/2009 03:00:00, 11.4,208.6,-18.3, -6.4, 43.016, 27.31,  0.0,  0.0,  0.115,  51.73,  0.102,  18.79,  0.062,  54.78,  0.030,  25.71,  0.038,  50.39,  0.008,  45.00,  0.039,  37.75,  0.028,  70.91,  0.054, 151.05,  0.038, 184.51,  0.141, 223.85,  0.269, 224.25,  0.291, 223.75,  0.362, 215.79,  0.275, 217.62,  0.174, 213.51,  0.286, 224.86,  0.209, 237.68,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
