DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m)
5/5/2015 23:00,11.8,89.5,-5.1,-1,24.326,27.58,0,0,0.138,298.61,0.206,264.7,0.346,269.83,0.355,264.83,0.356,269.03,0.349,267.7,0.334,267.6,0.364,274.1,0.424,276.24,0.528,267.72,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/6/2015 0:00,11.8,89.4,-5.2,-1,24.369,27.6,0,0,0.162,289.89,0.187,257.97,0.194,269.7,0.235,276.85,0.25,278.97,0.245,263.69,0.267,265.91,0.257,270.67,0.256,262.38,0.333,254.67,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/6/2015 1:00,11.8,89.4,-5.3,-1,24.4,27.58,0,0,0.087,264.09,0.148,232.13,0.102,263.78,0.136,269.16,0.139,247.51,0.143,265.17,0.178,258.69,0.172,270.33,0.173,270,0.202,258.58,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/6/2015 2:00,11.8,89.4,-5.2,-1,24.424,27.56,0,0,0.16,296.73,0.187,296.02,0.203,267.18,0.282,268.58,0.292,263.51,0.242,264.31,0.227,279.63,0.23,261.48,0.279,268.36,0.307,256.05,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/6/2015 3:00,11.8,89.5,-5.3,-1,24.428,27.54,0,0,0.066,218.25,0.065,218.8,0.066,243.05,0.123,220.7,0.104,239.98,0.108,217.83,0.132,252.39,0.138,239.53,0.143,244.33,0.249,264.93,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/6/2015 4:00,11.8,89.3,-5.2,-1,24.419,27.52,0,0,0.143,298,0.08,211.7,0.051,157.99,0.043,228.81,0.129,251,0.107,261.42,0.113,268.99,0.135,266.19,0.119,242.58,0.18,250.86,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/6/2015 5:00,11.8,89.3,-5.2,-1,24.408,27.52,0,0,0.071,0,0.056,222.83,0.03,180,0.077,177.77,0.08,198.89,0.117,233.72,0.128,234.2,0.121,241.31,0.154,233.73,0.197,231.79,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/6/2015 6:00,11.8,89.3,-5.2,-1,24.395,27.56,0,0,0.074,311.7,0.134,261.38,0.118,275.37,0.101,229.03,0.048,257.99,0.107,253.76,0.101,254.45,0.099,242.4,0.163,236.5,0.248,246.74,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/6/2015 7:00,11.8,89.3,-5.2,-1,24.376,27.54,0,0,0.162,295.62,0.196,265.91,0.195,286.95,0.148,286.11,0.193,280.73,0.177,274.87,0.21,267.82,0.208,258.37,0.246,250.31,0.331,262.19,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/6/2015 8:00,11.8,89.2,-5.2,-1,24.352,27.52,0,0,0.084,319.33,0.13,269.56,0.168,252,0.172,244.92,0.217,259.36,0.23,253.06,0.208,256.36,0.195,246.45,0.171,265.99,0.273,246.72,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
