DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m),Speed#37(37.5m),Dir#37(37.5m),Speed#38(38.5m),Dir#38(38.5m),Speed#39(39.5m),Dir#39(39.5m),Speed#40(40.5m),Dir#40(40.5m)
5/9/2008 16:00,13.9,209.5,-0.8,2.2,39.239,26.35,0,0,0.21,176.19,0.36,186.38,0.259,170.9,0.278,183.92,0.279,182.05,0.302,178.29,0.302,166.98,0.372,170.41,0.364,167.8,0.363,162.71,0.289,160.81,0.282,171.24,0.235,152.89,0.254,154.85,0.172,147.32,0.204,140.16,0.108,99.64,0.136,115.63,0.112,110.85,0.155,64.43,0.176,85.78,0.215,80.1,0.207,112.11,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/9/2008 17:00,14,209.3,-0.7,2.3,39.194,25.92,0,0,0.378,205.68,0.327,185.26,0.291,187.91,0.376,179.09,0.294,183.71,0.252,157.82,0.272,165.76,0.296,156.47,0.239,153.11,0.119,156.67,0.098,132.12,0.233,144.06,0.158,115.92,0.142,123.8,0.149,107.95,0.122,113.63,0.138,104.74,0.151,109.4,0.137,112.27,0.126,118.39,0.056,140.06,0.114,143.94,0.125,142.13,0.102,136.59,0.07,115.46,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/9/2008 17:30,14,209.5,-0.8,2.2,39.191,25.83,0,0,0.292,214.94,0.417,202.39,0.365,197.89,0.326,191.14,0.24,171.13,0.252,179.09,0.227,173.94,0.315,173.08,0.264,184.13,0.31,176.48,0.212,168.58,0.176,184.22,0.176,176.42,0.166,168.15,0.115,146.03,0.174,207.01,0.149,184.22,0.072,180.8,0.06,125.54,0.114,143.53,0.104,149.98,0.039,121.22,0.044,144.16,0.076,155.12,0.039,120.47,0.073,94.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/9/2008 18:00,14,209.5,-0.8,2.2,39.198,25.88,0,0,0.067,147.26,0.033,0,0.013,108.43,0.105,4.9,0.12,41.63,0.217,36.18,0.134,9.46,0.251,352.68,0.29,358.42,0.228,12.69,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/9/2008 18:30,14,209.5,-0.8,2.2,39.212,25.75,0,0,0.278,220.91,0.321,198.72,0.333,214.36,0.248,209.14,0.226,225.9,0.146,259.31,0.062,256.87,0.036,260.54,0.023,270,0.086,41.25,0.078,32.47,0.053,7.52,0.105,13.24,0.039,53.43,0.049,305.94,0.072,258.85,0.055,241.56,0.046,262.57,0.093,255.07,0.054,273.18,0.023,287.65,0.028,79.88,0.049,92.34,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/9/2008 19:00,14,209.4,-0.8,2.2,39.242,25.92,0,0,0.094,306.75,0.081,238.07,0.079,269.27,0.031,256.87,0.066,59.93,0.021,307.41,0.037,107.45,0.172,335.22,0.1,347.35,0.055,300.78,0.086,285.49,0.082,324.38,0.038,16.99,0.016,280.62,0.039,197.97,0.083,275.51,0.081,267.17,0.084,250.48,0.122,245.75,0.073,245.88,0.119,244.08,0.154,254.52,0.154,273.72,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/9/2008 19:30,14,209.5,-0.8,2.2,39.286,26.06,0,0,0.049,276.98,0.037,137.2,0.086,349.22,0.081,253.57,0.162,270.71,0.12,321.79,0.133,283.51,0.068,247.57,0.074,258.23,0.105,288.26,0.058,305.88,0.143,309.6,0.115,339.68,0.1,338.3,0.065,253.81,0.083,328.8,0.067,309.59,0.098,294.2,0.025,357.71,0.052,238.47,0.105,268.91,0.004,14.04,0.098,84.11,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/9/2008 20:00,14,209.5,-0.8,2.2,39.33,26.07,0,0,0.038,103.67,0.064,292.14,0.081,12.14,0.034,5.04,0.081,260.07,0.074,271.55,0.056,341.24,0.074,8.57,0.154,326.62,0.158,320.38,0.202,315.2,0.191,329.55,0.124,317.94,0.168,315.73,0.197,320.34,0.2,312.56,0.134,299.43,0.166,328.32,0.21,323.73,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/9/2008 21:00,14,209.4,-0.8,2.2,39.458,26.02,0,0,0.087,45.47,0.116,307.66,0.047,6.07,0.091,275.65,0.067,281.98,0.061,342.76,0.106,268.38,0.034,280.3,0.03,68.55,0.037,30.7,0.027,41.99,0.106,8.66,0.133,14.35,0.251,344.97,0.205,344.13,0.189,345.6,0.279,344.17,0.24,358.09,0.227,341.01,0.253,330.7,0.197,340.09,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/9/2008 21:30,14,209.5,-0.8,2.2,39.504,26,0,0,0.016,75.07,0.099,243.69,0.124,286.39,0.09,317.25,0.061,17.24,0.111,297.95,0.156,332.12,0.212,5.15,0.175,9.19,0.138,349.58,0.203,348.63,0.234,339.47,0.183,325.01,0.223,345.22,0.252,339.84,0.235,341.87,0.286,328.31,0.134,316.81,0.198,342.39,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.277,317.49,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/9/2008 22:00,14,209.4,-0.8,2.2,39.567,25.97,0,0,0.094,97.96,0.057,281.11,0.094,0,0.066,301.26,0.097,255.68,0.064,337.86,0.101,328.36,0.187,319.76,0.115,310.76,0.187,340.3,0.193,331.18,0.186,325.71,0.217,321.18,0.229,301.26,0.198,314.59,0.196,331.6,0.173,323.46,0.137,342.1,0.094,330.71,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.185,322.45,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/9/2008 22:30,14,209.6,-0.8,2.2,39.619,26.18,0,0,0.005,0,0.109,301.05,0.087,1.32,0.035,152.7,0.037,23.81,0.057,338.39,0.118,320.51,0.02,300.47,0.164,251.9,0.158,266.38,0.114,294.99,0.085,284.36,0.125,285.82,0.166,323.06,0.234,326.17,0.238,328.25,0.191,344.51,0.104,294.35,0.139,307.12,0.106,315,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.194,319.4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/9/2008 23:00,14,209.5,-0.8,2.1,39.677,26.28,0,0,0.07,14.83,0.049,303.37,0.089,224.09,0.162,240.43,0.062,229.6,0.049,225.83,0.059,221.55,0.042,325.56,0.12,294.64,0.077,292.22,0.078,8.86,0.147,300.23,0.114,289.38,0.073,357.65,0.134,16.95,0.144,10.84,0.158,14.3,0.105,20.68,0.096,349.75,0.223,353.29,0.163,2.81,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.174,329.15,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/9/2008 23:30,14,209.4,-0.8,2.1,39.721,26.26,0,0,0.074,328.24,0.054,332.49,0.091,275.02,0.105,41.91,0.081,199.56,0.074,146.52,0.063,9.16,0.045,215.1,0.051,352.18,0.093,292.15,0.145,301.17,0.07,279.87,0.122,290.06,0.054,280.68,0.077,304.93,0.064,337.04,0.025,18.43,0.099,349.49,0.11,340.42,0.161,16.97,0.082,16.23,0.069,358.34,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.03,66.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/10/2008 0:00,14,209.5,-0.8,2.2,39.745,26.19,0,0,0.107,222.35,0.153,216.5,0.182,209.24,0.171,190.12,0.055,155.3,0.081,300.36,0.095,308.19,0.084,341.35,0.09,324.54,0.009,180,0.117,134.31,0.115,161.72,0.042,206.57,0.013,116.57,0.095,53.13,0.061,167.77,0.093,161.18,0.049,150.83,0.06,345.5,0.104,50.05,0.132,38.52,0.092,19.61,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.077,344.16,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/10/2008 1:00,14,209.4,-0.8,2.2,39.752,26.16,0,0,0.182,205.02,0.221,188.31,0.097,181.18,0.093,141.53,0.084,110.16,0.047,168.93,0.073,172.09,0.153,102.04,0.067,48.65,0.097,76.25,0.048,80.34,0.049,113.96,0.083,142.85,0.08,77.01,0.109,112.09,0.113,108.11,0.117,159.56,0.15,167.72,0.065,124.42,0.052,126.43,0.062,66.32,0.115,118.57,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.15,238.12,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/10/2008 1:30,14,209.4,-0.8,2.2,39.738,26.19,0,0,0.315,202.98,0.327,169.41,0.21,158.81,0.174,157.41,0.12,154.29,0.14,146.08,0.161,105.16,0.199,91.44,0.136,101.06,0.186,132.17,0.117,147.94,0.059,148.2,0.134,79.7,0.192,90.6,0.184,87.51,0.186,110.77,0.213,114.76,0.183,136.55,0.207,134.41,0.197,133.56,0.144,131.34,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.102,243.94,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/10/2008 2:00,14,209.4,-0.8,2.2,39.703,26.22,0,0,0.34,194.32,0.273,182.1,0.304,185.65,0.179,151.01,0.159,145.01,0.16,152.79,0.167,150.51,0.141,144.51,0.113,131.76,0.014,216.03,0.177,129.27,0.105,144.33,0.087,143.92,0.155,117.72,0.138,148.96,0.182,145.52,0.139,141.73,0.15,125.49,0.199,149.83,0.135,161.43,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.121,229.04,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/10/2008 2:30,14,209.4,-0.8,2.2,39.676,26.31,0,0,0.307,183.17,0.269,187.05,0.219,175.8,0.334,157.5,0.287,153.97,0.284,132.57,0.228,146.1,0.182,167.33,0.181,167.27,0.165,157.17,0.148,133.08,0.139,104.53,0.15,144.51,0.115,117.46,0.15,130.39,0.135,158.75,0.178,114.98,0.169,138.85,0.147,123.91,0.17,142.39,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.114,91.51,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/10/2008 3:00,14,209.5,-0.8,2.2,39.634,26.32,0,0,0.208,198.17,0.241,184.76,0.268,178.93,0.275,176.03,0.21,171.52,0.181,173.03,0.311,174.47,0.315,164.55,0.266,166.75,0.261,173.39,0.267,181.07,0.258,170.65,0.23,170.99,0.251,159.26,0.209,158.96,0.185,150.1,0.208,147.38,0.184,140.07,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.096,207.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
