DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),Speed#31(31.5m),Dir#31(31.5m),Speed#32(32.5m),Dir#32(32.5m),Speed#33(33.5m),Dir#33(33.5m),Speed#34(34.5m),Dir#34(34.5m),Speed#35(35.5m),Dir#35(35.5m),Speed#36(36.5m),Dir#36(36.5m),Speed#37(37.5m),Dir#37(37.5m)
12/13/2005 17:00,11.2,86.1,-0.8,-1.7,31.267,27.42,0,0,0.05,235.67,0.076,331.75,0.08,315.51,0.124,319.25,0.143,274.4,0.053,292.2,0.133,318.98,0.112,313.92,0.117,329.04,0.132,336.35,0.104,324.01,0.122,321.34,0.106,307.73,0.14,330.51,0.143,325.86,0.183,327.96,0.19,321.62,0.167,319.14,0.197,317.88,0.21,311.91,0.182,309.64,0.182,306.49,0.263,286.57,0.215,290.12,0.216,306.34,0.164,277.34,0.274,262.87,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/13/2005 17:30,11.2,86.1,-0.8,-1.7,31.251,27.44,0,0,0.072,324.09,0.102,323.35,0.051,198.43,0.037,282.53,0.112,315,0.049,336.04,0.076,338.48,0.065,336.57,0.11,7.84,0.116,351.1,0.115,340.78,0.119,288.13,0.118,304.63,0.119,297.65,0.084,306.73,0.141,308.09,0.11,307.6,0.15,327.26,0.182,307.18,0.18,317.02,0.134,322.87,0.137,308.46,0.164,303.79,0.148,319.95,0.123,302.4,0.089,289.65,0.292,264.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/13/2005 18:00,11.2,86.2,-0.8,-1.7,31.249,27.52,0,0,0.083,350.99,0.083,293.47,0.094,278.56,0.134,314.4,0.032,282.72,0.065,317.49,0.077,306.57,0.049,289.18,0.072,335.22,0.106,354.61,0.094,311.13,0.132,318.37,0.111,332.05,0.088,310.39,0.114,304.25,0.083,331.28,0.097,355.29,0.116,8.41,0.12,352.82,0.109,322.08,0.133,315.61,0.128,344.12,0.123,321.27,0.15,323.66,0.137,305.78,0.11,295.87,0.238,272.41,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/13/2005 18:30,11.2,86.1,-0.8,-1.7,31.226,27.52,0,0,0.08,308.44,0.061,7.59,0.039,277.31,0.06,294.84,0.089,296.85,0.035,276.52,0.043,266.01,0.067,276.81,0.051,313.41,0.048,318.37,0.069,315,0.075,319.9,0.083,355.18,0.079,343.16,0.073,351.31,0.136,323.97,0.109,312.77,0.116,324.12,0.095,349.05,0.126,353.61,0.115,11.02,0.121,3.31,0.119,331.27,0.096,332.63,0.133,345.23,0.155,319.44,0.248,268.84,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/13/2005 19:00,11.2,86.1,-0.8,-1.7,31.22,27.47,0,0,0.05,279.27,0.061,270.94,0.058,270.99,0.073,329.57,0.07,340.79,0.066,293.09,0.122,327.75,0.039,7.31,0.042,25.35,0.074,350.67,0.065,323.13,0.088,15.14,0.061,344.83,0.099,25.79,0.126,359.09,0.069,10.01,0.072,338.05,0.093,335.91,0.103,351.09,0.087,352.06,0.125,344.74,0.099,20.62,0.11,330.64,0.103,331.7,0.106,25.11,0.035,18.43,0.216,274.26,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/13/2005 19:30,11.2,86.2,-0.8,-1.8,31.193,27.45,0,0,0.091,315.44,0.035,50.83,0.081,358.59,0.057,2.01,0.081,353.58,0.074,28.3,0.061,352.41,0.013,331.39,0.066,338.84,0.09,357.46,0.138,27.68,0.109,2.1,0.066,342.39,0.056,24.27,0.081,0.71,0.05,19.89,0.105,359.45,0.134,29.05,0.127,36.69,0.108,21.8,0.135,23.14,0.122,42.02,0.158,20.73,0.114,34.25,0.101,22.01,0.077,42.37,0.206,286.06,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/13/2005 20:00,11.2,86.2,-0.8,-1.7,31.18,27.46,0,0,0.039,240.8,0.047,47.56,0.032,262.87,0.039,50.19,0.06,270.95,0.07,15.83,0.08,331.5,0.059,303.15,0.091,9.46,0.144,37.67,0.08,35.87,0.08,59.28,0.08,61.5,0.126,51.77,0.166,26.1,0.131,27.74,0.13,38.11,0.103,17.55,0.126,20.45,0.128,14.47,0.134,36.53,0.128,35.8,0.025,66.5,0.041,62.18,0.133,50.8,0.064,52.59,0.176,289.26,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/13/2005 20:30,11.2,86.1,-0.8,-1.7,31.169,27.48,0,0,0.053,270,0.049,358.83,0.01,270,0.015,118.3,0.043,51.55,0.028,300.26,0.08,353.5,0.099,14.6,0.011,0,0.115,31.9,0.065,101.48,0.101,27.84,0.067,35.34,0.091,88.11,0.183,61.19,0.118,52.94,0.113,75.59,0.13,95.31,0.11,90,0.121,92.84,0.132,71.02,0.117,75.61,0.091,73.36,0.137,56.89,0.188,69.73,0.145,83.27,0.212,267.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/13/2005 21:00,11.2,86.2,-0.8,-1.7,31.155,27.49,0,0,0.028,355.91,0.052,159.83,0.034,74.74,0.071,150.55,0.095,61.82,0.075,50.98,0.084,71.35,0.087,92.63,0.138,73.14,0.123,59.68,0.081,69.11,0.075,80.79,0.179,75.11,0.166,78.89,0.124,77.42,0.121,94.25,0.166,74.62,0.159,79.11,0.154,90,0.166,85.15,0.179,81.64,0.189,79.34,0.091,151.74,0.054,109.44,0.16,88.57,0.056,80.71,0.113,265.95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12/13/2005 21:30,11.2,86.1,-0.8,-1.7,31.137,27.49,0,0,0.018,99.46,0.046,111.57,0.079,76.14,0.063,127.95,0.141,74.78,0.159,107.53,0.115,108.75,0.135,78.44,0.157,78.98,0.188,91.83,0.15,85.01,0.169,103.71,0.201,105.28,0.207,97.23,0.161,99.99,0.142,82.72,0.182,85.58,0.133,77.01,0.154,87.03,0.132,82.61,0.166,80.31,0.146,76.15,0.144,62.72,0.173,67.28,0.199,76.03,0.058,89.01,0.129,271.33,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
