DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m),
1/19/2016 12:00:00, 11.8, 73.0, 56.5,-57.5,  0.000, 25.89,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/19/2016 13:00:00, 11.8,206.9, 56.5,-57.5,  0.000, 26.40,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/19/2016 14:00:00, 11.8,107.5,-52.9,-57.5,  0.000, 25.82,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/19/2016 15:00:00, 11.8,206.5,  8.0,  1.6, 23.400, 26.27,  0.0,  0.0,  0.047,  45.00,  0.022,  35.84,  0.021, 318.81,  0.008, 270.00,  0.033, 316.22,  0.008,  97.13,  0.010,  60.95,  0.022,  35.84,  0.037, 319.40,  0.267, 207.91,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/19/2016 16:00:00, 11.8,206.3,  8.0,  1.7, 23.382, 26.57,  0.0,  0.0,  0.011, 153.43,  0.008, 246.80,  0.018, 292.38,  0.028, 286.50,  0.032,  38.66,  0.025, 318.18,  0.025, 318.18,  0.022, 344.05,  0.017, 334.98,  0.238, 184.58,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/19/2016 17:00:00, 11.8,206.4,  8.0,  1.7, 23.357, 26.59,  0.0,  0.0,  0.027,   0.00,  0.056, 276.12,  0.004,   0.00,  0.019,  32.01,  0.028,  52.31,  0.038, 294.57,  0.037, 339.62,  0.040, 310.91,  0.067, 299.64,  0.323, 212.36,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/19/2016 18:00:00, 11.8,206.5,  8.0,  1.7, 23.345, 26.59,  0.0,  0.0,  0.020, 302.91,  0.024, 255.38,  0.066, 296.95,  0.076, 311.82,  0.037, 284.04,  0.072, 299.05,  0.048, 289.57,  0.092, 274.35,  0.085, 269.33,  0.106, 205.84,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/19/2016 19:00:00, 11.8,206.4,  8.0,  1.7, 23.332, 26.60,  0.0,  0.0,  0.030, 250.35,  0.097, 280.15,  0.100, 284.45,  0.112, 290.38,  0.073, 293.40,  0.082, 284.89,  0.076, 265.49,  0.126, 269.09,  0.148, 278.19,  0.457, 292.13,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/19/2016 20:00:00, 11.8,206.5,  8.0,  1.7, 23.326, 26.59,  0.0,  0.0,  0.056, 252.22,  0.118, 281.21,  0.091, 268.11,  0.105, 268.36,  0.112, 277.19,  0.093, 261.35,  0.120, 269.05,  0.117, 267.06,  0.157, 283.59,  0.481, 290.43,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/19/2016 21:00:00, 11.8,206.5,  8.0,  1.7, 23.322, 26.62,  0.0,  0.0,  0.170, 252.20,  0.174, 266.05,  0.184, 266.58,  0.180, 272.23,  0.150, 266.95,  0.112, 261.29,  0.140, 253.77,  0.146, 262.53,  0.203, 262.91,  0.476, 282.75,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/19/2016 22:00:00, 11.8,206.4,  8.0,  1.7, 23.299, 26.62,  0.0,  0.0,  0.096, 222.47,  0.119, 236.98,  0.188, 256.18,  0.136, 261.99,  0.144, 260.80,  0.194, 272.07,  0.189, 282.56,  0.203, 287.19,  0.186, 278.96,  0.510, 288.40,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/19/2016 23:00:00, 11.8,206.4,  8.0,  1.7, 23.294, 26.62,  0.0,  0.0,  0.131, 246.57,  0.151, 251.09,  0.148, 257.09,  0.156, 257.39,  0.172, 270.67,  0.165, 281.17,  0.201, 291.32,  0.228, 292.41,  0.214, 290.56,  0.444, 270.26,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/20/2016 00:00:00, 11.8,206.4,  8.0,  1.7, 23.284, 26.62,  0.0,  0.0,  0.096, 258.57,  0.103, 222.24,  0.117, 254.19,  0.108, 281.73,  0.129, 276.24,  0.146, 293.76,  0.170, 290.99,  0.148, 297.78,  0.150, 277.65,  0.407, 255.93,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/20/2016 01:00:00, 11.8,206.5,  8.0,  1.7, 23.243, 26.64,  0.0,  0.0,  0.093, 235.11,  0.071, 233.62,  0.106, 246.59,  0.099, 305.94,  0.113, 277.13,  0.090, 303.16,  0.116, 295.02,  0.134, 292.92,  0.137, 282.21,  0.336, 230.67,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/20/2016 02:00:00, 11.8,206.5,  8.0,  1.7, 23.231, 26.66,  0.0,  0.0,  0.079, 226.02,  0.079, 272.17,  0.062, 315.00,  0.088, 294.82,  0.075, 304.11,  0.061, 284.26,  0.092, 308.37,  0.107, 311.59,  0.117, 286.42,  0.387, 241.98,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/20/2016 03:00:00, 11.8,206.5,  8.0,  1.7, 23.221, 26.67,  0.0,  0.0,  0.014, 146.31,  0.010, 119.05,  0.035, 345.17,  0.052,  36.43,  0.059, 358.06,  0.080, 329.28,  0.084, 311.12,  0.101, 329.62,  0.112, 316.08,  0.424, 265.94,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/20/2016 04:00:00, 11.8,206.4,  8.0,  1.7, 23.227, 26.67,  0.0,  0.0,  0.020, 249.78,  0.014, 326.31,  0.060, 306.87,  0.088, 311.31,  0.036, 292.99,  0.059, 322.55,  0.065, 336.57,  0.056, 326.59,  0.070, 308.66,  0.430, 272.80,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
1/20/2016 05:00:00, 11.8,206.5,  8.0,  1.7, 23.253, 26.66,  0.0,  0.0,  0.038,  60.07,  0.052,  36.43,  0.039,  76.68,  0.096, 358.81,  0.064, 356.42,  0.037,  23.81,  0.048,  63.97,  0.019, 108.43,  0.024, 270.00,  0.329, 273.32,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
