DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m)
5/31/2016 16:00,11.8,130.6,-2.9,0.6,23.857,27.95,0,0,0.041,127.15,0.059,31.8,0.028,337.07,0.031,69.23,0.052,347.83,0.088,19.87,0.077,325.07,0.064,327.8,0.103,325.23,0.228,264.96,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/31/2016 17:00,11.8,130.9,-2.9,0.6,23.872,27.96,0,0,0.049,110.28,0.023,355.03,0.074,31.1,0.06,25.71,0.032,25.77,0.039,10.44,0.038,296.57,0.026,353.42,0.124,315.98,0.192,257.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/31/2016 18:00,11.8,130.9,-2.9,0.6,23.9,27.99,0,0,0.034,239.62,0.021,90,0.061,105.17,0.084,243.74,0.023,184.97,0.052,264.51,0.08,281.59,0.114,290.5,0.124,294.29,0.151,264.29,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/31/2016 19:00,11.8,130.7,-2.9,0.6,23.938,28.01,0,0,0.006,270,0.047,113.84,0.047,33.69,0.035,160.02,0.026,173.42,0.031,275.53,0.045,273.81,0.03,313.67,0.048,259.16,0.2,265.12,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/31/2016 20:00,11.8,130.7,-2.9,0.6,23.977,28.01,0,0,0.046,262.57,0.039,262.69,0.063,254.43,0.073,255.77,0.039,277.31,0.066,284.04,0.074,262.2,0.06,208.69,0.02,249.78,0.198,265.65,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/31/2016 21:00,11.8,130.6,-2.9,0.6,23.999,27.99,0,0,0.039,292.62,0.079,272.17,0.045,270,0.059,269.03,0.048,283.17,0.036,305.91,0.03,233.13,0.06,241.31,0.059,287.82,0.157,287.05,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/31/2016 22:00,11.8,130.6,-2.9,0.6,24.017,27.98,0,0,0.083,270,0.026,218.66,0.066,241.11,0.027,267.88,0.098,270,0.082,229.93,0.068,231.6,0.06,287.53,0.042,295.35,0.151,257.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
5/31/2016 23:00,11.8,130.6,-2.9,0.6,24.029,27.96,0,0,0.055,295.64,0.046,251.18,0.058,290.32,0.072,208.35,0.118,237.79,0.112,226.45,0.096,233.49,0.048,259.16,0.13,261.62,0.19,252.52,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 0:00,11.8,130.6,-2.9,0.6,24.026,27.93,0,0,0.08,287.53,0.09,330.02,0.048,286.93,0.023,257.2,0.1,255,0.09,238.6,0.038,268.49,0.095,250.22,0.088,256.12,0.155,279.28,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 1:00,11.8,130.7,-2.9,0.6,24.009,27.89,0,0,0.097,330.26,0.052,3.3,0.051,289.5,0.099,270,0.053,289.8,0.05,286.26,0.085,335.56,0.091,331.19,0.116,306.57,0.137,295.45,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 2:00,11.8,130.9,-2.9,0.6,23.981,27.87,0,0,0.098,341.01,0.104,357.8,0.035,346.76,0.09,326.84,0.048,289.57,0.081,271.41,0.076,249.18,0.012,9.46,0.055,343.2,0.177,281.76,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 3:00,11.8,130.8,-2.9,0.6,23.978,27.84,0,0,0.063,356.37,0.029,216.47,0.06,319.71,0.037,271.55,0.023,17.65,0.037,265.36,0.061,37.06,0.023,285.26,0.077,319.72,0.117,273.91,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 4:00,11.8,130.6,-2.9,0.6,23.966,27.82,0,0,0.021,289.29,0.064,28.97,0.102,353.78,0.12,1.91,0.071,17.93,0.076,348.69,0.06,9.62,0.026,90,0.06,42.98,0.115,267.51,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 5:00,11.8,130.9,-2.9,0.6,23.964,27.8,0,0,0.084,17.35,0.085,352.54,0.112,15.03,0.076,351.66,0.065,359.12,0.047,1.22,0.074,342.78,0.066,66.91,0.02,84.29,0.149,297.94,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 6:00,11.8,130.5,-2.9,0.6,23.976,27.79,0,0,0.047,314.14,0.008,270,0.031,238.39,0.035,45,0.062,342.15,0.058,322.73,0.076,353.99,0.165,332.97,0.071,326.53,0.146,272.74,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 7:00,11.8,130.6,-2.9,0.6,23.984,27.78,0,0,0.046,200.41,0.024,114.44,0.036,255.58,0.034,305.54,0.027,351.57,0.051,276.71,0.025,191.31,0.027,304.29,0.027,340.2,0.115,259.47,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 8:00,11.8,130.8,-2.9,0.6,24.003,27.78,0,0,0.083,240.34,0.101,264.35,0.145,251.06,0.078,258.98,0.067,270,0.079,270,0.114,258.89,0.079,270,0.086,222.63,0.204,264.65,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 9:00,11.8,130.6,-2.9,0.6,24.011,27.78,0,0,0.124,236.18,0.083,224.51,0.117,244.75,0.04,251.11,0.103,255.96,0.065,260.25,0.125,250.41,0.122,244.7,0.138,271.25,0.179,281.94,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 10:00,11.8,130.4,-2.9,0.6,24.009,27.78,0,0,0.097,248.2,0.127,228.18,0.109,202.09,0.063,220.5,0.055,220.6,0.096,249.3,0.049,300.76,0.101,240.4,0.078,255.96,0.152,247.64,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 11:00,11.8,130.9,-2.9,0.6,23.984,27.77,0,0,0.06,272.86,0.119,259.35,0.1,271.15,0.162,245.5,0.1,251.93,0.055,238.32,0.092,237,0.114,248.85,0.094,237.99,0.189,230.58,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 12:00,11.8,130.9,-2.9,0.6,23.964,27.78,0,0,0.084,267.27,0.089,245.45,0.148,251.08,0.09,240.02,0.104,237.53,0.102,244.44,0.131,247.15,0.098,241.34,0.082,247.17,0.153,234.03,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 13:00,11.8,130.7,-2.9,0.6,23.926,27.79,0,0,0.12,255.96,0.088,247.23,0.099,286.98,0.105,279.28,0.09,257.82,0.08,241.5,0.108,232.92,0.049,234.06,0.103,224.22,0.225,255.84,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 14:00,11.8,130.6,-2.9,0.6,23.9,27.8,0,0,0.036,296.57,0.069,317.34,0.074,277.03,0.081,258.55,0.095,264.59,0.074,312.8,0.069,249.73,0.079,245.38,0.055,263.77,0.145,254.81,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 15:00,11.8,130.6,-2.9,0.6,23.881,27.82,0,0,0.019,341.57,0.074,246.9,0.091,286.64,0.055,272.08,0.085,257.11,0.092,246.23,0.103,240.19,0.11,222.06,0.048,195.78,0.186,260.08,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 16:00,11.8,130.8,-2.9,0.6,23.874,27.83,0,0,0.016,273.58,0.017,10.01,0.037,12.53,0.043,299.58,0.009,282.53,0.029,271.97,0.066,261.25,0.073,290.92,0.093,245.91,0.173,247.58,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 17:00,11.8,130.9,-2.9,0.6,23.883,27.86,0,0,0.045,59.47,0.035,274.9,0.067,201.96,0.048,320.96,0.049,296.57,0.053,276.46,0.073,247.32,0.086,243.14,0.071,289.71,0.168,260.43,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 18:00,11.8,130.6,-2.9,0.6,23.913,27.78,0,0,0.062,101.13,0.079,94.34,0.074,115.53,0.04,267.14,0.05,302.74,0.017,310.24,0.088,252.18,0.107,270,0.095,322.28,0.138,269.17,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 19:00,11.8,130.9,-2.9,0.6,23.954,27.77,0,0,0.042,47.91,0.067,157.25,0.063,200.45,0.058,202.17,0.078,251.33,0.067,241.53,0.052,273.3,0.062,253.03,0.088,224.54,0.134,232.28,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 20:00,11.8,130.7,-2.9,0.6,24.007,27.81,0,0,0.01,246.04,0.06,186.65,0.087,225.47,0.106,258.06,0.096,225,0.073,211.5,0.08,217.87,0.067,212.28,0.075,261.54,0.256,239.42,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 21:00,11.8,130.7,-2.9,0.6,24.035,27.82,0,0,0.098,220.86,0.093,229.8,0.11,241.81,0.101,242.16,0.104,241.21,0.145,245.56,0.095,236.65,0.147,241.51,0.072,231.22,0.222,248.87,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 22:00,11.8,130.7,-2.9,0.6,24.08,27.89,0,0,0.093,201.35,0.042,227.91,0.06,221.63,0.151,247,0.101,232.22,0.124,233.5,0.116,240.56,0.143,239.31,0.139,237.91,0.214,230.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/1/2016 23:00,11.8,130.7,-2.9,0.6,24.092,27.91,0,0,0.09,217.76,0.055,182.08,0.043,219.29,0.101,252.65,0.091,224.56,0.11,239.48,0.126,247.1,0.162,248.99,0.149,242.92,0.171,245.83,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
6/2/2016 0:00,11.8,130.8,-2.9,0.6,24.082,27.91,0,0,0.064,237.8,0.096,214.35,0.128,201.97,0.105,187.13,0.095,245.85,0.104,243.68,0.118,248.2,0.111,245.05,0.123,228.95,0.223,239.52,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
