DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(2.5m),Dir#1(2.5m),Speed#2(4.5m),Dir#2(4.5m),Speed#3(6.5m),Dir#3(6.5m),Speed#4(8.5m),Dir#4(8.5m),Speed#5(10.5m),Dir#5(10.5m),Speed#6(12.5m),Dir#6(12.5m),Speed#7(14.5m),Dir#7(14.5m),Speed#8(16.5m),Dir#8(16.5m),Speed#9(18.5m),Dir#9(18.5m),Speed#10(20.5m),Dir#10(20.5m),Speed#11(22.5m),Dir#11(22.5m),Speed#12(24.5m),Dir#12(24.5m),Speed#13(26.5m),Dir#13(26.5m),Speed#14(28.5m),Dir#14(28.5m),Speed#15(30.5m),Dir#15(30.5m),Speed#16(32.5m),Dir#16(32.5m),Speed#17(34.5m),Dir#17(34.5m),Speed#18(36.5m),Dir#18(36.5m),Speed#19(38.5m),Dir#19(38.5m),Speed#20(40.5m),Dir#20(40.5m),
12/9/2016 15:00:00, 11.8,230.4,-50.3, 50.4,  0.054, 28.54,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/9/2016 16:00:00, 11.8,225.5,-50.3, 50.3,  0.066, 28.22,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/9/2016 17:00:00, 11.8,230.8,-50.3, 50.4,  0.064, 28.29,  0.0,  0.0,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/9/2016 18:00:00, 11.8,336.6, -1.1,  6.8, 23.736, 28.54,  0.0,  0.0,  0.017, 190.01,  0.037, 222.80,  0.046, 155.66,  0.019, 108.43,  0.007, 123.69,  0.032, 241.82,  0.035, 295.11,  0.020, 281.31,  0.051, 304.62,  0.297, 239.63,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/9/2016 19:00:00, 11.8,336.4, -1.1,  6.6, 23.763, 28.34,  0.0,  0.0,  0.072, 202.99,  0.066, 219.47,  0.099, 176.53,  0.043, 212.57,  0.067, 208.47,  0.053, 238.11,  0.092, 268.13,  0.055, 272.08,  0.093, 261.96,  0.339, 215.38,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/9/2016 20:00:00, 11.8,336.4, -1.1,  6.6, 23.781, 28.33,  0.0,  0.0,  0.128, 196.31,  0.071, 180.81,  0.049, 201.37,  0.061, 207.41,  0.085, 216.87,  0.087, 270.00,  0.104, 260.63,  0.143, 256.26,  0.147, 248.49,  0.380, 228.52,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/9/2016 21:00:00, 11.8,336.4, -1.1,  6.6, 23.782, 28.33,  0.0,  0.0,  0.120, 199.94,  0.130, 213.69,  0.107, 214.73,  0.062, 235.54,  0.134, 244.78,  0.097, 230.04,  0.102, 253.52,  0.119, 262.76,  0.059, 258.31,  0.319, 218.13,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/9/2016 22:00:00, 11.8,336.5, -1.1,  6.6, 23.772, 28.33,  0.0,  0.0,  0.067, 209.64,  0.135, 225.90,  0.122, 204.25,  0.137, 204.51,  0.113, 237.99,  0.144, 238.97,  0.158, 259.40,  0.164, 255.88,  0.099, 253.58,  0.376, 207.04,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/9/2016 23:00:00, 11.8,336.5, -1.0,  6.6, 23.757, 28.28,  0.0,  0.0,  0.132, 176.96,  0.137, 186.29,  0.124, 198.29,  0.101, 228.60,  0.124, 262.59,  0.126, 258.06,  0.119, 276.29,  0.125, 270.00,  0.104, 252.61,  0.401, 207.14,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
12/10/2016 00:00:00, 11.8,336.5, -1.1,  6.6, 23.735, 28.28,  0.0,  0.0,  0.076, 176.24,  0.073, 187.13,  0.080, 211.70,  0.099, 237.75,  0.106, 240.05,  0.136, 243.25,  0.153, 258.69,  0.139, 273.70,  0.101, 259.14,  0.378, 195.99,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
