DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),
5/29/2009 18:00:00, 11.9,117.3,  1.6, -4.4, 16.616, 27.73,  0.0,  0.0,  0.066, 306.35,  0.058, 246.54,  0.010, 163.30,  0.015, 270.00,  0.052,  59.04,  0.036, 234.09,  0.039, 201.25,  0.043, 222.18,  0.009, 130.60,  0.036, 274.76,  0.025, 205.56,  0.055, 165.20,  0.054, 148.67,  0.101, 231.43,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/29/2009 19:00:00, 11.9,117.3,  1.6, -4.4, 16.619, 27.67,  0.0,  0.0,  0.110, 244.60,  0.043,  87.34,  0.048, 198.06,  0.032, 181.79,  0.030,  11.69,  0.045, 347.20,  0.023,  45.00,  0.039, 184.40,  0.038, 117.90,  0.052, 305.54,  0.047,  27.65,  0.038, 237.99,  0.042, 236.69,  0.145, 268.03,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/29/2009 20:00:00, 11.9,117.4,  1.6, -4.4, 16.667, 27.58,  0.0,  0.0,  0.041, 105.38,  0.061,  26.15,  0.087,  58.70,  0.031,  22.48,  0.018, 247.62,  0.049, 189.46,  0.069, 180.00,  0.103, 273.33,  0.052, 201.60,  0.039, 174.14,  0.013, 167.01,  0.033, 201.16,  0.058, 251.88,  0.213, 247.40,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/29/2009 21:00:00, 11.9,117.4,  1.6, -4.4, 16.712, 27.28,  0.0,  0.0,  0.084,  74.15,  0.021, 112.83,  0.034, 100.30,  0.108, 352.02,  0.011,   0.00,  0.030,  25.71,  0.017,  66.37,  0.082, 231.45,  0.070, 231.98,  0.043, 240.42,  0.060, 188.67,  0.090, 216.87,  0.076, 163.95,  0.129, 238.65,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/29/2009 22:00:00, 11.9,117.4,  1.6, -4.4, 16.751, 27.48,  0.0,  0.0,  0.029,   5.91,  0.036, 249.08,  0.025, 238.24,  0.069, 241.59,  0.045, 206.57,  0.036, 271.59,  0.036, 266.82,  0.072, 160.56,  0.064, 122.95,  0.067, 234.66,  0.064, 212.95,  0.030, 221.01,  0.052, 217.97,  0.140, 237.22,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/29/2009 23:00:00, 11.9,117.4,  1.6, -4.4, 16.792, 27.59,  0.0,  0.0,  0.074, 297.26,  0.032,  88.21,  0.019,  11.89,  0.032,  29.74,  0.013, 138.01,  0.041, 143.97,  0.096, 177.02,  0.015, 118.30,  0.016, 111.80,  0.011, 206.57,  0.099, 187.56,  0.070, 176.73,  0.070, 146.08,  0.131, 212.84,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 00:00:00, 11.9,117.4,  1.6, -4.4, 16.852, 27.35,  0.0,  0.0,  0.036, 273.18,  0.040,  18.89,  0.020,  92.86,  0.020, 197.53,  0.065, 143.13,  0.022, 180.00,  0.040, 261.47,  0.072, 153.79,  0.070, 210.96,  0.050, 192.65,  0.072, 184.76,  0.064, 184.47,  0.045, 213.34,  0.094, 220.27,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 01:00:00, 11.9,117.3,  1.6, -4.4, 16.856, 27.26,  0.0,  0.0,  0.035, 276.52,  0.054, 188.58,  0.035, 210.96,  0.017, 246.37,  0.006, 128.66,  0.054, 142.50,  0.045, 214.05,  0.051, 275.60,  0.064, 150.26,  0.025, 156.50,  0.057, 153.89,  0.031, 180.00,  0.035, 203.63,  0.073, 245.88,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 02:00:00, 11.9,117.2,  1.6, -4.4, 16.847, 27.64,  0.0,  0.0,  0.020, 284.74,  0.061, 231.63,  0.037, 162.55,  0.076, 126.42,  0.066, 255.12,  0.091, 202.62,  0.043, 149.26,  0.044, 142.35,  0.046, 180.00,  0.087, 172.06,  0.063, 156.68,  0.051, 210.58,  0.071, 188.93,  0.041, 204.68,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 03:00:00, 11.9,117.3,  1.6, -4.4, 16.840, 27.65,  0.0,  0.0,  0.030, 320.44,  0.007, 351.87,  0.021,  87.27,  0.049, 233.37,  0.034, 256.37,  0.006, 170.54,  0.060, 143.13,  0.057, 103.07,  0.039,  88.53,  0.018, 153.43,  0.028, 108.43,  0.035, 293.63,  0.004,   0.00,  0.057, 181.01,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 04:00:00, 11.9,117.3,  1.6, -4.4, 16.808, 27.65,  0.0,  0.0,  0.052, 151.48,  0.051,  56.93,  0.034,  45.00,  0.035, 178.36,  0.019,  90.00,  0.023, 131.42,  0.065,  34.42,  0.001,  45.00,  0.015,  11.31,  0.031,  93.69,  0.033, 131.35,  0.060,  97.72,  0.052, 196.70,  0.139, 233.79,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 05:00:00, 11.9,117.3,  1.6, -4.4, 16.787, 27.63,  0.0,  0.0,  0.045, 270.00,  0.052,  74.36,  0.047,  64.54,  0.050, 331.39,  0.026,  90.00,  0.036,  41.63,  0.011, 138.81,  0.066, 102.15,  0.042,  70.71,  0.046,  73.54,  0.038,  83.99,  0.064,  48.14,  0.025,  92.29,  0.051, 233.81,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 06:00:00, 11.9,117.3,  1.6, -4.4, 16.747, 27.63,  0.0,  0.0,  0.052, 249.83,  0.016, 180.00,  0.035,  91.64,  0.040,  58.30,  0.064,  94.47,  0.040,  98.53,  0.065, 158.20,  0.044, 178.70,  0.031,  99.16,  0.049, 120.76,  0.024, 247.75,  0.030, 214.22,  0.048, 245.56,  0.139, 267.53,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 07:00:00, 11.9,117.2,  1.6, -4.4, 16.715, 27.63,  0.0,  0.0,  0.019,  78.11,  0.044, 177.40,  0.068, 232.13,  0.005, 348.69,  0.047, 234.61,  0.022, 159.15,  0.047, 212.01,  0.074, 172.20,  0.042, 185.44,  0.078, 145.91,  0.053, 146.61,  0.014, 180.00,  0.033, 185.19,  0.171, 254.01,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 08:00:00, 11.9,117.2,  1.6, -4.4, 16.687, 27.64,  0.0,  0.0,  0.108, 132.38,  0.080, 144.71,  0.024, 286.93,  0.039,  90.00,  0.021,   5.44,  0.025, 223.36,  0.030, 279.46,  0.027, 182.12,  0.037, 157.62,  0.054, 174.71,  0.040, 212.91,  0.090, 220.95,  0.045, 198.03,  0.192, 271.49,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 09:00:00, 11.9,117.2,  1.6, -4.4, 16.675, 27.62,  0.0,  0.0,  0.061, 345.74,  0.076, 328.39,  0.052, 348.91,  0.013, 241.39,  0.091, 105.26,  0.067, 135.60,  0.020, 258.69,  0.008,  29.74,  0.061, 186.55,  0.048, 114.44,  0.061, 138.99,  0.031, 137.60,  0.078, 137.08,  0.125, 221.75,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 10:00:00, 11.9,117.3,  1.6, -4.4, 16.656, 27.65,  0.0,  0.0,  0.053, 199.80,  0.031, 149.35,  0.002, 206.57,  0.059, 138.45,  0.104,  69.83,  0.035, 161.57,  0.091, 222.78,  0.069, 176.68,  0.037, 169.00,  0.044, 201.32,  0.089, 244.87,  0.053, 152.95,  0.016, 206.57,  0.029, 249.68,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 11:00:00, 11.9,117.2,  1.6, -4.4, 16.657, 27.69,  0.0,  0.0,  0.059, 229.82,  0.067, 252.65,  0.060, 215.54,  0.029, 255.96,  0.038, 259.29,  0.013, 221.99,  0.024, 152.35,  0.036, 195.95,  0.075, 247.20,  0.079, 191.74,  0.064, 196.44,  0.035, 223.83,  0.086, 227.82,  0.085, 263.96,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 12:00:00, 11.9,117.3,  1.6, -4.4, 16.666, 27.70,  0.0,  0.0,  0.013,  51.34,  0.082, 220.07,  0.112, 242.98,  0.076, 234.64,  0.120, 184.29,  0.100, 167.35,  0.077, 174.81,  0.086, 208.35,  0.135, 151.15,  0.104, 173.35,  0.120, 204.21,  0.112, 215.54,  0.090, 229.95,  0.151, 334.11,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
5/30/2009 13:00:00, 11.9,117.5,  1.6, -4.4, 16.659, 27.72,  0.0,  0.0,  0.034, 204.30,  0.077, 186.75,  0.043, 270.00,  0.066, 220.70,  0.116, 196.56,  0.122, 172.00,  0.105, 173.96,  0.097, 169.27,  0.097, 148.93,  0.125, 153.85,  0.073, 150.26,  0.048, 175.24,  0.089, 201.68,  0.172, 337.77,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
