DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),
8/21/2008 18:00:00, 11.8,165.9,  5.3, -0.8, 16.836, 29.35,  0.0,  0.0,  0.103,  24.58,  0.060, 312.98,  0.016,  39.81,  0.070,  94.90,  0.022,  79.70,  0.020, 139.09,  0.042, 114.10,  0.002, 243.43,  0.013, 302.47,  0.055,  77.47,  0.038, 106.99,  0.038, 166.33,  0.050, 164.85,  0.120, 182.86,-99.000, -99.00,
8/21/2008 19:00:00, 11.8,165.8,  5.3, -0.8, 16.848, 29.31,  0.0,  0.0,  0.018, 220.60,  0.061, 164.83,  0.035,  73.61,  0.045, 321.34,  0.036,  72.07,  0.054,   1.06,  0.064,  24.96,  0.065,  92.64,  0.013, 151.39,  0.032,  33.69,  0.033, 178.26,  0.016, 150.26,  0.022, 114.23,  0.136, 222.61,-99.000, -99.00,
8/21/2008 20:00:00, 11.8,165.8,  5.3, -0.8, 16.856, 29.30,  0.0,  0.0,  0.047,  60.71,  0.029,  29.25,  0.058,  38.66,  0.023, 235.62,  0.034,   8.37,  0.018,  45.00,  0.059,  73.11,  0.054, 143.34,  0.018, 176.82,  0.061,  91.88,  0.026,  69.44,  0.054,   5.29,  0.041,   8.33,  0.047, 256.55,-99.000, -99.00,
8/21/2008 21:00:00, 11.8,165.8,  5.2, -0.8, 16.864, 29.30,  0.0,  0.0,  0.012,  75.96,  0.094,  86.35,  0.020,  66.04,  0.043, 147.43,  0.070, 103.24,  0.009,  71.57,  0.025, 357.71,  0.077,  39.24,  0.079,  88.55,  0.088, 103.88,  0.047,  45.00,  0.042,  21.04,  0.029,  59.04,  0.072, 218.78,-99.000, -99.00,
8/21/2008 22:00:00, 11.8,165.9,  5.2, -0.7, 16.874, 29.33,  0.0,  0.0,  0.062, 147.60,  0.054,  46.51,  0.074,  90.00,  0.056,  48.62,  0.050,   2.29,  0.015,  90.00,  0.037, 169.00,  0.051,  57.88,  0.041,  84.43,  0.071, 107.16,  0.077, 104.22,  0.031, 116.57,  0.019,  74.48,  0.049, 211.76,-99.000, -99.00,
8/21/2008 23:00:00, 11.8,165.9,  5.3, -0.8, 16.888, 29.28,  0.0,  0.0,  0.042, 338.96,  0.061, 356.25,  0.021,  70.71,  0.029,  59.04,  0.045, 135.91,  0.044,  18.43,  0.019,  78.11,  0.024, 119.74,  0.028,  75.47,  0.051,  38.66,  0.036,  62.02,  0.034,  60.46,  0.032,   0.00,  0.126, 180.00,-99.000, -99.00,
8/22/2008 00:00:00, 11.8,165.9,  5.3, -0.8, 16.845, 29.22,  0.0,  0.0,  0.022, 153.43,  0.057, 225.00,  0.026,  17.74,  0.031, 222.40,  0.028, 165.47,  0.022, 144.16,  0.016,  82.87,  0.016,  45.00,  0.019, 341.57,  0.026,  92.20,  0.037, 329.30,  0.041, 357.21,  0.010, 180.00,  0.153, 178.50,-99.000, -99.00,
8/22/2008 01:00:00, 11.8,165.8,  5.2, -0.7, 16.813, 29.19,  0.0,  0.0,  0.047,  39.81,  0.032, 245.85,  0.106, 283.12,  0.031, 256.87,  0.025, 333.43,  0.014,  77.91,  0.022,  71.57,  0.004, 116.57,  0.051, 303.07,  0.050,  15.15,  0.021,   2.73,  0.010,  60.95,  0.024,  65.56,  0.090, 207.70,-99.000, -99.00,
8/22/2008 02:00:00, 11.8,165.9,  5.2, -0.7, 16.781, 29.10,  0.0,  0.0,  0.011, 303.69,  0.034, 263.29,  0.047, 131.53,  0.064, 253.56,  0.017, 256.76,  0.006, 170.54,  0.075,  83.07,  0.044,   2.60,  0.014, 287.10,  0.006, 180.00,  0.019, 295.20,  0.046, 265.03,  0.043, 217.41,  0.037, 259.00,-99.000, -99.00,
8/22/2008 03:00:00, 11.8,165.9,  5.3, -0.8, 16.750, 29.22,  0.0,  0.0,  0.040, 194.38,  0.046, 242.88,  0.110, 235.73,  0.036, 170.27,  0.063, 147.32,  0.051, 119.05,  0.056, 102.31,  0.060, 332.15,  0.047, 262.72,  0.028, 295.64,  0.038, 318.24,  0.003,   0.00,  0.023, 197.65,  0.119, 181.93,-99.000, -99.00,
