DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(0.7m),Dir#1(0.7m),Speed#2(1.2m),Dir#2(1.2m),Speed#3(1.7m),Dir#3(1.7m),Speed#4(2.2m),Dir#4(2.2m),Speed#5(2.7m),Dir#5(2.7m),Speed#6(3.2m),Dir#6(3.2m),Speed#7(3.7m),Dir#7(3.7m),Speed#8(4.2m),Dir#8(4.2m),Speed#9(4.7m),Dir#9(4.7m),Speed#10(5.2m),Dir#10(5.2m),Speed#11(5.7m),Dir#11(5.7m),Speed#12(6.2m),Dir#12(6.2m),Speed#13(6.7m),Dir#13(6.7m),Speed#14(7.2m),Dir#14(7.2m),Speed#15(7.7m),Dir#15(7.7m),Speed#16(8.2m),Dir#16(8.2m),Speed#17(8.7m),Dir#17(8.7m),Speed#18(9.2m),Dir#18(9.2m),Speed#19(9.7m),Dir#19(9.7m),Speed#20(10.2m),Dir#20(10.2m),
7/11/2008 14:00:00, 11.9,115.5,  3.7, -3.9,  8.860, 28.07,  0.0,  0.0,  0.310, 254.08,  0.334, 249.28,  0.344, 256.04,  0.358, 255.61,  0.372, 253.76,  0.336, 256.58,  0.331, 259.57,  0.289, 259.62,  0.271, 264.71,  0.271, 266.40,  0.209, 266.99,  0.180, 267.46,  0.149, 266.93,  0.094, 277.96,  0.166, 273.10,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
7/11/2008 14:05:00, 11.9,115.5,  3.7, -3.8,  8.867, 28.02,  0.0,  0.0,  0.227, 276.84,  0.294, 265.51,  0.287, 254.85,  0.307, 254.88,  0.368, 260.31,  0.348, 257.56,  0.342, 250.72,  0.358, 249.89,  0.366, 255.58,  0.376, 259.59,  0.385, 259.22,  0.346, 260.51,  0.294, 262.59,  0.274, 256.93,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
7/11/2008 14:10:00, 11.9,115.4,  3.7, -3.8,  8.865, 27.94,  0.0,  0.0,  0.214, 249.79,  0.233, 259.61,  0.305, 258.65,  0.259, 249.47,  0.321, 245.91,  0.338, 249.74,  0.353, 251.00,  0.396, 248.55,  0.414, 257.31,  0.454, 258.05,  0.431, 257.93,  0.375, 258.15,  0.368, 254.38,  0.455, 254.07,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
7/11/2008 14:15:00, 11.9,115.4,  3.7, -3.8,  8.883, 27.89,  0.0,  0.0,  0.241, 245.24,  0.347, 260.70,  0.322, 257.64,  0.320, 251.79,  0.357, 254.72,  0.377, 256.66,  0.412, 257.38,  0.386, 255.75,  0.451, 252.85,  0.425, 255.41,  0.419, 258.15,  0.390, 257.25,  0.349, 251.46,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
7/11/2008 14:20:00, 11.9,115.4,  3.7, -3.8,  8.883, 27.87,  0.0,  0.0,  0.314, 261.59,  0.330, 261.62,  0.348, 259.40,  0.363, 263.36,  0.428, 259.77,  0.435, 261.40,  0.428, 259.77,  0.423, 257.15,  0.369, 259.70,  0.334, 258.59,  0.283, 252.97,  0.288, 245.13,  0.195, 242.91,-99.000, -99.00,  0.168, 269.32,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
7/11/2008 14:25:00, 11.9,115.4,  3.7, -3.8,  8.878, 27.90,  0.0,  0.0,  0.243, 264.10,  0.306, 261.55,  0.349, 265.07,  0.383, 269.55,  0.431, 263.07,  0.437, 261.98,  0.445, 262.64,  0.430, 259.29,  0.467, 253.58,  0.425, 250.50,  0.370, 253.67,  0.330, 251.62,  0.272, 246.83,  0.199, 263.95,  0.198, 280.46,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
7/11/2008 14:30:00, 11.9,115.4,  3.7, -3.8,  8.875, 27.92,  0.0,  0.0,  0.117, 265.11,  0.199, 263.09,  0.221, 258.54,  0.265, 263.71,  0.286, 261.95,  0.367, 262.64,  0.354, 265.14,  0.396, 264.64,  0.406, 261.93,  0.419, 261.64,  0.433, 261.63,  0.481, 258.36,  0.454, 257.01,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
7/11/2008 14:35:00, 11.9,115.5,  3.8, -3.8,  8.868, 27.92,  0.0,  0.0,  0.200, 251.29,  0.223, 253.35,  0.326, 263.14,  0.351, 266.89,  0.400, 259.78,  0.416, 263.10,  0.438, 263.70,  0.443, 260.52,  0.475, 262.14,  0.462, 257.74,  0.433, 258.15,  0.487, 254.88,  0.469, 255.16,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
7/11/2008 14:40:00, 11.9,115.5,  3.7, -3.8,  8.869, 27.96,  0.0,  0.0,  0.294, 265.12,  0.293, 261.57,  0.365, 270.47,  0.391, 263.84,  0.399, 269.57,  0.401, 267.29,  0.382, 264.29,  0.399, 264.96,  0.388, 266.01,  0.402, 262.27,  0.426, 259.72,  0.453, 260.85,  0.487, 262.34,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
7/11/2008 14:45:00, 11.9,115.4,  3.7, -3.8,  8.881, 27.94,  0.0,  0.0,  0.228, 271.76,  0.309, 267.96,  0.331, 271.21,  0.393, 268.83,  0.380, 263.04,  0.377, 265.14,  0.353, 263.66,  0.408, 260.98,  0.425, 262.02,  0.444, 263.79,  0.450, 260.14,  0.475, 257.22,  0.414, 257.31,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
