DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m),
2/17/2011 20:00:00, 11.9,279.6, -0.4, -7.7, 24.607, 26.34,  0.0,  0.0,  0.318, 307.34,  0.341, 303.04,  0.284, 304.98,  0.233, 299.32,  0.281, 297.75,  0.312, 294.19,  0.302, 305.85,  0.333, 301.73,  0.329, 300.93,  0.359, 299.92,  0.415, 298.48,  0.371, 300.30,  0.359, 302.50,  0.404, 305.03,  0.385, 295.03,  0.373, 292.37,  0.418, 301.41,  0.444, 301.18,  0.402, 303.33,  0.356, 286.14,  0.543, 294.16,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/17/2011 21:00:00, 11.9,279.5, -0.5, -7.6, 24.636, 26.44,  0.0,  0.0,  0.248, 322.71,  0.239, 300.10,  0.193, 297.76,  0.202, 295.55,  0.288, 297.28,  0.277, 304.72,  0.267, 307.56,  0.270, 298.56,  0.308, 285.61,  0.251, 291.55,  0.299, 292.19,  0.315, 300.56,  0.309, 297.40,  0.257, 301.96,  0.305, 309.69,  0.401, 306.18,  0.343, 295.74,  0.397, 302.77,  0.360, 305.06,  0.281, 293.28,  0.570, 306.01,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/17/2011 22:00:00, 11.9,279.6, -0.4, -7.5, 24.687, 26.46,  0.0,  0.0,  0.317, 311.93,  0.195, 302.22,  0.255, 293.55,  0.176, 283.48,  0.255, 289.00,  0.199, 302.89,  0.197, 293.58,  0.167, 306.25,  0.189, 299.14,  0.183, 294.60,  0.214, 303.39,  0.194, 306.63,  0.230, 298.35,  0.209, 285.83,  0.180, 283.50,  0.160, 287.87,  0.213, 290.65,  0.211, 291.95,  0.166, 291.16,  0.234, 292.07,  0.504, 301.86,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/17/2011 23:00:00, 11.9,279.5, -0.4, -7.4, 24.738, 26.45,  0.0,  0.0,  0.052,   0.00,  0.049, 305.94,  0.034, 288.97,  0.069, 346.57,  0.136, 284.04,  0.012, 284.04,  0.059, 310.18,  0.130, 295.97,  0.107, 299.68,  0.078, 342.03,  0.049, 312.51,  0.093, 273.08,  0.050, 274.57,  0.057, 279.13,  0.054, 307.50,  0.052, 313.45,  0.008, 330.26,  0.048, 332.90,  0.036, 335.56,  0.120, 317.37,  0.351, 301.61,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/18/2011 00:00:00, 11.9,279.6, -0.4, -7.4, 24.744, 26.44,  0.0,  0.0,  0.077,  26.90,  0.153, 132.35,  0.152, 117.92,  0.144, 104.52,  0.088, 120.07,  0.118, 116.78,  0.117, 135.35,  0.167, 134.51,  0.074, 144.37,  0.072, 161.31,  0.136, 157.57,  0.136, 139.76,  0.122, 130.35,  0.146, 124.12,  0.169, 128.98,  0.130, 122.10,  0.123, 106.52,  0.102, 142.57,  0.091, 133.21,  0.052,  36.43,  0.099, 270.58,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/18/2011 01:00:00, 11.9,279.6, -0.4, -7.4, 24.738, 26.44,  0.0,  0.0,  0.152, 107.24,  0.119, 101.12,  0.209, 132.09,  0.208, 115.58,  0.154, 121.73,  0.204, 128.44,  0.237, 130.89,  0.219, 126.09,  0.224, 125.18,  0.249, 123.05,  0.262, 120.29,  0.206, 119.30,  0.222, 131.72,  0.273, 132.03,  0.212, 127.73,  0.192, 123.52,  0.276, 124.21,  0.252, 132.43,  0.187, 119.44,  0.137,  50.62,  0.095, 299.82,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/18/2011 02:00:00, 11.9,279.6, -0.4, -7.3, 24.687, 26.43,  0.0,  0.0,  0.253, 128.09,  0.313, 120.34,  0.210, 121.34,  0.267, 127.39,  0.281, 126.75,  0.332, 120.43,  0.349, 125.92,  0.359, 120.64,  0.373, 120.41,  0.327, 119.85,  0.361, 122.54,  0.306, 120.42,  0.330, 115.87,  0.269, 111.60,  0.280, 115.19,  0.295, 122.83,  0.324, 113.48,  0.365, 115.79,  0.302, 108.56,  0.176,  78.18,  0.060, 135.67,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/18/2011 03:00:00, 11.9,279.6, -0.4, -7.3, 24.642, 26.42,  0.0,  0.0,  0.180, 102.88,  0.156, 127.97,  0.269, 124.87,  0.225, 123.76,  0.227, 120.18,  0.237, 123.49,  0.203, 133.60,  0.244, 146.38,  0.261, 140.14,  0.292, 123.96,  0.286, 124.30,  0.308, 127.09,  0.293, 129.45,  0.257, 133.90,  0.210, 121.57,  0.326, 126.27,  0.304, 129.93,  0.274, 127.29,  0.206, 122.92,  0.113,  42.48,  0.040, 211.70,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/18/2011 04:00:00, 11.9,279.7, -0.4, -7.3, 24.580, 26.41,  0.0,  0.0,  0.129, 115.18,  0.144, 146.64,  0.182, 128.32,  0.143, 117.46,  0.170, 117.62,  0.167, 128.18,  0.236, 103.21,  0.229, 109.94,  0.215, 119.18,  0.187, 118.76,  0.242, 115.72,  0.218, 121.87,  0.238, 123.16,  0.219, 134.26,  0.234, 129.81,  0.206, 131.05,  0.171, 135.47,  0.192, 135.21,  0.135, 110.85,  0.092,  60.10,  0.126, 237.95,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
2/18/2011 05:00:00, 11.9,279.7, -0.4, -7.3, 24.537, 26.40,  0.0,  0.0,  0.048,  14.62,  0.055,  67.62,  0.073, 138.89,  0.045, 101.56,  0.070, 202.56,  0.035, 136.17,  0.073, 109.92,  0.061, 111.10,  0.056, 109.72,  0.097, 113.66,  0.079, 108.43,  0.095, 109.01,  0.161, 131.22,  0.122, 137.32,  0.069, 116.57,  0.110, 113.54,  0.108, 127.08,  0.081, 125.46,  0.060,  44.33,  0.118,  24.61,  0.189, 311.36,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,-99.000, -99.00,
