DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m)
8/4/2010 17:00,11.8,182.9,-4,3.9,23.49,29.53,0,0,0.17,60.72,0.151,94.95,0.1,90,0.016,68.2,0.076,75.6,0.115,105.12,0.103,66.43,0.125,109.59,0.083,95.51,0.106,58.85,0.136,64.75,0.136,57.95,0.162,68.99,0.142,63.62,0.146,80.15,0.171,87.66,0.135,71.03,0.122,68.29,0.1,73.19,0.155,148.97,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/4/2010 18:00,11.8,182.9,-4.1,3.8,23.524,29.54,0,0,0.107,207.28,0.179,101.25,0.202,126.13,0.211,138.07,0.185,135.87,0.226,133.57,0.217,132.38,0.198,137.05,0.205,134.21,0.211,131.16,0.215,133.87,0.232,130.98,0.264,117.05,0.297,124.01,0.267,129.06,0.199,117.46,0.211,109.12,0.23,112.22,0.253,120.11,0.286,140.53,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/4/2010 19:00,11.8,182.9,-4,3.9,23.565,29.54,0,0,0.2,155.1,0.281,120.3,0.262,131.12,0.274,131.3,0.268,133.04,0.299,139.34,0.301,140.39,0.352,143.55,0.353,137.18,0.332,134.76,0.319,133.86,0.357,134.43,0.392,135.93,0.402,135.2,0.39,131.99,0.392,136.24,0.38,139.91,0.392,140.91,0.399,135,0.402,129.95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/4/2010 20:00,11.8,182.9,-4,3.9,23.582,29.36,0,0,0.352,161.62,0.333,142.82,0.409,153.75,0.471,148.1,0.518,151.26,0.545,143.42,0.537,148.47,0.566,147.86,0.603,154.16,0.617,154.97,0.663,150.46,0.612,150.88,0.622,147.61,0.605,144.76,0.523,144.88,0.499,148.03,0.522,148.72,0.491,148.58,0.487,142.17,0.508,142.36,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/4/2010 21:00,11.8,182.9,-4.1,3.9,23.563,29.09,0,0,0.51,139.94,0.598,140.77,0.559,147.05,0.671,146,0.717,148.17,0.661,146.72,0.606,141.56,0.602,142.35,0.644,148.98,0.603,146.02,0.581,146.45,0.642,145.22,0.677,146.69,0.714,151.86,0.731,151.65,0.73,148.9,0.731,149.22,0.729,154.07,0.774,159.27,0.814,154.54,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/4/2010 22:00,11.8,182.9,-4,3.9,23.59,28.64,0,0,0.484,121.23,0.466,146.38,0.49,145.47,0.573,154.24,0.609,151.58,0.563,147.04,0.627,148.11,0.656,153.55,0.668,153.78,0.615,154.06,0.56,155.95,0.522,164.45,0.539,168,0.482,164.46,0.399,169.17,0.359,173.29,0.369,170.95,0.389,170.39,0.362,173.01,0.351,170.99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/4/2010 23:00,11.8,182.9,-4,3.8,23.578,28.63,0,0,0.268,120.01,0.203,142.79,0.308,147.6,0.353,147.48,0.384,147.35,0.31,151.95,0.324,164.42,0.323,162.52,0.307,159.62,0.302,165.83,0.325,178.24,0.314,186.4,0.247,179.07,0.192,168.28,0.159,172.43,0.135,199.91,0.126,237.32,0.161,253.37,0.143,259.95,0.1,170.26,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/5/2010 0:00,11.8,182.9,-4,3.9,23.57,28.59,0,0,0.208,131.5,0.219,143.18,0.177,146.31,0.163,165.11,0.102,154.44,0.143,183.2,0.058,169.08,0.053,235.71,0.075,250.6,0.061,248.9,0.119,268.07,0.195,270,0.215,276.96,0.216,284.23,0.243,288.73,0.302,296.99,0.329,294.23,0.407,296.38,0.454,285.32,0.321,282.61,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/5/2010 1:00,11.8,183,-4,3.8,23.549,28.66,0,0,0.071,77.74,0.107,120.87,0.079,73.86,0.066,334.98,0.088,288.64,0.177,314.08,0.135,320.41,0.252,307.74,0.271,309.45,0.317,305.1,0.362,304.08,0.385,303.44,0.405,302.2,0.486,303.17,0.532,304.74,0.584,303.34,0.619,303.54,0.601,302.76,0.571,300.52,0.409,296.25,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8/5/2010 2:00,11.8,182.9,-4,3.9,23.534,28.64,0,0,0.439,21.66,0.202,331.91,0.298,335.84,0.27,328.02,0.352,336.42,0.374,330.56,0.422,332.65,0.483,328.71,0.469,330.76,0.524,333.34,0.582,331.59,0.641,323.43,0.668,322.67,0.689,320.18,0.655,314.88,0.7,310.19,0.735,308.37,0.726,306.54,0.685,307.47,0.536,317.04,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
