DateTime,Battery,Heading,Pitch,Roll,Pressure,Temperature,AnalogIn1,AnalogIn2,Speed#1(1.5m),Dir#1(1.5m),Speed#2(2.5m),Dir#2(2.5m),Speed#3(3.5m),Dir#3(3.5m),Speed#4(4.5m),Dir#4(4.5m),Speed#5(5.5m),Dir#5(5.5m),Speed#6(6.5m),Dir#6(6.5m),Speed#7(7.5m),Dir#7(7.5m),Speed#8(8.5m),Dir#8(8.5m),Speed#9(9.5m),Dir#9(9.5m),Speed#10(10.5m),Dir#10(10.5m),Speed#11(11.5m),Dir#11(11.5m),Speed#12(12.5m),Dir#12(12.5m),Speed#13(13.5m),Dir#13(13.5m),Speed#14(14.5m),Dir#14(14.5m),Speed#15(15.5m),Dir#15(15.5m),Speed#16(16.5m),Dir#16(16.5m),Speed#17(17.5m),Dir#17(17.5m),Speed#18(18.5m),Dir#18(18.5m),Speed#19(19.5m),Dir#19(19.5m),Speed#20(20.5m),Dir#20(20.5m),Speed#21(21.5m),Dir#21(21.5m),Speed#22(22.5m),Dir#22(22.5m),Speed#23(23.5m),Dir#23(23.5m),Speed#24(24.5m),Dir#24(24.5m),Speed#25(25.5m),Dir#25(25.5m),Speed#26(26.5m),Dir#26(26.5m),Speed#27(27.5m),Dir#27(27.5m),Speed#28(28.5m),Dir#28(28.5m),Speed#29(29.5m),Dir#29(29.5m),Speed#30(30.5m),Dir#30(30.5m)
3/5/2010 22:00,11.9,195.7,-0.8,0.7,24.207,27.59,0,0,0.066,257.66,0.067,115.8,0.119,133.64,0.043,152.24,0.085,113.55,0.112,114.74,0.098,127.93,0.103,135,0.084,175.91,0.074,186.17,0.139,149.39,0.129,154.23,0.183,155.4,0.193,141.53,0.185,122.4,0.223,113.81,0.286,125.75,0.293,123.04,0.22,116.1,0.055,64.36,0.36,9.91,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/5/2010 23:00,11.9,195.9,-0.8,0.7,24.223,27.67,0,0,0.048,315,0.085,331.01,0.098,292.13,0.045,234.9,0.083,322.85,0.032,245.85,0.032,290.14,0.029,0,0.032,358.21,0.036,287.93,0.01,315,0.047,106.11,0.074,171.43,0.089,145.95,0.071,143.62,0.048,118.71,0.068,115.43,0.04,88.57,0.121,108.29,0.046,81.16,0.423,1.22,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 0:00,11.9,195.9,-0.8,0.7,24.264,27.67,0,0,0.126,309.86,0.165,287.67,0.136,327.59,0.101,319.4,0.156,305.62,0.174,314.53,0.164,312.53,0.089,315.91,0.103,270,0.098,283.04,0.066,261.25,0.036,232.82,0.091,291.22,0.078,284.93,0.015,250.35,0.013,318.01,0.003,288.43,0.004,0,0.028,34.82,0.087,350.11,0.366,5.01,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 1:00,11.9,195.8,-0.8,0.7,24.335,27.67,0,0,0.143,299.25,0.158,313.47,0.197,299.56,0.196,317.69,0.238,319.09,0.139,310.33,0.235,301.8,0.178,298.58,0.102,303.85,0.104,290.88,0.093,293.52,0.137,301.25,0.104,320.83,0.123,285.5,0.018,273.18,0.045,299.43,0.057,288.43,0.152,295.38,0.101,290.22,0.133,289.39,0.241,358.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 2:00,11.9,195.8,-0.8,0.7,24.412,27.68,0,0,0.211,314.81,0.114,323.94,0.147,312.8,0.125,313.38,0.179,308.41,0.199,300.42,0.155,312.12,0.164,307.57,0.221,299,0.158,289.24,0.144,289.44,0.098,297.35,0.082,292.19,0.152,315.27,0.032,209.74,0.075,270,0.119,297.65,0.045,289.65,0.057,293.86,0.108,293.48,0.083,315.49,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 3:00,11.9,195.9,-0.8,0.7,24.489,27.69,0,0,0.109,339.57,0.094,296.57,0.175,323.85,0.059,323.9,0.066,347.66,0.106,310.43,0.087,294.5,0.092,313.24,0.094,298.76,0.131,324.97,0.121,310.96,0.067,285.48,0.105,287.74,0.025,80.91,0.047,341.57,0.041,92.79,0.047,321.91,0.052,11.09,0.035,93.27,0.041,17.1,0.119,323.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 4:00,11.9,195.8,-0.8,0.7,24.562,27.69,0,0,0.065,246.57,0.033,268.26,0.045,42.27,0.046,252.35,0.031,67.52,0.03,0,0.059,61.7,0.026,265.6,0.056,272.05,0.072,5.55,0.035,334.89,0.058,46.4,0.045,181.27,0.047,286.11,0.024,155.56,0.023,282.8,0.027,259.51,0.04,244.72,0.071,180.81,0.049,153.43,0.014,257.91,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 5:00,11.9,195.8,-0.8,0.7,24.571,27.69,0,0,0.104,159.83,0.082,75.96,0.107,146.46,0.063,145.3,0.098,119.45,0.133,119.26,0.145,121.71,0.122,109.62,0.096,129.5,0.051,76.5,0.058,112.17,0.116,135.7,0.151,120.12,0.121,133.33,0.097,128.75,0.159,136.27,0.16,131.96,0.157,148.85,0.186,131.51,0.21,149.65,0.206,169.67,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 6:00,11.9,195.8,-0.8,0.7,24.583,27.68,0,0,0.193,142.59,0.187,132.83,0.148,116.39,0.173,121.3,0.245,123.5,0.247,118.74,0.191,107.68,0.233,127.85,0.212,132.13,0.178,123.33,0.193,131.21,0.229,147.14,0.21,143.13,0.265,142.66,0.275,128.66,0.258,131.86,0.235,119.62,0.28,126.87,0.28,133.84,0.278,129.3,0.235,191.31,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 7:00,11.9,195.9,-0.8,0.7,24.555,27.68,0,0,0.133,119.85,0.248,131.4,0.282,124.14,0.283,125.37,0.272,129.02,0.301,127.02,0.234,128.24,0.292,118.23,0.26,125.46,0.305,124.58,0.255,126.37,0.302,128.96,0.274,137.52,0.306,141.37,0.325,138.75,0.343,120.45,0.359,131.28,0.324,134.75,0.352,137.3,0.308,138.95,0.367,182.34,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 8:00,11.9,195.9,-0.8,0.7,24.514,27.68,0,0,0.223,81.51,0.161,117.04,0.182,107.24,0.214,111.9,0.196,103.26,0.241,128.1,0.277,116.1,0.27,114.29,0.27,131.85,0.287,127.51,0.319,126.58,0.309,126.05,0.268,135.76,0.399,131.44,0.394,132.12,0.285,130.01,0.353,125.67,0.328,124.95,0.364,131.44,0.359,146.35,0.326,168.14,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 9:00,11.9,195.8,-0.8,0.7,24.478,27.68,0,0,0.149,112.09,0.096,117.37,0.207,109.13,0.187,106.49,0.226,116.57,0.169,110.04,0.218,114.92,0.232,123.42,0.233,119.32,0.264,130.08,0.261,125.95,0.327,124.03,0.309,133.56,0.297,129.53,0.296,142.98,0.34,143.97,0.347,135.94,0.292,137.5,0.37,138.39,0.277,150.84,0.4,178.71,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 10:00,11.9,195.9,-0.8,0.7,24.457,27.69,0,0,0.115,94.97,0.133,114.05,0.152,120.45,0.087,131.74,0.121,114.87,0.173,95.97,0.087,106.76,0.117,120.96,0.134,123.1,0.151,121.16,0.175,136.39,0.226,130.16,0.131,125.03,0.188,142.77,0.154,144.25,0.167,141.55,0.147,129.76,0.161,134.5,0.184,141.63,0.254,162.57,0.397,179.13,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 11:00,11.9,195.8,-0.8,0.7,24.414,27.7,0,0,0.073,115.87,0.023,77.2,0.079,32.08,0.03,57.38,0.067,11.14,0.058,0,0.046,61.19,0.027,85.76,0.004,33.69,0.024,240.26,0.011,354.81,0.009,347.47,0.008,240.26,0.077,202.91,0.082,196.23,0.041,255.96,0.023,17.65,0.09,155.71,0.037,231.58,0.074,204.83,0.387,191.48,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 12:00,11.9,195.7,-0.8,0.7,24.386,27.69,0,0,0.051,200.56,0.027,267.88,0.056,278.28,0.058,278.97,0.12,295.07,0.119,318.41,0.072,318.96,0.088,328.48,0.114,318.91,0.055,319.4,0.074,314.45,0.055,283.78,0.047,251.57,0.006,239.04,0.055,343.2,0.065,327.53,0.008,284.04,0.021,29.05,0.049,267.66,0.037,260.79,0.339,197.53,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 13:00,11.9,195.7,-0.8,0.7,24.39,27.69,0,0,0.135,300.17,0.083,289.09,0.099,303.05,0.119,271.93,0.114,308.58,0.094,304.2,0.097,293.66,0.167,293.33,0.095,326.65,0.163,317.99,0.103,292.32,0.078,334.09,0.116,314.3,0.126,310.5,0.157,311.12,0.146,313.62,0.071,315.57,0.098,330.04,0.097,301.57,0.012,235.01,0.288,187.99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 14:00,11.9,195.6,-0.8,0.7,24.409,27.69,0,0,0.1,298.61,0.124,316.64,0.068,306.03,0.075,327.99,0.153,320.05,0.17,310.24,0.136,307.54,0.14,317.89,0.139,295.09,0.164,311.78,0.145,304.89,0.098,294.2,0.136,305.1,0.125,286.7,0.109,317.97,0.103,314.6,0.073,264.52,0.148,297.78,0.177,301.35,0.121,296.99,0.311,170.75,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 15:00,11.9,195.8,-0.8,0.7,24.418,27.7,0,0,0.118,344.32,0.085,302.01,0.065,289.83,0.057,291.61,0.121,6.65,0.101,302.43,0.131,335.19,0.077,289.6,0.131,339.5,0.161,320.29,0.182,315,0.111,302.83,0.118,321.19,0.178,316.36,0.112,335.73,0.1,330.61,0.109,342.4,0.11,322.4,0.17,328.75,0.103,290.56,0.187,180,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
3/6/2010 16:00,11.9,195.7,-0.8,0.7,24.417,27.72,0,0,0.039,112.62,0.074,59.3,0.079,84.22,0.049,244.49,0.06,182.86,0.024,152.35,0.025,198.43,0.061,347.77,0.01,11.31,0.036,99.46,0.088,331.39,0.095,34.7,0.075,316.08,0.112,5.1,0.06,11.5,0.092,54.75,0.091,353.03,0.054,335.82,0.031,225,0.042,233.67,0.335,200.06,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
